科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"742,551,571.66","735,779,442.27","780,006,697.03","448,008,625.13",,"938,533,191.29","217,872,211.02","479,481,320.97","741,104,764.56"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,
收到的税费返还,"7,399,966.15","9,334,274.54","11,267,595.82","3,554,427.47",,"10,862,483.81","6,373,072.38","11,273,490.13","20,433,195.28"
支付其他与投资活动有关的现金,,,"8,140,798.00",,,,,,"10,000,000.00"
收到其他与经营活动有关的现金,"9,832,819.18","8,971,330.23","3,188,644.55","1,941,681.19",,"15,830,295.98","3,676,634.30","3,657,123.68","8,185,729.05"
投资活动现金流出小计,"31,752,795.80","260,206,407.58","284,712,737.83","125,039,072.02",,"365,155,488.77","226,472,317.95","989,857,936.60","1,753,715,670.88"
经营活动现金流入小计,"759,784,356.99","754,085,047.04","794,462,937.40","453,504,733.79",,"965,225,971.08","227,921,917.70","494,411,934.78","769,723,688.89"
投资活动产生的现金流量净额,"-25,331,983.38","-84,511,060.86","-131,706,317.16","-9,730,725.99","-19,704,186.99","-126,062,404.95","2,976,384.84","-412,298,735.38","-495,045,441.85"
购买商品、接受劳务支付的现金,"404,447,180.35","392,498,255.10","417,786,055.70","271,430,743.46",,"425,280,371.11","243,771,638.75","401,033,685.40","692,603,670.14"
吸收投资收到的现金,,,"900,000.00",,,,"686,089,300.00","686,089,300.00","686,089,300.00"
支付给职工以及为职工支付的现金,"78,543,445.16","83,455,881.38","89,660,426.34","56,766,862.56",,"101,249,689.25","36,833,817.92","59,311,167.81","81,481,409.37"
取得借款收到的现金,"40,000,000.00",,"91,000,000.00",,,"30,000,000.00",,,
支付的各项税费,"39,993,757.13","65,595,503.10","90,053,616.50","43,154,545.07",,"62,437,718.98","4,861,096.40","33,486,011.09","60,033,845.29"
收到其他与筹资活动有关的现金,,"2,291,697.50","35,131,799.20","671,424.01",,"8,696,306.35","40,146,682.84","47,109,160.52","40,561,067.31"
支付其他与经营活动有关的现金,"83,177,915.06","77,960,333.54","68,621,507.13","30,840,250.10",,"106,198,162.05","26,372,434.59","65,389,783.50","74,153,954.55"
筹资活动现金流入小计,"40,000,000.00","2,291,697.50","127,031,799.20","671,424.01",,"38,696,306.35","726,235,982.84","733,198,460.52","726,650,367.31"
经营活动现金流出小计,"606,162,297.70","619,509,973.12","666,121,605.67","402,192,401.19",,"695,165,941.39","311,838,987.66","559,220,647.80","908,272,879.35"
偿还债务支付的现金,"100,000,000.00","40,000,000.00","90,000,000.00",,,,,,
经营活动产生的现金流量净额,"153,622,059.29","134,575,073.92","128,341,331.73","51,312,332.60","77,602,540.37","270,060,029.69","-83,917,069.96","-64,808,713.02","-138,549,190.46"
分配股利、利润或偿还利息支付的现金,"30,345,519.48","28,274,663.95","29,274,305.57","21,978,533.34",,"27,098,368.06",,"24,782,357.09","25,177,829.32"
收回投资收到的现金,,"175,000,000.00","137,447,000.00","109,503,000.00",,"231,453,000.00","228,173,972.00","575,103,972.00","1,252,354,952.00"
支付其他与筹资活动有关的现金,"14,143,092.10","5,872,339.60","9,367,730.36","21,642,856.66",,"40,146,682.84","67,675,782.46","68,067,232.64","30,632,857.04"
取得投资收益收到的现金,,"654,870.88","431,370.67","717,604.68",,"2,550,342.47","18,278.72","2,455,229.22","6,315,277.03"
筹资活动现金流出小计,"144,488,611.58","74,147,003.55","128,642,035.93","43,621,390.00",,"67,245,050.90","67,675,782.46","92,849,589.73","55,810,686.36"
处置固定资产、无形资产和其他长期资产收回的现金净额,"6,120,812.42","40,475.84","4,558,050.00","87,741.35",,"89,741.35",,,
筹资活动产生的现金流量净额,"-104,488,611.58","-71,855,306.05","-1,610,236.73","-42,949,965.99","-48,635,601.00","-28,548,744.55","658,560,200.38","640,348,870.79","670,839,680.95"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,
四、汇率变动对现金的影响,"-1,753,797.12","-320,001.50","-168,301.69","422,461.48","362,362.67","3,385,993.35","-377,851.20","-5,761,589.34","-14,180,519.53"
收到其他与投资活动有关的现金,"300,000.00",,"10,570,000.00","5,000,000.00",,"5,000,000.00","1,256,452.07",,
四(2)、其他原因对现金的影响,,,,,,,,,
投资活动现金流入小计,"6,420,812.42","175,695,346.72","153,006,420.67","115,308,346.03",,"239,093,083.82","229,448,702.79","577,559,201.22","1,258,670,229.03"
五、现金及现金等价物净增加额,"22,047,667.21","-22,111,294.49","-5,143,523.85","-945,897.90","9,625,115.05","118,834,873.54","577,241,664.06","157,479,833.05","23,064,529.11"
购建固定资产、无形资产和其他长期资产支付的现金,"29,732,795.80","43,306,407.58","66,121,939.83","27,489,072.02",,"85,655,488.77","33,178,245.95","65,042,224.60","92,481,018.88"
期初现金及现金等价物余额,"93,897,751.78","115,945,418.99","93,834,124.50","88,690,600.65",,"88,690,600.65","207,525,474.19","207,525,474.19","207,525,474.19"
投资支付的现金,"2,020,000.00","216,900,000.00","210,450,000.00","97,550,000.00",,"279,500,000.00","193,294,072.00","924,815,712.00","1,651,234,652.00"
期末现金及现金等价物余额,"115,945,418.99","93,834,124.50","88,690,600.65","87,744,702.75",,"207,525,474.19","784,767,138.25","365,005,307.24","230,590,003.30"
