科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"146,881,277.64","455,096,568.96","632,035,679.97","895,560,070.57","163,024,255.06","343,802,767.54","573,344,986.17","853,830,766.28","241,102,010.07","454,345,102.91","702,019,590.98","928,431,209.60","235,772,579.56","462,578,205.46","713,536,911.71","1,073,181,295.99","205,776,843.21","473,671,114.78","726,878,954.03","1,217,326,883.97","221,519,853.43","510,987,179.71","746,745,672.01","1,119,142,903.22","224,676,325.09","379,111,934.11","533,050,436.82","1,115,239,042.84","243,570,699.26","447,598,696.35","688,401,983.37","1,172,038,986.69","299,577,365.82","598,315,226.31","810,211,887.13","1,197,536,454.34","298,715,915.57","626,438,839.23","825,903,215.72","1,331,030,735.03","311,417,650.54","677,634,999.15","868,035,336.09"
二、营业利润,"14,500,218.37","46,062,738.39","54,143,227.24","122,233,300.85","16,229,190.05","41,559,250.06","46,923,232.52","68,594,496.53","11,966,248.65","59,556,625.58","63,207,395.57","47,493,588.44","25,394,574.15","72,452,991.98","76,576,009.16","64,137,249.75","16,538,182.44","68,385,629.82","74,487,177.51","194,260,147.47","14,313,314.07","49,311,607.71","53,766,815.54","97,365,979.17","10,799,455.82","-16,066,098.38","-87,332,070.79","80,302,018.73","5,056,414.12","-372,073.57","-10,387,113.66","86,662,169.93","9,834,745.18","21,555,121.59","9,521,472.58","82,834,655.05","11,407,140.39","28,397,269.68","21,906,152.72","118,146,525.52","19,924,520.83","42,837,420.99","-57,354,791.11"
减:营业成本,"74,343,931.51","299,952,365.49","404,481,192.82","476,020,820.01","70,863,983.45","142,609,522.57","289,703,601.17","424,594,396.63","119,091,491.61","192,076,134.24","338,539,968.02","453,397,069.38","92,261,713.79","188,505,772.33","340,994,404.36","560,898,756.09","65,127,546.96","170,090,339.32","315,084,494.71","540,975,061.55","68,311,157.17","178,877,923.78","297,054,023.04","485,225,598.47","61,974,817.19","138,390,076.66","242,241,998.64","480,078,386.34","57,172,633.10","161,952,211.17","262,075,953.88","436,819,774.93","117,404,841.84","272,547,424.15","361,776,550.15","477,717,062.91","95,537,555.75","249,025,716.85","264,168,115.49","465,758,789.31","86,545,339.93","260,638,985.42","297,669,513.11"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,513,822.22","7,169,386.67","11,802,524.73","19,623,340.68","3,065,221.91","6,637,802.93","10,605,667.29","16,767,921.55","5,557,731.70","9,536,156.21","14,847,286.90","24,245,182.94","2,545,104.21","6,947,061.95","12,176,583.56","22,232,374.00","3,689,533.82","8,446,920.26","12,250,498.40","27,105,767.08","3,180,423.61","8,671,545.12","14,668,985.23","23,576,248.31","3,733,426.02","6,580,728.30","8,677,475.24","15,880,476.17","2,528,794.63","5,208,802.11","6,751,068.70","14,592,563.04","3,667,631.62","9,833,862.14","11,988,903.20","18,711,675.73","2,497,336.61","7,849,072.93","8,973,578.95","13,512,072.53","1,795,467.90","4,393,394.25","6,120,519.38"
营业外收入,"780,139.10","4,454,246.43","16,804,148.70","23,886,908.11","681,951.70","7,271,088.08","12,175,191.64","24,818,394.81","319,174.00","627,551.00","12,178,861.67","44,260,848.20","1,283,180.92","1,827,738.07","3,386,202.14","20,495,978.63","398,234.25","6,161,960.12","6,666,249.05","22,772,760.76","1,084,270.47","10,518,723.42","18,577,415.01","25,688,703.37","2,467,203.90","2,955,207.16","8,432,456.39","17,916,655.76","1,857,677.70","11,003,289.91","18,299,297.48","30,821,217.70","2,096,154.17","3,692,973.01","27,339,843.26","38,831,982.71","3,633,472.84","5,690,496.29","18,011,492.39","38,103,313.68","1,294,489.93","6,677,993.25","17,407,236.68"
销售费用,"10,259,046.64","21,717,213.62","36,182,120.16","63,551,137.69","12,952,939.55","32,790,347.85","49,615,401.07","72,867,534.72","20,910,054.32","41,190,437.69","67,496,328.47","97,389,886.46","30,447,361.25","48,737,634.33","71,293,958.85","102,120,134.71","23,157,534.26","44,902,419.34","66,769,738.88","94,338,610.13","22,849,008.12","46,790,694.22","68,222,351.84","96,125,154.45","38,630,761.20","66,345,649.69","95,988,878.25","126,623,014.67","35,845,885.18","61,218,644.53","91,919,934.01","124,146,894.76","32,859,302.45","60,989,114.98","87,985,831.02","121,568,205.37","32,940,876.65","64,842,210.86","103,458,317.98","140,656,786.45","32,503,682.72","86,454,488.94","130,739,991.98"
减:营业外支出,"74,046.09","43,936.64","123,188.59","256,049.17","56,127.95","363,920.05","654,885.23","1,985,519.75","186,993.42","981,090.02","1,015,458.78","1,254,290.90","63,925.30","63,925.30","212,080.08","226,520.34","150,547.31","133,776.02","278,474.87","3,088,171.72","12,689.59","86,408.82","106,289.21","625,302.77","63,463.05","189,307.51","256,491.18","317,020.76","18,350.55","196,317.53","328,588.05","237,440.49","718,049.68","863,813.52","1,050,915.45","639,158.29","59,189.24","86,928.17","99,461.52","117,993.86","370,888.75","384,750.13","411,908.31"
管理费用,"41,120,039.54","80,666,092.59","118,761,540.98","151,852,454.61","48,502,902.87","96,562,158.99","141,915,045.22","197,746,675.04","74,487,493.49","130,624,375.99","191,965,461.54","264,107,160.98","80,783,617.48","135,039,792.26","197,907,365.70","281,037,745.91","92,907,751.98","172,504,917.64","245,459,151.21","364,767,055.82","107,657,532.06","211,143,672.50","291,492,620.58","380,596,489.68","105,728,769.02","175,210,034.36","260,998,648.79","378,888,977.21","142,596,819.65","216,573,044.59","331,875,974.89","450,347,844.50","131,420,903.52","225,098,324.00","328,740,231.29","466,427,452.16","151,226,157.37","268,459,738.75","416,654,788.70","564,759,149.15","166,948,920.87","283,186,692.92","490,961,597.36"
其中:非流动资产处置净损失,,,,,,"363,920.05","363,920.05",,,,,,,,,"219,581.70","41,315.69","73,776.02","58,041.65","234,041.96","9,840.66","86,250.80","97,180.42","151,669.09",,"26,310.00","26,310.00","141,378.14","18,204.40","128,446.36","128,446.36","171,788.43","495,034.19","526,808.11","526,808.11","538,738.45",,"18,191.39","29,524.94","44,247.58","-89,580.05","104,642.62","104,642.62"
