科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"408,657,083.93","452,063,501.74","554,997,313.61",,"286,520,747.36","432,628,069.00","573,145,074.94","137,303,582.60","255,924,231.48","403,435,013.62","518,707,125.86","119,689,021.45","277,622,088.93","456,131,696.52","606,781,594.05"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,
收到的税费返还,,"316,240.14","763,386.05",,"4,067,593.54","3,168,696.79","723,391.39","2,032,271.22","3,051,449.18","3,074,525.04","3,725,403.78","1,061,979.27",,,"203,869.07"
支付其他与投资活动有关的现金,,,,,,,,,,"14,238.03",,,"25,169.39","25,169.39",
收到其他与经营活动有关的现金,"10,984,756.74","7,184,480.68","4,612,644.10",,"2,391,738.23","6,851,784.08","2,976,292.35","55,820,730.07","3,320,140.45","8,140,140.45","8,268,792.89","31,822,461.83","48,932,260.22","63,028,866.31","4,126,486.66"
投资活动现金流出小计,"53,937,967.38","20,334,171.36","51,355,005.73",,"17,874,065.85","154,783,228.07","362,946,537.35","217,906,772.35","379,192,342.68","539,169,540.79","710,408,747.57","187,970,670.60","232,720,090.38","315,248,567.42","486,211,101.45"
经营活动现金流入小计,"419,641,840.67","459,564,222.56","560,373,343.76",,"292,980,079.13","442,648,549.87","576,844,758.68","195,156,583.89","262,295,821.11","414,649,679.11","530,701,322.53","152,573,462.55","326,554,349.15","519,160,562.83","611,111,949.78"
投资活动产生的现金流量净额,"-53,151,064.08","-20,239,067.94","-51,355,005.73","-8,734,661.05","-17,874,065.85","-154,783,228.07","-109,932,219.46","-91,069,392.21","-99,532,577.15","-111,819,384.85","-98,619,552.17","37,337,937.62","75,044,931.54","32,921,454.50","-25,967,641.66"
购买商品、接受劳务支付的现金,"263,381,560.98","311,306,864.48","380,456,628.56",,"181,202,038.74","289,506,507.83","368,848,039.46","89,119,529.49","163,269,094.85","251,424,217.37","372,866,592.95","94,671,244.98","267,270,859.19","434,773,915.84","461,165,866.23"
吸收投资收到的现金,,,,,"263,133,980.00","263,133,980.00","263,133,980.00",,,,,,,,
支付给职工以及为职工支付的现金,"48,683,409.89","57,520,585.00","70,044,059.06",,"40,672,961.83","60,625,718.06","79,131,448.59","23,561,214.50","44,821,213.16","67,199,652.40","90,293,589.15","28,451,960.95","48,038,941.24","71,964,846.93","103,731,092.82"
取得借款收到的现金,"44,250,000.00","44,250,000.00","73,250,000.00",,"25,250,000.00","25,250,000.00","25,250,000.00",,,,,"10,000,000.00",,"20,000,000.00","70,000,000.00"
