科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,197,876,284.43","792,978,677.59","1,991,470,937.93","1,236,173,934.40","1,574,108,367.45","2,129,336,939.91","389,878,262.71","940,883,459.22","1,252,626,946.22","1,757,192,206.01","449,120,082.31","1,295,660,546.86","1,534,690,577.83","1,761,465,990.95","418,116,119.86","1,086,317,684.54","1,625,691,302.49","2,820,954,268.21","571,307,279.64","1,219,916,633.48","1,581,515,057.05","2,322,145,117.04","247,331,123.62","649,257,740.79","1,087,833,623.58","1,627,285,747.69","404,153,166.87","930,945,566.46","1,584,938,240.49"
取得子公司及其他营业单位支付的现金净额,,,"-1,910,055.29",,,,,,,,,"51,725,022.38","51,725,022.38","51,725,022.38",,,,,,,,,,,"58,476,191.00","58,476,191.00","191,199,499.07","583,946,990.03","583,946,990.03"
收到的税费返还,"652,525.96","118,000.00","98,493.98",,,"3,930,328.68",,,,"225,630.62",,"3,857,910.45","5,806,247.71","7,847,517.44","1,919,258.52","5,145,382.09","6,407,177.74","9,443,561.60","4,638,949.39","7,521,650.30","8,711,925.10","9,529,276.45","1,236,455.49","4,342,057.54","6,124,946.32","8,777,508.42","5,451,959.79","7,407,286.30","11,369,217.16"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"5,683,293.58",,,,,,,,"11,418,371.26",,,,,,,
收到其他与经营活动有关的现金,"27,054,762.00","5,295,059.29","5,092,709.92","6,680,140.66","9,524,566.68","9,141,146.25","1,063,864.12","3,051,528.51","5,589,374.27","7,575,455.93","2,185,941.21","4,426,044.01","9,146,638.33","9,142,571.80","2,948,217.61","12,700,495.95","41,012,080.50","18,834,946.93","8,874,724.50","10,125,528.92","78,882,702.98","23,009,531.11","5,250,601.18","7,530,939.43","22,949,743.38","15,670,565.22","13,870,229.27","20,354,276.17","16,147,837.36"
投资活动现金流出小计,"76,202,061.84","7,169,350.22","36,286,836.58","22,935,613.50","20,660,425.51","37,553,474.96","11,532,091.11","44,492,266.86","106,441,322.36","188,282,957.51","210,763,150.31","268,849,195.43","291,330,539.36","259,029,621.88","7,833,218.73","120,370,632.89","231,571,068.40","248,230,696.88","9,763,738.32","210,788,895.84","264,630,060.67","390,792,388.75","105,673,999.70","386,950,950.25","508,169,493.63","550,972,604.33","229,842,873.14","632,863,558.80","648,347,854.85"
经营活动现金流入小计,"1,225,583,572.39","798,391,736.88","1,996,662,141.83","1,242,854,075.06","1,583,632,934.13","2,142,408,414.84","390,942,126.83","943,934,987.73","1,258,216,320.49","1,764,993,292.56","451,306,023.52","1,303,944,501.32","1,549,643,463.87","1,778,456,080.19","422,983,595.99","1,104,163,562.58","1,673,110,560.73","2,849,232,776.74","584,820,953.53","1,237,563,812.70","1,669,109,685.13","2,354,683,924.60","253,818,180.29","661,130,737.76","1,116,908,313.28","1,651,733,821.33","423,475,355.93","958,707,128.93","1,612,455,295.01"
投资活动产生的现金流量净额,"-76,202,061.84","-3,275,279.99","-35,231,281.02","-22,935,613.50","-20,660,425.51","-34,790,498.46","-8,874,811.11","-41,834,986.86","-103,784,042.36","-185,568,936.12","-179,952,681.17","-215,839,596.89","-227,396,092.86","-200,121,878.87","7,431,399.45","-105,237,591.72","-184,599,812.38","-154,629,882.01","17,690,335.44","-200,338,588.48","-199,987,265.62","-260,159,531.47","-97,120,845.89","-376,849,508.06","-498,068,051.44","-518,976,163.37","-218,399,914.20","-501,554,139.40","-320,127,706.44"
购买商品、接受劳务支付的现金,"926,229,417.48","796,444,998.36","1,999,776,102.31","1,068,010,174.40","1,356,927,704.50","2,060,743,715.25","336,685,238.64","752,302,478.73","1,067,236,250.71","1,726,149,147.75","496,249,380.09","1,312,479,843.24","1,326,746,621.80","1,515,483,378.89","303,689,812.68","919,848,999.36","1,355,683,701.55","2,412,833,938.12","553,952,809.62","1,019,749,821.23","1,354,380,810.51","1,732,814,791.47","316,957,719.70","719,205,182.32","1,023,242,330.07","1,772,079,666.71","612,377,978.91","1,201,100,917.86","2,092,920,761.24"
吸收投资收到的现金,,,"68,000,000.00",,"495,940,882.97","507,250,000.00",,,,,,,,,,,,,,,,,"1,294,387,749.89","1,294,387,749.89","1,294,387,749.89","1,294,387,749.89",,,
