科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"244,925,330.25","268,318,810.05","291,678,788.25","111,272,167.28","161,318,402.15","228,518,520.23","295,455,734.17","95,553,159.93","149,433,727.89","207,917,271.36"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,
收到的税费返还,,"634,678.08",,,"634,678.08","634,678.08","634,678.08",,,
支付其他与投资活动有关的现金,,,,,,,"150,000,000.00","90,000,000.00","168,000,000.00","278,000,000.00"
收到其他与经营活动有关的现金,"3,890,071.89","3,020,930.31","2,286,577.24","1,441,391.91","1,942,655.93","3,423,044.76","8,965,031.07","1,650,740.52","2,159,118.73","2,600,282.23"
投资活动现金流出小计,"7,221,886.32","26,645,308.60","14,839,983.81","4,766,567.47","6,828,125.25","127,226,557.69","172,269,924.33","92,760,139.11","173,090,055.62","296,741,510.66"
经营活动现金流入小计,"248,815,402.14","271,974,418.44","293,965,365.49","112,713,559.19","163,895,736.16","232,576,243.07","305,055,443.32","97,203,900.45","151,592,846.62","210,517,553.59"
投资活动产生的现金流量净额,"-6,038,442.21","-16,434,688.46","-12,034,808.28","-4,766,567.47","-6,588,125.25","-126,886,724.41","-171,563,174.53","-1,855,125.41","-41,113,377.53","-53,489,354.92"
购买商品、接受劳务支付的现金,"86,771,688.41","48,986,817.80","29,703,739.46","10,268,460.73","26,895,972.80","41,779,400.31","42,771,452.04","11,975,516.06","20,183,193.24","42,250,793.40"
吸收投资收到的现金,,,,,"227,000,000.00","227,000,000.00","227,000,000.00",,,
支付给职工以及为职工支付的现金,"21,013,101.84","26,501,123.22","29,427,056.07","8,875,744.99","16,126,509.46","24,644,458.97","33,129,370.77","9,201,882.32","16,320,010.15","23,845,980.31"
取得借款收到的现金,"3,000,000.00","1,000,000.00","2,000,000.00",,,,,,,
支付的各项税费,"41,419,336.65","52,491,836.61","62,757,084.45","21,216,402.44","34,696,434.68","44,960,403.80","60,304,078.92","18,291,899.69","29,965,571.25","39,231,911.83"
收到其他与筹资活动有关的现金,,,,,,,,,,
支付其他与经营活动有关的现金,"42,099,809.05","44,174,540.12","47,237,047.28","7,956,515.90","22,534,512.58","34,027,874.91","47,665,661.13","5,420,407.69","21,756,261.86","26,747,985.66"
筹资活动现金流入小计,"3,000,000.00","1,000,000.00","2,000,000.00",,"227,000,000.00","227,000,000.00","227,000,000.00",,,
经营活动现金流出小计,"191,303,935.95","172,154,317.75","169,124,927.26","48,317,124.06","100,253,429.52","145,412,137.99","183,870,562.86","44,889,705.76","88,225,036.50","132,076,671.20"
偿还债务支付的现金,"22,000,000.00","3,000,000.00","2,000,000.00",,,,"1,000,000.00",,,
经营活动产生的现金流量净额,"57,511,466.19","99,820,100.69","124,840,438.23","64,396,435.13","63,642,306.64","87,164,105.08","121,184,880.46","52,314,194.69","63,367,810.12","78,440,882.39"
分配股利、利润或偿还利息支付的现金,"12,680,583.33","60,073,149.98","60,063,249.96","11,297.22","23,819.43","36,341.64","45,601.36",,"10,000,000.00","40,000,000.00"
收回投资收到的现金,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,"5,195,000.00","14,045,000.00","14,305,000.00",,"1,000,000.00",
取得投资收益收到的现金,"409,377.11","2,810,620.14","2,814,105.53",,"240,000.00","339,833.28","706,749.80","905,013.70","1,976,678.09","3,252,155.74"
筹资活动现金流出小计,"34,680,583.33","63,073,149.98","62,063,249.96","11,297.22","5,218,819.43","14,081,341.64","15,350,601.36",,"11,000,000.00","40,000,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"-8,930.00",,,,,,,
筹资活动产生的现金流量净额,"-31,680,583.33","-62,073,149.98","-60,063,249.96","-11,297.22","221,781,180.57","212,918,658.36","211,649,398.64",,"-11,000,000.00","-40,000,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,
收到其他与投资活动有关的现金,"774,067.00","7,400,000.00",,,,,,"90,000,000.00","130,000,000.00","240,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"1,183,444.11","10,210,620.14","2,805,175.53",,"240,000.00","339,833.28","706,749.80","90,905,013.70","131,976,678.09","243,252,155.74"
五、现金及现金等价物净增加额,"19,792,440.65","21,312,262.25","52,742,379.99","59,618,570.44","278,835,361.96","173,196,039.03","161,271,104.57","50,459,069.28","11,254,432.59","-15,048,472.53"
购建固定资产、无形资产和其他长期资产支付的现金,"7,221,886.32","21,845,308.60","14,839,983.81","4,766,567.47","6,828,125.25","17,226,557.69","22,269,924.33","2,760,139.11","5,090,055.62","18,741,510.66"
期初现金及现金等价物余额,"81,515,066.51","101,307,507.16","122,619,769.41","175,362,149.40","175,362,149.40","175,362,149.40","175,362,149.40","336,633,253.97","336,633,253.97","336,633,253.97"
投资支付的现金,,"4,800,000.00",,,,"110,000,000.00",,,,
期末现金及现金等价物余额,"101,307,507.16","122,619,769.41","175,362,149.40","234,980,719.84","454,197,511.36","348,558,188.43","336,633,253.97","387,092,323.25","347,887,686.56","321,584,781.44"
