科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"75,677,196.01","117,525,226.72","75,979,324.83","141,202,434.91","18,575,160.48","50,963,193.77","86,067,544.27","202,851,832.01","28,941,531.29","59,234,301.99","116,983,980.92","234,068,702.64","25,614,365.45","70,504,081.39","126,297,929.90","283,509,217.17","20,362,874.90","71,090,978.11","133,338,277.42","315,089,556.65","29,989,955.86","93,600,357.74","169,610,494.54","399,589,542.58","47,065,327.36","101,080,029.59","180,312,090.25","503,573,332.31","52,538,161.61","148,906,703.25","285,272,446.01","853,583,620.10","119,138,405.63","298,383,563.99","504,956,734.83","1,327,050,013.96","140,083,075.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"4,654,763.14",,,,,,,,,,,,,,,,,,,,"23,117,035.45","7,500,000.00","118,541,017.91","118,541,017.91","141,217,063.81",,"94,189,271.27","94,189,271.27","94,189,271.27",
收到的税费返还,"3,167,282.14","4,175,915.19","3,884,614.26","4,457,438.61","1,583,747.04","2,069,396.30","6,375,683.35","9,748,498.48",,"2,093,882.01","2,093,882.01","8,832,330.18",,,"2,034,523.53","6,986,976.04","2,985,069.92","4,519,575.06","5,594,134.73","8,088,511.35",,"3,985,672.21","9,353,498.73","14,727,190.07","913,917.25","6,647,419.05","10,935,761.06","17,046,608.41","1,589,395.58","6,237,016.84","8,389,637.57","13,088,313.33","1,713,965.58","12,542,726.19","17,860,006.00","24,369,599.78","1,275,086.23"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"136,000,000.00","7,000,000.00",,,"1,055,019.00","9,730,746.25","750,000.00","1,050,000.00","1,050,000.00",,,"20,877.59",,"15,000,000.00"
收到其他与经营活动有关的现金,"5,915,394.09","7,422,705.17","4,049,860.29","9,109,565.69","2,472,707.70","7,125,500.21","11,238,628.28","10,745,916.62","2,171,342.48","4,084,587.37","6,686,148.91","10,132,488.35","1,611,341.55","4,975,501.12","10,062,516.75","22,163,785.43","10,400,797.72","14,664,327.98","17,159,825.61","17,497,210.70","2,076,750.26","10,716,506.11","19,979,138.78","8,222,609.31","7,024,582.27","16,375,850.62","61,640,303.15","22,488,236.89","5,779,399.54","20,812,021.03","31,275,060.44","79,402,481.28","31,328,308.19","50,644,617.56","76,400,846.57","105,013,261.11","20,889,783.39"
投资活动现金流出小计,"14,803,257.19","27,839,440.60","1,502,226.43","1,740,072.29","164,995.00","22,174,025.74","41,095,564.73","33,730,168.30","3,507,897.37","5,274,545.43","6,614,363.55","14,080,353.76","154,559,140.80","177,010,816.80","197,776,244.30","221,599,380.27","1,233,833.00","7,867,917.59","28,647,106.49","33,849,199.89","9,224,073.41","21,181,898.75","38,909,542.26","180,680,201.85","13,168,119.16","29,286,114.22","64,802,799.39","70,560,924.52","47,486,346.41","198,276,254.10","528,646,915.99","895,670,673.35","199,072,422.10","572,459,736.81","996,582,627.84","498,571,358.71","89,026,863.93"
经营活动现金流入小计,"84,759,872.24","129,123,847.08","83,913,799.38","154,769,439.21","22,631,615.22","60,158,090.28","103,681,855.90","223,346,247.11","31,112,873.77","65,412,771.37","125,764,011.84","253,033,521.17","27,225,707.00","75,479,582.51","138,394,970.18","312,659,978.64","33,748,742.54","90,274,881.15","156,092,237.76","340,675,278.70","32,066,706.12","108,302,536.06","198,943,132.05","422,539,341.96","55,003,826.88","124,103,299.26","252,888,154.46","543,108,177.61","59,906,956.73","175,955,741.12","324,937,144.02","946,074,414.71","152,180,679.40","361,570,907.74","599,217,587.40","1,456,432,874.85","162,247,944.86"
投资活动产生的现金流量净额,"-14,652,544.79","-16,430,384.97","-1,267,539.48","-1,480,163.38","215,482.27","-20,687,839.56","-40,103,093.30","-32,423,525.07","2,393,187.57","1,254,147.66","695,726.39","-6,152,537.35","-148,114,496.38","-170,105,599.72","-190,097,284.67","-213,832,784.22","-651,214.54","-7,009,961.58","278,206.52","3,037,401.95","-8,861,410.80","-21,107,639.75","-38,800,189.26","-177,997,121.29","-13,151,950.16","-29,216,231.72","-56,652,394.77","57,843,969.11","-20,645,576.09","-126,218,550.84","-438,270,202.83","-480,637,354.80","77,989,553.25","-36,965,522.78","15,255,721.28","-174,615,652.40","28,032,455.70"
购买商品、接受劳务支付的现金,"16,805,851.07","49,619,096.72","18,727,750.19","32,770,874.83","14,351,562.79","22,103,672.15","29,427,789.77","57,986,891.63","20,179,635.50","29,785,427.98","46,683,665.85","61,770,222.92","22,026,487.37","35,225,030.59","46,909,564.45","61,568,090.42","18,918,876.18","50,289,346.60","67,339,083.88","88,300,809.22","25,489,103.39","54,998,433.28","74,144,146.68","104,029,581.89","41,906,903.75","71,384,926.67","97,189,654.01","138,902,156.44","41,665,304.20","85,530,107.30","124,378,193.73","190,819,189.38","92,411,015.07","155,497,112.56","219,185,535.48","302,045,870.19","99,092,022.98"
吸收投资收到的现金,"34,120,000.00",,,"352,780,000.00",,,,,,,,,,,,,,,,"13,836,983.20",,"2,430,000.00","2,430,000.00","2,430,000.00",,,,,,"459,939,879.52","464,439,879.52","465,839,879.52",,,,"360,000.00",
支付给职工以及为职工支付的现金,"25,740,791.43","39,704,809.92","47,421,873.60","60,077,060.21","18,775,966.60","36,519,443.73","53,207,546.48","80,668,246.48","30,880,649.75","53,334,946.78","80,400,602.52","106,885,294.60","42,822,790.26","72,350,844.64","94,930,804.23","126,835,849.49","29,761,278.53","54,241,162.89","77,734,794.92","113,988,510.30","37,478,453.80","60,717,522.94","84,287,233.23","112,314,190.75","39,935,665.75","66,313,242.63","95,994,643.43","136,676,724.53","57,604,576.29","98,159,407.12","151,151,892.36","261,773,933.95","114,623,567.34","215,868,875.24","331,640,292.63","458,180,429.08","170,257,217.10"
取得借款收到的现金,,"500,000.00",,"10,000,000.00",,,,,"6,676,034.29","8,390,457.38","12,532,446.36","18,880,000.00","2,381,640.00","14,327,600.00","29,145,960.00","45,370,485.00","1,358,560.00","2,609,240.00","3,913,333.00","5,115,069.00","593,940.00","599,410.00","1,194,540.00","1,061,700.00",,,,"403,727.20","454,304.00","471,992.00","3,943,984.00","959,120.00","550,044.00","550,044.00","1,252,878.00",,"822,052.00"
支付的各项税费,"5,518,771.21","10,416,892.10","8,749,383.44","12,934,365.06","4,543,291.28","8,440,976.34","11,385,174.87","16,014,957.36","6,833,456.95","10,993,060.81","15,657,790.70","21,518,874.82","7,765,998.62","14,494,113.45","17,778,356.48","23,828,298.68","7,215,330.40","10,333,615.29","16,049,725.44","21,480,260.12","9,208,702.23","21,331,600.36","27,397,665.53","35,386,213.05","12,743,697.54","20,069,225.78","26,534,576.83","38,537,134.87","16,926,187.01","22,866,966.86","33,108,668.29","53,859,651.21","22,575,888.60","39,230,354.21","47,900,700.82","85,108,878.45","37,572,354.71"
收到其他与筹资活动有关的现金,,"1,313,900.00",,"703,700.00",,,,"260,900.00",,,,"275,700.00",,,,"2,000,000.00",,,,,,,,,,"667,591.89","932,055.04","8,802,511.59","152,551.66","1,032,403.94","1,096,869.56","187,797,182.75","8,315.21","11,141.88",,,
支付其他与经营活动有关的现金,"17,185,572.73","19,768,694.14","22,655,270.02","27,718,829.65","10,466,752.28","16,617,177.15","29,229,052.94","41,700,758.26","13,412,335.09","30,628,615.60","48,982,495.70","62,016,375.11","10,451,162.32","26,486,684.87","45,822,662.94","59,250,805.64","16,688,330.76","40,089,723.21","57,195,177.37","59,087,803.65","18,758,585.11","50,541,273.58","74,097,937.02","91,997,149.17","19,410,992.28","42,248,400.37","79,144,817.09","99,945,281.57","36,575,586.30","92,459,552.29","172,903,515.98","216,451,509.18","77,068,349.58","152,615,548.99","241,866,221.46","361,736,864.22","101,700,366.90"
筹资活动现金流入小计,"34,120,000.00","1,813,900.00",,"363,483,700.00",,,,"260,900.00","6,676,034.29","8,390,457.38","12,532,446.36","19,155,700.00","2,381,640.00","14,327,600.00","29,145,960.00","47,370,485.00","1,358,560.00","2,609,240.00","3,913,333.00","18,952,052.20","593,940.00","3,029,410.00","3,624,540.00","3,491,700.00",,"667,591.89","932,055.04","9,206,238.79","606,855.66","461,444,275.46","469,480,733.08","654,596,182.27","558,359.21","561,185.88","1,252,878.00","360,000.00","822,052.00"
经营活动现金流出小计,"65,250,986.44","119,509,492.88","97,554,277.25","133,501,129.75","48,137,572.95","83,681,269.37","123,249,564.06","196,370,853.73","71,306,077.29","124,742,051.17","191,724,554.77","252,190,767.45","83,066,438.57","148,556,673.55","205,441,388.10","271,483,044.23","72,583,815.87","154,953,847.99","218,318,781.61","282,857,383.29","90,934,844.53","187,588,830.16","259,926,982.46","343,727,134.86","113,997,259.32","200,015,795.45","298,863,691.36","414,061,297.41","152,771,653.80","299,016,033.57","481,542,270.36","722,904,283.72","306,678,820.59","563,211,891.00","840,592,750.39","1,207,072,041.94","408,621,961.69"
