科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"67,348,571.20","118,243,870.11","116,883,386.19","165,125,768.05","45,894,723.17","92,453,547.71","133,565,793.18","184,961,424.89","57,680,052.20","131,766,959.01","198,275,042.38","280,308,218.79","67,819,977.95","128,221,202.93","171,231,662.28","222,701,535.89","32,867,669.22","77,161,090.63","141,691,151.38","248,474,867.84","109,162,147.57","200,151,647.71","331,555,378.25","612,007,004.55","383,422,506.21","1,569,961,925.43","2,294,607,942.75","2,812,712,721.18","349,766,421.76","656,964,515.17","935,033,012.12","1,203,051,297.42","238,264,282.52","478,902,277.71","766,791,944.10","2,546,785,181.27","367,212,861.07","711,830,278.55","1,025,446,100.22","3,123,446,007.42","321,000,342.91"
二、营业利润,"34,617,268.60","51,878,525.16","54,568,586.67","77,328,130.88","19,412,236.44","39,402,997.01","58,725,502.92","70,324,719.74","16,611,790.47","55,203,054.13","82,564,792.18","109,702,689.35","21,661,904.64","42,234,071.24","42,361,191.09","35,325,273.50","-14,898,334.44","-22,659,965.85","-29,954,045.46","-3,386,372.35","22,354,516.87","37,765,865.79","75,159,088.11","193,886,384.66","235,476,419.78","1,218,773,411.95","1,729,984,614.06","2,110,856,145.88","142,387,829.76","326,324,891.93","560,301,301.23","667,361,770.70","113,814,538.27","277,592,848.47","496,423,981.94","676,377,493.15","367,796,416.15","667,078,960.09","967,014,356.28","1,130,600,168.69","464,240,168.24"
减:营业成本,"13,797,399.04","25,243,779.71","14,653,490.09","21,580,393.49","6,667,710.39","14,795,204.92","21,785,582.02","32,115,081.13","17,378,178.61","30,353,152.63","44,915,886.88","60,150,212.35","17,484,292.83","34,617,238.58","49,652,925.18","64,732,333.89","14,373,908.48","31,929,796.61","57,857,527.86","89,735,083.82","28,642,417.23","55,727,077.07","96,722,147.98","148,569,133.68","79,636,042.21","191,497,436.65","266,879,149.50","324,054,378.17","69,683,351.17","145,959,539.58","237,112,989.33","323,052,803.19","101,361,110.80","200,789,542.97","326,938,928.06","396,996,151.69","99,034,364.07","202,371,387.86","296,120,875.34","371,335,725.53","95,647,184.99"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,067,964.48","7,985,371.03","7,406,310.89","10,742,723.47","3,296,808.37","6,838,837.16","9,959,845.33","13,719,296.89","2,936,267.43","5,525,493.29","7,968,546.96","10,815,354.95","2,373,298.23","4,562,315.03","6,119,592.44","7,849,706.22","585,086.67","1,454,402.17","3,138,759.41","6,273,698.37","3,643,377.63","6,541,299.95","11,310,408.42","23,815,725.77","4,328,515.19","18,734,151.40","29,532,374.35","45,589,811.25","22,948,694.88","31,922,269.87","34,068,101.25","51,827,485.54","2,550,835.28","12,736,441.24","19,076,990.78","26,891,327.78","7,628,407.29","15,785,386.16","23,242,136.34","31,033,977.04","9,126,762.03"
营业外收入,"264,511.91","3,838,123.20","4,330,755.55","5,014,045.55","3,948,000.01","3,982,611.44","3,968,105.51","3,968,105.51","7,180,000.00","11,380,000.00","12,168,000.98","14,908,000.98","6,745,000.00","6,745,000.00","11,364,900.00","9,639,500.00",,"2,824,200.00","4,187,275.00","8,915,082.23",,"1,906,683.00","1,906,683.00","4,880,225.76",,"8,641,297.00","8,682,297.01","62,883,052.54","7,623,154.98","71,354,545.74","107,400,970.35","140,486,151.23","4,239,910.59","6,968,002.20","10,417,707.22","6,184,565.94","153,684.44","960,647.47","53,937.49","165,241.98","9,248.28"
销售费用,"16,451,381.08","32,527,405.26","39,112,773.05","52,529,930.32","15,194,287.23","34,506,341.88","52,141,271.48","73,187,024.04","24,101,050.84","47,900,979.90","77,225,099.83","109,836,587.04","25,265,269.56","44,665,424.64","67,985,399.71","96,748,393.17","26,996,948.44","50,365,036.05","79,446,252.02","110,894,625.98","27,220,700.73","56,632,450.52","85,996,053.40","115,249,744.46","29,726,260.44","75,875,908.05","129,102,032.12","202,505,335.17","54,964,657.53","110,435,996.75","174,005,412.72","266,039,531.91","78,077,538.42","146,153,383.34","218,234,719.30","315,824,916.10","54,202,200.94","118,489,428.49","174,090,972.05","259,775,169.89","81,472,749.22"
减:营业外支出,"6,004.20","158,667.39",,"28,584.84",,"204,000.00","209,600.08","259,600.08",,"50,050.00","50,050.00","3,196,963.45",,"1,000,000.00","1,500,000.00","1,600,000.00",,"60,000.00","551,443.61","551,868.61","416,612.58","430,510.02","430,510.02","1,512,810.02","265,248.32","265,248.32","1,432,380.02","2,812,861.82","1,269,879.15","1,833,312.68","3,673,024.49","9,672,065.84","1,729,643.08","2,274,758.73","2,953,648.64","3,478,278.62","455,900.00","2,817,925.66","4,468,600.62","9,931,417.01","5,226,977.85"
管理费用,"1,923,395.55","4,772,462.62","6,177,347.88","8,765,753.00","2,762,201.01","7,089,576.67","9,679,104.51","23,464,148.93","5,458,610.20","10,413,639.38","14,836,824.13","30,787,217.00","11,733,278.97","25,927,381.84","41,029,125.15","65,386,886.85","17,532,919.21","38,321,801.82","61,417,109.28","84,464,034.61","34,843,675.99","67,673,640.10","101,464,537.36","183,892,483.26","52,744,560.99","109,844,825.87","219,374,749.16","394,427,244.17","267,384,453.43","524,162,247.92","777,599,141.11","1,113,680,691.84","272,263,261.76","541,015,757.92","834,237,011.28","1,283,307,695.92","318,796,519.35","663,753,758.77","874,493,395.06","1,191,609,602.23","269,388,395.34"
其中:非流动资产处置净损失,,,,,,,"5,600.08",,,,,,,,,,,,,,,,,"20,510.02","65,248.32","65,248.32","82,380.02","131,821.38","45,531.92","61,842.05","1,763,508.06","5,985,099.28","85,142.26","211,351.06","485,743.91",,,,,,
