科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"3,461,408,592.82","4,426,242,964.56","3,540,537,216.24","4,744,566,538.65","2,790,051,085.96","4,419,034,755.59","6,216,167,728.57","1,369,161,727.84","2,870,823,402.09","3,827,520,452.65","5,140,857,608.99","1,222,388,068.99","2,143,887,803.02","2,954,162,594.57","4,083,207,001.04","901,811,352.46","2,226,409,950.74","3,351,516,979.27","4,820,977,363.75","965,321,899.19"
二、营业利润,"255,290,432.65","351,888,069.64","301,853,084.30","416,875,320.56","196,955,722.35","324,261,717.46","424,984,124.09","33,075,821.97","180,545,349.14","233,323,334.18","281,444,783.31","17,544,523.35","15,166,633.20","14,347,966.66","-101,015,903.10","-57,970,159.03","-46,173,688.41","2,112,122.15","56,482,169.28","-34,551,018.86"
减:营业成本,"2,952,519,801.05","3,695,424,258.94","2,929,324,482.71","3,914,354,703.10","2,326,862,527.86","3,703,462,572.72","5,272,803,653.43","1,185,989,339.51","2,397,157,615.31","3,186,507,674.94","4,337,497,705.43","1,060,436,939.38","1,868,479,519.90","2,590,219,068.74","3,643,068,042.33","835,663,733.66","2,032,509,408.98","3,026,913,260.98","4,343,814,819.31","890,588,865.87"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"14,478,750.67","20,228,878.26","16,552,018.60","23,238,882.63","10,251,604.14","18,510,376.19","25,512,945.26","3,837,392.64","11,699,857.25","18,009,878.83","27,642,062.24","5,536,300.33","12,157,468.07","14,168,205.82","35,748,170.75","8,346,409.83","17,426,741.55","23,732,277.71","25,629,242.68","5,760,239.65"
营业外收入,"19,959,322.68","9,608,953.50","6,434,794.67","8,753,801.70","7,153,187.87","14,627,215.40","7,406,084.36","4,563,614.05","7,090,807.19","20,843,013.10","28,807,554.92","1,899,568.17","3,921,143.59","7,368,291.32","9,645,238.91","3,560,367.77","5,401,601.78","8,004,417.70","1,156,401.87","254,414.47"
销售费用,"20,046,881.30","27,706,518.97","21,076,831.84","25,517,215.54","8,485,151.08","14,010,367.60","22,142,476.87","8,653,237.78","14,037,988.91","21,823,270.17","28,868,907.03","9,515,284.54","16,845,911.06","22,842,923.47","29,072,115.06","8,074,039.11","14,261,108.66","18,676,254.93","26,087,558.95","10,514,288.76"
减:营业外支出,"244,761.09","383,658.05","190,235.93","190,344.31","30,000.00","30,618.47","72,067.89",955.70,"19,116.03","37,396.64","146,682.06","14,190.31","46,616.46","65,611.56","4,656,161.76","342,334.71","553,823.53","6,715,525.55","6,983,868.92",
管理费用,"203,029,574.56","285,346,105.14","242,602,976.90","329,888,105.42","214,355,259.10","307,629,059.63","387,050,912.71","122,558,618.06","222,295,991.07","314,902,513.69","393,092,244.50","126,723,298.26","202,151,811.11","280,956,613.79","395,333,371.44","107,613,871.15","175,970,435.56","247,775,476.86","345,470,378.96","94,766,750.82"
其中:非流动资产处置净损失,,,"97,583.04",,,,"20,569.13",363.56,"5,444.72","10,736.51",,,"46,616.46","65,611.56","51,195.42",,"14,486.73","15,904.21",,
