科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"212,501,802.71","217,115,179.44","208,959,954.91","233,731,588.42","233,600,781.90","242,902,906.58","212,342,951.15","277,024,428.57","287,576,967.29","276,194,289.13","255,775,697.34"
短期借款,"348,224,500.00","313,156,000.00","365,000,000.00","370,000,000.00","340,000,000.00","277,500,000.00","297,500,000.00","238,000,000.00","238,000,000.00","200,000,000.00","200,000,000.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"107,438,489.16","183,345,815.96","104,106,444.96","176,140,063.24","134,389,428.52","197,745,695.53","266,236,984.58","259,718,678.45","321,695,156.56","299,173,993.90","411,048,735.54"
应付票据,"85,750,710.70","96,944,472.00","62,249,325.36","116,068,647.18","94,780,896.30","81,648,939.01","108,656,850.82","115,959,583.75","111,569,863.95","118,836,884.37","128,624,766.37"
应收账款,"95,619,022.56","73,853,935.65","85,223,584.77","137,325,441.92","139,889,405.82","118,194,968.83","131,493,734.82","84,332,264.46","90,929,357.37","99,529,892.21","85,346,463.94"
应付账款,"197,762,395.14","159,650,125.23","123,392,431.17","167,591,920.17","163,791,741.48","160,554,060.02","182,531,116.23","212,208,384.97","283,025,452.31","210,558,902.93","279,970,955.78"
预付款项,"12,046,047.71","5,609,020.56","2,461,688.82","8,124,961.75","18,722,880.79","1,750,587.99","10,666,081.48","6,562,001.15","7,232,688.57","6,685,983.06","4,757,112.30"
预收款项,"215,898,601.84","269,134,386.15","110,576,024.03","80,788,957.34","83,383,594.65","127,212,708.96","148,984,349.99","164,183,072.58","173,003,648.79","203,617,851.41","264,332,190.47"
其他应收款,"9,971,342.41","4,442,614.75","3,500,406.49","5,442,570.98","4,945,641.30","4,679,922.07","6,001,142.83","4,140,862.26","4,638,087.60","4,268,363.16","3,859,647.59"
应付职工薪酬,"42,101,392.80","42,857,208.10","43,581,280.88","37,872,642.28","43,009,857.12","45,128,289.07","36,016,197.95","40,804,317.30","46,692,678.59","51,149,556.27","40,638,238.96"
应收关联公司款,,,,,,,,,,,
应交税费,"23,862,935.20","16,123,180.86","8,324,667.90","17,139,684.08","10,936,369.12","6,106,040.59","2,770,440.39","21,039,677.38","12,421,622.26","24,689,463.58","13,939,666.09"
应收利息,"1,017,040.80","1,031,034.34","848,799.52","582,333.28","866,666.11","568,502.09","273,755.74","578,447.54","858,000.00","563,875.00","263,250.00"
应付利息,"985,539.45","749,561.93","497,585.56","451,680.00","577,103.00","360,766.45","644,432.11","263,558.00","546,049.00","229,583.33","162,550.56"
应收股利,,,,,,,,,,,
应付股利,,,,,,,,,,,
存货,"620,776,245.35","664,409,370.87","567,575,330.46","509,525,438.74","515,244,310.36","510,492,430.34","547,888,598.71","569,885,578.42","573,542,277.72","549,459,987.41","626,235,512.32"
其他应付款,"29,060,507.52","33,230,368.73","31,466,390.71","35,864,013.87","36,402,727.83","39,646,250.53","44,634,366.58","50,196,757.79","49,981,647.88","53,005,698.82","54,780,538.54"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,"262,667.00","262,667.00"
一年内到期的非流动负债,,"104,000,000.00",,,,,,,,,
其他流动资产,"21,524,047.05","17,087,609.05","13,911,306.96","4,566,666.91","4,042,121.05","5,214,153.35","7,186,063.29","4,310,384.17","4,004,853.13","4,583,106.59","4,765,948.72"
其他流动负债,,,,,,,,,,,
流动资产合计,"1,080,894,037.75","1,166,894,580.62","986,587,516.89","1,075,439,065.24","1,051,701,235.85","1,081,549,166.78","1,182,089,312.60","1,206,552,645.02","1,290,477,388.24","1,240,722,157.46","1,392,315,034.75"
流动负债合计,"943,646,582.65","1,035,845,303.00","745,087,705.61","825,777,544.92","772,882,289.50","738,157,054.63","821,737,754.07","842,655,351.77","915,240,962.78","862,087,940.71","982,448,906.77"
可供出售金融资产,,,,,,,,,,,
长期借款,"154,000,000.00",,,,,,,,,,
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,,,,,,,,,,,
专项应付款,,,,,,,,,,,
投资性房地产,,,,,,,,,,,
预计负债,"37,018,092.94","32,841,665.20","34,963,211.39","31,143,881.28","30,806,755.97","30,249,613.20","29,914,585.05","35,187,483.54","36,695,798.89","36,009,612.07","37,887,487.43"
固定资产,"804,841,767.50","773,574,421.51","719,523,548.04","686,210,725.48","667,785,128.75","658,947,275.23","643,200,298.44","626,727,627.30","629,307,038.10","758,006,930.27","739,625,721.98"
递延所得税负债,,,,,,,,,,,
在建工程,"38,266,098.40","14,397,144.88","110,000.00","39,968,346.27","39,969,664.99","48,438,067.37","56,267,596.37","92,337,276.16","105,134,969.15","6,171,566.57","10,096,026.11"
其他非流动负债,,,,,,,,,,,
工程物资,,,,,,,,,,,
非流动负债合计,"260,998,904.31","98,496,771.89","105,142,613.40","98,710,430.95","97,066,879.47","95,203,310.53","93,561,856.21","97,528,328.53","97,730,217.71","95,737,604.72","96,309,053.91"
固定资产清理,,,,,,,,,,,
负债合计,"1,204,645,486.96","1,134,342,074.89","850,230,319.01","924,487,975.87","869,949,168.97","833,360,365.16","915,299,610.28","940,183,680.30","1,012,971,180.49","957,825,545.43","1,078,757,960.68"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"469,800,000.00","469,800,000.00","469,800,000.00","469,800,000.00","469,800,000.00","522,000,000.00","522,000,000.00","522,000,000.00","522,000,000.00","522,000,000.00","522,000,000.00"
油气资产,,,,,,,,,,,
资本公积,"276,386,144.04","276,386,144.04","276,386,144.04","276,386,144.04","276,386,144.04","287,057,528.19","287,117,528.22","287,117,528.22","287,117,528.22","287,117,528.22","287,117,528.22"
无形资产,"127,961,445.69","85,301,901.11","81,181,069.07","79,062,721.17","77,914,070.65","76,765,420.61","76,279,770.06","75,806,119.73","75,333,969.29","78,250,202.29","77,692,630.39"
盈余公积,"14,576,219.33","21,975,638.91","27,935,767.87","27,935,767.87","27,935,767.87","32,279,262.77","32,279,262.77","32,279,262.77","32,279,262.77","39,507,012.23","39,507,012.23"
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,,,
商誉,,,,,,,,,,,
未分配利润,"118,971,778.50","173,146,254.55","197,604,279.50","217,254,822.43","229,535,347.90","237,538,146.48","248,630,920.12","266,218,970.15","293,049,543.04","313,398,754.58","327,239,760.67"
长期待摊费用,,,,,,,,,,,
少数股东权益,"437,390.81","609,926.72","1,237,729.24","1,662,510.72","1,846,230.17","2,029,424.19","2,273,625.25","2,168,867.75","2,139,545.20","2,870,678.84","3,449,786.34"
递延所得税资产,"32,760,265.71","35,542,328.34","35,962,930.84","37,584,981.09","39,042,968.66","37,839,384.33","36,589,659.80","37,553,897.12","37,465,910.59","38,058,622.51","38,635,712.62"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,"2,126,675.67","2,030,005.67","1,437,340.67","1,330,670.00","871,335.00","12,635,520.95","15,330,179.20","13,079,345.02","14,014,839.44","3,698,907.90","2,226,750.00"
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"1,005,956,252.97","910,845,801.51","838,214,888.62","844,157,444.01","825,583,168.05","834,625,668.49","827,667,503.87","845,504,265.33","861,256,726.57","884,186,229.54","868,276,841.10"
所有者权益(或股东权益)合计,"882,204,803.76","943,398,307.24","974,572,086.50","995,108,533.38","1,007,335,234.93","1,082,814,470.11","1,094,457,206.19","1,111,873,230.05","1,138,762,934.32","1,167,082,841.57","1,181,833,915.17"
