科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"7,283,983.18","10,045,392.89","9,842,583.96","17,196,345.10","224,693,081.50","220,549,955.52","210,761,883.24","214,355,422.33","184,422,568.10","162,635,413.15","142,882,992.75","158,004,516.03","94,471,046.21","62,936,952.49","82,981,555.19","72,406,176.50","95,131,664.57","46,542,873.89","71,209,762.75","56,999,595.11","80,988,719.47","70,370,862.04","92,900,963.06","451,748,493.32","81,528,330.47","58,725,293.66","116,400,830.05","82,393,007.86","86,537,002.00","102,916,585.10"
短期借款,"10,000,000.00","13,000,000.00","25,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00",,,,,,"5,000,000.00","35,000,000.00","41,000,000.00","45,000,000.00","39,000,000.00","49,000,000.00",,"15,000,000.00","10,000,000.00","40,000,000.00","30,000,000.00","79,000,000.00","64,000,000.00",,,"600,000.00",,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"4,400,000.00","1,000,000.00",,"1,400,000.00","200,000.00","1,050,000.00",,,"2,000,000.00","3,765,696.68","10,116,000.00","8,825,600.00","16,899,300.00","41,837,188.11","35,214,300.00","17,882,626.95","26,392,000.00","35,317,289.88","34,500,000.00","19,000,000.00","14,361,000.00","17,406,880.00","15,901,677.60","20,555,659.60","30,680,946.44","16,957,900.00","17,792,847.70","11,574,547.70"
应付票据,,,,,,,,,,,,,,,,"3,600,000.00","10,756,000.00","24,268,495.95","39,837,720.63","28,609,536.68","21,908,127.50","24,115,923.40","20,192,346.59","26,682,180.69","23,530,678.00","20,726,498.50","27,791,223.90","24,600,943.91","22,934,258.38","31,125,568.72"
应收账款,"27,131,793.96","41,859,597.39","54,317,592.27","56,753,484.21","74,028,131.06","85,793,720.20","80,296,795.26","68,408,057.95","79,978,619.28","86,564,368.25","99,629,524.45","73,579,356.19","107,261,707.96","126,675,490.79","154,708,502.11","148,717,897.94","175,518,968.31","221,886,375.51","274,284,878.66","306,355,669.78","322,359,158.76","346,643,874.37","323,356,082.90","304,979,500.61","284,665,569.17","269,831,969.78","291,346,814.19","265,557,093.60","272,269,536.20","264,303,363.82"
应付账款,"4,683,500.33","13,483,257.10","10,441,934.19","7,891,766.75","11,526,798.40","9,464,183.76","7,862,511.51","7,768,931.74","7,964,222.87","13,201,792.11","15,859,537.88","22,732,058.87","23,940,603.99","39,005,947.36","37,079,489.16","27,154,255.78","53,502,900.35","51,810,254.07","64,089,899.04","51,760,950.42","63,973,884.56","56,848,187.56","79,448,176.19","63,709,297.59","78,941,576.18","86,985,889.10","87,731,239.93","85,748,766.12","82,367,388.25","81,834,100.94"
预付款项,"11,431,032.86","14,468,717.10","8,991,289.80","5,516,861.07","5,371,526.72","9,508,288.97","7,148,275.03","7,472,200.47","8,134,391.94","13,367,762.77","7,825,440.82","21,515,953.97","28,634,539.76","45,622,301.82","15,774,382.19","26,438,931.07","12,477,750.32","24,644,017.39","6,643,023.78","21,559,368.19","25,819,713.53","6,510,908.07","8,619,384.01","7,125,093.33","16,202,972.18","28,760,957.18","13,215,649.36","15,590,152.85","12,425,980.04","24,133,033.35"
预收款项,"7,004,664.61","30,616,198.79","6,516,184.90","19,857,591.08","10,653,082.76","24,576,419.77","15,965,313.92","3,328,894.33","2,467,193.80","4,508,109.94","7,998,544.45","23,786,264.72","35,275,739.04","41,922,171.85","71,037,758.27","94,815,106.95","64,923,901.22","57,736,118.82","70,478,205.44","78,560,026.37","54,603,634.10","35,661,065.62","40,736,874.43","43,641,982.80","42,980,010.79","22,744,050.96","23,142,610.22","36,679,337.25","42,682,910.77","58,611,420.24"
