科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"242,901,792.26","379,747,054.98","592,270,933.55","168,897,029.25","359,792,328.92","546,170,292.70","715,875,993.38","156,444,456.12","330,151,821.90","490,396,400.53","660,942,090.42","165,059,350.27","336,976,310.81","545,361,256.76","827,473,346.88","234,331,434.48","493,160,534.00","742,798,614.88","1,019,005,353.53","236,393,205.28","484,829,241.10","708,865,660.69","942,167,620.00","170,334,234.78","362,178,852.01","581,874,361.29","929,682,027.09","356,440,593.62","798,829,136.55","1,205,437,028.71","1,730,197,836.81","493,362,239.93","1,172,098,687.14"
二、营业利润,"12,223,301.16","56,600,436.99","105,598,464.84","38,740,622.86","81,328,085.49","118,930,537.06","140,242,862.74","39,955,462.79","67,415,130.34","92,996,482.94","104,349,506.72","21,715,000.49","43,472,800.26","68,864,525.29","108,127,893.82","32,114,459.43","55,477,608.96","85,942,209.19","124,676,483.39","24,999,218.09","47,067,055.22","76,320,933.66","86,289,524.78","12,047,308.22","28,942,212.93","47,296,986.68","55,997,283.94","15,214,917.61","50,881,617.58","83,573,924.55","122,283,458.94","30,798,377.56","109,665,855.51"
减:营业成本,"184,877,421.93","277,545,054.83","421,517,591.28","113,671,718.19","242,382,180.22","372,925,156.96","498,468,111.49","108,605,522.86","236,050,791.14","352,136,369.75","485,590,339.70","122,774,406.27","254,286,823.00","413,370,205.14","618,763,375.85","172,414,901.82","372,854,685.42","561,339,268.88","758,612,154.53","184,625,534.16","373,324,075.48","538,259,525.54","708,556,854.54","136,580,085.63","281,632,541.64","450,737,909.50","707,087,869.50","294,533,166.04","643,541,800.77","956,170,073.85","1,379,460,836.13","408,745,599.83","931,251,975.76"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,181,925.82","1,610,542.54","2,254,179.29","915,178.04","2,349,950.10","3,248,941.52","4,248,272.08","1,596,822.58","2,684,889.29","3,590,781.82","4,599,637.24","756,866.29","1,526,816.64","2,461,589.84","4,214,292.42","1,113,072.82","2,560,896.90","3,995,980.92","5,745,263.07","1,438,820.03","2,816,829.68","4,277,002.48","5,867,496.26","1,230,909.12","2,804,200.48","4,263,013.10","9,985,936.41","2,958,916.66","6,327,041.24","9,217,687.02","12,452,306.47","4,197,457.11","10,467,610.75"
营业外收入,"2,183,121.95","7,664,685.00","12,079,266.50","396,765.17","648,083.40","1,489,514.53","6,657,734.78","2,832,580.14","9,438,306.00","11,286,297.03","13,818,319.73","484,376.60","1,568,206.26","2,049,354.59","2,591,195.88","231,136.33","488,661.91","2,283,402.97","2,703,227.99","525,388.15","1,371,394.64","2,070,025.71","9,093,769.57","378,853.84","1,147,365.05","2,981,950.29","4,690,134.83","2,505,410.66","8,681,457.98","11,641,194.23","2,584,274.61","910,112.39","1,698,249.58"
销售费用,"14,904,653.07","17,158,226.58","20,510,142.90","4,711,613.61","10,197,386.99","15,321,869.61","22,620,960.74","4,107,743.36","8,967,509.45","14,683,646.34","21,919,501.85","6,039,890.72","12,074,538.72","18,703,382.90","28,865,485.04","9,331,474.26","19,951,260.31","28,665,206.77","39,911,564.06","7,560,489.70","16,380,107.08","25,493,777.78","38,162,263.10","5,371,360.60","12,863,199.43","21,189,448.41","41,863,696.56","13,230,636.06","32,752,451.66","49,100,508.93","75,091,235.74","14,831,699.95","37,203,447.50"
减:营业外支出,"792,034.62","944,707.93","8,134,954.70","156,871.17","364,985.31","615,131.52","934,908.66","68,807.00","239,558.57","702,871.38","1,569,917.56","693,262.14","1,312,342.32","2,771,762.15","3,843,204.26","285,348.82","975,078.69","1,488,187.36","1,815,610.59","50,287.55","71,102.86","97,725.46","643,227.72","119,997.62","151,027.22","246,159.80","450,273.89","93,035.98","971,591.13","1,342,496.39","1,274,648.05","367,032.88","2,490,745.64"
管理费用,"21,080,037.52","29,122,412.03","37,280,055.98","9,594,575.38","21,055,575.00","32,863,647.47","48,043,371.59","10,291,320.68","23,816,181.47","37,767,660.73","52,745,072.03","15,424,363.81","27,902,028.35","46,183,961.51","67,889,392.13","19,798,402.55","41,950,763.23","63,413,541.22","85,740,235.04","19,686,215.67","41,876,497.57","63,285,679.09","89,932,595.78","19,892,031.82","41,096,180.76","62,534,787.42","91,230,746.44","31,768,554.59","65,380,338.72","105,738,249.55","147,037,379.62","37,559,952.07","84,139,589.96"
其中:非流动资产处置净损失,"300,176.19","750,938.20","7,575,726.81",,"78,759.98","78,759.98","98,974.78",,,"112,590.84","129,807.75","14,411.23","14,411.23","266,863.06","286,689.75",,"33,953.11","33,953.11","262,895.21","13,481.28","13,481.28","13,481.28","525,936.47","55,797.62","64,455.86","108,097.48","247,653.25",,"58,119.48","112,853.98",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,883,098.46","4,045,503.49","6,082,396.21","1,263,321.17","1,951,394.55","2,352,383.51","623,349.76","-8,112,416.15","-12,046,050.48","-14,041,911.74","-20,121,591.08","-1,651,177.31","-4,517,232.50","-6,451,752.78","-7,384,758.05","-440,876.40","-2,304,398.69","-3,089,871.23","-3,390,324.39","-384,647.71","-1,780,210.72","-2,722,044.65","-4,252,829.37","-602,521.98","-1,551,515.02","-2,385,421.21","-4,043,567.90","1,359,310.96","2,393,064.79","4,758,647.11","8,450,512.65","3,820,479.77","3,231,606.40"
三、利润总额,"13,614,388.49","63,320,414.06","109,542,776.64","38,980,516.86","81,611,183.58","119,804,920.07","145,965,688.86","42,719,235.93","76,613,877.77","103,579,908.59","116,597,908.89","21,506,114.95","43,728,664.20","68,142,117.73","106,875,885.44","32,060,246.94","54,991,192.18","86,737,424.80","125,564,100.79","25,474,318.69","48,367,347.00","78,293,233.91","94,740,066.63","12,306,164.44","29,938,550.76","50,032,777.17","60,237,144.88","17,627,292.29","58,591,484.43","93,872,622.39","123,593,085.50","31,341,457.07","108,873,359.45"
资产减值损失,"3,796,868.74","-6,263,458.46","-968,118.87",,"527,756.57","527,756.57","1,629,064.98",,"3,263,370.69","3,263,370.69","11,859,623.96",,"2,230,536.34","2,230,550.44","6,997,774.35",,"2,669,717.87","2,532,279.13","7,709,977.83","-1,532,424.66","5,144,886.79","3,950,786.79","17,739,728.61","-501,740.00","3,463,822.65","7,114,178.96","39,167,652.02","-20,000.00","4,389,209.58","4,650,421.41","10,601,610.05","-692,230.04","7,323,314.12"
减:所得税,"4,423,668.84","3,759,317.76","14,561,380.16","5,694,805.29","11,624,631.79","17,177,309.89","20,728,889.90","5,678,670.22","10,820,995.92","15,142,168.38","17,793,613.86","2,812,061.93","6,656,782.70","9,724,350.23","15,444,195.72","5,197,957.55","8,200,234.23","12,422,200.93","19,896,091.62","4,073,443.50","6,827,945.62","10,812,636.30","15,017,351.52","1,830,055.17","5,832,752.18","9,032,981.11","14,309,300.96","3,318,037.17","11,284,648.09","16,617,800.66","20,361,249.14","4,647,552.66","16,850,622.77"
加:公允价值变动净收益,,,,,,,,,,,,,,"1,906.83",809.95,,,,,,,,,,,,,,,,,,
