科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"790,343,193.07","1,243,946,453.68","1,133,651,231.39","360,715,810.49",,"918,538,617.68","102,237,726.25","287,440,749.18","579,079,849.48","1,051,781,240.41","461,009,266.73","845,995,521.94","1,445,407,385.62","1,972,442,985.27","439,099,130.74"
取得子公司及其他营业单位支付的现金净额,,,,"20,462,231.91",,"20,462,231.91",,,,"6,991,702.29",,,,,
收到的税费返还,,,"1,310,735.54","2,786,615.25",,"9,631,941.47","119,003.50","3,110,145.40","7,933,316.54","9,449,930.36","298,541.72","1,308,176.18","3,729,507.88","4,524,553.94","2,348,223.14"
支付其他与投资活动有关的现金,,,,,,"7,780,591.10",,,,"5,005,386.52",,"54,000,000.00","54,000,000.00","54,200,000.00",
收到其他与经营活动有关的现金,"134,778,627.23","332,884,679.45","203,355,347.17","57,142,620.58",,"313,221,276.51","322,688,784.82","429,505,946.58","590,645,209.01","1,034,471,547.85","184,141,612.03","423,262,650.41","623,827,653.41","1,025,629,610.23","481,456,379.62"
投资活动现金流出小计,"32,099,062.06","126,674,332.90","292,668,989.28","239,842,159.12",,"648,495,048.10","147,738,088.75","309,915,364.60","472,648,424.28","758,347,342.29","290,948,744.40","642,125,421.72","873,766,484.68","1,347,630,432.99","366,045,103.71"
经营活动现金流入小计,"925,121,820.30","1,576,831,133.13","1,338,317,314.10","420,645,046.32",,"1,241,391,835.66","425,045,514.57","720,056,841.16","1,177,658,375.03","2,095,702,718.62","645,449,420.48","1,270,566,348.53","2,072,964,546.91","3,002,597,149.44","922,903,733.50"
投资活动产生的现金流量净额,"-32,058,862.06","-126,657,470.90","-292,662,989.28","-196,963,754.57","-364,967,109.08","-605,539,079.55","-140,632,964.67","-209,980,513.92","-372,712,573.60","-658,175,563.34","-290,940,744.40","-491,711,021.72","-722,618,084.68","-1,071,615,002.47","-302,831,121.51"
购买商品、接受劳务支付的现金,"499,936,464.21","834,082,534.01","1,022,162,088.99","326,928,288.78",,"677,860,085.01","211,557,722.38","430,777,638.49","653,045,071.40","993,892,513.16","422,899,598.73","704,746,474.78","932,708,591.44","1,196,755,256.42","408,832,914.27"
吸收投资收到的现金,,"200,000,000.00","316,860,000.00","200,000,000.00",,"265,000,000.00","269,667,400.00","251,367,400.00","252,167,400.00","268,877,000.00","49,824,300.00","87,766,300.00","117,135,900.00","139,326,000.00","18,723,500.00"
支付给职工以及为职工支付的现金,"88,331,581.08","161,209,437.57","250,513,118.91","144,006,533.26",,"281,511,192.39","72,178,423.04","159,362,751.53","242,537,029.34","354,094,881.92","98,674,576.98","200,404,597.63","312,154,185.42","421,145,672.30","134,191,105.23"
取得借款收到的现金,"255,580,000.00","520,310,000.00","642,870,933.33","399,742,176.49",,"1,417,653,736.00","203,725,500.00","925,752,539.00","1,649,892,755.62","2,383,082,411.46","387,340,000.00","857,362,166.67","1,709,470,738.48","2,333,419,512.47","1,051,816,523.75"
支付的各项税费,"34,291,810.07","74,771,760.77","71,823,617.42","54,867,434.44",,"133,966,696.80","26,891,951.22","74,641,025.71","108,845,200.39","118,263,906.13","37,774,412.09","60,756,822.95","99,285,995.22","138,796,700.04","53,678,044.11"
收到其他与筹资活动有关的现金,,,"25,000,000.00","2,210,000.00",,"226,755,597.80","559,277.25",,"177,150,000.00","202,190,000.00","29,799,594.78","41,283,681.09","103,301,531.24","311,125,000.00",
支付其他与经营活动有关的现金,"252,223,818.33","481,231,075.64","432,985,893.86","265,241,036.00",,"636,348,495.63","160,039,864.47","376,079,090.34","682,118,801.46","1,094,819,873.33","299,145,522.65","518,545,756.02","809,453,383.29","928,600,051.95","414,383,420.49"
筹资活动现金流入小计,"255,580,000.00","720,310,000.00","1,082,730,933.33","601,952,176.49",,"2,394,849,333.80","473,952,177.25","1,177,119,939.00","2,079,210,155.62","3,152,349,411.46","466,963,894.78","986,412,147.76","1,929,908,169.72","2,783,870,512.47","1,070,540,023.75"
