科目,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"4,961,893,857.56","706,951,397.24","1,359,220,049.32","1,649,141,657.59","2,073,241,925.87","532,694,151.08","1,356,449,575.24","2,031,618,071.56","3,194,397,894.52","927,255,688.98","1,237,741,399.49","2,296,320,397.11","3,199,216,250.96","728,593,528.13","1,095,725,570.88","1,337,998,541.45","1,863,518,770.19","582,228,760.97","1,227,735,172.02","1,704,469,957.60","2,286,081,502.18","815,345,710.47","1,356,833,011.72","2,267,534,367.19","3,047,939,863.05","887,954,771.92","1,763,741,969.78","3,111,396,407.32","4,548,208,653.84","1,625,161,437.73","4,858,379,366.99","6,974,656,370.61","8,499,643,780.49","1,196,479,002.59","2,575,720,420.98","4,157,682,154.10","5,857,355,339.07","1,203,743,091.12","2,763,638,347.19","4,367,331,345.24","5,640,050,925.14","1,374,006,139.79"
提取保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息净收入,"109,772,117.50","33,063,094.70","70,623,150.76","102,609,371.45","131,754,657.34","31,244,093.96","62,004,010.83","110,956,331.24","170,125,447.47","57,191,760.09","105,665,994.41","154,175,220.24","208,555,832.51","50,688,353.99","106,053,618.51","191,756,354.60","284,145,897.29","82,012,714.90","190,564,822.69","305,621,966.26","398,432,070.23","111,232,192.66","229,982,165.37","367,989,260.62","520,047,981.83","154,139,833.81","323,573,044.52","536,275,716.68","776,555,243.84","233,629,319.40","635,173,118.91","917,503,720.13","1,205,461,899.23","233,702,490.04","518,159,107.92","871,569,619.36","1,354,563,710.05","337,165,031.47","662,659,692.00","893,841,996.87","1,130,854,910.67","167,512,347.30"
减：摊回保险责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利息支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金净收入,"2,134,383,292.89","422,835,937.47","739,226,465.14","967,002,346.31","1,221,483,155.25","359,923,453.73","977,433,711.47","1,593,513,848.35","2,300,774,312.56","488,003,531.84","921,118,962.79","1,366,938,216.44","2,034,883,361.89","436,558,958.46","843,464,486.18","1,205,471,277.30","1,527,776,204.57","306,855,221.73","651,827,901.70","953,795,241.20","1,328,355,330.14","388,777,563.72","757,629,956.26","1,213,547,452.98","1,750,258,479.30","565,076,966.64","938,331,901.06","1,618,098,162.70","2,625,758,849.10","1,002,980,261.73","3,084,351,171.12","4,300,421,502.59","5,610,381,497.05","773,845,638.16","1,629,288,686.30","2,470,960,882.44","3,502,006,216.18","669,277,612.80","1,472,490,541.07","2,414,269,743.44","3,205,526,881.26","773,618,544.50"
营业税金及附加,"224,826,024.65","50,850,560.58","94,526,924.81","109,100,069.84","124,388,411.30","25,081,811.13","66,349,317.19","112,194,413.18","159,081,531.12","38,190,239.34","70,365,982.18","127,066,838.26","180,392,240.69","31,140,844.82","62,213,394.19","88,433,242.50","101,907,211.98","24,712,225.02","54,910,894.91","75,714,030.78","101,899,476.36","34,948,991.03","76,645,537.41","117,436,709.19","148,566,987.35","59,314,471.87","104,405,269.37","170,087,545.58","265,452,832.50","103,396,933.00","268,051,331.18","450,869,616.29","556,790,142.74","96,875,133.69","164,448,751.92","174,806,410.18","186,649,497.85","10,028,333.26","20,974,605.99","32,566,296.53","42,891,665.23","11,247,987.62"
手续费及佣金收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
业务及管理费,"1,320,377,959.16","216,070,106.95","430,917,580.72","635,836,621.97","863,624,635.36","200,798,825.82","447,601,505.14","741,348,636.50","1,284,430,886.42","339,689,604.14","529,289,346.32","930,432,102.01","1,396,163,149.00","287,616,855.29","567,926,729.34","876,910,323.79","1,289,962,654.25","321,352,822.04","650,628,984.07","946,761,115.40","1,398,544,013.71","367,311,370.18","665,878,070.44","1,095,179,299.10","1,573,470,846.82","442,908,838.33","812,284,036.26","1,368,758,291.76","2,086,080,822.63","538,154,937.86","1,440,659,175.41","2,428,497,732.15","3,394,837,024.18","473,717,562.26","1,023,343,602.60","1,743,480,677.63","2,811,362,049.48","679,463,713.44","1,439,626,095.02","2,367,657,944.39","3,500,642,461.12","856,143,242.52"
