科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"1,685,834,961.04","3,895,945,889.22","5,948,521,230.10","7,202,365,766.49","2,202,001,611.67","4,337,546,485.18","6,327,062,404.23","8,173,255,690.62","2,643,902,458.41","5,147,703,705.25","7,667,956,841.00","3,303,557,884.90","6,503,977,896.60","9,619,620,850.72","11,958,409,927.48","3,360,864,740.83","6,660,727,758.07","9,630,672,843.29","11,050,368,759.87","4,128,021,434.57","8,988,751,945.20","11,480,880,165.97","16,046,312,160.28","3,820,916,741.10","8,251,141,665.60","11,612,494,091.93","15,274,026,475.38","3,926,301,246.29","8,083,889,238.47","11,478,518,094.33","15,597,386,661.61","3,410,143,417.43","7,554,062,615.71","10,645,643,534.72","14,239,489,991.40","4,042,202,006.50","8,035,837,613.59","11,012,178,987.10","14,366,139,716.65","3,142,817,471.35","6,156,728,717.92","8,669,816,566.37","11,739,424,317.90","2,822,059,563.29","5,438,594,123.75","7,977,578,253.07","11,222,719,183.27","2,517,728,737.57"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"-4,875,235.24","-4,875,235.24","-4,875,235.24","-618,115.24",,,"-336,994.53","-8,194.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"2,927,337.99","4,964,143.09","9,963,799.79","23,445,338.09","1,770,753.17","6,670,907.06","10,930,592.51","29,239,818.84","1,286,704.80","3,513,574.93","4,585,285.60","431,720.87","3,924,646.15","3,924,646.15","7,340,730.90","1,369,605.18","3,993,875.11","8,334,498.21","10,070,242.03","6,867,188.01","17,716,489.39","21,017,720.16","14,870,110.28","16,454,024.85","5,899,464.11","30,587,669.05","14,333,288.12","6,789,382.17","5,306,979.92","6,117,496.99","8,356,608.45","2,539.61","2,539.61","3,190,443.52","8,836,888.04","2,242,249.39","2,132,618.50","2,132,618.50","10,871,938.35",,"1,197,672.30","1,952,041.94","2,699,524.16","2,179,317.61","4,244,157.24","5,730,880.29","10,595,015.78","2,390,241.35"
支付其他与投资活动有关的现金,"419,041,493.02","237,014,076.88","237,014,076.88","236,535,961.69",,,,,,,,,,,,,,,,,"1,302,899.67","1,302,899.67","1,302,899.67",,"14,356,828.25","51,078,765.10","86,850,249.55",,,,"11,222,584.47",,,,,"1,694,503.29","1,694,503.29","1,694,503.29","1,694,503.29",,,,,,,,,
收到其他与经营活动有关的现金,"46,612,528.89","140,087,917.14","241,890,988.39","264,396,398.35","16,852,961.15","29,649,760.99","69,035,483.91","160,605,741.62","14,490,685.03","82,306,007.12","112,180,409.52","60,419,090.58","178,613,828.07","219,199,221.75","203,932,506.24","29,280,507.72","144,626,887.87","354,760,124.04","515,479,295.92","148,697,041.98","275,533,042.89","521,649,089.51","947,389,627.13","116,998,123.10","258,147,581.27","370,544,635.41","818,851,962.73","152,652,797.94","182,887,486.14","465,484,684.21","774,523,907.51","181,855,893.46","277,932,537.71","471,969,662.00","728,954,825.06","250,318,043.21","302,830,238.08","328,997,543.30","416,577,249.36","278,350,108.15","135,449,553.40","314,566,544.16","220,139,428.05","84,980,425.48","219,721,483.72","379,000,019.04","274,051,502.12","85,702,085.59"
投资活动现金流出小计,"456,165,957.53","300,452,796.28","354,571,494.75","411,632,204.12","25,463,303.49","65,497,504.62","101,180,620.14","487,909,329.90","40,064,347.44","94,224,762.84","197,844,944.84","512,378,230.55","814,508,219.34","1,077,999,658.43","1,378,576,548.18","638,477,291.79","997,920,014.48","1,316,163,297.85","1,449,619,264.27","52,846,765.75","197,750,104.12","456,602,535.48","577,184,304.46","159,892,514.97","392,053,368.96","524,599,960.03","656,747,758.78","105,593,268.24","182,652,564.32","259,118,668.17","386,594,093.45","80,369,282.51","146,014,919.95","216,799,720.51","290,752,280.31","30,860,278.05","61,625,152.98","83,966,057.48","109,149,890.63","10,374,343.85","32,240,820.82","56,330,260.14","102,009,561.36","8,591,128.88","31,464,581.28","40,163,408.47","806,460,249.45","1,360,670,851.25"
经营活动现金流入小计,"1,735,374,827.92","4,040,997,949.45","6,200,376,018.28","7,490,207,502.93","2,220,625,325.99","4,373,867,153.23","6,407,028,480.65","8,363,101,251.08","2,659,679,848.24","5,233,523,287.30","7,784,722,536.12","3,364,408,696.35","6,686,516,370.82","9,842,744,718.62","12,169,683,164.62","3,391,514,853.73","6,809,348,521.05","9,993,767,465.54","11,575,918,297.82","4,283,585,664.56","9,282,001,477.48","12,023,546,975.64","17,008,571,897.69","3,954,368,889.05","8,515,188,710.98","12,013,626,396.39","16,107,211,726.23","4,085,743,426.40","8,272,083,704.53","11,950,120,275.53","16,380,267,177.57","3,592,001,850.50","7,831,997,693.03","11,120,803,640.24","14,977,281,704.50","4,294,762,299.10","8,340,800,470.17","11,343,309,148.90","14,793,588,904.36","3,421,167,579.50","6,293,375,943.62","8,986,335,152.47","11,962,263,270.11","2,909,219,306.38","5,662,559,764.71","8,362,309,152.40","11,507,365,701.17","2,605,821,064.51"
投资活动产生的现金流量净额,"-273,432,006.39","-294,762,804.98","-343,971,083.45","-378,944,186.99","-24,170,933.91","-63,098,799.62","-97,762,071.14","-457,460,440.07","232,701,375.32","265,630,338.22","239,596,203.22","-231,896,186.70","-143,922,604.17","-236,024,594.70","-52,103,648.17","-28,467,948.99","-7,318,543.31","-137,668,229.04","-127,402,676.03","-52,102,965.75","-196,848,484.12","-292,781,990.48","-309,654,579.29","91,086,356.03","-39,745,391.96","-172,271,763.03","-297,589,062.93","-95,163,014.21","-186,215,535.76","-262,244,282.61","-384,861,924.36","-80,270,282.51","-142,067,897.66","-211,716,312.69","-284,438,550.13","-1,428,105.69","-31,270,522.70","-50,826,971.05","-76,365,885.97","-9,304,382.74","-733,802.72","-22,972,809.38","-67,982,319.75","-8,510,628.85","-30,781,923.88","-38,364,015.71","-804,110,810.01","-1,339,583,820.75"
购买商品、接受劳务支付的现金,"1,192,360,858.10","2,458,789,813.28","3,668,587,754.20","4,172,930,183.18","1,444,678,595.03","2,685,558,010.32","3,826,690,376.29","4,681,112,655.22","1,367,376,547.99","2,689,200,374.88","4,058,962,124.65","2,037,227,318.31","4,003,935,624.38","6,106,158,994.40","7,781,410,553.80","2,386,997,070.17","4,804,914,722.14","7,304,495,765.07","8,214,913,899.65","2,091,403,130.81","5,720,334,645.74","6,809,292,782.24","9,961,519,456.08","2,327,307,037.11","4,815,263,027.36","7,083,195,734.41","9,661,035,870.51","2,491,946,323.53","4,350,659,280.87","6,210,382,769.50","8,952,955,481.50","2,413,916,520.74","4,790,437,572.23","6,604,646,032.79","8,689,862,984.81","1,948,616,546.20","4,080,737,986.30","6,106,860,809.47","7,849,898,270.39","2,072,065,278.81","3,991,025,450.88","5,878,371,403.89","8,031,483,350.06","1,835,854,968.21","3,667,765,675.34","5,456,601,881.65","7,274,613,990.74","1,816,590,623.31"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,"17,000,000.00","17,000,000.00","17,000,000.00",,"180,000.00","180,000.00","180,000.00",,,,,,,,,,,,"211,525,400.00",,,,"26,941,350.00",,,,"980,000.00",
