科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"143,957,242.90","173,274,326.22","181,180,962.44","82,947,152.68","127,752,197.38","164,602,503.04","34,200,027.55","67,909,738.48","103,818,817.07","146,273,731.51","28,761,048.35","59,858,941.01","95,843,530.75","132,447,572.15","30,120,464.94","66,520,147.98","106,125,708.47","145,870,882.94","32,799,236.49"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,
收到的税费返还,"140,490.33","450,930.01",,"76,944.45","223,361.99","387,046.80","324,804.83","1,029,194.87","1,205,437.54","1,850,117.55","213,160.38","379,297.93","1,898,962.36","1,898,962.36",,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"6,242,796.36","4,492,410.58","24,262,980.20","2,115,559.25","5,299,153.72","7,787,747.00","1,338,061.56","2,030,448.03","5,436,570.50","13,241,705.98","1,024,307.28","6,655,710.90","9,964,621.32","13,638,722.29","2,060,568.69","5,077,602.34","8,519,092.31","13,652,448.47","3,105,131.37"
投资活动现金流出小计,"18,406,044.48","9,770,160.07","59,523,365.67","50,770,769.98","73,141,805.82","175,288,274.97","100,867,980.70","109,226,606.28","236,554,248.79","311,579,954.49","85,892,079.05","247,302,782.05","248,397,501.55","300,294,557.07","74,800,342.77","117,402,928.71","167,894,138.71","279,145,451.30","80,296,808.00"
经营活动现金流入小计,"150,340,529.59","178,217,666.81","205,443,942.64","85,139,656.38","133,274,713.09","172,777,296.84","35,862,893.94","70,969,381.38","110,460,825.11","161,365,555.04","29,998,516.01","66,893,949.84","107,707,114.43","147,985,256.80","32,181,033.63","71,597,750.32","114,644,800.78","159,523,331.41","35,904,367.86"
投资活动产生的现金流量净额,"-18,390,044.48","-9,768,830.07","-59,514,787.67","-50,760,419.98","-73,131,038.32","-175,244,507.47","-9,133,073.77","72,856,431.39","-54,470,498.28","-28,368,482.75","-25,058,736.58","45,448,958.11","44,354,238.61","32,577,137.43","-34,449,349.62","-36,832,287.16","-36,710,483.46","-27,537,339.09","-9,982,944.99"
购买商品、接受劳务支付的现金,"64,660,403.65","58,675,090.01","59,223,550.65","24,598,817.29","35,930,230.71","47,712,011.29","11,947,530.91","23,677,393.77","35,315,376.14","45,558,766.51","7,736,922.46","17,040,775.26","24,682,072.93","33,506,275.74","5,357,472.47","20,742,420.71","33,717,730.33","48,525,513.02","13,758,336.31"
吸收投资收到的现金,,,,,"174,616,680.00","174,616,680.00",,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"44,507,390.88","43,792,799.53","55,119,605.86","26,845,224.13","38,829,347.28","51,103,839.77","14,705,449.74","27,516,669.12","40,847,962.90","54,222,884.40","9,717,245.23","23,071,423.64","33,832,892.64","45,238,147.05","11,164,419.90","24,883,860.13","39,536,828.76","54,186,609.76","14,204,053.93"
取得借款收到的现金,"10,000,000.00",,"45,000,000.00","63,664,920.00","93,274,920.00","93,274,920.00",,,,,,,,,,,,,
支付的各项税费,"16,292,213.32","17,076,067.25","13,283,707.28","6,679,817.31","8,802,560.22","12,840,043.44","4,131,272.67","6,126,796.38","9,262,306.94","12,692,768.95","4,127,923.75","10,478,783.01","14,075,015.05","17,008,168.83","2,889,297.03","6,140,056.28","11,472,159.70","17,727,881.59","11,070,108.93"
收到其他与筹资活动有关的现金,,"624,046.75",,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"14,270,283.43","13,939,765.84","38,535,767.41","8,164,462.20","12,776,233.40","15,992,611.82","3,379,906.31","8,105,378.64","13,345,342.86","16,357,157.06","4,634,487.91","10,185,113.19","12,795,146.06","16,501,610.17","3,471,168.48","7,730,420.39","11,560,105.25","17,721,226.92","3,155,801.31"
筹资活动现金流入小计,"10,000,000.00","624,046.75","45,000,000.00","63,664,920.00","267,891,600.00","267,891,600.00",,,,,,,,,,,,,
经营活动现金流出小计,"139,730,291.28","133,483,722.63","166,162,631.20","66,288,320.93","96,338,371.61","127,648,506.32","34,164,159.63","65,426,237.91","98,770,988.84","128,831,576.92","26,216,579.35","60,776,095.10","85,385,126.68","112,254,201.79","22,882,357.88","59,496,757.51","96,286,824.04","138,161,231.29","42,188,300.48"
偿还债务支付的现金,,"10,000,000.00","10,000,000.00","35,000,000.00","55,000,000.00","55,000,000.00",,,,,,"59,000,000.00","73,274,920.00","73,274,920.00",,,,,
经营活动产生的现金流量净额,"10,610,238.31","44,733,944.18","39,281,311.44","18,851,335.45","36,936,341.48","45,128,790.52","1,698,734.31","5,543,143.47","11,689,836.27","32,533,978.12","3,781,936.66","6,117,854.74","22,321,987.75","35,731,055.01","9,298,675.75","12,100,992.81","18,357,976.74","21,362,100.12","-6,283,932.62"
分配股利、利润或偿还利息支付的现金,"470,445.56","11,275,323.61","10,386,173.67","6,254,227.21","6,594,227.20","21,930,575.76",,,"16,432,804.60","17,334,073.37","900,011.76","3,933,731.64","8,588,986.02","8,588,986.02",,,"6,668,000.00","6,668,000.00",
收回投资收到的现金,,,,,,,"90,000,000.00","180,000,000.00","180,000,000.00","280,000,000.00","60,000,000.00","290,000,000.00","290,000,000.00","330,000,000.00","40,000,000.00","80,000,000.00","130,000,000.00","250,000,000.00","70,000,000.00"
支付其他与筹资活动有关的现金,,,,,"4,616,680.00","4,616,680.00",,,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,"1,023,287.67","2,083,037.67","2,083,037.67","3,210,708.90","695,342.47","1,960,808.22","1,960,808.22","2,133,302.51","330,993.15","550,641.55","1,163,655.25","1,583,277.41","313,863.01"
筹资活动现金流出小计,"470,445.56","21,275,323.61","20,386,173.67","41,254,227.21","66,210,907.20","81,547,255.76",,,"16,432,804.60","17,334,073.37","900,011.76","62,933,731.64","81,863,906.02","81,863,906.02",,,"6,668,000.00","6,668,000.00",
处置固定资产、无形资产和其他长期资产收回的现金净额,"16,000.00","1,330.00","8,578.00","10,350.00","10,767.50","43,767.50","711,619.26",,712.84,762.84,"138,000.00","790,931.94","790,931.94","738,391.99","20,000.00","20,000.00","20,000.00","24,834.80",
筹资活动产生的现金流量净额,"9,529,554.44","-20,651,276.86","24,613,826.33","22,410,692.79","201,680,692.80","186,344,344.24",,,"-16,432,804.60","-17,334,073.37","-900,011.76","-62,933,731.64","-81,863,906.02","-81,863,906.02",,,"-6,668,000.00","-6,668,000.00",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"107,935.03","-321,812.72","-1,142,730.07","263,332.31","219,687.24","169,423.51","293,624.28","331,907.02","1,156,561.38","1,605,808.40","-63,039.88","466,960.07","640,914.03","1,667,170.56","-109,997.36","-729,410.22","-1,500,412.50","-1,966,787.67","-1,134,485.22"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"16,000.00","1,330.00","8,578.00","10,350.00","10,767.50","43,767.50","91,734,906.93","182,083,037.67","182,083,750.51","283,211,471.74","60,833,342.47","292,751,740.16","292,751,740.16","332,871,694.50","40,350,993.15","80,570,641.55","131,183,655.25","251,608,112.21","70,313,863.01"
五、现金及现金等价物净增加额,"1,857,683.30","13,992,024.53","3,237,620.03","-9,235,059.43","165,705,683.20","56,398,050.80","-7,140,715.18","78,731,481.88","-58,056,905.23","-11,562,769.60","-22,239,851.56","-10,899,958.72","-14,546,765.63","-11,888,543.02","-25,260,671.23","-25,460,704.57","-26,520,919.22","-14,810,026.64","-17,401,362.83"
购建固定资产、无形资产和其他长期资产支付的现金,"18,406,044.48","9,770,160.07","59,523,365.67","50,770,769.98","73,141,805.82","85,288,274.97","10,867,980.70","19,226,606.28","46,554,248.79","61,579,954.49","15,892,079.05","17,302,782.05","18,397,501.55","20,294,557.07","4,800,342.77","7,402,928.71","7,894,138.71","9,145,451.30","296,808.00"
期初现金及现金等价物余额,"32,499,974.09","34,357,657.39","48,349,681.92","51,587,301.95","51,587,301.95","51,587,301.95","107,985,352.75","107,985,352.75","107,985,352.75","107,985,352.75","96,422,583.15","96,422,583.15","96,422,583.15","96,422,583.15","84,534,040.13","84,534,040.13","84,534,040.13","84,534,040.13","69,724,013.49"
投资支付的现金,,,,,,"90,000,000.00","90,000,000.00","90,000,000.00","190,000,000.00","250,000,000.00","70,000,000.00","230,000,000.00","230,000,000.00","280,000,000.00","70,000,000.00","110,000,000.00","160,000,000.00","270,000,000.00","80,000,000.00"
期末现金及现金等价物余额,"34,357,657.39","48,349,681.92","51,587,301.95","42,352,242.52","217,292,985.15","107,985,352.75","100,844,637.57","186,716,834.63","49,928,447.52","96,422,583.15","74,182,731.59","85,522,624.43","81,875,817.52","84,534,040.13","59,273,368.90","59,073,335.56","58,013,120.91","69,724,013.49","52,322,650.66"
