科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"22,304,249.32","33,706,564.96","52,518,487.50","57,123,534.38","75,484,862.40","14,311,577.28","33,016,825.07","52,287,339.43","82,003,499.07","13,025,108.92","37,572,717.62","56,443,164.32","82,656,575.60","14,363,265.86","43,102,329.00","69,181,617.82","121,943,044.66","17,823,490.78","50,459,891.29","161,260,323.76","246,867,894.03","133,346,556.41","210,347,880.87","333,726,646.90","375,207,065.81","30,379,094.28","79,709,203.56","139,147,734.31","195,305,726.71","27,023,861.24"
二、营业利润,"3,333,386.85","11,153,233.03","21,049,644.46","18,155,163.16","23,525,169.13","-204,566.60","6,336,676.23","10,284,547.70","12,757,073.81","-3,605,027.11","4,107,047.32","6,813,175.48","8,800,014.50","-160,212.80","3,155,790.84","2,994,918.35","-371,931.56","-9,746,485.44","-13,960,016.24","-19,384,306.66","-48,765,570.26","-22,019,358.83","-44,020,388.87","-78,183,925.67","-187,594,965.34","-8,889,095.67","2,125,805.30","5,917,359.08","11,165,614.31","-5,320,402.88"
减:营业成本,"9,433,588.95","15,188,290.53","20,674,190.03","25,223,941.08","33,052,590.23","9,728,135.05","17,046,850.47","27,295,460.77","47,562,270.99","10,115,826.86","20,843,096.05","30,534,886.62","45,847,720.80","8,118,141.15","23,780,852.32","41,362,549.22","76,490,173.67","12,164,079.01","30,568,793.55","128,177,361.00","197,232,767.72","129,610,880.04","205,226,828.47","335,155,202.16","379,478,695.90","22,792,205.61","47,891,085.91","89,397,214.86","115,124,771.38","20,421,254.47"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,"5,005.03",,,,,,,"11,447.62","10,041.02","26,312.72","26,399.37","127,563.65",241.58,"4,909.45","20,254.77","156,470.11","79,981.54","202,904.71","232,328.86","348,490.07","172,367.95","169,434.12","190,259.16","828,338.31","103,983.55","333,265.84","426,013.60","664,709.25","70,706.09"
营业外收入,"2,646,451.00","1,116,854.33","3,140,859.23","6,130,640.55","6,481,224.70","655,091.04","1,072,927.51","3,722,043.18","9,101,036.15","2,476,966.00","2,671,998.97","3,831,306.85","4,783,539.66","534,322.17","2,265,337.26","5,437,517.06","6,020,775.78","1,448,218.37","2,143,717.16","3,208,775.89","4,871,700.78","1,354,004.62","3,646,844.68","5,198,840.94","7,250,829.16","2,965,165.04","1,242,719.23","1,426,155.87","729,784.24",398.53
销售费用,"6,033,413.35","1,910,949.37","1,504,615.38","2,403,873.19","3,605,843.67","1,026,028.87","2,622,399.96","4,387,919.17","7,072,517.93","2,382,580.85","3,996,973.65","7,024,990.50","11,194,183.78","2,197,188.89","5,915,251.89","8,940,957.54","14,429,672.62","3,863,880.98","9,529,729.32","14,576,778.60","22,296,435.29","5,187,017.12","10,978,906.80","16,115,400.55","26,995,364.44","2,227,115.06","4,993,272.09","7,114,352.78","10,685,792.70","986,720.72"
减:营业外支出,"737,888.09","1,832,069.57","1,750,625.71","1,964,719.30","2,684,141.55","350,306.13","1,094,252.99","1,535,612.36","2,514,254.16","717,909.42","2,022,936.56","2,287,905.94","2,650,964.30","238,823.20","646,030.57","943,681.00","1,728,132.87","484,138.87","1,792,596.37","2,160,950.29","2,953,680.63","762,094.31","1,505,660.91","2,019,474.17","6,379,008.54","406,747.59","838,059.38","988,212.86","816,874.67","106,921.85"
管理费用,"3,256,625.05","5,279,343.32","8,247,652.76","8,740,326.66","12,528,293.48","3,204,677.20","6,874,210.36","11,843,561.18","16,781,903.66","5,553,443.81","10,999,957.16","15,714,367.18","22,612,104.70","5,127,367.42","11,957,332.16","17,910,730.88","30,799,413.37","9,475,992.34","19,788,976.41","30,427,958.84","48,744,997.94","14,249,464.69","27,109,001.13","43,712,603.20","66,493,696.01","9,579,265.40","19,752,688.08","29,366,711.18","41,767,545.63","8,303,463.12"
其中:非流动资产处置净损失,"726,131.53","1,832,065.39","1,648,271.42","1,776,367.30","2,493,789.55",,"1,094,252.99",,"2,479,269.05","717,909.42","2,007,477.28","2,170,446.66","2,533,505.02","238,823.20","644,044.26","931,694.69","1,709,166.56","484,138.87","1,792,596.37","2,160,950.29","2,918,611.88","724,564.31","1,467,402.91",,"5,575,809.72","396,747.49","394,558.51","483,934.69",,
