科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"118,313,459.68","160,428,796.97","207,481,835.74","105,298,119.81","256,677,117.67","67,398,054.24","146,675,496.25","229,930,297.17","308,492,779.21","78,274,008.34","174,815,145.04","284,199,399.04","355,602,316.02","52,841,329.40","134,817,124.14","221,698,841.50","378,538,331.52","229,734,242.74","379,536,058.25","588,763,619.77","790,413,046.89","220,405,848.80","329,659,195.44","485,450,927.33","629,625,780.37","127,347,834.86","293,564,136.99","440,887,135.62","673,797,875.91","182,530,735.47","395,043,496.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"126,683,703.06",,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"2,334,914.09","379,025.00","809,539.44","29,000.00","1,290,692.00","227,004.52","4,114,216.52","5,677,748.37","3,510,518.12","89,508.67","821,371.38","2,157,340.73","2,149,375.75","110,188.88","1,982,336.08","2,014,896.81","14,155,395.43","513,487.85","7,400,419.02","8,720,742.05","31,587,368.75","745,529.98","7,872,910.80","9,422,666.33","5,614,359.50","3,626,350.04","8,025,542.96","16,683,998.41","24,749,724.78","5,362,080.57","10,116,356.76"
投资活动现金流出小计,"6,041,845.48","15,064,690.80","38,628,282.60","10,077,336.00","113,495,442.78","61,063,051.72","133,132,269.81","213,841,694.14","242,167,691.65","17,280,752.97","63,914,835.38","101,041,281.51","153,344,624.44","10,900,344.97","14,755,842.51","23,740,912.56","145,848,624.38","31,759,742.95","45,892,133.61","38,382,036.53","24,724,951.21","4,432,389.00","16,430,661.97","24,238,441.41","23,309,572.27","1,613,346.00","6,796,514.03","7,215,657.43","10,902,316.39","10,123,364.58","12,602,230.93"
经营活动现金流入小计,"120,648,373.77","160,807,821.97","208,291,375.18","105,327,119.81","257,967,809.67","67,625,058.76","150,789,712.77","235,608,045.54","312,003,297.33","78,363,517.01","175,636,516.42","286,356,739.77","357,751,691.77","52,951,518.28","136,799,460.22","223,713,738.31","392,693,726.95","230,247,730.59","386,936,477.27","597,484,361.82","822,000,415.64","221,151,378.78","337,532,106.24","494,873,593.66","635,240,139.87","130,974,184.90","301,589,679.95","457,571,134.03","698,547,600.69","187,892,816.04","405,159,853.71"
投资活动产生的现金流量净额,"-5,888,708.67","-14,635,869.47","-38,320,704.27","-9,916,653.28","-113,070,438.27","-60,399,388.85","-131,684,405.10","-212,039,265.48","-232,497,472.50","-17,149,253.67","-56,461,155.14","-93,222,012.55","-145,309,309.34","-10,729,484.24","1,741,336.30","-6,762,918.24","-138,020,855.16","-31,759,742.95","-35,892,133.61","-28,382,036.53","-24,724,951.21","-4,432,389.00","-16,395,265.75","-24,202,842.59","-23,309,572.27","-1,613,346.00","-6,796,514.03","-7,215,657.43","-10,814,207.39","-10,123,364.58","-12,602,230.93"
购买商品、接受劳务支付的现金,"56,801,783.69","66,908,001.15","61,139,069.33","50,640,615.07","121,427,469.82","23,700,471.09","51,179,534.46","77,097,504.67","128,719,562.66","35,450,956.93","78,324,124.41","116,114,210.40","116,065,842.16","19,799,877.40","85,747,520.12","133,934,955.72","228,342,471.16","107,569,147.94","171,711,327.67","263,125,757.96","358,135,192.12","100,471,943.42","134,878,793.50","199,039,769.20","238,110,554.17","66,477,781.81","114,773,251.55","199,622,928.22","284,365,310.62","111,176,715.82","199,088,054.76"
吸收投资收到的现金,,,,,,"469,248,000.00","469,248,000.00","469,248,000.00","469,248,000.00",,,,,,,"43,710,640.00",,,,,,,,"92,000.00","92,000.00",,,"1,566,030.00","2,940,000.00","1,100,000.00","4,930,000.00"
支付给职工以及为职工支付的现金,"15,622,777.82","22,619,404.01","41,233,755.47","20,033,330.59","43,124,777.26","12,018,110.04","23,576,573.46","36,686,393.63","49,656,321.96","20,283,029.94","33,391,087.91","48,092,639.32","63,254,245.97","21,538,115.24","34,085,501.78","49,547,516.76","73,139,144.48","29,161,011.61","48,146,353.81","73,688,758.23","88,748,390.18","31,749,903.58","52,800,805.17","67,593,336.38","98,111,943.83","32,771,651.54","53,689,608.18","75,385,656.87","100,797,852.73","34,653,404.89","59,019,371.30"
取得借款收到的现金,,"34,900,000.00","55,800,000.00",,"110,900,000.00","52,500,000.00","84,820,000.00","138,383,681.60","165,451,623.34",,,,,,,,"10,224,117.09","39,346,357.77","39,346,357.77","45,889,037.92","81,927,093.16","140,901,133.47","144,901,133.47","167,569,021.62","183,465,782.08","25,474,763.51","28,771,301.63","59,698,130.21","102,731,630.21","32,670,934.66","33,477,280.26"
支付的各项税费,"15,236,509.30","28,030,437.15","36,204,093.64","20,270,402.54","42,140,913.38","8,325,428.94","21,184,532.64","36,948,970.50","49,223,320.36","12,590,247.47","24,256,054.66","44,504,050.84","61,160,245.23","9,776,733.65","26,597,407.16","43,701,252.26","65,785,746.89","33,710,532.70","56,307,989.93","80,071,295.98","115,717,796.18","71,524,682.25","79,072,308.34","98,224,766.12","106,593,255.86","13,509,193.81","32,627,490.69","55,890,038.72","84,376,210.57","25,804,205.15","46,514,569.93"
收到其他与筹资活动有关的现金,,,"133,485.00","21,186,574.00","20,000,000.00","5,187,745.00","3,608,134.00","7,145,153.00","6,458,202.00","242,494.00","1,135,252.00","1,175,768.00","1,056,841.00",,,,"43,900,191.00","6,642,620.00","6,694,724.00","4,425,122.06","7,111,108.00",,,,"1,309,459.71",,,,"2,894,806.90",,"706,796.58"
支付其他与经营活动有关的现金,"11,005,064.61","11,987,444.76","16,250,067.89","10,243,352.56","21,929,730.29","5,297,686.50","12,093,546.70","18,869,426.90","26,548,451.05","7,622,040.60","14,067,593.83","20,547,931.97","26,825,344.36","6,263,132.38","13,688,780.61","20,323,484.27","38,634,910.25","12,491,270.42","21,214,960.19","37,263,875.65","81,581,345.42","12,777,107.14","40,230,397.16","60,602,401.85","110,648,570.44","22,265,807.32","50,012,304.36","77,065,751.29","108,043,019.78","29,078,643.17","61,269,766.95"
筹资活动现金流入小计,,"34,900,000.00","55,933,485.00","21,186,574.00","130,900,000.00","526,935,745.00","557,676,134.00","614,776,834.60","641,157,825.34","242,494.00","1,135,252.00","1,175,768.00","1,056,841.00",,,"43,710,640.00","54,124,308.09","45,988,977.77","46,041,081.77","50,314,159.98","89,038,201.16","140,901,133.47","144,901,133.47","167,661,021.62","184,867,241.79","25,474,763.51","28,771,301.63","61,264,160.21","108,566,437.11","33,770,934.66","39,114,076.84"
经营活动现金流出小计,"98,666,135.42","129,545,287.07","154,826,986.33","101,187,700.76","228,622,890.75","49,341,696.57","108,034,187.26","169,602,295.70","254,147,656.03","75,946,274.94","150,038,860.81","229,258,832.53","267,305,677.72","57,377,858.67","160,119,209.67","247,507,209.01","405,902,272.78","182,931,962.67","297,380,631.60","454,149,687.82","644,182,723.90","216,523,636.39","306,982,304.17","425,460,273.55","553,464,324.30","135,024,434.48","251,102,654.78","407,964,375.10","577,582,393.70","200,712,969.03","365,891,762.94"
偿还债务支付的现金,"5,000,000.00","14,900,000.00","10,000,000.00","21,000,000.00","60,700,000.00",,"35,000,000.00","35,000,000.00","40,000,000.00",,,,"10,000,000.00","8,750,000.00","8,750,000.00","17,500,000.00","80,000,000.00","20,000,000.00","20,000,000.00","87,000,000.00","112,000,000.00","148,602,833.59","148,602,833.59","170,302,833.59","170,302,833.59","21,700,000.00","31,700,000.00","70,228,888.15","86,125,648.61","71,347,718.17","71,897,718.17"
经营活动产生的现金流量净额,"21,982,238.35","31,262,534.90","53,464,388.85","4,139,419.05","29,344,918.92","18,283,362.19","42,755,525.51","66,005,749.84","57,855,641.30","2,417,242.07","25,597,655.61","57,097,907.24","90,446,014.05","-4,426,340.39","-23,319,749.45","-23,793,470.70","-13,208,545.83","47,315,767.92","89,555,845.67","143,334,674.00","177,817,691.74","4,627,742.39","30,549,802.07","69,413,320.11","81,775,815.57","-4,050,249.58","50,487,025.17","49,606,758.93","120,965,206.99","-12,820,152.99","39,268,090.77"
