科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月
销售商品、提供劳务收到的现金,"247,751,341.26","549,593,587.60","1,023,323,618.02","1,449,516,880.35","249,038,557.32","653,081,398.00","999,397,472.26","1,234,986,175.63","191,640,325.24","449,782,522.51","633,780,475.52","865,214,976.22","194,640,540.66","418,463,725.23","818,861,148.42","1,232,337,682.00","341,298,662.33","688,588,082.58","804,757,668.69","960,903,316.06","174,916,709.82","442,875,409.36","578,978,362.54","944,265,471.05","139,397,842.17","503,495,704.12","734,357,840.53","1,076,292,219.59","297,101,786.02","523,115,435.89","821,127,912.45","1,007,676,827.54","136,820,520.39","211,540,595.99","245,625,866.12","491,370,741.76","58,777,870.18","155,680,587.16","285,226,727.72","604,532,143.91","375,124,370.09","453,934,451.65"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,892,083.30",,,,"245,359,021.48",,,,,,
收到的税费返还,"509,480.02","2,250,930.48","4,889,435.92","5,965,328.07","5,025,698.06","8,512,677.98","11,010,203.69","12,931,561.85","2,412,820.11","5,227,467.93","7,121,157.56","8,099,541.29","10,385,901.07","6,987,979.39","13,567,552.33","11,124,478.07","1,271,656.59","6,114,603.16","7,678,484.58","4,209,321.58","642,420.07","1,864,322.93","2,808,154.93","1,185,940.65","943,086.67","686,986.26","880,498.23","1,055,094.00",,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"88,724,642.81","73,158,324.90","73,158,324.90","92,378,513.72","23,809,142.22","23,809,142.22","23,809,142.22","22,376,853.11","3,406,468.22","3,406,468.22","3,406,468.22","3,406,468.22",,"13,788.69",,"132,328,500.00","50,017,380.18","64,380,288.36","82,380,288.36","87,178,110.36","3,000,000.00","3,000,000.00","12,000,000.00","20,000,000.00","3,000,000.00","4,509,720.64","4,509,720.64","4,509,720.64","2,000,000.00","2,000,000.00","17,000,000.00",,,,,,,,,,,
收到其他与经营活动有关的现金,"26,753,261.10","34,421,682.01","16,471,463.02","14,073,222.25","107,312,513.71","100,841,989.53","168,105,674.02","36,519,518.13","46,234,957.92","51,910,971.67","61,745,101.15","79,468,127.33","40,982,702.24","65,605,562.17","40,429,317.13","34,901,493.49","2,911,565.96","5,978,028.83","82,615,152.16","44,384,089.44","3,861,005.34","17,557,988.90","31,582,296.44","26,426,404.31","12,493,838.15","23,919,970.37","33,440,206.32","59,513,251.02","13,781,128.27","26,982,151.50","52,850,591.72","220,590,844.89","9,195,905.60","20,306,841.57","32,987,643.63","50,045,981.28","15,535,290.74","56,370,774.39","38,931,961.09","35,811,568.72","11,212,423.24","395,539,111.49"
投资活动现金流出小计,"161,271,409.94","205,038,443.23","292,115,450.52","376,913,036.64","62,922,785.95","94,027,636.25","114,413,592.09","206,524,735.37","26,716,937.90","55,278,446.67","104,634,280.03","191,222,782.27","61,051,071.21","175,790,347.60","238,238,380.99","223,140,551.27","57,404,882.71","82,454,595.23","108,573,600.91","115,048,054.05","6,449,591.44","9,293,187.64","21,682,060.56","74,228,986.92","7,763,971.70","11,907,726.12","74,189,022.77","74,691,099.88","5,607,366.53","6,513,001.53","22,408,578.31","144,882,962.46","2,121,349.70","3,098,346.05","6,265,258.87","256,946,840.35","15,353,495.29","49,497,681.13","57,593,215.67","67,005,501.90","3,061,617.83","219,093,307.70"
经营活动现金流入小计,"275,014,082.38","586,266,200.09","1,044,684,516.96","1,469,555,430.67","361,376,769.09","762,436,065.51","1,178,513,349.97","1,284,437,255.61","240,288,103.27","506,920,962.11","702,646,734.23","952,782,644.84","246,009,143.97","491,057,266.79","872,858,017.88","1,278,363,653.56","345,481,884.88","700,680,714.57","895,051,305.43","1,009,496,727.08","179,420,135.23","462,297,721.19","613,368,813.91","971,877,816.01","152,834,766.99","528,102,660.75","768,678,545.08","1,136,860,564.61","310,882,914.29","550,097,587.39","873,978,504.17","1,228,267,672.43","146,016,425.99","231,847,437.56","278,613,509.75","541,416,723.04","74,313,160.92","212,051,361.55","324,158,688.81","640,343,712.63","386,336,793.33","2,165,264,632.52"
投资活动产生的现金流量净额,"-66,328,250.35","8,750,741.75","-12,622,987.79","-40,744,497.45","-40,428,506.45","-41,015,282.63","-53,868,829.23","-11,824,548.32","11,904,356.47","-13,233,511.87","-56,725,120.70","-83,611,438.25","-47,661,420.17","-116,289,996.55","-143,029,731.41","38,320,844.48","39,668,754.56","48,971,183.01","27,872,116.78","28,041,625.95","-5,410,553.75","9,571,741.06","4,806,963.77","-36,996,520.90","33,231,468.44","17,673,385.26","-44,483,245.39","-43,472,714.05","-3,527,266.53","5,264,342.19","-197,831.04","-30,080,075.06","-2,014,749.70","2,244,773.31","5,477,852.36","-166,341,033.11","-14,832,905.29","-48,699,941.13","-44,770,745.72","-44,699,274.98","-345,837.83","-322,850,965.83"
购买商品、接受劳务支付的现金,"202,933,028.67","438,396,989.72","845,155,307.76","1,194,758,227.40","165,232,686.56","522,163,480.10","823,850,897.27","978,486,496.31","130,540,013.10","351,176,439.58","483,768,546.74","608,264,879.28","148,665,370.38","335,347,793.04","675,174,735.91","1,110,270,897.90","165,058,577.51","295,043,344.44","422,709,921.46","639,599,665.73","341,664,707.30","609,226,309.03","718,286,266.48","839,981,920.17","185,526,753.74","240,573,244.85","300,961,638.33","341,416,614.10","158,663,938.89","243,524,045.62","425,393,043.76","926,255,559.18","81,294,143.67","182,228,682.73","228,882,307.45","336,475,196.34","76,091,562.47","353,394,118.23","446,178,781.01","786,602,614.52","89,226,729.81","127,624,951.26"
吸收投资收到的现金,,"6,960,183.12","8,163,325.37","10,451,212.55",,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000.00","19,200,000.00","19,200,000.00",,,,,"490,000.00","490,000.00","34,055,000.00","34,055,000.00",,"1,260,264,000.00"
