科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"251,365,359.61","280,017,639.35","299,468,202.06","87,590,094.76","277,708,327.97","373,743,964.38","87,147,331.94","202,136,823.98","296,380,648.36","391,949,320.10","80,025,914.26","182,788,847.30","400,709,306.85","411,264,159.26","117,028,203.44","256,074,645.82","430,453,824.82","466,034,782.96","173,139,674.92","422,285,049.67","624,412,629.25","661,367,190.69","190,737,299.25",,"661,653,955.02","617,426,150.02","245,131,760.61","575,258,342.84","942,053,144.05","865,588,522.14","230,509,205.86","429,302,209.71","556,859,261.21"
取得子公司及其他营业单位支付的现金净额,,,"-552,840.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"368,155.74","356,836.59","2,994,042.45","12,567.18","4,119,129.73","10,142,321.52",,"130,876.85","2,101,137.40","12,785,892.59","7,944,152.21","12,396,804.22","16,055,442.48","22,519,444.25","3,094,909.20",,"4,974,372.31","22,169,602.17","2,290,032.70",,,"30,676,688.74","4,843,913.98","9,379,919.00","14,691,081.02","26,857,841.95","8,191,420.41","10,598,397.60","14,264,527.94","29,864,895.98","3,690,351.87","16,261,774.81","20,848,972.86"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,"1,018,558.42",,,,,,,,,,,
收到其他与经营活动有关的现金,"4,414,051.41","11,335,976.70","8,952,395.94","10,466,915.09","14,979,066.49","16,625,911.87","5,646,413.76","7,406,107.89","10,465,631.18","10,829,041.25","7,228,630.69","3,185,634.10","-5,863,377.69","7,844,083.19","22,041,180.13","27,259,112.48","2,400,511.05","32,976,601.72","8,324,641.03","101,308,474.65","59,264,554.21","132,495,079.97","10,590,371.69","438,564,898.78","37,114,864.44","9,378,999.53","13,042,697.12","13,899,821.93","18,625,096.27","11,747,345.83","3,402,796.92","6,482,876.56","13,832,160.97"
投资活动现金流出小计,"9,754,125.82","16,412,786.05","34,560,188.46","6,303,870.71","13,685,469.90","109,121,475.77","18,276,973.76","69,799,941.32","144,596,981.47","251,264,856.45","45,821,733.07","137,332,490.52","154,188,376.22","207,430,311.38","27,290,937.60","49,430,014.37","90,834,578.41","29,170,712.23","1,986,089.58","48,885,836.74","55,565,473.51","95,356,187.66","5,601,537.01","27,611,978.30","34,238,243.50","52,339,521.93","11,066,934.00","13,949,698.30","19,880,523.17","42,589,706.76","22,797,299.60","61,832,580.73","99,755,015.39"
经营活动现金流入小计,"256,147,566.76","291,710,452.64","311,414,640.45","98,069,577.03","296,806,524.19","400,512,197.77","92,793,745.70","209,673,808.72","308,947,416.94","415,564,253.94","95,198,697.16","198,371,285.62","410,901,371.64","441,627,686.70","142,164,292.77","283,333,758.30","437,828,708.18","521,180,986.85","183,754,348.65","523,593,524.32","683,677,183.46","824,538,959.40","206,171,584.92","447,944,817.78","713,459,900.48","653,662,991.50","266,365,878.14","599,756,562.37","974,942,768.26","907,200,763.95","237,602,354.65","452,046,861.08","591,540,395.04"
投资活动产生的现金流量净额,"-9,646,125.82","-16,145,514.19","-34,558,988.46","-6,303,870.71","-13,685,469.90","-109,088,714.77","-18,268,097.76","-69,579,941.32","-144,078,163.51","-160,886,481.96","-45,820,881.07","-85,331,638.52","-154,188,376.22","-155,344,459.38","-27,290,937.60","-49,430,014.37","-90,834,578.41","-29,062,501.35","-1,986,089.58","-48,885,836.74","-55,565,473.51","-82,197,769.49","-5,601,537.01","-27,572,822.16","-34,183,754.36","-51,243,602.84","-10,956,710.73","-13,773,048.33","-18,988,028.62","-42,155,419.36","-22,737,299.60","-61,713,458.73","-99,515,568.56"
购买商品、接受劳务支付的现金,"205,118,394.59","231,736,248.26","225,193,183.02","79,611,076.67","233,519,590.12","325,285,273.65","76,599,466.01","179,090,679.34","262,646,376.76","338,308,765.99","99,846,139.44","175,280,007.66","338,078,835.38","353,168,950.01","128,779,657.88","228,459,871.60","317,788,625.53","302,301,698.90","124,900,817.88","419,078,196.71","568,419,352.41","700,620,090.00","170,773,761.54","307,489,424.92","608,550,739.83","347,227,606.36","174,827,584.19","326,155,654.76","705,454,813.09","491,084,712.65","153,879,153.67","228,134,593.98","384,989,185.63"
吸收投资收到的现金,,,,,"300,680,000.00","300,680,000.00",,,,,,,,"31,000,000.00",,,,,,,,,,,,,,"48,415,000.00","48,415,000.00","48,415,000.00",,,
