科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"398,199,542.64","574,998,688.11","354,209,839.70","463,680,591.41","476,383,300.98","1,030,116,914.28","661,944,513.32","841,621,642.01","625,295,829.45","704,014,956.94","872,260,412.64","786,783,099.52","793,499,922.67","721,263,053.60","1,916,575,926.97","1,056,530,448.68","701,155,171.19","722,670,383.66","449,847,968.76","719,194,075.44","713,943,144.48","714,526,169.35","686,154,036.05","804,160,860.51","1,636,860,770.73","1,017,912,537.02"
短期借款,"924,280,000.00","923,454,573.24","1,444,732,250.32","1,641,231,854.43","1,974,837,124.44","1,896,402,686.10","1,484,000,000.00","1,637,319,444.65","1,581,484,854.03","1,512,047,728.53","1,677,360,700.06","1,648,273,844.01","1,950,976,174.24","1,657,873,196.01","1,735,947,963.19","1,469,785,882.03","2,468,010,873.28","2,542,913,462.70","2,333,015,040.00","2,661,115,091.00","2,614,014,844.97","2,647,456,440.24","2,752,878,309.37","2,887,654,654.61","2,875,046,457.46","2,427,640,114.80"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"5,700,000.00","2,280,190.00","6,134,531.00","8,658,499.20","3,586,521.57","14,016,500.00","9,569,650.00","5,840,000.00","20,391,992.20","5,348,962.40","8,329,939.00","5,523,792.40","15,302,334.80","17,737,157.00","19,464,851.60","27,515,621.91","5,648,634.97","15,596,251.43","19,591,690.50","13,903,925.00","7,435,228.88","6,872,355.43",,"1,315,565.17","864,336.04"
应付票据,"254,875,000.00","322,390,000.00","145,275,000.00","113,094,000.00","153,962,000.00","129,385,733.00","181,058,733.00","254,243,733.00","95,610,540.00","118,122,540.00","218,015,540.00","190,709,000.00","130,244,000.00","140,316,034.80","212,783,000.00","170,135,000.00","65,255,000.00","46,540,000.00","141,052,000.00","160,366,280.00","71,464,280.00","70,255,680.00","94,980,000.00",,"19,840,000.00",
应收账款,"279,792,930.30","352,959,269.51","312,973,190.95","377,811,278.60","345,124,606.20","430,441,332.60","499,388,234.53","415,888,050.91","433,953,141.14","415,225,054.18","529,309,055.99","499,397,626.98","548,710,506.05","521,689,676.09","595,920,212.62","657,527,521.13","652,707,501.76","717,920,561.02","763,478,628.49","710,929,457.18","654,378,269.51","662,679,104.55","828,251,088.48",,"686,285,668.90","727,521,591.55"
应付账款,"132,712,082.40","209,934,255.82","123,462,159.01","135,745,699.15","137,096,087.27","174,077,199.17","143,516,882.51","155,241,568.53","189,356,073.79","161,405,237.20","159,513,902.98","159,066,411.27","154,303,349.25","145,898,081.83","158,221,562.26","149,428,142.58","114,567,091.28","124,342,007.36","144,582,800.91","102,722,882.34","180,739,815.47","163,649,155.43","269,886,687.60",,"268,572,461.96",
预付款项,"39,350,246.01","42,168,654.26","55,438,990.30","73,099,246.65","69,754,517.49","75,465,749.16","90,996,622.87","89,288,751.81","73,339,364.56","88,318,322.66","89,977,571.34","80,875,153.86","73,034,319.93","106,626,710.52","95,710,590.90","127,170,542.55","68,746,694.03","126,540,578.48","121,034,680.16","125,902,839.95","71,457,283.54","75,666,655.70","93,422,032.58","118,620,858.40","50,580,112.90","43,683,705.81"
预收款项,"2,741,804.65","2,575,131.40","4,451,275.28","11,000,715.12","5,747,111.96","5,554,529.25","5,541,034.55","5,400,347.68","6,255,461.33","6,047,136.08","5,666,226.93","6,404,416.01","2,971,512.43","3,065,995.08","2,474,525.35","2,533,899.89","5,164,535.94","4,339,730.83","4,892,577.29","4,879,322.84","19,829,524.53","41,849,275.57","33,786,187.86","42,210,627.85","32,517,773.84","43,744,277.13"
