科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"232,949,975.37","236,211,230.44","277,193,546.17","60,202,341.01","132,401,118.79","191,888,560.29","297,223,828.73","44,419,678.37","78,866,279.95","158,517,856.40","315,745,012.84","99,513,862.07","228,365,335.07","710,273,761.57","782,053,434.61","226,618,400.88","569,644,575.06","1,029,275,303.56","1,554,629,732.15","398,472,942.75","903,070,720.69","1,427,473,400.67","1,966,329,966.86","484,764,075.68","1,114,388,777.34","1,828,405,974.48","2,611,991,070.67","781,833,572.03"
取得子公司及其他营业单位支付的现金净额,,"800,000.00",,,,,,,,,,,"10,000,000.00",,"166,473,046.44",,"77,390,530.20","415,000,000.00","408,758,488.75",,"10,000,000.00","10,000,000.00","10,000,000.00","175,000,000.00","146,461,246.19","146,461,246.19","146,461,246.19",
收到的税费返还,"1,054,000.00","275,279.76",,,,,,,,"2,072,404.97","8,308,390.47","8,361,030.91","18,266,770.14","27,598,898.00","33,549,985.68","11,599,536.40","19,493,083.39","24,301,611.29","26,474,328.98","6,723,887.76","11,407,775.33","22,150,988.40","20,035,310.85","7,897,695.63","20,640,297.47","24,718,779.83","39,555,807.06","8,280,915.28"
支付其他与投资活动有关的现金,,,,,,,,,,,"75,182.24",,,,"17,455,200.00","650,000.00",,"4,199,000.00","5,048,007.55",,,,,,,,,
收到其他与经营活动有关的现金,"16,525,502.74","39,100,630.18","24,239,901.60","8,394,947.81","20,598,447.73","17,698,888.72","22,076,606.95","7,615,026.47","9,548,947.75","15,434,920.63","42,595,920.28","7,275,699.73","27,400,996.18","48,564,565.85","37,032,943.02","5,317,196.20","15,383,020.09","26,647,644.28","54,001,504.79","8,535,139.77","34,941,595.13","32,408,316.36","48,356,369.52","7,442,866.99","7,515,685.62","18,483,855.23","98,363,347.19","6,219,476.49"
投资活动现金流出小计,"15,544,832.75","9,856,840.76","27,696,617.46","1,385,034.07","5,563,435.50","21,577,878.71","32,369,839.95","4,761,588.30","5,932,856.89","7,580,771.49","31,147,258.10","12,521,706.89","36,485,840.43","54,054,923.03","227,742,182.20","18,345,288.69","110,437,290.72","512,091,671.05","559,996,545.63","28,165,121.54","69,570,437.56","103,355,196.10","123,154,762.53","193,116,062.68","171,571,705.23","203,416,626.92","265,810,167.68","28,484,054.69"
经营活动现金流入小计,"250,529,478.11","275,587,140.38","301,433,447.77","68,597,288.82","152,999,566.52","209,587,449.01","319,300,435.68","52,034,704.84","88,415,227.70","176,025,182.00","366,649,323.59","115,150,592.71","274,033,101.39","786,437,225.42","852,636,363.31","243,535,133.48","604,520,678.54","1,080,224,559.13","1,635,105,565.92","413,731,970.28","949,420,091.15","1,482,032,705.43","2,034,721,647.23","500,104,638.30","1,142,544,760.43","1,871,608,609.54","2,749,910,224.92","796,333,963.80"
投资活动产生的现金流量净额,"-15,544,832.75","-5,938,800.51","-27,576,005.81","-1,385,034.07","-5,563,435.50","-21,577,878.71","-26,869,839.95","-4,761,588.30","-5,932,856.89","-2,785,696.49","-23,389,389.87","-12,498,206.89","-36,485,840.43","145,104,914.23","-227,547,182.20","-18,205,288.69","-110,262,290.72","-425,940,181.56","-424,550,520.50","-28,165,121.54","-69,570,437.56","-100,704,070.21","-123,128,404.12","-193,116,062.68","-170,171,705.23","-202,016,076.92","-264,098,936.96","-28,172,054.69"
购买商品、接受劳务支付的现金,"147,049,292.27","202,292,954.36","199,545,881.91","80,152,093.67","139,606,553.94","176,267,301.27","269,381,821.46","52,475,864.11","82,527,074.38","151,464,665.35","275,262,336.73","104,967,612.91","231,697,400.46","611,774,945.45","598,465,824.87","266,460,741.92","518,575,555.93","996,560,356.21","1,243,406,846.02","452,589,854.71","798,079,922.35","1,205,858,265.25","1,512,920,941.88","463,994,814.19","989,106,855.74","1,627,245,094.22","2,236,592,319.41","482,888,182.36"
吸收投资收到的现金,"20,000,000.00","24,000,000.00",,"176,400,000.00","176,400,000.00","176,400,000.00","167,825,893.21",,,,,,,,"169,149,994.24",,,"322,500,000.00","322,500,000.00",,,,,,"39,000,000.00","39,000,000.00","39,000,000.00",
