科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"901,350,599.02","1,115,522,550.53","1,297,477,786.77","497,780,965.56","1,008,569,358.35","1,532,338,249.53","2,359,580,950.85","622,791,032.88","1,464,130,277.21","2,135,927,137.21","2,787,577,157.06","624,842,734.14","1,285,442,964.86","2,426,568,721.76","3,422,031,052.76","1,100,275,342.12","1,716,178,132.06","2,661,851,562.89","3,771,195,106.00","1,097,722,786.61","2,482,564,485.06","3,980,317,189.45","5,200,429,296.54","909,801,710.69","2,120,099,721.93","3,201,776,586.05","4,278,458,440.61","1,013,004,831.01","2,196,979,074.22","3,615,483,061.36","5,875,241,125.01","2,140,300,232.21","4,699,207,050.19","12,781,057,897.01","22,226,197,019.38"
二、营业利润,"163,498,617.25","192,604,772.35","231,066,442.54","89,164,654.91","165,368,164.60","302,410,357.81","504,365,724.91","172,652,038.33","430,791,100.02","559,529,244.48","632,086,991.04","89,517,547.51","184,950,747.57","339,382,752.26","375,671,182.76","115,247,216.43","158,856,574.31","270,927,351.17","316,285,211.40","92,593,510.98","213,611,326.30","355,831,434.02","348,196,676.39","74,129,140.88","147,303,044.85","188,064,903.76","200,291,428.51","44,398,004.11","152,616,349.40","289,327,707.16","557,896,129.97","227,389,141.41","370,523,777.65","681,746,380.03","991,970,867.23"
减:营业成本,"698,474,557.72","850,640,100.84","1,001,436,983.21","389,309,622.76","802,394,511.09","1,165,484,194.69","1,761,353,290.40","439,786,922.59","1,003,658,168.42","1,521,798,846.00","2,020,008,989.77","520,379,831.52","1,069,047,767.01","2,006,299,795.14","2,894,059,596.75","942,189,009.99","1,465,054,241.18","2,251,415,788.73","3,209,564,862.63","933,825,957.57","2,127,678,579.18","3,393,933,688.03","4,402,884,477.52","772,537,385.89","1,825,710,794.94","2,801,401,982.99","3,676,820,575.51","883,753,401.64","1,851,119,236.37","2,991,313,624.13","4,797,148,354.15","1,803,794,277.47","4,042,202,240.89","11,543,006,821.45","20,443,007,256.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,662,818.57","5,419,930.97","7,838,272.02","3,162,819.00","6,233,433.64","9,908,906.23","17,106,724.74","3,885,898.83","8,571,719.19","12,842,370.37","16,990,766.85","3,185,533.38","5,644,785.68","8,688,527.79","11,056,898.09","2,603,204.51","5,009,402.98","8,677,700.86","11,245,111.96","908,269.38","4,356,272.06","11,808,200.27","16,380,814.09","4,948,462.95","9,083,721.47","11,625,315.16","15,419,292.70","2,564,326.73","6,456,354.75","14,032,566.70","53,828,912.41","18,115,845.90","42,166,505.22","72,782,625.26","103,383,844.55"
营业外收入,"15,606.93",,"99,100.00",,,"1,362,600.00","3,909,454.00","500,000.00","1,252,000.00","1,252,000.00","1,630,256.40","4,043.00","498,745.61","5,289,435.61","13,150,775.81","368,400.00","71,809,385.72","112,334,707.18","120,266,042.16","8,572,198.95","15,433,749.26","19,816,611.41","25,990,813.19","6,977,466.15","10,361,136.01","15,103,646.32","18,270,541.33","3,709,488.39","8,676,698.91","15,944,168.47","24,864,409.53","7,247,418.02","13,946,262.04","1,560,674.23","781,883.07"
销售费用,"14,876,826.01","24,008,245.95","28,381,175.02","8,850,348.76","18,593,753.44","28,744,504.16","38,465,646.42","7,715,589.18","15,452,382.58","25,837,136.44","37,207,629.55","9,492,742.27","18,339,221.26","31,627,561.63","45,219,622.93","10,157,261.95","21,800,410.93","33,860,906.08","49,324,316.69","13,516,909.75","29,301,168.77","47,381,081.10","68,341,355.42","16,833,488.81","37,119,532.56","60,361,026.31","85,890,094.52","21,715,125.79","46,356,987.67","76,368,667.36","110,795,627.77","28,540,334.80","65,294,559.96","100,823,091.77","157,184,159.57"
减:营业外支出,"1,619,186.27","600,000.00","1,868,197.90",,"277,779.35","406,163.40","411,163.40","46,800.00","3,828,043.88","3,834,900.29","8,372,436.00",,"200,000.00","572,158.40","576,154.01",,"11,987.29","96,155.70","450,392.58",1.60,215.67,"15,561.82","600,215.67","21,003.42","17,435.06","18,551.88","112,943.05","38,845.21","135,180.10","137,943.34","608,636.74","16,482.00","424,680.73","661,692.74","1,643,475.21"
管理费用,"19,793,047.69","22,252,056.96","17,381,595.65","4,401,687.36","9,291,385.74","15,277,943.00","41,267,469.70","6,881,282.10","21,963,648.31","36,878,107.27","102,581,757.40","26,233,495.97","41,940,574.88","75,915,393.77","119,896,448.93","22,559,182.28","45,636,025.62","82,279,322.94","165,125,457.90","38,290,577.61","78,584,902.98","124,080,926.30","285,119,707.69","35,410,567.69","89,173,238.88","129,655,223.09","292,812,955.54","48,650,626.31","123,750,779.05","217,609,523.19","331,460,730.66","49,357,529.03","141,882,585.83","353,959,247.27","500,609,877.49"
其中:非流动资产处置净损失,"814,185.00",,,,,"277,779.35","270,087.79",,"3,526,768.88","3,526,768.88","4,370,197.87",,,,"1,162.56",,,,"347,982.95",,,"15,346.15",,"15,346.15","7,965.97","7,965.97","7,965.97",,,,"1,721.45",,"76,523.59","101,723.22",
