科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"147,882,207.58","187,991,198.24","214,193,715.21","69,755,802.46","220,427,581.12","29,418,099.13","64,761,827.15","105,021,090.01","277,827,309.70","48,309,999.09","127,230,763.65","218,455,391.75","503,918,119.34","59,017,596.43","169,982,756.01","253,735,913.95","578,395,231.20","71,689,170.71","181,753,922.99","275,702,902.02","637,525,764.45","88,014,275.75","358,488,266.80","698,833,373.49","902,171,327.03","79,587,005.30"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"58,839,898.25",,,,"1,980,021.83",,,,,,"3,789,036.54","3,789,036.54","3,789,036.54","133,217,878.23","133,217,878.23","133,217,878.23","133,217,878.23",
收到的税费返还,"3,914,979.79","7,421,447.91","10,666,209.40","3,468,245.78","8,085,691.54","204,349.44","1,799,380.39","1,866,578.14","5,887,235.67","95,376.01","1,576,003.58","2,359,881.76","9,636,930.22","909,197.83","2,164,807.60","4,364,803.20","10,392,209.34","2,286,032.38","6,755,089.38","9,044,225.15","10,354,490.31","424,768.60","2,704,414.82","4,877,096.42","9,440,472.20","721,313.49"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,"100,484,005.96","140,484,005.96","139,300,000.00",,"8,000,000.00","10,000,000.00","42,000,000.00",,"61,190,852.88","61,190,354.56","61,190,354.56",25.13
收到其他与经营活动有关的现金,"115,113,090.22","3,707,341.48","2,047,429.85","786,664.09","4,721,678.36","2,833,166.09","3,782,145.05","4,613,865.49","14,899,003.97","2,269,750.17","6,352,189.02","9,188,554.41","17,585,740.01","11,042,412.70","17,091,102.37","54,650,194.67","28,190,173.12","8,131,559.93","13,418,143.72","21,056,102.70","22,027,404.70","10,288,692.10","18,823,785.70","22,246,620.06","24,388,967.38","8,081,322.90"
投资活动现金流出小计,"9,723,723.50","61,342,604.35","34,893,247.92","44,597,809.80","91,000,491.63","26,622,955.89","124,802,711.08","144,704,999.31","204,210,505.56","7,668,748.60","14,682,897.62","24,842,297.79","35,065,509.77","2,318,484.26","208,979,285.95","260,127,290.06","302,462,189.22","23,966,911.02","42,695,903.50","52,507,753.60","114,991,845.77","197,597,213.74","200,067,636.45","203,308,049.60","208,664,471.14","1,843,577.37"
经营活动现金流入小计,"266,910,277.59","199,119,987.63","226,907,354.46","74,010,712.33","233,234,951.02","32,455,614.66","70,343,352.59","111,501,533.64","298,613,549.34","50,675,125.27","135,158,956.25","230,003,827.92","531,140,789.57","70,969,206.96","189,238,665.98","312,750,911.82","616,977,613.66","82,106,763.02","201,927,156.09","305,803,229.87","669,907,659.46","98,727,736.45","380,016,467.32","725,957,089.97","936,000,766.61","88,389,641.69"
投资活动产生的现金流量净额,"-9,417,823.78","-61,342,604.35","-34,877,612.92","-44,569,819.80","-90,972,501.63","-26,618,705.89","-64,279,961.08","-84,074,749.31","-143,519,445.56","-7,628,538.60","-14,642,687.62","-24,790,667.79","-29,939,429.13","-2,148,484.26","-103,000,756.05","-154,148,760.16","-149,081,891.45","-18,933,379.47","-37,635,944.20","-42,780,574.91","-70,190,819.18","-145,524,483.76","-87,765,908.55","-88,958,292.64","-73,587,447.19","-188,948.48"
购买商品、接受劳务支付的现金,"58,671,141.68","80,015,820.03","81,605,157.49","43,765,500.12","105,921,475.87","35,326,806.78","69,852,327.58","107,207,914.75","155,716,187.50","68,378,372.87","105,753,286.42","152,992,754.52","215,214,747.96","86,993,948.82","151,778,033.62","214,367,765.01","273,267,194.52","87,081,644.09","147,892,178.66","236,495,923.60","413,379,361.43","129,300,365.44","364,745,782.51","604,453,253.04","641,993,801.42","94,134,851.73"
吸收投资收到的现金,"25,420,000.00",,,,,"192,658,395.65","192,658,395.65","199,858,395.65","204,758,395.65","2,000,000.00","2,000,000.00","2,000,000.00","147,800,000.00","23,440,000.00","41,440,000.00","41,440,000.00","49,840,000.00","8,090,000.00","72,900,260.00","72,900,260.00","72,900,260.00",,,,,
支付给职工以及为职工支付的现金,"14,097,138.70","23,690,008.66","28,120,714.10","17,130,130.66","33,391,191.99","11,032,870.77","21,269,584.81","32,901,640.88","47,924,594.53","22,799,677.89","44,629,064.69","69,098,787.35","95,402,936.60","32,301,381.80","64,985,895.64","103,609,814.57","140,100,274.74","52,475,560.46","96,487,255.82","142,924,883.06","172,874,884.48","48,573,942.34","91,237,653.35","121,788,004.01","146,887,430.80","23,374,515.92"
取得借款收到的现金,,,,,,,,,"76,000,000.00",,,"50,000,000.00","126,500,000.00","50,000,000.00","50,000,000.00","160,000,000.00","161,080,000.00","10,000,000.00","37,000,000.00","63,000,000.00","109,000,000.00","49,000,000.00","60,000,000.00","74,000,000.00","178,000,000.00","22,000,000.00"
支付的各项税费,"21,797,911.69","23,893,030.87","29,118,577.38","16,845,906.28","25,690,895.11","11,477,177.71","14,069,585.49","18,237,768.04","24,469,042.23","10,889,646.01","13,712,686.33","18,524,870.13","32,456,044.67","18,594,360.02","26,938,614.91","31,909,803.63","54,096,752.06","33,282,250.24","47,745,585.11","53,922,769.69","73,378,597.22","25,121,492.14","42,105,107.07","61,934,578.31","71,235,888.35","14,520,375.95"
收到其他与筹资活动有关的现金,,,,,,"69,474,751.85","69,474,751.85","69,474,751.85","69,474,751.85","25,600,750.00","30,766,020.58","34,906,079.66","48,884,529.02","906,084.43","7,604,011.20","24,932,567.47","59,938,416.13","1,326.71","233,049.18","353,161.17","3,899,843.89","140,025,992.97","159,222,757.78","259,967,757.78","257,967,757.78",
支付其他与经营活动有关的现金,"132,726,077.84","26,717,474.95","23,736,761.06","11,855,814.74","24,431,533.93","9,330,090.95","13,432,501.38","20,042,061.67","33,096,413.54","30,116,580.21","50,134,804.25","65,016,468.13","80,770,501.85","30,754,401.26","53,231,388.10","117,775,870.33","106,273,970.48","33,304,595.54","51,960,516.98","82,681,688.34","100,234,718.03","42,351,297.98","71,907,570.30","129,400,558.92","118,655,425.47","41,574,895.37"
筹资活动现金流入小计,"25,420,000.00",,,,,"262,133,147.50","262,133,147.50","269,333,147.50","350,233,147.50","27,600,750.00","32,766,020.58","86,906,079.66","323,184,529.02","74,346,084.43","99,044,011.20","226,372,567.47","270,858,416.13","18,091,326.71","110,133,309.18","136,253,421.17","185,800,103.89","189,025,992.97","219,222,757.78","333,967,757.78","435,967,757.78","22,000,000.00"
经营活动现金流出小计,"227,292,269.91","154,316,334.51","162,581,210.03","89,597,351.80","189,435,096.90","67,166,946.21","118,623,999.26","178,389,385.34","261,206,237.80","132,184,276.98","214,229,841.69","305,632,880.13","423,844,231.08","168,644,091.90","296,933,932.27","467,663,253.54","573,738,191.80","206,144,050.33","344,085,536.57","516,025,264.69","759,867,561.16","245,347,097.90","569,996,113.23","917,576,394.28","978,772,546.04","173,604,638.97"
偿还债务支付的现金,"20,000,000.00",,,,,,,,"5,000,000.00",,"500,000.00","500,000.00","126,500,000.00",,,"76,000,000.00","77,400,000.00","50,900,000.00","65,380,000.00","114,180,000.00","124,180,000.00","5,930,000.00","34,130,000.00","83,080,000.00","118,280,000.00","33,000,000.00"
经营活动产生的现金流量净额,"39,618,007.68","44,803,653.12","64,326,144.43","-15,586,639.47","43,799,854.12","-34,711,331.55","-48,280,646.67","-66,887,851.70","37,407,311.54","-81,509,151.71","-79,070,885.44","-75,629,052.21","107,296,558.49","-97,674,884.94","-107,695,266.29","-154,912,341.72","43,239,421.86","-124,037,287.31","-142,158,380.48","-210,222,034.82","-89,959,901.70","-146,619,361.45","-189,979,645.91","-191,619,304.31","-42,771,779.43","-85,214,997.28"
分配股利、利润或偿还利息支付的现金,"61,950.00",,,,,,"24,760,000.00","24,760,000.00","25,117,433.34","1,117,199.99","12,168,079.98","13,789,021.41","16,655,675.16","854,641.66","23,758,192.17","25,371,120.51","27,517,364.17","1,797,248.26","22,717,204.96","24,419,544.75","26,047,325.88","9,510,069.46","11,627,024.75","14,945,760.93","18,887,855.94","1,882,259.43"
收回投资收到的现金,,,,,,,"60,000,000.00","60,000,000.00","60,000,000.00",,,,,,"6,000,000.00","6,000,000.00",,"5,000,000.00",,"3,000,000.00",,"51,800,000.00",,"13,272,060.00",,
支付其他与筹资活动有关的现金,,,,,,"65,909,507.50","67,769,507.50","70,617,318.64","101,747,382.51","5,788,600.00","8,618,645.48","13,676,495.56","75,251,626.40","1,128,084.43","7,474,011.20","7,532,567.47","46,538,352.53","866,543.69","1,150,031.16","13,771,463.15","14,138,145.87","15,025,992.97","63,828,654.28","131,388,998.04","202,119,848.01","29,291,585.95"
取得投资收益收到的现金,,,,,,,"518,500.00","518,500.00","518,500.00",,,,,,"506,814.90","506,814.90","692,458.73","33,531.55","54,704.30","77,323.69","182,951.59","272,729.98","442,161.33","466,111.74","788,854.29","21,518.89"
筹资活动现金流出小计,"20,061,950.00",,,,,"65,909,507.50","92,529,507.50","95,377,318.64","131,864,815.85","6,905,799.99","21,286,725.46","27,965,516.97","218,407,301.56","1,982,726.09","31,232,203.37","108,903,687.98","151,455,716.70","53,563,791.95","89,247,236.12","152,371,007.90","164,365,471.75","30,466,062.43","109,585,679.03","229,414,758.97","339,287,703.95","64,173,845.38"
处置固定资产、无形资产和其他长期资产收回的现金净额,"305,899.72",,"15,635.00","27,990.00","27,990.00","4,250.00","4,250.00","111,750.00","172,560.00","40,210.00","40,210.00","51,630.00","72,616.60","170,000.00","171,715.00","171,715.00","241,845.00",,"5,255.00","17,355.00","969,275.00",,300.00,"794,574.00","814,574.00","128,000.00"
筹资活动产生的现金流量净额,"5,358,050.00",,,,,"196,223,640.00","169,603,640.00","173,955,828.86","218,368,331.65","20,694,950.01","11,479,295.12","58,940,562.69","104,777,227.46","72,363,358.34","67,811,807.83","117,468,879.49","119,402,699.43","-35,472,465.24","20,886,073.06","-16,117,586.73","21,434,632.14","158,559,930.54","109,637,078.75","104,552,998.81","96,680,053.83","-42,173,845.38"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,"13,145,994.04",,,,"3,000,000.00",,"47,059,266.57","35,017,011.22","68,193,391.72","1,505,110.00"
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,"5,053,464.04",,"99,300,000.00","99,300,000.00","139,300,000.00",,"5,000,000.00","6,632,500.00","40,648,800.00",,"64,800,000.00","64,800,000.00","65,280,203.94",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"305,899.72",,"15,635.00","27,990.00","27,990.00","4,250.00","60,522,750.00","60,630,250.00","60,691,060.00","40,210.00","40,210.00","51,630.00","5,126,080.64","170,000.00","105,978,529.90","105,978,529.90","153,380,297.77","5,033,531.55","5,059,959.30","9,727,178.69","44,801,026.59","52,072,729.98","112,301,727.90","114,349,756.96","135,077,023.95","1,654,628.89"
五、现金及现金等价物净增加额,"35,558,233.90","-16,538,951.23","29,448,531.51","-60,156,459.27","-47,172,647.51","134,893,602.56","57,043,032.25","22,993,227.85","112,256,197.63","-68,442,740.30","-82,234,277.94","-41,479,157.31","182,134,356.82","-27,460,010.86","-142,884,214.51","-191,592,222.39","13,560,229.84","-178,443,132.02","-158,908,251.62","-269,120,196.46","-138,716,088.74","-133,583,914.67","-168,108,475.71","-176,024,598.14","-19,679,172.79","-127,577,791.14"
购建固定资产、无形资产和其他长期资产支付的现金,"9,723,723.50","59,832,604.35","34,893,247.92","44,597,809.80","91,000,491.63","26,622,955.89","64,802,711.08","73,204,999.31","77,120,607.31","7,668,748.60","10,920,397.62","17,317,297.79","22,540,487.94","1,568,484.26","7,098,179.99","14,246,184.10","44,865,089.22","14,966,911.02","30,906,866.96","38,718,717.06","61,202,809.23","3,579,335.51","4,908,905.34","8,149,816.81","13,506,238.35","1,843,552.24"
期初现金及现金等价物余额,"78,796,881.03","114,355,114.93","97,816,163.70","127,264,695.21","127,264,695.21","80,092,047.70","80,092,047.70","80,092,047.70","80,092,047.70","192,348,245.33","192,348,245.33","192,348,245.33","192,348,245.33","374,482,602.15","374,482,602.15","374,482,602.15","374,482,602.15","388,042,831.99","388,042,831.99","388,042,831.99","388,042,831.99","249,326,743.25","249,326,743.25","249,326,743.25","249,326,743.25","229,647,570.46"
投资支付的现金,,"1,510,000.00",,,,,"60,000,000.00","71,500,000.00","68,250,000.00",,"3,762,500.00","7,525,000.00","10,545,000.00","750,000.00","101,397,100.00","105,397,100.00","118,297,100.00","9,000,000.00",,,"8,000,000.00","60,800,000.00","750,000.00","750,000.00","750,000.00",
期末现金及现金等价物余额,"114,355,114.93","97,816,163.70","127,264,695.21","67,108,235.94","80,092,047.70","214,985,650.26","137,135,079.95","103,085,275.55","192,348,245.33","123,905,505.03","110,113,967.39","150,869,088.02","374,482,602.15","347,022,591.29","231,598,387.64","182,890,379.76","388,042,831.99","209,599,699.97","229,134,580.37","118,922,635.53","249,326,743.25","115,742,828.58","81,218,267.54","73,302,145.11","229,647,570.46","102,069,779.32"
