科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"103,062,440.93","146,908,508.45","216,491,119.79","54,200,288.05","132,233,862.93","215,339,750.60","309,318,504.95","67,048,410.31","171,793,667.15","319,076,040.41","445,439,990.29","97,584,840.56","222,499,243.98","332,873,841.97","520,007,390.95","103,878,673.78","284,815,735.16","487,009,826.21","675,452,710.87","132,453,627.86","302,875,241.66","509,090,279.08","572,035,164.06","109,226,366.03","255,648,413.45","380,853,160.94","435,631,626.87","107,373,782.27","229,828,055.85"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"510,000.00","510,000.00","510,000.00",,,,,,,,,,
收到的税费返还,,,,,,"3,025,655.00",,,,,,,,,,,,,,"1,104,508.26",,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000.00","50,000.00",,
收到其他与经营活动有关的现金,"2,460,700.15","4,269,747.00","320,000.00","200,150.00","686,818.00","831,377.03","10,176,198.41","3,614,373.48","5,669,702.31","10,390,583.90","14,422,489.36","2,440,421.67","6,274,833.47","16,425,759.40","18,351,049.92","2,788,983.71","9,577,169.32","13,636,157.59","34,970,126.57","11,988,804.94","11,531,486.59","14,081,092.83","17,897,632.21","6,026,358.20","12,133,272.28","12,798,887.74","27,998,504.98","8,534,211.63","9,867,185.30"
投资活动现金流出小计,"3,390,983.86","3,772,375.95","7,492,315.86","729,221.28","2,190,092.28","4,255,425.16","9,254,148.51","1,088,389.40","6,878,488.96","80,369,626.46","153,634,553.52","30,245,353.50","191,976,974.55","385,570,567.23","487,761,020.73","111,598,995.59","183,801,315.10","366,402,455.57","581,716,239.70","94,683,845.40","95,558,624.75","146,266,173.17","767,625,931.58","241,699,073.76","1,221,519,469.64","1,659,811,743.14","1,867,018,711.84","496,989,408.46","1,190,606,258.08"
经营活动现金流入小计,"105,523,141.08","151,178,255.45","216,811,119.79","54,400,438.05","132,920,680.93","219,196,782.63","319,494,703.36","70,662,783.79","177,463,369.46","329,466,624.31","459,862,479.65","100,025,262.23","228,774,077.45","349,299,601.37","538,358,440.87","106,667,657.49","294,392,904.48","500,645,983.80","710,422,837.44","145,546,941.06","314,406,728.25","526,662,709.24","612,306,525.46","115,252,724.23","267,781,685.73","393,652,048.68","526,265,973.80","115,907,993.90","239,695,241.15"
投资活动产生的现金流量净额,"6,008,502.66","-2,890,351.97","-5,910,690.96","-55,966.62","399,240.61","59,007.01","-3,761,285.62","544,473.43","-4,229,671.01","-65,046,655.26","-90,136,027.68","62,059,886.59","3,754,319.22","-90,109,761.07","-32,433,712.05","-58,597,279.35","21,993,659.60","-70,797,383.11","-65,368,240.91","-31,252,665.73","63,679,032.03","15,273,857.97","-292,175,207.71","184,089,364.51","98,970,533.11","187,256,886.08","245,722,999.84","-217,792,265.80","-149,063,539.95"
购买商品、接受劳务支付的现金,"2,589,385.74","3,112,874.50","4,155,193.83","2,576,477.89","6,024,295.39","9,521,512.06","4,690,398.77","3,756,611.25","6,103,003.75","11,689,046.72","3,394,401.19","5,788,815.93","3,460,123.12","17,237,396.19","9,191,102.82","4,092,881.13","6,243,189.64","7,573,217.47","14,340,259.76","3,037,512.33","10,214,279.43","9,741,715.88","19,195,295.84","1,316,386.80","2,983,100.74","5,404,363.64","14,229,811.71","458,979.00","3,648,504.18"
吸收投资收到的现金,"1,411,100.00",,,"414,900,000.00","418,100,000.00","421,300,000.00","424,500,000.00",,,"4,480,000.00","6,720,000.00",,,"1,800,000.00","1,800,000.00","2,500,000.00","3,000,000.00","5,140,000.00","5,630,000.00","1,172,500.00","70,000,000.00","70,500,000.00","92,622,500.00",,,"888,000.00","11,299,241.00",,
支付给职工以及为职工支付的现金,"32,059,017.96","46,071,222.00","73,347,149.19","20,237,370.50","42,231,167.55","63,735,220.50","108,309,705.51","36,914,964.35","68,012,297.56","98,226,719.32","158,268,022.14","41,669,293.76","85,880,216.26","119,308,572.76","179,154,541.29","56,462,111.11","104,328,873.01","145,851,512.12","206,677,470.42","57,270,120.25","100,204,929.00","139,885,344.21","183,753,296.93","52,145,785.21","90,860,791.44","129,227,444.27","157,072,372.14","46,150,198.57","84,705,826.55"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"63,000,000.00","124,000,000.00","173,690,000.00","164,655,755.00","164,655,755.00"
支付的各项税费,"16,195,514.41","20,201,797.70","32,211,386.13","6,930,995.97","17,191,695.65","29,010,281.41","44,093,369.96","11,335,925.01","22,658,319.24","39,768,039.72","57,455,109.25","12,213,115.09","32,609,254.22","53,047,500.78","66,825,155.15","20,944,633.73","43,817,249.07","67,801,841.47","93,990,966.92","19,704,771.09","34,486,529.83","37,978,829.34","66,441,222.95","9,221,493.36","20,504,874.04","34,872,504.98","62,490,442.31","12,667,641.97","29,573,200.45"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"19,241,775.21","27,182,003.69","43,860,341.97","10,198,569.66","22,173,733.17","42,888,966.69","53,313,648.53","13,908,605.92","32,850,960.42","52,641,491.10","87,150,577.28","22,472,935.86","46,794,921.56","81,189,467.37","144,210,936.12","52,675,093.19","116,896,243.27","194,864,897.02","250,916,076.25","62,057,919.18","127,929,091.76","188,929,846.33","270,309,507.72","70,184,572.61","159,514,626.83","259,308,930.40","426,754,381.22","91,624,102.13","64,346,416.07"
筹资活动现金流入小计,"1,411,100.00",,,"414,900,000.00","418,100,000.00","421,300,000.00","424,500,000.00",,,"4,480,000.00","6,720,000.00",,,"1,800,000.00","1,800,000.00","2,500,000.00","3,000,000.00","5,140,000.00","5,630,000.00","1,172,500.00","70,000,000.00","70,500,000.00","92,622,500.00",,"72,870,000.00","163,084,900.00","233,689,241.00","164,655,755.00","164,655,755.00"
经营活动现金流出小计,"70,085,693.32","96,567,897.89","153,574,071.12","39,943,414.02","87,620,891.76","145,155,980.66","210,407,122.77","65,916,106.53","129,624,580.97","202,325,296.86","306,268,109.86","82,144,160.64","168,744,515.16","270,782,937.10","399,381,735.38","134,174,719.16","271,285,554.99","416,091,468.08","565,924,773.35","142,070,322.85","272,834,830.02","736,359,782.84","942,997,372.87","195,056,762.10","521,437,163.68","718,449,704.51","971,177,532.39","-37,106,531.22","6,786,672.54"
偿还债务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,527,000.00","121,527,000.00"
经营活动产生的现金流量净额,"35,437,447.76","54,610,357.56","63,237,048.67","14,457,024.03","45,299,789.17","74,040,801.97","109,087,580.59","4,746,677.26","47,838,788.49","127,141,327.45","153,594,369.79","17,881,101.59","60,029,562.29","78,516,664.27","138,976,705.49","-27,507,061.67","23,107,349.49","84,554,515.72","144,498,064.09","3,476,618.21","41,571,898.23","-209,697,073.60","-330,690,847.41","-79,804,037.87","-253,655,477.95","-324,797,655.83","-444,911,558.59","153,014,525.12","232,908,568.61"
分配股利、利润或偿还利息支付的现金,"5,517,440.00","6,000,000.00","16,000,000.00",,"26,675,000.00","26,675,000.00","26,675,000.00",,"53,350,000.00","53,350,000.00","53,350,000.00",,"53,049,998.00","53,049,998.00","95,849,996.40",,,,,"16,000.00","20,000.00","20,000.00","20,000.00","253,330.00","253,330.00","23,370,630.00","26,587,681.01","5,864,902.59","9,938,295.58"
