科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
一、营业收入,"14,182,510.90","23,776,902.31","27,424,296.85","69,484,436.48","55,615,474.41","66,341,692.51","73,987,915.11","115,559,026.24","69,179,471.11","114,231,385.85","213,633,009.40","349,703,481.88","211,905,515.60","809,270,331.36","1,694,216,497.27","2,088,224,157.20","432,503,740.57","755,892,716.03","1,202,135,139.23","1,484,826,921.28","191,727,140.89","484,228,349.25","702,996,980.42","871,409,529.40","246,565,820.29","255,856,314.89","265,237,932.37","419,794,880.72","2,030,769.50","7,779,032.50"
二、营业利润,"1,291,374.98","129,503,215.64","123,020,240.78","29,669,412.12","3,052,731.57","4,057,155.35","-4,504,459.40","-3,206,372.45","1,568,650.38","-1,374,482.58","-1,800,753.86","2,163,314.94","2,217,273.14","3,654,343.07","2,604,650.04","2,445,577.88","1,795,283.99","6,655,475.33","8,313,503.05","-12,675,787.78","23,648,382.80","12,861,260.91","15,073,200.73","-80,208,477.55","-3,741,154.55","-7,842,316.02","1,108,549.78","-85,925,260.64","-16,515,769.02","-1,604,204,834.50"
减:营业成本,"8,359,043.70","15,848,524.98","21,857,525.05","57,923,448.67","47,461,101.12","53,516,880.08","65,815,823.78","101,736,721.41","64,218,126.53","107,996,143.74","204,903,483.49","329,114,396.69","203,949,773.53","781,263,906.42","1,651,513,063.93","2,035,666,380.74","422,755,297.21","734,950,664.44","1,159,729,880.05","1,453,145,097.97","192,798,390.05","479,104,913.34","690,515,405.42","866,819,965.75","246,328,386.20","252,345,192.28","273,112,123.23","431,933,790.03","9,536,466.54","24,557,702.79"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,292,708.42","2,047,088.48","2,282,713.18","4,929,666.27","3,020,641.41","3,996,698.91","4,733,612.72","5,949,204.41","986,000.53","1,610,971.42","2,473,160.17","3,139,370.40","825,666.82","1,597,097.34","2,516,724.29","4,168,944.41","872,213.46","1,850,842.48","2,643,645.08","3,861,782.93","231,418.44","431,375.83","577,168.31","892,232.28","184,462.41","345,845.21","613,319.70","876,715.80","106,133.57","128,261.93"
营业外收入,"10,411,888.99","10,448,088.99","10,449,388.99","8,413,282.55","31,986.50","3,161,093.77","50,440,875.40","51,584,863.81","2,745.60","3,004,015.60","3,043,777.60","4,030,027.19","2,400.00","4,865.00","162,655.00","3,709,545.81","25,641.37","85,471.35","116,577.72","278,781.90","12,500.00","212,371.00","312,398.00","30,482,468.00","4,957,996.00","8,651,165.82","8,246,919.57","3,200,959.28","5,331,624.72","98,603.81"
销售费用,"477,131.49","918,485.84","935,149.46","1,248,410.86","16,410.94","34,320.95","43,460.72","64,759.12","9,578.40","19,208.40","37,318.40","931,714.98","22,030.00","487,061.61","949,698.66","959,361.50","17,880.00","27,480.00","27,480.00","46,740.00",,"707,580.00","707,580.00","707,580.00",,,,,,"500,000.00"
减:营业外支出,,"8,454.04","13,244.04","585,327.60",340.15,"48,702.91","21,446.91","43,592.91",0.03,"5,102.01","5,102.01","219,853.26","249,292.45","250,447.45","250,549.95","807,698.78",,"3,933,446.51","3,944,467.09","4,329,948.13","18,380.88","447,561.57","711,272.35","1,549,620.99","74,768.60","77,260.11","77,276.06","147,318,753.06",200.42,"1,349,156,446.07"
管理费用,"2,227,179.12","6,061,275.06","7,849,912.68","11,681,114.40","1,258,218.15","3,408,261.67","4,582,097.12","7,956,968.47","1,733,091.81","4,226,075.39","6,185,105.17","11,851,370.07","4,134,390.57","10,129,454.44","14,213,878.07","20,794,071.69","4,300,799.53","10,952,370.13","16,964,353.23","27,770,245.65","3,109,668.68","7,664,910.62","11,348,212.24","20,515,502.11","3,493,546.84","8,162,964.91","12,566,910.98","18,628,446.76","6,056,904.61","16,354,257.11"
其中:非流动资产处置净损失,,,,,,,,,,,,,,"43,659.55",,,,,,,,,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"671,524.23","2,302,486.85","4,382,930.24","5,396,264.02","806,371.22","2,624,166.91","4,451,453.91","5,661,547.34","664,023.46","1,514,681.60","1,566,181.59","2,649,430.12","533,588.11","5,645,885.68","11,794,201.14","16,350,301.77","2,769,281.49","4,947,316.54","7,353,478.00","13,591,237.72","857,585.10","2,982,893.70","4,315,864.97","37,642,530.19","299,737.90","5,711,809.55","9,823,047.58","31,840,976.39","2,629,470.96","31,532,024.36"
三、利润总额,"11,703,263.97","139,942,850.59","133,456,385.73","37,497,367.07","3,084,377.92","7,169,546.21","45,914,969.09","48,334,898.45","1,571,395.95","1,624,431.01","1,237,921.73","5,973,488.87","1,970,380.69","3,408,760.62","2,516,755.09","5,347,424.91","1,820,925.36","2,807,500.17","4,485,613.68","-16,726,954.01","23,642,501.92","12,626,070.34","14,674,326.38","-51,275,630.54","1,142,072.85","731,589.69","9,278,193.29","-230,043,054.42","-11,184,344.72","-2,953,262,676.76"
资产减值损失,,,,"4,714,935.25",,"-1,295,791.36","-1,134,073.74","-2,603,802.06",,"238,787.88","268,514.44","-146,115.32","505,348.49","5,340,213.86","11,083,986.23","12,820,670.16","-7,015.11","-3,491,432.89","7,102,799.82","-863,722.23","9,998,550.33","22,901,523.63","22,885,657.53","28,549,450.90",841.49,"-2,867,181.04","4,373,217.99","22,440,212.38","217,562.84","687,418,762.45"
减:所得税,"4,237,867.00","47,622,788.62","45,583,339.39","19,121,155.94","1,896,357.73","2,791,604.10","13,700,667.04","14,732,687.87","358,412.87","496,939.97","1,148,970.81","1,553,787.77","947,292.23","2,308,035.89","2,075,574.06","4,319,691.78","1,270,724.97","2,654,778.66","3,691,333.24","5,426,814.42","8,918,360.69","7,558,418.06","8,500,327.42","-3,244,413.65","63,818.61","162,463.18","6,688,794.85","162,463.18",,"-19,919,712.32"
加:公允价值变动净收益,,,,,,,,,,,,,"291,040.00","-1,143,884.00",,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,"132,904,174.54","132,904,174.54","46,078,815.11",,,,,,,,,"-8,484.94","-8,484.94","459,705.09","4,981,150.95",,,,"48,672.98","38,916,854.51","42,426,108.78","42,426,108.78","3,509,254.28",,,"36,359,236.89",,,"-851,492,858.36"
四、净利润,"7,465,396.97","92,320,061.97","87,873,046.34","18,376,211.13","1,188,020.19","4,377,942.11","32,214,302.05","33,602,210.58","1,212,983.08","1,127,491.04","88,950.92","4,419,701.10","1,023,088.46","1,100,724.73","441,181.03","1,027,733.13","550,200.39","152,721.51","794,280.44","-22,153,768.43","14,724,141.23","5,067,652.28","6,173,998.96","-48,031,216.89","1,078,254.24","569,126.51","2,589,398.44","-230,205,517.60","-11,184,344.72","-2,933,342,964.44"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"5,618,375.74","90,871,847.58","88,039,441.32","25,126,297.59","1,301,138.67","3,865,641.15","35,122,109.17","35,275,935.67","1,219,628.77","1,311,915.80","1,349,588.83","4,976,874.77","1,244,917.27","1,939,075.78","1,569,416.46","2,640,709.72","803,031.91","1,287,126.46","1,650,389.25","-18,584,360.43","15,848,416.09","6,064,928.39","7,158,623.07","-44,490,510.37","1,694,876.64","1,245,847.09","5,486,978.33","-225,712,300.33","-10,501,033.46","-2,913,552,473.68"
影响营业利润的其他科目,"136,451.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"1,847,021.23","1,448,214.39","-166,394.98","-6,750,086.46","-113,118.48","512,300.96","-2,907,807.12","-1,673,725.09","-6,645.69","-184,424.76","-1,260,637.91","-557,173.67","-221,828.81","-838,351.05","-1,128,235.43","-1,612,976.59","-252,831.52","-1,134,404.95","-856,108.81","-3,569,408.00","-1,124,274.86","-997,276.11","-984,624.11","-3,540,706.52","-616,622.40","-676,720.58","-2,897,579.89","-4,493,217.27","-683,311.26","-19,790,490.76"
