科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"262,522,511.82","198,346,819.23","189,663,361.39","167,729,206.19","151,811,283.03","448,949,532.24","262,685,042.04","313,080,562.92","268,960,229.89","220,426,877.97"
短期借款,,"38,116,826.70",,,,,,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"8,529,300.00","102,599,151.05","23,276,092.80","32,164,927.40","9,348,339.80","15,281,623.00","33,361,634.00","47,140,959.60","33,128,769.50","28,974,100.50"
应付票据,,"7,062,000.00","752,000.00","3,096,000.00","3,792,812.80","3,135,400.00","1,952,400.00","600,000.00","610,000.00","610,000.00"
应收账款,"141,870,882.52","229,773,438.95","329,290,838.19","314,881,951.33","364,719,769.43","408,480,145.09","388,180,151.57","371,357,604.86","388,560,890.45","550,071,419.14"
应付账款,"133,570,938.70","72,049,677.03","136,500,294.49","117,800,504.52","108,446,238.96","135,641,690.56","124,288,586.87","71,861,487.61","105,416,489.70","195,237,315.51"
预付款项,"11,093,304.26","66,178,811.88","10,078,990.24","6,406,906.79","16,666,789.25","25,011,012.77","25,803,142.91","46,760,164.73","52,576,280.03","49,020,449.85"
预收款项,"326,736,946.97","308,674,023.87","162,906,095.82","161,988,080.71","131,250,304.97","159,411,441.38","151,525,033.89","160,987,058.34","169,761,841.51","149,633,787.83"
其他应收款,"29,398,606.72","18,667,050.85","31,899,383.49","30,366,106.64","30,079,677.07","33,192,181.17","33,978,348.84","35,849,218.86","37,297,527.18","33,970,043.88"
应付职工薪酬,"5,245,625.02","6,932,627.93","6,096,165.73","2,597,568.14","2,752,421.49","2,843,032.90","8,228,204.67","4,678,106.68","3,897,627.99","4,061,381.06"
应收关联公司款,,,,,,,,,,
应交税费,"10,103,181.67","14,562,462.28","42,724,476.41","32,755,905.44","50,991,555.56","50,424,493.79","13,590,139.54","21,651,532.88","8,095,516.80","21,975,230.73"
应收利息,,,,,,,,,,
应付利息,,,"79,826.39","87,083.33","94,340.27","108,854.16","123,368.05","123,368.05","113,208.33","126,561.11"
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"254,986,052.32","103,347,885.58","87,498,732.41","78,657,377.93","55,679,831.40","68,461,874.10","51,481,847.36","41,355,302.85","55,466,484.39","83,090,285.10"
其他应付款,"25,393,077.68","7,373,320.58","3,941,048.87","4,406,771.58","5,960,408.49","10,542,982.90","10,183,710.87","10,254,263.57","63,524,689.68","63,159,810.27"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","21,000,000.00","21,000,000.00"
其他流动资产,"33,241,280.45",,,"46,585.31",,"2,390,893.46","200,205,694.02","101,109,139.58","162,428,142.01","121,394,070.91"
其他流动负债,"683,306.38","923,306.38","1,123,306.38","1,123,306.38","1,123,306.38","741,485.46","37,612,339.34","21,965,133.18","31,056,811.94","54,920,604.96"
流动资产合计,"741,641,938.09","718,913,157.54","671,707,398.52","630,253,061.59","628,305,689.98","1,001,767,261.83","995,695,860.74","956,652,953.40","998,418,323.45","1,086,947,247.35"
流动负债合计,"501,733,076.42","455,694,244.77","364,123,214.09","333,855,220.10","314,411,388.92","372,849,381.15","357,503,783.23","302,120,950.31","403,476,185.95","510,724,691.47"
可供出售金融资产,,,,,,,,,,
长期借款,,,"40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","25,000,000.00","25,000,000.00"
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,,,,"35,245,137.85"
专项应付款,,,,,,,,,,
投资性房地产,,"18,434,032.63","17,790,940.99","17,630,168.08","17,469,395.17","17,308,622.26","17,147,849.35","16,987,076.44","16,826,303.53","16,665,530.62"
预计负债,"4,581,650.97","8,161,580.84","12,800,561.88","13,031,945.12","13,319,139.99","13,475,558.15","14,657,774.73","15,089,533.85","15,574,198.41","16,612,061.15"
固定资产,"32,989,785.71","14,999,885.22","13,635,260.96","14,546,902.84","17,594,093.41","17,689,101.37","17,457,717.40","13,306,874.80","16,005,841.09","36,175,522.47"
递延所得税负债,,,,,,,"47,744.79","47,744.79","29,814.47","35,633.60"
在建工程,"1,232,190.50","15,731,485.42","66,944,952.92","82,766,070.58","89,972,901.69","94,495,506.62","96,068,002.78","97,435,901.01","98,898,331.51","102,510,326.13"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"10,271,980.40","12,755,270.55","66,254,278.54","66,204,835.18","66,211,203.45","70,468,615.94","70,967,750.72","71,208,945.30","55,280,003.15","55,591,123.91"
固定资产清理,,,,,,,,,,
负债合计,"512,005,056.82","468,449,515.32","430,377,492.63","400,060,055.28","380,622,592.37","443,317,997.09","428,471,533.95","373,329,895.61","458,756,189.10","566,315,815.38"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"63,000,000.00","63,000,000.00","63,000,000.00","63,000,000.00","63,000,000.00","84,000,000.00","84,000,000.00","84,000,000.00","154,029,600.00","154,029,600.00"
油气资产,,,,,,,,,,
资本公积,"69,436,938.37","69,436,938.37","69,436,938.37","69,436,938.37","69,436,938.37","358,537,000.35","358,537,000.35","358,537,000.35","339,039,520.35","340,447,840.35"
无形资产,"20,389,210.97","20,948,078.61","18,454,207.23","17,880,938.89","17,523,080.13","17,053,219.15","16,548,030.55","14,066,203.47","14,471,962.40","14,386,411.44"
盈余公积,"18,051,828.32","25,475,884.68","30,488,900.88","30,488,900.88","30,488,900.88","30,488,900.88","34,945,063.28","34,945,063.28","34,945,063.28","34,945,063.28"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,"49,800,960.00","49,800,960.00"
商誉,,,,,,,,,,
未分配利润,"137,688,320.10","178,890,303.73","204,680,039.60","210,145,172.50","236,247,173.24","241,808,203.97","254,864,170.05","264,861,535.99","226,173,115.23","267,220,429.56"
长期待摊费用,,,,"204,383.42","186,349.58","168,315.74","150,281.90","132,248.06","114,214.22","96,180.38"
少数股东权益,,,,,,,,,,
递延所得税资产,"2,967,710.42","4,478,703.66","7,670,541.61","7,463,648.84","7,993,576.41","9,059,238.92","9,382,686.98","8,673,653.36","9,835,875.40","12,418,614.51"
外币报表折算价差,,,,,,,,,,
其他非流动资产,,"10,889,597.98","1,303,441.20","1,877,971.07","407,485.97","317,680.31","8,330,563.29","8,330,563.29","8,330,563.29","8,330,563.29"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"57,578,897.60","85,481,783.52","125,799,344.91","142,370,083.72","151,146,882.36","156,091,684.37","165,085,132.25","158,932,520.43","164,483,091.44","225,828,286.69"
所有者权益(或股东权益)合计,"287,215,778.87","335,945,425.74","367,129,250.80","372,563,090.03","398,829,979.97","714,540,949.11","732,309,459.04","742,255,578.22","704,145,225.79","746,459,718.66"
资产总计,"799,220,835.69","804,394,941.06","797,506,743.43","772,623,145.31","779,452,572.34","1,157,858,946.20","1,160,780,992.99","1,115,585,473.83","1,162,901,414.89","1,312,775,534.04"
负债和所有者(或股东权益)合计,"799,220,835.69","804,394,941.06","797,506,743.43","772,623,145.31","779,452,572.34","1,157,858,946.20","1,160,780,992.99","1,115,585,473.83","1,162,901,414.89","1,312,775,534.04"
