科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"265,403,601.30","69,821,060.03","114,415,165.13","140,723,927.05","179,788,916.85","734,486,073.81","1,045,710,461.62","307,082,866.27","336,777,927.70"
短期借款,,,,,,,,,
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"110,967.39",,"100,000.00",,,,"2,043,086.42","1,508,615.87","1,031,368.03"
应付票据,"1,480,057.56",,,,,,"816,113.60","329,958.88","38,981.45"
应收账款,"48,575,161.87","32,902,114.30","32,751,159.92","61,480,124.30","166,120,384.78","54,846,557.71","34,301,370.06","51,874,959.73","258,292,878.98"
应付账款,"71,381,769.74","73,393,383.47","75,755,759.71","76,546,574.78","188,283,380.66","75,734,867.44","58,889,066.37","83,955,775.45","240,062,013.53"
预付款项,"2,754,602.77","4,161,644.05","4,455,236.46","9,591,396.50","3,240,929.67","5,008,687.08","25,054,413.10","8,079,317.98","36,220,004.53"
预收款项,"250,292,334.72","283,709,951.08","351,844,682.80","401,178,789.47","472,598,120.95","436,009,679.96","454,449,272.58","473,227,567.07","608,002,522.14"
其他应收款,"27,996,990.46","31,108,932.51","25,283,545.55","23,153,194.72","26,863,018.46","26,494,518.51","74,129,467.51","27,932,842.41","28,144,054.18"
应付职工薪酬,"42,491,224.78","45,922,354.43","55,196,403.18","46,784,560.10","73,594,655.58","62,086,500.96","33,016,379.08","35,687,419.93","59,569,081.05"
应收关联公司款,,,,,,,,,
应交税费,"15,913,202.86","10,695,078.54","11,125,984.46","20,962,745.17","102,866,758.29","8,483,920.17","11,323,610.12","16,531,695.81","137,477,685.91"
应收利息,,,,,,,,,
应付利息,,,,,,,,,
应收股利,,,,,,,,,
应付股利,"94,709.83","94,709.83",,,,,,,
存货,"65,788,731.36","40,888,406.83","45,709,800.61","40,816,505.48","41,160,874.62","39,544,474.67","38,479,444.32","32,295,463.16","86,988,173.32"
其他应付款,"72,394,685.97","88,041,864.44","96,980,992.68","101,181,089.56","149,587,276.93","101,508,371.71","96,176,494.86","102,197,870.82","147,442,169.87"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,"3,329,762.14","1,307,343.61",,,,,,,
其他流动资产,"72,354,423.07","256,195,413.58","313,648,798.96","198,343,908.66","585,545,542.27","402,240,408.64","3,648,509.84","803,066,529.81","1,143,033,748.76"
其他流动负债,"113,277.86","119,116.98","104,488.03","106,617.06","106,617.06",,,,
流动资产合计,"482,984,478.22","435,077,571.30","536,363,706.63","474,109,056.71","1,002,719,666.65","1,262,620,720.42","1,223,366,752.87","1,231,840,595.23","1,890,488,155.50"
流动负债合计,"457,491,025.46","503,283,802.38","591,008,310.86","646,760,376.14","987,036,809.47","683,823,340.24","654,670,936.61","711,930,287.96","1,192,592,453.95"
可供出售金融资产,,,,,,,,,
长期借款,"36,573,079.45","3,268,357.45",,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,,
专项应付款,,,,,,,,,
投资性房地产,"104,820,826.55","98,621,535.88","96,505,319.95","98,584,327.83","100,435,261.32","100,524,111.33","105,261,291.86","102,743,516.19","101,517,522.57"
预计负债,,,,,,,,,
固定资产,"204,671,386.36","237,247,592.82","246,343,242.19","247,090,585.99","243,108,532.84","294,885,520.36","293,641,248.52","278,830,375.65","277,900,428.66"
递延所得税负债,,,,,,,,,
在建工程,"20,062,619.04","15,228,409.07","8,219,849.35","11,031,937.25","11,261,835.41","7,657,950.06","11,999,409.07","17,345,161.78","18,542,746.39"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,"38,711,642.22","20,220,623.34","23,581,706.92","20,884,368.14","20,421,459.64","30,235,253.20","26,877,334.57","24,373,472.72","21,510,998.95"
固定资产清理,,,,,,,"175,475.91","242,348.84","155,515.48"
负债合计,"496,202,667.68","523,504,425.72","614,590,017.78","667,644,744.28","1,007,458,269.11","714,058,593.44","681,548,271.18","736,303,760.68","1,214,103,452.90"
生产性生物资产,,,,,,,,,
实收资本(或股本),"180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","180,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00","240,000,000.00"
油气资产,,,,,,,,,
资本公积,"511,853.93","511,853.93","511,853.93","511,853.93","511,853.93","514,945,556.26","535,341,895.26","514,945,556.26","514,945,556.26"
无形资产,"17,271,174.93","18,716,981.68","34,769,723.75","34,558,955.48","32,868,353.13","35,099,026.22","37,339,676.33","32,334,296.27","29,174,993.62"
盈余公积,"53,406,616.50","66,661,437.05","79,535,231.76","79,535,231.76","79,535,231.76","94,095,365.35","94,095,365.35","94,095,365.35","94,095,365.35"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"190,973,928.54","139,270,106.83","190,835,743.02","83,072,028.30","261,765,953.21","224,225,614.62","205,236,208.34","172,455,799.53","365,945,596.16"
长期待摊费用,"69,799,428.45","77,816,791.76","74,591,053.94","72,071,961.17","72,968,119.55","73,754,033.98","75,077,256.24","86,098,279.02","98,154,577.22"
少数股东权益,"538,893.69","495,641.04","484,433.24","499,929.44","525,446.14","526,349.97","558,883.46","532,441.70","499,108.33"
递延所得税资产,"14,259,127.36","15,126,643.21","4,042,789.36","12,483,471.34","8,029,568.66","8,470,654.09","8,470,654.09","8,102,822.75","8,482,581.92"
外币报表折算价差,,,,,,,,,
其他非流动资产,,,"52,821,600.00","52,791,780.00","52,791,780.00",,"525,558.56",,
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"430,884,562.69","462,757,954.42","517,293,578.54","528,613,019.06","521,463,450.91","520,391,296.04","532,490,570.58","525,696,800.50","533,928,365.86"
所有者权益(或股东权益)合计,"417,666,373.23","374,331,100.00","439,067,267.39","335,077,331.49","516,724,848.45","1,068,953,423.02","1,074,309,052.27","1,021,233,635.05","1,210,313,068.46"
资产总计,"913,869,040.91","897,835,525.72","1,053,657,285.17","1,002,722,075.77","1,524,183,117.56","1,783,012,016.46","1,755,857,323.45","1,757,537,395.73","2,424,416,521.36"
负债和所有者(或股东权益)合计,"913,869,040.91","897,835,525.72","1,053,657,285.17","1,002,722,075.77","1,524,183,117.56","1,783,012,016.46","1,755,857,323.45","1,757,537,395.73","2,424,416,521.36"
