科目,2006年度
销售商品、提供劳务收到的现金,"4,006,555,692.50"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,
支付其他与投资活动有关的现金,"5,721,526.22"
收到其他与经营活动有关的现金,"139,108,097.06"
投资活动现金流出小计,"2,242,713,347.54"
经营活动现金流入小计,"4,145,663,789.56"
投资活动产生的现金流量净额,"-2,234,438,135.04"
购买商品、接受劳务支付的现金,"3,190,836,137.10"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"239,335,813.20"
取得借款收到的现金,"2,474,000,000.00"
支付的各项税费,"173,105,255.66"
收到其他与筹资活动有关的现金,
支付其他与经营活动有关的现金,"74,438,355.27"
筹资活动现金流入小计,"2,474,000,000.00"
经营活动现金流出小计,"3,677,715,561.23"
偿还债务支付的现金,"492,738,400.00"
经营活动产生的现金流量净额,"467,948,228.33"
分配股利、利润或偿还利息支付的现金,"82,524,075.29"
收回投资收到的现金,
支付其他与筹资活动有关的现金,
取得投资收益收到的现金,
筹资活动现金流出小计,"575,262,475.29"
处置固定资产、无形资产和其他长期资产收回的现金净额,"8,275,212.50"
筹资活动产生的现金流量净额,"1,898,737,524.71"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,
收到其他与投资活动有关的现金,
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"8,275,212.50"
五、现金及现金等价物净增加额,"132,247,618.00"
购建固定资产、无形资产和其他长期资产支付的现金,"2,236,991,821.32"
期初现金及现金等价物余额,"307,759,962.98"
投资支付的现金,
期末现金及现金等价物余额,"440,007,580.98"
