科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"153,382,546.70","192,710,906.41","124,781,550.45","84,926,447.18","273,250,892.36","69,866,026.57","148,501,953.77","179,208,210.58","166,918,414.50","233,010,367.29","274,958,126.53","301,486,612.34","143,582,637.67","160,328,519.48"
短期借款,"154,100,000.00","138,946,225.00","292,800,000.00","330,300,000.00","288,000,000.00","250,200,000.00","220,200,000.00","270,200,000.00","190,000,000.00","280,000,000.00","399,110,097.89","399,110,097.89","305,010,097.89","343,010,097.89"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"1,550,000.00","1,854,567.50","10,300,000.00","11,050,000.00",,"677,355.00","1,327,880.50","1,333,342.94","2,500,000.00","1,600,000.00","2,415,566.45","5,459,137.97","6,590,000.00","13,041,348.67"
应付票据,"40,120,000.00","157,473,110.00","101,805,700.00","106,060,000.00","65,100,000.00","30,300,000.00","68,000,000.00","77,730,000.00","171,830,000.00","106,800,000.00","20,565,600.00","66,685,600.00","65,905,600.00","108,513,200.00"
应收账款,"296,478,195.98","345,849,915.60","566,414,234.81","445,029,134.77","595,578,631.47","646,482,582.87","674,661,496.97","600,921,297.93","596,101,359.31","652,204,177.95","640,787,518.55","534,752,555.04","605,383,990.30","641,834,301.15"
应付账款,"186,491,468.42","380,139,901.15","369,237,304.80","109,020,221.03","206,997,814.48","187,207,832.74","226,773,231.07","97,309,286.19","146,515,049.36","264,081,365.63","254,052,275.32","71,570,608.91","159,142,749.72","168,362,904.17"
预付款项,"65,977,939.55","38,493,934.61","14,049,463.16","21,208,107.45","14,106,610.33","8,135,952.09","35,507,438.33","11,352,203.49","38,174,926.13","23,215,344.43","21,696,095.67","16,544,457.25","13,972,537.04","18,588,185.46"
预收款项,"99,781,913.35","158,716,291.92","21,118,970.00","6,170,281.00","6,108,181.00","10,614,814.60","28,879,492.80","110,897,250.93","143,688,291.66","201,408,287.98","143,478,479.40","118,612,693.37","140,194,413.92","105,942,328.71"
其他应收款,"1,492,451.56","28,107,325.60","7,437,317.22","8,324,355.03","2,298,476.98","7,304,148.99","16,656,057.25","51,371,685.91","42,955,147.55","9,808,301.73","15,584,786.61","41,036,329.05","11,344,165.64","14,251,274.67"
应付职工薪酬,"9,005,084.21","10,849,920.56","13,998,517.03","6,540,405.20","8,106,100.52","7,126,907.69","8,724,611.16","7,535,404.70","14,197,994.64","16,211,089.25","12,901,324.48","5,763,249.64","8,217,430.85","8,162,741.09"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"5,130,600.24","13,027,578.11","30,406,644.90","19,129,869.24","67,874.38","161,525.11","22,465,237.52","4,022,654.70","1,391,897.61","27,624,990.14","24,319,763.49","10,275,409.57","8,402,256.75","7,255,076.09"
应收利息,,,,,,,,,,,,,,
应付利息,"7,996,253.42","9,090,120.09",,,,,,,,,"314,940.51","314,940.51",,
应收股利,,,,,,,"538,467.01","538,467.01",,,,,,
应付股利,,,,,,,,,,,,,,
存货,"75,858,541.28","267,321,123.99","194,617,150.75","135,456,709.89","148,517,696.89","157,242,336.30","96,395,547.98","120,195,577.97","179,166,441.22","204,851,161.20","164,557,717.43","174,645,793.72","263,344,414.75","312,049,320.32"
其他应付款,"652,799.74","517,898.60","1,711,365.69","3,812,486.25","1,669,490.56","100,476.38","1,082,386.64","23,384,317.96","12,068,635.45","19,869,984.95","13,040,368.43","40,359,950.60","14,147,972.87","50,302,887.01"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,,"80,000,000.00","60,000,000.00","60,400,000.00","40,000,000.00",,,,,,,,,
其他流动资产,,"1,287,242.96",,,"1,686,168.92","3,193,783.82","297,935.55","4,774,953.52",,,"8,110,004.23","8,110,004.23","11,427,672.07","10,199,887.50"
其他流动负债,,,,,,"66,999,908.00","66,999,908.00","66,999,908.00","114,243,387.32","48,475,526.00","47,243,479.32","47,243,479.32","85,415,812.84","85,415,812.84"
流动资产合计,"594,739,675.07","875,625,016.67","917,599,716.39","705,994,754.32","1,035,438,476.95","892,902,185.64","973,886,777.36","969,695,739.35","1,025,816,288.71","1,124,689,352.60","1,145,839,125.11","1,082,034,889.60","1,055,645,417.47","1,170,292,837.25"
流动负债合计,"503,278,119.38","948,761,045.43","891,078,502.42","641,433,262.72","616,049,460.94","552,711,464.52","643,124,867.19","658,078,822.48","793,935,256.04","964,471,243.95","915,026,328.84","759,936,029.81","786,436,334.84","876,965,047.80"
可供出售金融资产,,,,,,,,,"30,000,000.00","30,000,000.00",,,,
长期借款,"110,000,000.00","80,000,000.00","60,000,000.00","87,600,000.00","78,000,000.00",,,,,,,"99,990,000.00","199,990,000.00","199,970,000.00"
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,
长期股权投资,,"3,500,000.00","4,164,773.73","6,268,840.54","5,169,259.67","6,654,854.29","9,002,082.82","8,846,130.66","12,569,680.79","5,415,724.15","34,606,860.89","34,567,358.27","34,900,018.58","34,836,568.85"
专项应付款,,,"704,200.00","981,669.00","704,200.00","981,669.00","722,400.00","722,400.00","722,400.00","18,200.00",,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,"2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00","6,180,000.00","6,180,000.00","6,180,000.00","6,180,000.00","6,180,000.00"
固定资产,"230,842,139.29","424,626,318.98","430,776,280.97","411,389,840.84","359,510,231.70","361,068,776.51","352,568,912.68","343,337,289.04","361,317,374.38","440,816,221.31","361,492,150.82","343,755,567.20","366,538,777.08","369,196,332.53"
递延所得税负债,,,,,,,,,,,"10,199,732.40",,"5,928,073.15","7,363,873.06"
在建工程,"64,981,990.56","8,022,490.74","1,643,504.39","9,328,730.09","52,420,167.44","44,849,194.51","47,434,646.47","48,692,836.16","49,392,534.53","30,045,682.39","47,480,696.77","54,211,515.11","42,148,541.58","27,468,664.63"
其他非流动负债,"3,000,000.00","3,000,000.00","3,000,000.00","3,000,000.00",,"5,458,822.23",,,,,,,,
工程物资,,,,,,,,,,,,,,"26,498.60"
非流动负债合计,"113,000,000.00","87,316,166.00","68,564,904.78","98,142,373.78","84,524,710.23","8,440,491.23","6,508,282.63","6,468,030.40","9,677,507.52","11,807,313.76","21,360,445.72","111,103,728.60","217,025,069.26","218,412,218.89"
固定资产清理,,,,,,,,,,,,,,
负债合计,"616,278,119.38","1,036,077,211.43","959,643,407.20","739,575,636.50","700,574,171.17","561,151,955.75","649,633,149.82","664,546,852.88","803,612,763.56","976,278,557.71","936,386,774.56","871,039,758.41","1,003,461,404.10","1,095,377,266.69"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"110,000,000.00","110,000,000.00","110,000,000.00","110,000,000.00","146,680,000.00","146,680,000.00","146,680,000.00","146,680,000.00","146,680,000.00","293,360,000.00","293,360,000.00","293,360,000.00","293,360,000.00","293,360,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"81,024,480.37","81,024,480.37","81,024,480.37","81,024,480.37","402,953,980.37","402,953,980.37","402,953,980.37","402,953,980.37","402,953,980.37","256,273,980.37","256,273,980.37","269,072,497.52","252,623,408.96","252,623,408.96"
无形资产,"23,026,154.12","50,539,401.69","49,827,971.36","62,453,518.17","62,141,726.95","63,021,666.44","83,967,522.19","83,430,057.51","82,743,212.36","82,113,722.85","89,127,227.51","88,270,768.44","90,309,609.46","89,463,920.43"
盈余公积,"11,006,723.51","19,887,143.78","29,604,376.33","29,604,376.33","29,604,376.33","29,604,376.33","33,176,800.32","33,176,800.32","33,176,800.32","33,176,800.32","34,700,882.59","34,700,882.59","34,700,882.59","34,700,882.59"
开发支出,,,,,,,,"9,697,729.87","8,320,894.83","11,614,580.54",,"232,101.52","2,208,293.04","9,589,080.79"
减:库存股,,,,,,,,,,,,,,
商誉,,,,,,,,,,"3,449,504.81","9,300,352.87","9,300,352.87","131,974,062.69","131,974,062.68"
未分配利润,"98,042,953.56","166,841,477.34","237,232,385.69","247,789,680.63","247,372,504.35","242,370,063.38","254,563,208.46","236,318,376.36","223,090,285.45","241,642,555.52","259,885,016.55","260,830,524.35","231,150,946.21","227,311,068.47"
