科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"343,867,973.11","387,276,026.19","382,701,187.40","241,496,736.55","330,793,512.09","457,483,965.20","70,023,877.95","210,028,472.24","312,484,146.79","429,107,746.66","61,919,131.23","130,021,782.60","215,000,944.13","327,199,940.64","97,268,738.35","208,731,169.73","304,195,585.00","403,963,295.52","97,949,566.47","232,904,848.59","363,387,912.34","422,597,577.14","117,585,033.99","267,327,991.87","431,393,590.09","604,428,479.78","124,170,808.76","383,226,596.66","543,286,021.25","673,968,610.35","153,523,656.70","313,258,029.14","485,554,839.99","924,079,637.95"
取得子公司及其他营业单位支付的现金净额,,,,"3,331,330.00","3,331,330.00","3,331,330.00",,,,,,,,,,,,,,"5,000,000.00",,,,"5,000,000.00",,,,,,,,,,
收到的税费返还,,,,,"1,345,846.89","1,392,164.27","635,782.85","2,079,385.11","5,187,178.56","8,823,048.58","1,631,762.17","2,945,617.36","6,526,305.18","7,286,972.93","1,526,603.89","1,675,558.26","1,675,558.26","1,675,558.26","1,358,762.29","3,258,585.44","3,571,488.57","3,571,488.57","1,966,911.52","1,966,911.52","3,768,378.54","5,137,205.96","475,009.11",,"1,358,215.13","2,539,767.59","2,847,159.18","6,850,082.56","7,107,842.26","15,765,429.70"
支付其他与投资活动有关的现金,,"55,525.13","92,370.00",,,,,,,,,,,,,,,,,,,,,,,,,,"604,825.47","604,825.47",,"3,172,900.00","3,172,900.00",
收到其他与经营活动有关的现金,"9,049,107.50","11,302,179.58","6,844,102.29","1,070,859.33","1,412,718.26","1,981,758.00","2,271,972.38","3,290,305.88","4,076,464.93","12,108,305.37","998,645.44","2,061,073.41","3,633,089.71","20,411,354.79","841,769.36","3,037,379.28","6,244,487.55","9,210,976.31","1,502,841.83","2,714,055.48","20,779,915.80","7,509,973.35","1,185,516.86","2,143,817.05","11,173,760.93","2,301,341.56","10,376,284.62","10,699,099.20","25,229,214.89","17,727,316.95","2,739,088.92","9,544,332.57","8,340,426.85","13,961,768.71"
投资活动现金流出小计,"10,167,969.92","8,677,425.11","10,294,165.26","11,909,302.51","14,932,625.36","41,828,592.43","2,299,380.34","9,212,650.69","12,900,934.88","74,766,041.61","29,345,411.20","94,797,651.88","118,522,380.74","140,295,908.31","12,550,460.72","26,593,296.69","29,089,528.19","23,671,121.62","2,829,482.14","15,988,331.59","25,353,170.42","37,896,015.52","13,469,606.10","15,021,426.19","38,785,321.72","48,270,536.60","8,443,750.58","18,195,058.77","22,917,315.14","23,124,953.14","485,193.90","6,038,770.61","7,337,823.46","560,366,423.63"
经营活动现金流入小计,"352,917,080.61","398,578,205.77","389,545,289.69","242,567,595.88","333,552,077.24","460,857,887.47","72,931,633.18","215,398,163.23","321,747,790.28","450,039,100.61","64,549,538.84","135,028,473.37","225,160,339.02","354,898,268.36","99,637,111.60","213,444,107.27","312,115,630.81","414,849,830.09","100,811,170.59","238,877,489.51","387,739,316.71","433,679,039.06","120,737,462.37","271,438,720.44","446,335,729.56","611,867,027.30","135,022,102.49","395,018,711.05","569,873,451.27","694,235,694.89","159,109,904.80","329,652,444.27","501,003,109.10","953,806,836.36"
投资活动产生的现金流量净额,"-9,267,347.17","-8,467,425.11","-10,257,146.03","-11,909,302.51","-14,911,525.36","-34,248,442.43","-2,299,380.34","-9,212,650.69","-12,893,934.88","-74,759,041.61","-29,343,411.20","-94,757,966.88","-106,477,395.74","-140,250,923.31","-12,550,460.72","-26,593,296.69","-29,089,528.19","-23,671,121.62","-2,829,482.14","-15,988,331.59","-25,353,170.42","-20,871,414.00","-13,469,606.10","-13,763,829.47","-38,785,321.72","-42,137,108.86","-8,443,750.58","-18,195,058.77","-22,917,315.14","-23,056,453.14","-485,193.90","-2,038,769.61","-3,337,822.46","-492,372,292.73"
购买商品、接受劳务支付的现金,"318,849,321.01","340,756,254.02","323,150,610.08","203,525,957.00","287,604,427.27","398,751,025.38","100,818,253.86","205,565,759.89","308,344,980.59","393,823,305.91","58,658,549.74","140,303,307.41","213,179,631.73","289,320,333.83","103,165,860.41","214,474,184.47","303,558,814.43","392,170,977.38","103,139,863.29","215,369,818.85","360,473,168.18","420,391,931.04","127,418,449.79","261,271,113.96","412,673,584.39","557,064,922.73","142,373,825.47","365,187,541.24","514,608,047.70","643,639,762.13","158,149,963.11","313,074,428.90","476,584,578.42","788,848,130.32"
吸收投资收到的现金,,"11,300,000.00",,,"437,520,000.00","431,473,700.00",,,,,,,,,,,"7,172,000.00","7,172,000.00",,,,,"8,450,000.00","10,900,000.00","69,895,362.06","99,900,000.00","30,000,000.00","30,000,000.00","38,600,000.00","8,600,000.00",,"500,000.00","1,000,000.00","522,319,894.00"
