科目,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"202,182,567.18","174,747,174.88","60,300,863.67","88,617,455.99","74,221,676.26","224,841,225.33","178,543,383.59","104,288,178.58","155,760,527.96","129,566,895.22","116,665,995.13","85,827,723.49","104,610,632.34","149,424,895.79","106,097,221.68","96,973,096.95","89,846,276.83"
短期借款,,"40,000,000.00","30,000,000.00","73,000,000.00","70,000,000.00","50,000,000.00","40,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","40,000,000.00","40,000,000.00","20,000,000.00","40,000,000.00","60,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,,"4,545,273.25","1,000,000.00","2,800,000.00","1,500,000.00",,,,"704,688.80",,"92,153.91","2,010,000.00","230,400.00",,"60,000.00","650,000.00","800,000.00"
应付票据,,,"1,826,440.00","9,972,100.00","11,462,624.00","3,050,113.00","1,499,589.00",,"1,611,150.00","1,611,150.00",,"3,366,945.09","3,366,945.09",,"1,954,193.50","1,954,193.50",
应收账款,"58,475,288.90","55,272,665.11","132,404,442.14","147,176,430.70","189,597,893.83","182,976,784.31","163,910,133.76","205,079,962.42","167,560,388.45","261,848,205.70","247,245,518.00","276,742,274.06","315,231,574.90","374,216,049.87","373,348,314.16","394,480,569.31","389,172,478.45"
应付账款,"14,294,153.66","16,686,601.86","19,751,311.01","14,920,831.29","31,268,360.68","18,639,087.29","13,402,020.76","19,107,177.33","17,087,800.73","31,213,971.52","16,145,010.02","28,692,286.04","18,663,646.45","22,856,873.46","16,444,173.84","20,565,255.66","32,061,743.79"
预付款项,"250,710.00","7,432,837.41","5,903,983.29","2,867,724.27","17,888,517.40","1,786,599.29","3,322,649.33","5,257,711.94","4,261,262.72","2,019,235.93","1,928,349.66","16,180,203.32","17,192,663.54","23,203,745.01","43,287,035.97","21,842,444.39","27,124,826.68"
预收款项,"2,622,881.06","8,420,950.26","4,863,256.68","5,330,783.62","13,908,070.53","379,772.93","1,887,161.57","238,670.72","1,378,889.85","622,633.66","1,060,085.62","2,968,067.68","1,542,548.74","1,772,391.95","838,611.26","7,671,263.56","7,155,173.05"
其他应收款,"3,221,875.95","10,742,387.85","12,889,443.69","12,707,263.99","19,071,291.35","5,259,186.96","10,396,927.29","8,372,743.39","9,595,691.62","5,832,094.09","8,759,779.18","13,075,586.47","19,363,653.56","10,747,586.23","14,007,753.19","16,083,735.99","17,623,880.49"
应付职工薪酬,"17,779,571.04","15,476,804.92","26,113,683.07","24,756,759.27","26,817,679.49","18,117,052.20","8,819,547.60","24,802,456.72","13,808,125.19","20,028,168.16","17,247,168.71","20,958,123.01","22,723,001.74","21,277,804.10","19,430,677.65","19,397,626.18","13,530,939.49"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"10,755,284.13","10,399,142.90","29,485,759.29","41,690,468.82","46,177,165.72","36,551,034.99","29,921,091.78","35,122,921.99","23,280,897.31","33,475,797.13","30,700,961.39","32,000,681.29","40,604,032.40","48,876,373.03","47,316,594.12","55,963,645.35","58,011,202.23"
应收利息,"304,829.40",,,,,,"833,666.67","451,000.00","728,750.00","981,750.00","162,448.61","52,195.00","30,977.14",,,,
应付利息,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,
存货,"24,208,605.60","51,002,614.90","63,770,869.69","60,914,177.74","65,217,119.58","69,088,723.89","73,954,725.72","81,727,283.19","85,412,012.26","73,302,900.43","85,188,718.40","108,966,026.35","92,264,050.04","108,596,070.75","120,991,530.11","166,227,805.35","167,107,033.16"
其他应付款,"276,515.12","5,208,705.41","15,263,427.46","15,159,211.12","27,294,676.79","25,167,479.46","17,741,858.00","23,238,257.61","21,781,992.80","96,307,241.88","97,176,029.51","97,417,502.12","97,640,364.44","148,984,311.71","153,754,316.61","190,393,948.54","150,033,466.99"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,
其他流动资产,,"9,000,000.00",,"11,603,661.59","13,546,716.49","11,753,327.76","11,633,617.65","14,018,856.69","11,441,872.13","10,853,796.49","10,038,569.98","11,195,787.76","12,860,729.96","8,237,122.55","8,204,689.69","9,448,540.02","8,885,299.06"
其他流动负债,,,,,,,,,,,,,,,,,
流动资产合计,"288,643,877.03","312,742,953.40","276,269,602.48","326,686,714.28","381,043,214.91","495,705,847.54","442,595,104.01","419,195,736.21","435,465,193.94","484,404,877.86","470,081,532.87","514,049,796.45","561,784,681.48","674,425,470.20","665,996,544.80","705,706,192.01","700,559,794.67"
流动负债合计,"45,728,405.01","96,192,205.35","127,303,877.51","184,830,154.12","226,928,577.21","151,904,539.87","113,271,268.71","102,509,484.37","88,948,855.88","193,258,962.35","172,329,255.25","195,403,605.23","224,540,538.86","283,767,754.25","259,738,566.98","335,945,932.79","320,792,525.55"
可供出售金融资产,,,"1,807,220.60","2,145,686.25","4,030,819.39","2,632,349.97","2,165,648.78","1,844,943.66","1,813,567.33","1,482,218.57","1,342,088.56","1,351,089.22","1,348,964.87","1,352,970.24","1,180,269.95","179,288.90","183,636.05"
长期借款,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,
长期股权投资,"5,674,400.71","15,315,812.70","21,570,135.76","1,400,062.26","401,739.24","327,082.46","264,913.38","254,706.48","160,861.27","6,974,871.00","6,844,674.93","6,501,170.35","7,565,924.72","1,394,849.16","1,394,849.16",,
专项应付款,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,
固定资产,"85,217,121.27","133,850,969.39","195,222,642.26","182,681,691.33","178,827,535.96","177,696,653.23","164,091,313.57","171,540,706.39","161,873,520.39","173,295,474.82","165,259,954.81","200,680,927.54","196,325,108.82","202,204,824.37","197,858,402.25","199,906,884.83","195,716,565.67"
递延所得税负债,,,,,,,,,,,,,,,,,
在建工程,"7,545,120.95","31,521,282.28","13,826,219.71","16,814,389.09","23,464,311.27","28,253,358.77","28,412,031.92","31,959,176.95","33,758,216.53","31,908,327.51","31,998,361.03","3,310,365.99","3,333,267.42","4,144,977.23","4,121,900.08","4,045,445.58","3,961,278.28"
其他非流动负债,,"13,400,869.89","22,838,409.93","22,055,860.05","24,795,762.61",,,,"19,998,409.40",,,,,,,,
工程物资,,,,,,,,,,,,,,,,,
非流动负债合计,,"13,400,869.89","22,838,409.93","22,055,860.05","24,795,762.61","24,405,186.66","22,969,667.77","22,843,811.23","19,998,409.40","20,521,367.48","20,333,865.37","21,108,890.84","21,069,320.16","21,273,057.78","21,329,837.18","21,507,297.50","20,907,144.54"
固定资产清理,,,,,,,,,,,,,,,,,
负债合计,"45,728,405.01","109,593,075.24","150,142,287.44","206,886,014.17","251,724,339.82","176,309,726.53","136,240,936.48","125,353,295.60","108,947,265.28","213,780,329.83","192,663,120.62","216,512,496.07","245,609,859.02","305,040,812.03","281,068,404.16","357,453,230.29","341,699,670.09"
生产性生物资产,,,,,,,,,,,,,,,,,
实收资本(或股本),"90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","124,610,000.00","124,610,000.00","124,610,000.00","186,915,000.00","186,915,000.00","192,430,000.00","192,430,000.00","192,430,000.00","192,430,000.00"
油气资产,,,,,,,,,,,,,,,,,
资本公积,"69,558,622.87","69,558,622.87","67,554,427.40","69,050,119.85","69,558,622.87","231,282,419.34","231,282,419.34","231,282,419.34","304,253,019.34","306,003,519.34","307,754,019.34","247,199,519.34","248,950,019.34","317,104,851.34","322,137,301.36","259,170,786.09","264,203,236.11"
无形资产,"645,773.07","25,853,557.23","24,930,312.09","81,317,582.44","79,935,907.75","78,480,934.89","71,015,006.38","71,967,513.35","58,541,749.55","61,928,250.63","61,058,393.17","65,882,077.69","66,057,322.85","72,932,852.41","73,399,721.20","74,263,638.62","70,529,297.18"
盈余公积,"11,167,017.94","13,844,570.98","14,278,295.35","14,278,295.35","14,278,295.35","15,666,337.99","15,666,337.99","15,666,337.99","15,666,337.99","16,254,350.25","16,254,350.25","16,254,350.25","16,254,350.25","16,782,394.42","16,782,394.42","16,782,394.42","16,782,394.42"
开发支出,,,"36,190,658.24",,,"800,000.00","800,000.00","800,000.00","800,000.00","1,300,000.00","1,300,000.00","1,300,000.00","1,300,000.00","1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00"
减:库存股,,,,,,,,,,"76,802,600.00","76,802,600.00","76,341,600.00","76,341,600.00","124,579,220.00","124,579,220.00","124,579,220.00","100,436,140.00"
商誉,,"362,686.79","1,772,732.58","1,772,732.58","1,772,732.58","1,772,732.58","1,772,732.58","1,772,732.58","1,772,732.58","1,772,732.58","1,772,732.58","1,772,732.58","1,772,732.58","6,492,177.48","6,492,177.48","6,492,177.48","6,492,177.48"
未分配利润,"181,486,344.71","232,679,721.94","267,755,132.84","275,766,242.90","287,011,814.08","297,726,888.54","297,934,861.82","297,585,755.71","306,570,764.39","328,110,819.04","326,860,136.90","332,367,180.26","345,559,428.94","368,528,480.94","368,915,653.43","387,435,468.13","380,165,753.75"
长期待摊费用,"51,300.00","1,649,389.18","8,050,844.68","7,970,153.45","7,717,333.83","7,279,818.80","6,848,800.69","6,432,426.34","6,406,566.38","7,385,526.21","7,508,022.16","7,163,767.11","7,484,171.33","7,041,803.26","6,493,045.30","5,888,352.19","5,302,972.05"
少数股东权益,"-1,964,064.50","15,530,037.60","16,176,267.15","15,476,690.12","16,031,827.94","12,249,697.81","11,674,683.94","10,301,675.06","9,906,464.64","9,339,333.94","8,788,099.63","7,628,736.12","7,336,466.20","12,517,911.91","12,108,997.72","10,988,396.13","10,857,677.79"
递延所得税资产,"2,022,864.60","3,071,502.58","4,594,059.63","5,750,054.96","5,029,909.96","5,421,341.61","5,421,146.21","5,420,084.47","5,419,707.84","5,959,541.30","5,959,541.30","7,053,346.62","7,455,970.62","7,248,751.85","7,077,636.98","7,495,406.37","7,543,846.24"
外币报表折算价差,"-6,175,868.40","-6,979,908.31","-21,967,581.76","-42,775,668.55",,,,,,,,,,,,,
其他非流动资产,,,,"2,438,226.81",,,,,,,,,,,,,
非正常经营项目收益调整,,,,,"-46,676,994.78",,,,,,,,,,,,
非流动资产合计,"101,156,580.60","211,625,200.15","307,964,825.55","302,290,579.17","301,180,289.98","302,664,272.31","280,791,593.51","291,992,290.22","270,546,921.87","292,006,942.62","283,043,768.54","295,015,477.10","292,643,463.21","303,813,206.00","299,018,002.40","299,271,193.97","290,729,772.95"
所有者权益(或股东权益)合计,"344,072,052.62","414,775,078.31","434,092,140.59","422,091,279.28","430,499,165.07","622,060,393.32","587,145,761.04","585,834,730.83","597,064,850.53","562,631,490.65","560,462,180.79","592,552,777.48","608,818,285.67","673,197,864.17","683,946,143.04","647,524,155.69","649,589,897.53"
资产总计,"389,800,457.63","524,368,153.55","584,234,428.03","628,977,293.45","682,223,504.89","798,370,119.85","723,386,697.52","711,188,026.43","706,012,115.81","776,411,820.48","753,125,301.41","809,065,273.55","854,428,144.69","978,238,676.20","965,014,547.20","1,004,977,385.98","991,289,567.62"
负债和所有者(或股东权益)合计,"389,800,457.63","524,368,153.55","584,234,428.03","628,977,293.45","682,223,504.89","798,370,119.85","723,386,697.52","711,188,026.43","706,012,115.81","776,411,820.48","753,125,301.41","809,065,273.55","854,428,144.69","978,238,676.20","965,014,547.20","1,004,977,385.98","991,289,567.62"
