科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"131,626,372.30","206,826,549.91","212,874,975.82","33,391,637.60","80,666,334.22","135,893,040.80","202,063,438.92","53,113,066.42","106,531,054.70","156,844,269.39","224,047,844.76","41,174,529.53","86,338,473.59","137,107,614.63","182,021,047.86","38,558,157.67","89,374,349.91","123,195,603.46","157,166,007.19","28,946,351.30","57,941,743.67","86,527,312.08","125,974,248.95","32,067,819.88","78,513,117.84","121,903,831.72","179,004,085.45","30,609,206.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,"789,797.61",,769.23,"1,772,569.23","1,871,455.52",,,,,,,,"9,611.66","19,985.68",,,,,,,,
收到其他与经营活动有关的现金,"9,508,987.07","10,481,476.65","26,014,329.33","4,313,474.15","6,245,233.28","9,293,482.16","13,823,116.67","3,610,892.68","28,534,878.01","31,537,323.41","39,232,823.80","7,931,336.49","21,691,238.61","25,808,803.15","33,924,132.00","9,391,774.72","20,262,918.99","22,499,913.43","27,494,426.76","4,843,258.52","16,082,582.18","22,867,232.69","26,700,815.74","4,847,766.87","8,171,829.85","10,217,827.47","8,692,667.00","3,228,323.15"
投资活动现金流出小计,"8,565,624.77","29,888,169.47","15,822,803.84","857,236.95","5,735,435.61","7,860,792.93","10,627,665.59","2,937,916.32","15,147,933.59","92,178,667.81","97,961,578.31","6,868,333.80","69,731,856.62","73,350,437.06","183,261,505.48","123,416,533.43","184,186,814.95","257,864,682.17","292,459,683.93","71,328,224.83","145,021,126.91","171,863,819.52","209,485,703.81","703,314.00","247,007,082.84","422,387,492.57","711,960,870.12","97,117,393.38"
经营活动现金流入小计,"141,135,359.37","217,308,026.56","238,889,305.15","37,705,111.75","86,911,567.50","145,186,522.96","215,886,555.59","56,723,959.10","135,065,932.71","188,381,592.80","263,280,668.56","49,105,866.02","108,029,712.20","162,916,417.78","215,945,179.86","47,949,932.39","109,637,268.90","145,695,516.89","184,660,433.95","33,789,609.82","74,024,325.85","109,394,544.77","152,675,064.69","36,915,586.75","86,684,947.69","132,121,659.19","187,696,752.45","33,837,529.40"
投资活动产生的现金流量净额,"-8,492,624.77","-26,763,169.47","-12,571,605.86","-857,236.95","-5,655,539.36","-8,649,340.77","-10,627,665.59","-2,937,916.32","-13,147,933.59","-88,178,667.81","-93,167,978.31","53,131,666.20","-7,886,048.40","-11,503,028.83","-14,686,572.30","-2,714,556.26","2,517,923.31","-10,417,443.91","-11,342,953.24","-14,617,101.54","-27,684,216.60","-54,526,909.21","-63,643,963.78","-663,314.00","-154,884,918.46","-156,688,921.00","-204,291,683.48","-20,171,403.05"
购买商品、接受劳务支付的现金,"84,360,482.89","107,255,196.07","124,578,367.44","19,778,353.05","43,875,598.36","66,255,422.25","96,293,226.82","26,798,684.97","61,772,775.16","88,288,139.38","116,786,980.31","19,929,096.37","46,538,952.73","63,225,758.01","77,026,395.82","12,250,903.33","34,696,386.87","45,349,707.79","60,071,917.01","6,297,878.42","18,732,591.37","23,232,946.66","37,319,220.65","10,741,541.38","25,894,551.17","48,821,801.80","69,905,512.65","8,488,545.59"
吸收投资收到的现金,"200,000.00","43,920,000.00",,"387,344,070.00","382,163,693.00","380,863,693.00","380,863,693.00",,,,,,,,"140,000.00","840,000.00","840,000.00","840,000.00","840,000.00",,,,,,,"1,960,000.00","1,960,000.00",
