科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"126,585,142.84","164,902,489.39","215,349,830.83","118,678,960.18","262,655,252.55","51,051,506.65","126,691,759.12","198,292,253.81","279,327,509.27","75,256,248.80","159,536,148.49","250,385,042.76","343,758,925.69","93,202,019.04","203,407,474.89","307,268,877.29","419,415,230.25","104,713,850.08","223,647,552.70","345,045,281.71","514,926,219.52","162,010,000.71","328,895,674.14","486,880,750.02","670,857,129.50","211,564,934.88","467,634,206.40","634,757,512.84","840,037,943.39","201,375,306.02","441,494,322.70","598,966,640.28","793,911,691.17","169,596,536.26","391,866,543.35"
二、营业利润,"4,613,810.76","7,581,151.00","25,678,165.03","16,778,307.95","34,105,800.76","6,807,215.23","22,144,050.14","34,619,333.83","45,891,583.33","9,291,795.29","27,349,710.17","42,993,010.55","55,883,709.90","12,233,130.56","34,965,862.62","54,879,617.44","69,300,317.37","14,796,250.72","43,124,991.90","68,372,525.22","99,232,697.46","21,304,147.76","50,862,575.20","68,684,187.66","79,887,084.84","23,573,456.71","53,466,411.46","62,914,486.02","58,240,012.00","12,788,588.18","33,876,448.95","26,472,460.68","51,756,018.09","11,913,923.22","43,382,126.20"
减:营业成本,"40,766,990.21","37,320,451.04","45,244,273.61","24,476,147.49","52,144,596.65","8,533,286.34","19,899,837.52","31,065,045.91","43,653,781.00","12,935,943.50","23,759,147.96","36,116,476.08","50,650,592.38","14,728,708.94","30,042,070.66","42,132,153.16","55,108,176.42","13,790,209.05","28,433,346.29","47,492,239.62","90,096,907.20","43,619,950.68","86,428,019.47","135,324,687.92","210,341,372.71","82,017,765.89","169,368,036.95","246,750,296.45","340,076,849.29","89,613,139.96","190,312,373.42","266,044,571.49","354,139,329.83","60,994,165.11","134,885,107.52"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,666,404.71","2,439,897.61","2,942,574.62","1,743,199.72","3,940,907.87","585,326.33","1,527,007.46","2,556,991.08","3,731,218.90","1,176,670.12","2,372,242.98","3,712,077.72","5,098,722.73","1,370,345.21","2,971,679.79","4,574,957.73","6,265,407.20","1,584,675.32","3,135,037.93","4,592,553.87","6,686,764.57","1,588,021.62","3,511,964.00","5,189,258.32","6,588,884.12","2,092,737.22","4,620,113.73","6,054,278.72","9,682,529.12","1,465,195.02","5,343,705.09","6,326,490.03","9,391,652.74","1,163,629.84","3,511,919.13"
营业外收入,"12,649,363.90","12,426,593.00","10,432,858.31","4,788,507.82","11,703,906.21","2,750,752.55","7,996,711.28","10,411,463.88","13,274,386.10","4,247,694.41","7,604,439.49","10,546,717.23","14,939,699.54","4,817,834.84","8,919,655.06","13,275,021.80","22,051,954.68","6,084,106.41","10,424,451.25","15,428,866.35","21,734,847.43","6,049,800.98","15,663,461.21","21,410,599.79","27,511,993.11","5,374,698.07","18,557,829.33","29,062,460.00","44,534,853.88","11,794,361.80","38,993,395.58","48,852,516.73","20,196,045.30","37,700.18","287,700.24"
销售费用,"59,868,843.90","85,930,707.53","112,307,187.10","60,387,108.45","135,484,859.40","26,931,419.71","67,669,217.81","106,803,180.52","151,666,865.18","41,550,203.94","88,358,163.97","140,535,442.74","191,477,111.74","52,348,831.52","113,590,587.90","170,425,831.13","230,518,570.23","57,437,549.69","120,080,026.73","179,262,720.38","253,826,191.42","72,639,632.80","147,825,103.88","214,800,172.91","285,975,178.92","80,427,755.70","190,619,763.34","255,277,277.13","337,788,277.61","72,972,718.96","164,267,293.04","226,743,453.98","317,421,015.52","81,264,977.80","172,481,582.48"
减:营业外支出,"1,138,400.43","1,983,921.51","1,552,294.09","251,226.25","478,618.89","1,072,625.14","1,426,951.13","1,594,683.70","2,522,435.64","748,486.49","883,444.85","1,063,986.61","1,593,016.97","714,654.48","850,284.37","788,430.97","983,029.03","26,475.05","365,542.26","371,737.46","474,560.04","48,814.36","134,653.80","206,533.68","1,952,132.39","84,173.35","346,692.84","425,187.26","7,664,631.13","10,070,450.36","10,244,660.37","12,142,779.19","10,532,411.90",,56.40
管理费用,"14,016,239.74","23,222,177.87","22,200,367.38","12,071,830.96","30,774,148.25","8,561,713.96","16,827,166.94","25,194,594.99","35,807,281.15","9,066,641.56","17,430,020.52","27,422,717.17","41,762,703.42","12,244,190.51","21,480,000.12","34,138,178.41","57,066,188.48","14,995,696.05","26,102,063.75","40,923,995.44","59,693,978.10","18,288,778.14","34,229,600.44","54,224,896.86","79,213,849.05","20,123,366.71","40,627,464.87","60,692,180.85","85,704,303.39","20,235,262.69","38,231,256.25","60,726,002.69","84,709,419.73","19,247,962.67","46,295,721.35"
其中:非流动资产处置净损失,"219,795.84","106,300.96","487,978.90",,,,,"-53,317.78",,,,,,,,,,,"106,638.16",,"106,638.16",,,,"1,549,926.14",,271.85,"17,404.78","6,799,037.05","10,070,450.36","10,218,411.53","10,218,411.53",,,
