科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
其他应收款,"2,824,484.13","518,599.27","1,209,103.92","733,944.77","1,197,239.05","581,680.67","988,284.75","1,023,386.59","1,405,340.80","1,908,026.26","2,300,630.33","1,522,614.40","1,814,904.76","2,554,003.00","2,980,513.69","2,414,794.10","1,552,942.23","1,964,843.03","3,697,053.87","2,156,525.27","5,291,860.15","2,124,185.82","2,839,686.57","3,117,101.96","2,059,596.56","2,194,378.51","2,014,660.73","2,841,980.87","4,984,572.02","4,700,298.62","4,359,283.22","5,723,074.74","5,198,810.95","7,030,914.41","8,271,919.64","8,410,432.92","6,997,985.81","8,327,451.60","10,017,922.32"
应付职工薪酬,"5,424,718.12","6,504,240.42","2,679,303.52","5,329,152.05","5,882,644.72","7,418,433.36","7,596,880.03","6,664,315.91","9,230,872.72","6,888,112.45","6,379,196.45","3,148,127.31","5,363,580.12","5,695,617.24","5,043,952.00","5,223,421.21","6,232,126.54","4,286,818.07","5,747,697.51","4,807,855.67","8,273,710.54","4,815,939.01","5,891,639.43","4,813,894.60","5,120,177.96","4,223,892.96","6,121,926.94","4,772,724.71","6,275,849.42","5,097,368.73","6,537,984.61","6,359,876.27","11,441,800.55","11,480,905.75","10,731,253.87","10,641,306.21","15,330,065.03","13,462,363.79","15,139,739.74"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"6,698,385.03","6,161,035.09","6,451,581.25","4,765,738.27","7,793,488.74","8,661,223.99","11,653,446.57","13,663,967.91","27,665,990.89","36,907,191.64","17,692,232.37","22,842,519.01","23,011,354.86","18,823,540.23","-9,542,302.75","-22,580,369.69","-17,967,147.05","-12,888,857.63","-21,872,614.84","-10,239,510.55","-13,213,111.29","-15,827,222.32","-28,300,530.10","-33,872,355.68","8,333,364.01","8,133,257.18","5,905,887.35","5,053,329.90","15,209,432.15","20,008,261.18","12,436,442.47","16,016,766.95","17,269,693.86","27,014,569.84","18,687,291.22","14,674,892.56","27,187,239.12","25,583,407.76","16,914,107.41"
应收利息,,,,,,,,,,,,,,,,,,,,,"1,268,082.19","983,050.93",,"531,458.31","700,756.17","994,666.72",,"433,472.22","725,095.89","1,224,972.59","1,724,849.29",,"544,520.55","653,424.66",,"1,124,083.29","22,768.82",,"4,127,777.78"
应付利息,,,,,,,,,,,,,,,,,,,,,"2,328,665.60",,,,"211,555.56",,,,,,,,"2,541,028.90",,,,"2,568,070.69",,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,"2,056,106.30",,,,"26,046.67","26,046.67","26,046.67",,"26,046.67","26,046.67","26,046.67","26,046.67","26,046.67","26,046.67","26,046.67","26,046.67",,,,,,,
存货,"133,782,341.55","172,580,096.01","172,206,599.53","188,125,483.66","165,105,391.16","190,307,934.39","314,221,819.77","316,423,823.89","380,368,771.07","397,276,384.41","406,317,376.28","391,133,377.57","401,469,870.25","508,376,201.69","518,581,072.30","597,628,507.16","591,714,506.66","587,766,757.31","651,032,756.35","684,891,089.55","738,890,912.85","752,083,876.49","774,433,416.52","760,178,862.17","746,599,052.07","895,950,107.90","805,810,032.58","772,275,990.49","790,693,258.94","829,655,229.72","852,313,237.28","870,200,855.78","856,384,368.21","1,010,271,845.20","1,089,326,361.61","1,116,668,316.94","1,164,274,803.43","1,288,142,154.91","1,286,105,872.64"
其他应付款,"11,048,764.52","87,550.00",,"97,874.00","83,775.38","7,754,187.48","6,562,490.85","5,354,090.70","2,431,905.17","2,289,164.31","2,148,930.19","2,125,207.64","1,969,410.44","2,079,252.78","3,740,453.78","2,943,202.70","6,720,763.82","7,801,008.17","10,076,510.48","10,372,679.48","5,297,093.08","5,377,093.12","4,881,738.41","3,157,972.41","4,180,506.40","7,352,256.98","6,839,164.86","3,036,784.81","27,709,145.10","26,381,481.25","27,556,255.87","27,431,756.11","7,528,818.19","4,576,455.54","6,430,800.09","5,640,603.81","7,547,392.54","7,592,562.35","8,040,703.41"
