科目,2012年度,2013年度,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"331,401,065.83","349,596,374.42","389,313,967.17","167,777,195.00","245,347,380.69","330,321,924.20","119,446,690.37","203,935,509.79","323,725,761.20","439,576,964.11","156,047,649.54","304,457,133.50","594,656,523.03","863,469,014.52","222,273,106.78","385,625,295.91"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"29,988,568.35","32,597,973.46","38,113,606.38","16,585,611.70","28,808,352.73","42,115,333.08","18,021,185.61","26,438,995.57","36,498,826.77","52,422,019.93","11,582,369.20","21,649,218.59","25,741,629.09","40,844,154.65","5,746,140.68","12,803,100.31"
支付其他与投资活动有关的现金,,,,,,"71,494,500.00",,,,"1,477,182.16",,,"31,000,000.00","31,133,408.00",,"116,300,000.00"
收到其他与经营活动有关的现金,"3,657,875.62","2,812,490.05","12,186,536.27","497,205.15","1,929,069.11","3,080,362.45","629,822.51","944,814.71","1,004,027.57","3,971,250.35","275,196.28","688,801.88","5,423,909.35","7,370,682.86","2,413,834.74","2,155,290.68"
投资活动现金流出小计,"23,563,668.33","43,983,906.08","44,344,461.48","27,288,983.69","34,745,546.63","105,396,451.69","5,069,616.90","10,818,454.36","10,788,562.13","22,444,475.53","8,121,302.18","16,877,949.80","57,242,230.15","76,338,374.16","16,116,722.00","134,916,550.95"
经营活动现金流入小计,"365,047,509.80","385,006,837.93","439,614,109.82","184,860,011.85","276,084,802.53","375,517,619.73","138,097,698.49","231,319,320.07","361,228,615.54","495,970,234.39","167,905,215.02","326,795,153.97","625,822,061.47","911,683,852.03","230,433,082.20","400,583,686.90"
投资活动产生的现金流量净额,"-23,563,668.33","-43,983,306.08","-43,962,361.48","-27,288,983.69","-34,745,546.63","-33,379,073.92","-5,069,616.90","-10,800,454.36","-10,770,562.13","-22,085,375.53","-8,121,302.18","-16,561,606.58","-10,478,722.68","-27,901,590.30","-16,116,722.00","-13,937,493.54"
购买商品、接受劳务支付的现金,"292,252,477.92","271,816,486.80","288,523,262.16","167,024,087.17","257,068,910.61","315,658,791.88","100,385,210.83","183,112,536.44","285,291,039.20","370,652,932.96","88,901,704.54","122,359,360.25","394,954,900.61","642,708,967.03","151,679,386.58","334,176,534.86"
吸收投资收到的现金,,,,"239,360,000.00","239,360,000.00","239,360,000.00",,,,,,,,,,
支付给职工以及为职工支付的现金,"34,601,625.43","36,997,275.73","45,900,168.96","24,257,439.37","36,811,969.81","54,773,543.50","12,798,883.17","25,923,620.85","40,767,434.14","53,136,822.32","12,508,282.88","24,929,021.67","52,375,108.80","64,969,458.24","14,521,166.11","36,761,627.32"
取得借款收到的现金,"433,760,545.25","589,642,233.73","725,335,299.16","386,203,565.01","472,677,771.68","512,677,771.68","67,945,148.09","201,854,384.18","327,623,960.65","335,755,130.99","180,951,580.21","198,750,768.72","436,473,036.33","516,473,036.33","78,268,337.46","193,592,854.90"
