科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"232,402,061.57","208,614,185.66","210,963,609.55","44,824,415.67","74,741,137.39","136,565,652.26","193,162,789.09","43,073,674.88","99,419,006.23","155,329,621.13","224,096,655.15","55,944,544.69","105,643,686.24","167,462,834.49","253,909,446.85","64,287,165.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,
收到的税费返还,"12,985,125.77","11,117,492.40","10,937,068.54","4,191,379.30","6,379,736.14","8,906,753.10","11,080,407.53","4,676,336.44","6,572,856.26","8,877,841.40","10,770,717.63","4,118,919.07","6,318,530.06","8,751,080.18","11,696,517.28","4,747,631.56"
支付其他与投资活动有关的现金,"5,357,955.30","6,760,000.00","4,650,300.00",,,"2,744,700.00","2,744,700.00","2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00",,,,"209,815.93",
收到其他与经营活动有关的现金,"2,756,009.28","2,065,330.47","6,767,252.18","562,973.33","1,150,116.09","1,496,770.84","3,570,285.18","442,801.96","1,045,858.77","1,399,845.92","4,179,590.87","1,216,300.18","2,692,516.09","3,059,244.55","7,706,164.60","426,307.30"
投资活动现金流出小计,"11,640,951.17","8,738,389.00","18,354,804.13","9,284,639.20","15,793,821.57","192,550,278.40","273,539,369.49","174,895,079.85","278,552,185.85","382,348,102.85","519,208,460.16","201,807,539.01","348,604,014.19","474,835,751.06","562,246,836.35","89,286,492.10"
经营活动现金流入小计,"248,143,196.62","221,797,008.53","228,667,930.27","49,578,768.30","82,270,989.62","146,969,176.20","207,813,481.80","48,192,813.28","107,037,721.26","165,607,308.45","239,046,963.65","61,279,763.94","114,654,732.39","179,273,159.22","273,312,128.73","69,461,104.74"
投资活动产生的现金流量净额,"-11,602,891.32","-8,643,389.00","-18,354,804.13","-9,284,639.20","-15,793,821.57","-177,402,043.76","-100,836,177.70","-83,313,509.47","-75,370,582.74","-85,103,117.65","-69,903,732.30","-17,248,318.68","5,294,491.39","-782,758.04","-17,729,589.20","-10,698,860.12"
购买商品、接受劳务支付的现金,"97,464,971.69","90,573,131.05","81,753,250.24","15,498,768.52","31,390,934.00","50,549,285.06","73,084,770.94","21,340,272.91","40,414,148.00","63,621,805.68","90,713,710.00","19,193,971.54","42,048,741.40","75,745,304.74","92,290,043.25","22,380,638.86"
吸收投资收到的现金,,,,,"191,850,000.00","191,850,000.00","191,850,000.00",,,,,"1,000,000.00","1,000,000.00","1,000,000.00","10,640,800.00",
支付给职工以及为职工支付的现金,"30,022,422.27","41,829,989.07","45,949,243.87","13,287,581.75","25,259,991.73","33,829,887.04","43,965,321.91","19,410,156.68","28,711,188.98","37,506,092.29","52,300,912.80","21,243,092.07","30,376,151.35","41,808,236.11","57,352,561.17","25,497,584.79"
取得借款收到的现金,"20,000,000.00","30,000,000.00","36,500,000.00",,,,,,,,,,,,,
支付的各项税费,"29,223,928.13","32,940,474.66","35,652,645.07","7,385,215.06","12,713,405.70","19,143,226.83","23,787,876.14","8,752,702.12","14,545,198.50","21,126,602.60","27,822,032.74","9,947,270.26","20,137,132.20","25,638,423.81","34,234,046.36","8,303,308.77"
收到其他与筹资活动有关的现金,"4,000,000.00","8,000,000.00","5,000,000.00","937,500.00","3,750,000.00","3,750,000.00","3,750,000.00","2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00",,,,,
支付其他与经营活动有关的现金,"38,853,088.96","41,157,097.44","37,816,990.75","9,285,091.71","19,674,093.24","28,723,930.17","35,489,646.29","9,552,953.00","22,047,378.59","35,696,189.75","43,840,985.33","17,941,058.78","30,685,272.59","38,872,834.61","58,059,252.86","10,944,023.90"
筹资活动现金流入小计,"24,000,000.00","38,000,000.00","41,500,000.00","937,500.00","195,600,000.00","195,600,000.00","195,600,000.00","2,500,000.00","2,500,000.00","2,500,000.00","2,500,000.00","1,000,000.00","1,000,000.00","1,000,000.00","10,640,800.00",
经营活动现金流出小计,"195,564,411.05","206,500,692.22","201,172,129.93","45,456,657.04","89,038,424.67","132,246,329.10","176,327,615.28","59,056,084.71","105,717,914.07","157,950,690.32","214,677,640.87","68,325,392.65","123,247,297.54","182,064,799.27","241,935,903.64","67,125,556.32"
偿还债务支付的现金,"45,000,000.00","20,000,000.00","30,000,000.00","270,833.00","541,666.00","36,500,000.00","36,500,000.00",,,,,,,,,
经营活动产生的现金流量净额,"52,578,785.57","15,296,316.31","27,495,800.34","4,122,111.26","-6,767,435.05","14,722,847.10","31,485,866.52","-10,863,271.43","1,319,807.19","7,656,618.13","24,369,322.78","-7,045,628.71","-8,592,565.15","-2,791,640.05","31,376,225.09","2,335,548.42"
分配股利、利润或偿还利息支付的现金,"24,907,642.29","13,661,500.00","13,445,930.58","355,152.77","714,208.33","793,609.55","793,055.55","4,850.00","19,892,215.36","19,892,215.36","19,887,365.36",,"15,000,000.00","15,000,000.00","15,000,000.00",
收回投资收到的现金,,,,,,"15,000,000.00","171,000,000.00","91,000,000.00","201,100,000.00","294,270,000.00","444,272,000.00","183,501,433.00","351,501,739.07","469,664,539.07","538,066,039.07","77,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"4,742,000.00","4,415,754.00",,,,,,,"6,045.39","12,090.78","46,853.85"
