科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"492,918,672.99","550,479,105.68","368,763,964.55","686,737,512.00","1,059,853,704.58","261,981,048.21","1,146,218,465.37","1,589,204,737.75","1,953,213,761.09","372,840,546.87","762,361,083.49","1,169,633,827.00","1,456,409,175.84","537,854,323.17","1,504,982,662.73","2,025,100,026.93","2,217,726,126.12","675,996,429.53","1,560,591,444.67","2,430,737,467.80","2,507,206,894.75","429,912,537.80","1,322,126,423.77","1,766,137,202.64","1,943,157,604.33","463,546,102.23","1,059,888,689.99","1,515,670,262.82","1,677,785,687.61","277,197,622.48","1,030,716,347.41","1,536,904,111.24","2,051,420,741.81","465,763,642.52","1,260,593,781.29","1,738,401,016.29","2,003,054,905.62","463,498,791.81","1,005,134,010.16"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"3,453,053.79","3,632,788.45",,,,,"6,550,161.57","6,550,161.57","6,550,161.57",,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"28,305,037.33","25,164,777.17","18,593,308.14","18,593,308.14","35,308,903.17","16,073,068.07","24,401,535.75","32,777,270.54","54,943,490.95","15,936,648.54","36,647,274.36","57,053,118.76","84,381,820.86","13,187,080.71","23,983,978.46","46,619,373.86","81,422,964.13","16,267,293.41","34,349,903.45","45,635,434.02","92,726,777.21","26,615,252.71","39,747,899.93","52,575,232.21","92,264,766.56","25,102,804.11","33,212,629.72","45,175,179.59","85,041,683.34","27,390,732.04","19,239,432.78","42,863,209.52","37,046,325.38","21,072,245.64","39,721,984.68","64,363,062.36","69,334,782.60","17,861,156.90","30,870,142.60"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,"60,080,000.00","60,080,000.00","60,080,000.00",,,,,,,,,,,,,,,,,,,,,"199,765,322.20",,"29,035,203.40"
收到其他与经营活动有关的现金,"230,683,129.72","212,474,384.91","155,088,102.32","272,495,372.54","204,574,967.56","146,590,727.45","212,958,217.35","351,296,444.69","461,546,634.04","35,150,469.11","203,350,220.10","326,920,580.32","539,429,331.87","123,803,192.74","484,506,116.11","599,549,141.66","726,260,749.77","233,378,980.69","584,624,151.44","959,047,344.13","608,828,869.55","272,924,310.61","432,304,631.12","676,092,625.09","588,012,831.46","201,177,520.16","399,849,545.54","546,778,684.03","470,436,424.25","221,883,832.15","678,857,275.20","831,697,057.02","798,451,114.64","209,391,622.31","723,496,715.63","967,538,447.43","1,660,486,050.94","110,970,999.26","582,864,736.59"
投资活动现金流出小计,"925,177,605.93","179,468,937.11","24,335,943.69","32,420,570.23","83,640,812.53","149,640,963.04","224,859,128.10","234,361,001.93","560,946,470.80","2,098,624.48","22,364,353.03","36,311,352.12","983,160,964.28","167,806,775.36","604,509,775.03","611,224,687.92","2,095,994,338.69","294,158,606.14","1,228,183,765.50","2,206,912,598.70","3,512,408,229.49","758,518,652.75","1,775,719,681.45","2,565,638,553.27","4,018,751,671.71","485,217,794.38","991,473,096.03","2,171,499,975.63","3,200,062,758.23","675,332,383.46","2,117,749,047.73","3,085,085,782.30","4,890,172,752.32","1,684,428,426.61","2,361,772,018.38","3,372,676,978.13","4,942,589,780.48","601,352,718.34","1,053,862,108.43"
经营活动现金流入小计,"751,906,840.04","788,118,267.76","542,445,375.01","977,826,192.68","1,299,737,575.31","424,644,843.73","1,383,578,218.47","1,973,278,452.98","2,469,703,886.08","423,927,664.52","1,002,358,577.95","1,553,607,526.08","2,080,220,328.57","674,844,596.62","2,013,472,757.30","2,671,268,542.45","3,025,409,840.02","925,642,703.63","2,179,565,499.56","3,435,420,245.95","3,208,762,541.51","729,452,101.12","1,794,178,954.82","2,494,805,059.94","2,623,435,202.35","689,826,426.50","1,492,950,865.25","2,109,861,351.76","2,249,437,208.62","526,981,790.98","1,730,643,217.80","2,413,958,208.00","2,889,761,215.40","697,870,614.25","2,025,662,173.47","2,782,672,266.59","3,737,729,336.41","592,330,947.97","1,626,335,036.89"
投资活动产生的现金流量净额,"-290,163,931.30","-164,285,218.48","29,744,056.31","21,659,429.77","-1,001,112.47","-149,640,963.04","-223,871,891.31","-233,373,765.14","-559,983,582.01","-2,098,624.48","-22,364,353.03","-36,001,352.12","-852,722,848.11","-167,806,775.36","-604,220,302.43","-609,225,790.66","-1,155,302,801.74","-150,096,984.74","-671,189,278.83","-897,260,845.06","-1,280,059,912.24","41,431,155.74","-441,371,538.52","-973,855,631.14","-1,474,458,673.02","29,346,688.13","-61,926,058.74","-944,871,383.22","-1,275,204,288.63","-204,228,267.83","-806,207,030.52","-914,853,951.64","-1,919,695,771.76","-140,710,716.16","290,429,808.42","307,525,248.87","-44,068,005.54","-95,985,284.92","-417,261,396.79"
购买商品、接受劳务支付的现金,"276,665,075.47","494,059,718.46","277,316,778.74","484,993,505.59","687,519,271.82","249,773,097.10","511,879,755.93","813,426,236.08","713,490,895.38","215,458,307.13","727,524,801.74","1,120,928,824.41","745,139,995.19","373,359,054.45","381,971,723.20","774,749,157.07","823,660,965.10","272,050,541.73","372,255,672.09","653,567,351.95","724,348,572.65","380,213,253.78","427,934,302.08","736,252,844.25","651,727,730.90","309,492,794.64","432,102,026.13","694,802,936.44","520,824,729.52","172,530,309.81","318,423,771.29","662,271,360.60","704,645,024.60","244,410,736.10","494,442,415.61","763,742,810.83","882,966,530.25","219,458,249.64","223,938,824.56"
吸收投资收到的现金,"155,221,856.00",,,,"28,200,000.00","1,354,850,000.00","1,360,679,400.00","1,360,679,400.00","1,360,679,400.00","14,700,000.00","14,700,000.00","14,700,000.00","14,700,000.00","13,457,600.00","13,457,600.00","13,457,600.00",,,,,,"10,800,000.00","30,800,000.00","70,800,000.00","74,400,000.00","3,600,000.00","3,600,000.00","6,050,000.00","6,050,000.00","851,000.00","1,151,000.00","202,293,000.00","1,734,549,644.27","500,000.00","500,000.00","2,000,000.00","3,715,000.00",,"1,200,000.00"
支付给职工以及为职工支付的现金,"8,670,052.88","19,929,894.11","11,114,360.23","16,671,540.35","22,978,918.43","8,068,294.45","11,016,737.52","18,632,200.14","30,312,525.44","13,218,454.28","17,648,981.52","26,846,805.26","39,194,714.97","13,908,350.88","26,863,381.66","38,873,723.50","51,440,590.07","20,245,256.89","33,952,107.98","48,096,595.53","62,511,893.55","23,446,978.26","38,493,779.28","54,345,419.32","69,907,829.74","30,819,378.04","50,946,100.57","70,838,033.44","93,188,182.14","34,184,441.37","61,991,817.00","81,657,716.57","112,044,877.32","43,193,463.48","74,162,625.92","100,790,113.51","135,944,310.36","41,266,601.09","74,634,906.88"
