科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"54,826,708.39","59,439,359.67","123,909,037.19","104,274,061.44","1,289,899,090.19","1,091,917,382.58","1,108,450,494.34","1,007,673,544.03","933,613,762.55","940,616,971.61","862,228,116.03","870,708,684.92","809,250,464.01","1,140,316,614.63","845,282,259.41","759,861,602.01","621,966,727.80","571,046,201.53","721,594,173.83","455,425,781.25","474,469,749.47","628,372,040.69","689,420,767.45","567,008,068.22","641,213,463.88","235,716,439.42","610,912,967.52","419,022,514.07","328,546,969.72","358,106,539.14","1,131,981,061.41","696,790,639.45","369,637,979.06","682,299,978.51","373,920,463.95","296,637,199.42"
短期借款,"60,000,000.00","113,000,000.00","30,000,000.00","50,000,000.00","70,000,000.00",,,,,"156,400,000.00","154,800,000.00","187,400,000.00","152,700,000.00","158,300,000.00","169,100,000.00","120,000,000.00","172,000,000.00","362,000,000.00","402,000,000.00","332,000,000.00","572,000,000.00","42,000,000.00","72,000,000.00","62,000,000.00","152,000,000.00","182,000,000.00","662,000,000.00","888,000,000.00","1,139,000,000.00","1,261,010,000.00","837,000,000.00","62,000,000.00","62,000,000.00","92,000,000.00","192,000,000.00","182,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"21,321,700.00","13,778,486.39","27,127,548.00","19,962,500.00","52,107,004.66","67,078,709.60","81,082,900.29","118,142,387.94","127,598,103.72","189,078,000.36","230,869,744.95","336,033,309.45","405,566,214.13","343,918,805.77","237,911,913.42","277,554,560.57","273,917,751.96","288,830,194.49","296,980,909.20","264,747,363.69","274,252,060.62","243,832,726.29","242,688,073.80","245,119,689.08","306,323,319.73","181,554,560.26","227,571,943.98","219,102,007.17","284,404,522.93","229,350,678.21","296,468,176.63","625,898,237.79","1,008,984,472.32","551,556,370.23","893,455,081.53","821,974,150.14"
应付票据,"123,580,923.00","133,751,280.07","261,161,318.30","244,292,405.98","196,236,860.60","180,771,330.00","190,470,702.45","183,757,692.74","125,780,829.34","219,746,573.50","179,255,227.47","186,655,918.62","244,898,990.62","185,185,613.48","92,160,978.35","145,527,119.79","184,007,751.09","203,507,801.38","229,584,462.84","203,868,183.15","173,316,976.55","168,162,751.88","175,586,891.78","208,911,642.75","234,752,508.20","215,049,291.45","610,291,065.93","664,026,519.47","562,894,256.40","503,512,740.63","505,080,774.63","639,359,915.65","694,715,037.91","657,231,376.33","487,631,267.89","449,293,887.50"
应收账款,"42,981,435.64","52,906,252.73","67,606,865.10","51,968,688.82","86,208,324.82","105,010,011.91","103,883,355.00","160,290,935.70","120,154,421.60","250,672,757.74","272,772,730.27","315,519,398.78","301,628,876.98","257,879,176.47","264,558,626.65","288,478,162.31","269,293,389.48","245,460,295.15","226,426,254.74","303,436,706.28","254,744,900.16","273,438,057.60","304,868,590.26","384,826,515.95","410,095,820.36","422,296,963.78","853,564,764.76","966,999,405.46","929,655,690.37","845,687,480.08","1,549,903,748.60","1,478,982,457.64","1,107,072,387.46","1,182,410,026.10","1,155,144,450.79","1,124,241,749.60"
应付账款,"96,623,649.46","82,672,461.62","116,795,839.71","93,693,418.75","91,915,376.08","69,485,118.32","110,417,347.63","77,528,849.61","112,170,708.32","309,765,274.19","346,429,194.41","385,245,543.07","326,421,415.61","276,522,170.73","307,893,210.61","306,879,480.47","276,689,866.46","275,377,669.08","287,359,159.34","279,583,690.34","254,742,729.44","223,597,487.48","248,929,219.33","272,730,077.07","294,271,904.25","416,298,045.60","968,710,317.10","982,160,981.77","855,592,491.06","810,576,051.68","1,728,646,894.20","1,519,786,217.29","1,231,408,413.82","1,234,938,876.71","1,253,519,957.78","1,192,089,384.62"
预付款项,"16,128,680.09","39,239,482.71","63,411,991.58","61,179,493.43","24,803,163.18","40,521,957.97","83,977,227.22","57,754,272.87","101,855,711.54","134,021,948.19","97,305,751.80","105,071,185.96","80,255,538.30","81,228,250.26","60,056,186.30","149,056,692.81","38,176,642.07","57,532,466.27","15,358,499.60","115,363,171.62","38,275,611.61","90,898,467.35","15,305,499.60","10,743,195.12","61,509,305.57","86,129,603.94","39,265,181.98","65,124,081.55","68,114,240.06","631,999,756.86","36,685,901.40","234,493,379.03","134,247,433.57","324,326,541.88","56,186,756.47","100,169,946.78"
预收款项,"6,267,060.26","5,563,240.86","2,790,875.52","2,417,250.00","2,424,416.13","2,430,754.13","1,528,746.14","1,155,000.00","1,470,173.04","16,449,562.69","6,864,429.45","18,568,461.19","16,860,775.41","9,849,004.26","12,482,603.25","13,327,845.35","14,243,446.51","15,373,775.30","6,575,417.39","9,199,759.73","11,812,732.65","10,528,687.00","8,445,837.39","8,641,739.69","12,443,878.44","13,791,698.39","23,448,365.56","24,942,009.02","33,735,003.42","16,167,370.58","21,904,659.98","22,414,980.23","28,906,415.95","10,075,056.75","14,036,266.57","16,821,886.36"
