科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"387,041,900.24","430,863,966.30","821,604,252.93","545,348,522.56","998,781,644.42","182,006,949.05","370,258,089.47","586,493,899.31","798,645,991.92","190,899,137.20","369,229,072.37","615,142,811.38","829,506,707.51","174,209,592.73","412,595,251.05","649,871,971.29","1,037,342,519.64","261,065,489.94","616,436,915.01","969,266,948.25"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"3,065,932.71","545,197,010.67","125,197,041.36","27,107,274.48","27,107,274.48","27,107,274.48","27,107,274.48",,,
收到的税费返还,,,,,"79,867.33",,,,,,,"144,958.45","153,444.49","3,608,244.60","3,608,244.60","3,732,780.00","3,732,780.00","631,143.81","3,715,879.44","11,710,095.30"
支付其他与投资活动有关的现金,,,,,,"1,419,000.00","613,000.00","889,200.00","804,800.00",,,"2,129,694.08","3,197,094.08","1,368,107.70","3,573,107.70","2,011,375.61","2,131,443.97","1,358,828.53","107,169.81","47,169.81"
收到其他与经营活动有关的现金,"2,227,581.42","21,601,638.11","3,305,233.38","14,924,913.84","33,160,237.52","6,743,919.72","7,328,519.60","6,207,263.46","40,006,280.43","3,529,391.39","10,267,136.00","11,321,628.19","50,037,001.79","19,486,000.61","13,126,041.12","39,311,290.18","38,680,360.28","700,451.32","13,960,885.60","78,383,744.20"
投资活动现金流出小计,"101,945,078.87","62,920,120.41","104,173,255.56","28,855,813.84","120,413,199.89","25,680,185.69","47,767,315.64","75,345,822.31","128,024,525.14","25,791,286.21","58,332,312.01","623,932,424.46","217,816,649.36","48,565,797.30","84,824,088.70","162,122,765.81","189,980,348.08","28,775,987.73","131,396,508.37","157,660,013.25"
经营活动现金流入小计,"389,269,481.66","452,465,604.41","824,909,486.31","560,273,436.40","1,032,021,749.27","188,750,868.77","377,586,609.07","592,701,162.77","838,652,272.35","194,428,528.59","379,496,208.37","626,609,398.02","879,697,153.79","197,303,837.94","429,329,536.77","692,916,041.47","1,079,755,659.92","262,397,085.07","634,113,680.05","1,059,360,787.75"
投资活动产生的现金流量净额,"-99,198,344.27","-62,787,451.34","-104,150,606.56","-28,855,813.84","-119,283,115.90","-25,680,185.69","-47,759,315.64","-75,292,267.69","-127,970,970.52","-24,370,581.09","-57,418,085.64","-623,135,593.34","-217,346,785.67","-48,565,797.30","-84,020,088.70","-160,862,746.58","-188,470,728.85","-27,915,515.31","-130,006,559.59","-155,473,923.74"
购买商品、接受劳务支付的现金,"222,939,170.19","232,358,891.41","412,361,812.02","315,354,552.16","562,976,057.46","111,382,260.80","221,371,173.36","354,490,631.35","468,163,735.38","114,905,654.68","183,871,445.53","316,164,669.30","451,725,080.42","125,126,157.35","260,148,317.96","421,274,135.89","654,699,055.49","182,133,809.71","418,890,279.50","682,733,860.11"
吸收投资收到的现金,"60,000,000.00",,,,,"249,970,000.00","249,970,000.00","249,970,000.00","249,970,000.00",,"138,879,978.35","773,133,789.28","353,133,819.97","84,052,140.00","83,552,140.00","83,034,010.00","84,053,400.00",,,
支付给职工以及为职工支付的现金,"56,089,540.07","75,098,908.39","112,121,693.37","97,796,390.67","190,538,775.79","42,986,306.97","90,591,008.01","141,908,217.04","193,674,277.06","56,462,231.24","102,974,413.34","163,109,563.80","219,433,254.50","66,337,615.95","121,607,138.68","181,168,416.99","242,540,349.43","92,838,132.64","137,950,440.52","206,508,302.16"
取得借款收到的现金,"55,000,000.00","84,750,000.00","74,750,000.00",,"30,000,000.00","20,000,000.00","35,000,000.00","35,000,000.00","75,000,000.00","28,000,000.00","43,000,000.00","43,000,000.00","43,000,000.00",,"80,000,000.00","155,000,000.00","128,000,000.00","20,000,000.00","230,000,000.00","266,000,000.00"
支付的各项税费,"31,787,859.42","41,889,941.49","57,549,694.41","30,024,966.68","59,378,566.03","18,649,959.21","49,613,465.08","73,205,574.60","96,607,179.08","36,473,699.45","45,901,729.32","64,378,360.51","100,942,234.42","26,204,986.65","38,329,868.79","51,449,254.53","109,504,736.69","14,027,310.52","26,476,319.79","45,161,398.14"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,"5,500.00","51,504.18","97,442.23","65,139,327.68","100,000.00",,
支付其他与经营活动有关的现金,"45,211,497.55","53,731,781.60","66,996,645.21","41,910,446.88","80,234,524.88","25,112,995.46","45,034,738.57","48,752,147.65","88,893,804.72","21,583,437.34","62,341,690.94","83,247,032.71","140,596,045.11","34,278,423.37","48,295,187.48","92,212,534.24","102,951,498.15","26,998,696.51","67,739,236.29","174,487,796.35"
筹资活动现金流入小计,"115,000,000.00","84,750,000.00","74,750,000.00",,"30,000,000.00","269,970,000.00","284,970,000.00","284,970,000.00","324,970,000.00","28,000,000.00","181,879,978.35","816,133,789.28","396,133,819.97","84,057,640.00","163,603,644.18","238,131,452.23","277,192,727.68","20,100,000.00","230,000,000.00","266,000,000.00"
经营活动现金流出小计,"356,028,067.23","403,079,522.89","649,029,845.01","485,086,356.39","893,127,924.16","198,131,522.44","406,610,385.02","618,356,570.64","847,338,996.24","229,425,022.71","395,089,279.13","626,899,626.32","912,696,614.45","251,947,183.32","468,380,512.91","746,104,341.65","1,109,695,639.76","315,997,949.38","651,056,276.10","1,108,891,356.76"
偿还债务支付的现金,"25,000,000.00","36,800,000.00","141,700,000.00","50,800,000.00","50,800,000.00",,"50,000,000.00","50,000,000.00","50,000,000.00","25,000,000.00","27,000,000.00","27,300,000.00","100,000,000.00",,"63,000,000.00","63,000,000.00","63,000,000.00",,"80,000,000.00","90,000,000.00"
经营活动产生的现金流量净额,"33,241,414.43","49,386,081.52","175,879,641.30","75,187,080.01","138,893,825.11","-9,380,653.67","-29,023,775.95","-25,655,407.87","-8,686,723.89","-34,996,494.12","-15,593,070.76","-290,228.30","-32,999,460.66","-54,643,345.38","-39,050,976.14","-53,188,300.18","-29,939,979.84","-53,600,864.31","-16,942,596.05","-49,530,569.01"
分配股利、利润或偿还利息支付的现金,"17,185,370.27","8,027,593.91","7,062,797.06","988,223.93","1,143,223.93","536,666.67","8,135,011.72","8,757,258.54","11,387,869.65","10,024,042.20","11,452,890.73","13,567,438.99","59,805,080.40","1,057,619.06","10,498,442.58","11,358,481.26","12,437,522.92","1,225,116.25","22,935,423.69","38,903,488.10"
收回投资收到的现金,"266,000.00",,,,,,,,,,,,,,,,,,"600,000.00","600,000.00"
支付其他与筹资活动有关的现金,,,,,,,,,,,"453,661.00","1,813,441.00","3,171,862.00","921,089.00","1,390,604.00","1,589,052.11","3,169,091.33","223,585.52","224,919.12","269,524.93"
取得投资收益收到的现金,"104,200.00",,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"42,185,370.27","44,827,593.91","148,762,797.06","51,788,223.93","51,943,223.93","536,666.67","58,135,011.72","58,757,258.54","61,387,869.65","35,024,042.20","38,906,551.73","42,680,879.99","162,976,942.40","1,978,708.06","74,889,046.58","75,947,533.37","78,606,614.25","1,448,701.77","103,160,342.81","129,173,013.03"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,376,534.60","132,669.07","22,649.00",,"286,355.99",,"8,000.00","53,554.62","53,554.62","354,405.12","354,926.37","449,231.12","469,863.69",,,"841,519.23","877,619.23","255,272.42","188,348.78","869,789.51"
筹资活动产生的现金流量净额,"72,814,629.73","39,922,406.09","-74,012,797.06","-51,788,223.93","-21,943,223.93","269,433,333.33","226,834,988.28","226,212,741.46","263,582,130.35","-7,024,042.20","142,973,426.62","773,452,909.29","233,156,877.57","82,078,931.94","88,714,597.60","162,183,918.86","198,586,113.43","18,651,298.23","126,839,657.19","136,826,986.97"
