科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"351,305,616.13","341,836,159.80","333,540,394.06","189,370,364.89","793,911,235.68","934,105,168.46","1,062,386,808.74","838,335,358.30","673,224,327.52","465,308,175.40","618,332,477.63","477,599,756.52","388,937,232.79","395,795,413.34","519,227,931.89","263,628,299.36","197,518,299.42"
短期借款,"54,090,600.00",,,"80,000,000.00",,,,"11,000,000.00","196,619.20",,,"10,000,000.00","39,440,000.00","79,440,000.00","244,440,000.00","261,523,632.22","272,019,632.22"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,"2,444,000.00","20,723,773.43","34,320,337.00","1,626,256.00","5,373,400.00","5,467,033.00","61,538,368.88","29,530,803.50","17,467,697.96","1,443,540.00","29,194,177.48","18,790,728.00","25,275,162.28","22,545,466.05","42,787,828.93","25,472,669.60","12,460,893.66"
应付票据,"17,438,500.00","97,973,312.20","30,027,890.00","27,267,400.00","22,514,050.00","20,862,445.44","19,141,377.94","4,800,000.00","2,000,000.00","17,997,660.00","51,334,904.00","59,840,898.23","310,094,736.43","379,477,168.17","322,630,615.13","198,492,671.17","147,201,363.78"
应收账款,"137,753,655.54","178,028,805.22","260,462,872.48","287,003,937.34","309,333,998.29","392,416,116.89","399,392,633.05","481,661,189.90","561,441,630.85","651,598,163.11","783,434,851.23","748,677,662.95","906,108,318.47","950,090,464.06","621,144,133.43","578,602,810.02","578,758,860.89"
应付账款,"114,685,211.23","110,663,495.06","134,052,111.57","56,858,014.37","57,594,445.50","72,293,316.18","175,706,944.66","138,184,060.14","170,153,931.95","181,313,424.08","302,986,985.00","226,480,954.83","326,045,424.56","305,741,941.83","297,125,338.72","231,760,720.08","256,939,149.29"
预付款项,"17,976,740.48","16,338,438.73","24,260,041.37","40,457,264.23","38,746,015.10","38,305,843.29","30,412,136.24","35,053,750.77","40,170,817.33","40,525,865.90","15,764,120.46","39,257,074.45","76,137,522.37","76,535,950.75","111,815,493.70","189,045,691.20","120,812,653.91"
预收款项,"402,008,082.44","672,244,267.63","677,799,576.47","675,461,115.54","534,468,167.09","499,671,481.53","427,415,627.86","400,812,339.53","305,709,685.02","247,412,816.91","148,539,658.73","158,276,335.60","160,080,101.33","179,610,311.99","153,370,049.62","196,835,950.61","169,120,278.43"
其他应收款,"7,467,478.90","11,279,785.02","11,303,443.24","42,303,760.99","45,234,237.06","52,537,703.38","17,819,399.53","42,535,658.81","46,640,808.42","54,070,701.87","43,398,025.26","51,419,953.47","60,554,523.77","92,413,522.92","91,497,925.84","116,509,872.23","116,393,503.00"
应付职工薪酬,"11,687,795.01","16,829,551.29","23,907,044.07","2,079,651.00","13,615,392.18","13,969,772.06","24,857,152.19","3,812,625.52","15,884,053.97","15,988,643.63","20,407,024.14","5,683,806.85","5,761,758.22","6,756,913.06","12,856,629.66","6,037,261.95","6,721,233.00"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"14,558,007.40","15,502,282.74","23,413,850.38","8,200,404.62","12,789,922.28","18,450,525.19","26,195,405.67","5,668,258.47","26,712,795.85","20,046,824.52","30,593,299.63","22,580,936.94","-31,593,881.69","7,913,126.78","18,331,276.55","10,851,387.16","13,677,766.02"
应收利息,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,"2,520,000.00","2,520,000.00","2,520,000.00",,,,,,,,,,,"6,564,960.00"
存货,"332,706,748.63","600,694,633.88","560,334,778.71","569,152,195.29","499,394,700.23","435,306,296.86","340,187,693.28","326,929,022.97","281,306,844.78","240,611,151.16","148,988,553.01","161,992,442.65","277,805,424.00","308,787,812.09","240,744,474.95","248,484,453.47","250,900,202.38"
其他应付款,"2,168,704.83","6,691,571.36","8,247,272.71","482,426.54","39,851,241.36","31,923,972.89","17,509,495.77","5,512,353.96","11,894,683.86","6,476,548.41","12,969,353.25","3,988,151.80","2,127,237.90","8,983,378.46","12,244,181.78","12,017,920.21","21,075,228.93"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,
其他流动资产,,,,"668,912.79",,,,,,"142,000,000.00",,,"9,477,843.48","115,008,919.63","96,046,291.70","69,614,004.88","76,260,650.79"
其他流动负债,,,,,,,"168,070,080.00","168,070,080.00","168,070,080.00","109,626,328.00","121,033,688.15","109,022,628.00","138,453,736.87","164,916,788.75","81,583,895.31","74,207,226.56","7,268,548.34"
流动资产合计,"849,654,239.68","1,168,901,596.08","1,224,221,866.86","1,130,582,691.53","1,691,993,586.36","1,858,138,161.88","1,911,737,039.72","1,754,045,784.25","1,620,252,126.86","1,595,557,597.44","1,639,112,205.07","1,497,737,618.04","1,744,296,027.16","1,961,177,548.84","1,723,264,080.44","1,491,357,800.76","1,353,105,064.05"
流动负债合计,"616,636,900.91","919,904,480.28","897,447,745.20","852,869,012.07","683,353,218.41","659,691,513.29","858,896,084.09","737,859,717.62","700,621,849.85","598,862,245.55","687,864,912.90","595,873,712.25","950,409,113.62","1,132,839,629.04","1,142,581,986.77","991,726,769.96","900,588,160.01"
可供出售金融资产,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,"471,075.31",,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,
长期股权投资,"858,637.53","2,989,960.82","3,159,179.24","3,159,179.24","2,946,024.94","3,243,870.26","3,952,214.39","3,952,214.39","5,261,740.44","5,652,976.52","6,766,333.26","6,766,333.26","5,522,943.51","5,522,943.51","5,359,513.60","4,745,591.12","4,516,545.17"
专项应付款,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,"10,723,187.20","10,581,618.98","10,440,050.72","10,298,482.46","10,156,914.20"
预计负债,,,,,,,,,,,,,,,,,
固定资产,"58,455,941.74","85,804,983.67","137,079,872.24","135,342,269.71","135,207,331.68","135,532,403.62","138,180,461.50","146,427,971.15","146,369,841.83","144,665,602.45","192,870,286.70","320,190,684.54","781,814,066.64","775,523,117.39","780,869,864.99","797,078,676.34","791,237,291.13"
递延所得税负债,,,,,,,,,,,,,,,,,
在建工程,"16,248,358.63","91,617,596.05","99,550,409.17","142,996,812.10","165,961,779.44","202,040,805.39","251,018,436.42","284,192,449.12","349,564,860.67","396,965,121.53","480,246,006.40","408,853,244.98","60,045,365.97","72,890,415.10","75,576,328.79","102,234,033.80","112,021,724.22"
其他非流动负债,,,,,,,,,,,,,,"1,256,650.00",,,
工程物资,,,,,,,,,,,,,,,,,
非流动负债合计,"24,749,150.00","27,669,150.00","28,379,150.00","28,429,150.00","25,294,150.00","26,544,150.00","25,709,150.00","15,139,150.00","9,035,225.31","7,739,150.00","9,164,150.00","6,951,650.00","1,469,150.00","1,256,650.00","1,544,150.00","2,944,150.00","2,550,150.00"
固定资产清理,,,,,,,,,,,,,,,,,
