科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"513,976,733.52","756,442,476.31","1,175,548,496.37","271,780,536.82","330,992,701.88","478,899,244.37","929,500,880.86","280,502,558.53","616,009,284.83","917,122,089.88","1,514,631,889.41","528,513,287.98"
取得子公司及其他营业单位支付的现金净额,,"25,000,000.00","2,276,557.13",,"446,251.00","446,251.00","446,251.00",,,,,
收到的税费返还,,,,,,,,,,,"185,022.64",
支付其他与投资活动有关的现金,,,,,"332,000,000.00","800,000,000.00","1,270,000,000.00","346,000,000.00","696,000,000.00","866,000,000.00","996,000,000.00","68,000,000.00"
收到其他与经营活动有关的现金,"1,215,700.41","3,099,216.64","16,116,732.47","15,591,036.83","28,776,263.61","109,991,146.90","122,506,742.59","23,130,697.25","46,057,982.97","49,824,934.10","74,485,357.04","3,536,569.80"
投资活动现金流出小计,"51,650,793.03","160,269,655.61","325,429,279.16","141,509,789.88","652,726,852.35","1,218,488,013.54","1,903,385,583.84","565,914,904.49","1,031,841,211.49","1,265,556,863.78","1,515,350,219.82","185,466,524.18"
经营活动现金流入小计,"515,192,433.93","759,541,692.95","1,191,665,228.84","287,371,573.65","359,768,965.49","588,890,391.27","1,052,007,623.45","303,633,255.78","662,067,267.80","966,947,023.98","1,589,302,269.09","532,049,857.78"
投资活动产生的现金流量净额,"-51,392,600.83","-159,658,289.17","-324,999,279.16","-141,298,064.81","-651,042,878.72","-763,647,047.61","-874,676,218.00","-257,469,123.52","-262,753,469.55","-304,660,890.11","-372,956,218.75","-74,383,952.58"
购买商品、接受劳务支付的现金,"295,984,371.32","315,841,798.79","448,362,836.77","136,333,161.53","237,185,294.24","453,657,979.50","653,411,021.92","132,249,598.93","263,002,006.12","424,107,728.57","866,478,518.06","294,550,498.51"
吸收投资收到的现金,"79,200,000.00",,"132,000,000.00","1,240,330,000.00","1,240,330,000.00","1,240,330,000.00","1,240,330,000.00",,"8,820,000.00","8,820,000.00","8,820,000.00",
支付给职工以及为职工支付的现金,"148,920,209.99","202,981,771.46","253,252,742.00","61,289,055.86","152,670,333.36","237,213,445.72","320,312,415.63","69,097,996.00","161,144,483.09","252,368,489.10","332,813,404.95","73,992,065.46"
取得借款收到的现金,"91,771,500.96","237,792,818.80","356,026,096.00","24,000,000.00","24,000,000.00","24,000,000.00","24,000,000.00","100,000,000.00","130,000,000.00","160,000,000.00","200,000,000.00","130,000,000.00"
支付的各项税费,"62,704,863.91","79,832,978.07","133,920,234.07","24,080,043.76","42,500,019.51","64,550,501.15","79,366,966.79","42,732,789.80","83,918,579.53","97,039,777.92","98,945,534.88","53,566,508.80"
收到其他与筹资活动有关的现金,,,,,,,"5,805,736.74","18,481,000.00","18,481,000.00","18,481,000.00",,
支付其他与经营活动有关的现金,"20,825,408.07","34,263,099.03","43,838,028.18","43,627,943.83","35,615,620.97","64,680,376.86","73,166,061.84","23,939,348.32","62,011,161.38","84,971,110.41","120,474,223.95","36,588,843.10"
筹资活动现金流入小计,"170,971,500.96","237,792,818.80","488,026,096.00","1,264,330,000.00","1,264,330,000.00","1,264,330,000.00","1,270,135,736.74","118,481,000.00","157,301,000.00","187,301,000.00","208,820,000.00","130,000,000.00"
