科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"340,020,794.29","316,411,265.21","89,314,151.10","148,558,169.96","909,304,539.73","774,599,368.29","871,739,724.58","866,723,481.53","643,508,196.67","708,051,468.56","618,323,814.83","650,488,380.53","443,270,541.63","307,859,665.87","973,385,320.54","519,302,700.13"
短期借款,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,"897,111,193.16"
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,"238,464.32",,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,
应收账款,"90,519,021.62","90,922,079.45","94,556,235.84","69,129,708.31","70,230,911.37","117,446,530.60","134,215,160.09","142,837,634.08","183,745,135.86","167,964,945.95","254,541,561.75","209,645,692.34","294,627,592.99","440,081,476.70","547,313,897.79","289,413,403.39"
应付账款,"260,643,122.63","469,107,004.73","415,462,360.45","275,311,781.37","494,426,467.95","451,144,317.29","531,149,646.53","373,864,081.36","477,637,141.53","482,226,654.53","550,263,790.86","304,607,411.85","540,406,370.53",,"819,727,691.86",
预付款项,"11,285,824.86","23,778,272.16","27,781,245.60","27,873,653.36","35,377,394.58","31,382,025.31","17,019,587.08","16,690,459.71","17,913,973.72","24,411,669.93","21,996,463.34","26,960,317.27","32,667,563.85","47,050,945.90","25,598,430.81","39,743,125.16"
预收款项,"6,105,441.42","13,719,596.22","11,689,823.14","22,870,521.17","23,370,743.10","47,355,975.30","36,329,255.14","47,973,074.06","35,109,612.10","67,262,311.36","47,994,789.74","22,949,897.39","23,005,527.89","27,808,441.34","29,842,183.45","27,593,691.81"
其他应收款,"25,295,667.96","24,943,490.89","24,209,089.08","23,676,391.49","23,176,848.63","22,911,984.07","23,383,160.67","23,626,745.31","22,536,917.92","22,701,034.68","23,198,577.55","22,291,665.19","18,375,416.52","16,718,885.06","17,322,407.52","21,539,408.99"
应付职工薪酬,"25,857,969.03","24,230,753.23","32,097,571.93","20,105,006.52","24,394,022.27","31,873,263.69","47,609,505.61","23,039,354.55","27,087,989.20","35,105,432.41","43,719,019.35","28,258,807.49","37,394,360.97","44,080,113.09","63,973,485.51","35,927,814.45"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"46,670,597.31","62,697,576.14","94,037,563.16","81,403,388.30","53,600,719.70","118,556,073.43","113,211,957.54","115,214,439.93","100,719,094.71","149,838,524.92","136,538,268.76","161,199,269.41","95,904,827.49","117,648,964.81","116,568,942.34","89,937,736.30"
应收利息,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,
存货,"288,345,225.32","267,429,889.79","368,646,206.55","252,735,186.47","382,004,590.82","382,262,127.42","370,186,698.75","229,967,115.15","367,901,074.11","376,383,524.95","330,938,483.29","247,515,081.63","371,588,202.84","495,306,702.31","563,364,250.09","547,732,692.88"
其他应付款,"8,049,511.51","13,178,525.63","11,868,266.50","13,475,175.45","12,214,025.84","16,300,064.68","9,224,754.41","14,410,386.26","16,084,980.54","14,937,008.14","23,906,111.16","12,848,911.44","19,009,489.83","15,150,211.47","17,689,761.26","18,453,964.37"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,"635,027.52","635,027.52","635,027.52","674,160.84","988,953.84","988,953.84","988,953.84","1,014,629.28","990,944.16","990,944.16","990,944.16","990,944.16","1,262,897.16"
其他流动资产,"610,941.60","120,339,780.03","390,755,078.88","450,200,017.42","569,520,574.40","452,549,389.74","644,417,346.14","833,026,939.72","611,583,247.80","843,622,696.81","1,149,922,835.49","1,156,026,950.69","877,025,244.69","967,445,168.57","431,610,921.48","19,131,574.72"
其他流动负债,,,,,,,,,,,,,,,,
流动资产合计,"756,315,939.97","843,824,777.53","995,262,007.05","972,173,127.01","1,989,614,859.53","1,781,151,425.43","2,060,961,677.31","2,112,872,375.50","1,847,188,546.08","2,143,135,340.88","2,398,921,736.25","2,312,928,087.65","2,037,554,562.52","2,274,462,844.41","2,558,595,228.23","2,333,974,098.43"
流动负债合计,"347,326,641.90","582,933,455.95","565,155,585.18","413,800,900.33","608,641,006.38","665,864,721.91","738,199,280.07","575,490,290.00","657,627,771.92","750,358,885.20","803,436,609.15","530,855,241.74","716,711,520.87","816,211,614.54","1,048,793,008.58","654,562,873.00"
可供出售金融资产,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,
