科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"406,739,885.21","842,389,690.08","1,288,603,307.58","1,826,481,412.03","472,831,300.70","1,043,530,537.84","1,546,877,174.70","1,845,562,967.04","262,063,191.78","452,930,753.28","790,938,651.68","1,147,452,502.85","393,504,052.94","788,373,011.76","1,174,181,976.83","1,624,954,240.04","302,506,604.20","657,257,421.94","985,370,345.45","1,554,068,202.63","568,261,390.87","1,043,197,413.16","1,545,948,661.82","2,025,696,399.38","448,560,471.23","892,783,732.38","1,418,244,127.65","1,924,577,281.77","326,181,717.36","560,550,253.56","1,047,125,648.57","1,460,868,340.42","389,505,276.18","810,913,328.93","1,152,989,697.03","1,482,315,727.46","293,138,909.95","647,486,354.82","997,190,511.97","1,362,614,394.55","410,751,212.09","569,247,600.51","1,065,483,231.73"
二、营业利润,"22,973,586.86","39,092,499.53","52,816,660.26","49,005,967.11","26,127,702.24","61,981,002.27","101,253,179.75","121,905,572.59","13,759,290.16","24,246,096.20","56,930,994.65","71,977,345.97","12,958,055.25","19,945,252.25","37,449,465.54","51,785,678.12","10,063,838.23","27,282,674.53","78,770,777.44","54,777,194.40","16,079,434.76","36,489,811.88","65,100,651.54","87,893,791.09","15,900,051.11","37,500,720.49","62,423,737.25","87,507,682.82","10,754,551.04","11,736,125.92","34,549,617.11","48,551,608.87","19,936,151.52","39,259,349.58","51,434,561.07","66,643,964.64","4,068,777.89","20,442,201.21","34,580,690.85","33,373,756.91","3,840,931.51","-2,862,519.12","8,399,003.52"
减:营业成本,"364,116,038.79","754,396,595.67","1,150,409,773.38","1,670,634,405.93","439,435,109.67","965,864,088.65","1,411,991,215.56","1,686,939,005.32","235,923,758.73","402,912,360.01","692,681,432.58","1,011,985,723.93","369,307,112.41","733,612,095.95","1,088,273,185.52","1,493,758,322.63","281,539,293.71","606,539,491.65","913,707,196.98","1,438,699,656.94","537,505,131.76","975,312,068.25","1,431,895,516.63","1,864,121,541.24","417,778,654.49","821,566,908.72","1,300,662,966.68","1,748,118,695.12","301,707,084.80","517,172,403.36","960,668,251.46","1,340,974,094.72","351,680,845.08","731,806,437.19","1,039,817,916.42","1,323,046,065.25","265,711,394.29","577,603,781.38","885,969,963.24","1,206,686,049.61","383,819,710.18","522,585,744.08","979,531,114.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,684,569.91","3,703,223.40","5,587,886.20","7,916,039.62","2,301,971.12","4,854,173.84","7,356,277.25","8,558,127.84","1,529,962.55","2,447,355.96","4,305,683.10","5,696,503.77","1,772,398.51","3,457,771.29","5,496,626.43","6,666,172.23","623,281.78","1,585,630.32","2,923,358.05","4,547,051.81","1,670,132.69","3,632,394.18","6,283,912.67","7,851,055.75","1,893,291.83","3,625,711.72","6,358,819.95","8,583,333.68","1,543,966.24","2,439,288.25","4,819,890.65","6,404,190.54","1,334,287.18","3,407,132.77","4,811,656.29","6,352,247.25","1,333,769.58","2,993,428.03","4,992,185.71","10,104,107.70","2,354,273.35","3,762,064.18","7,057,197.99"
营业外收入,"54,444.00","54,444.00","54,444.00","168,721.00","52,698.01","80,190.01","84,233.08","146,203.70",,,"229,356.00","673,515.87","41,677.76","172,651.74","389,001.74","699,553.13",420.00,"2,420.00","172,169.14","1,971,221.78",,"363,887.36","362,887.36","460,810.56","96,294.00","96,294.00","122,294.00","264,534.96",,"2,116.40","2,116.40","3,502,116.40",600.00,"19,295.38","19,932.38","2,136,635.45",,,311.32,"314,611.32","2,905.98","1,418,535.98","1,422,035.98"
销售费用,"4,937,415.44","12,081,943.53","26,001,107.59","32,639,343.11","2,021,020.94","4,570,323.14","7,253,265.04","11,350,284.89","2,778,273.02","5,286,425.84","8,443,636.52","12,910,329.73","2,290,622.24","5,443,156.64","8,108,716.69","12,919,698.55","1,785,081.52","3,798,345.27","6,096,497.77","10,000,682.55","3,004,207.76","6,288,374.81","9,984,429.90","14,343,228.90","3,168,245.47","6,693,153.31","10,811,536.47","15,689,311.22","2,544,210.30","4,978,586.91","8,578,346.83","14,121,186.13","4,110,678.34","8,601,861.53","13,554,605.96","19,230,652.61","4,421,468.01","10,403,559.16","16,447,271.62","18,277,093.66","2,760,297.50","5,731,913.96","9,855,578.77"
减:营业外支出,"2,199,653.21","2,215,928.08","2,216,868.08","5,796,914.49",100.00,"33,222.88","44,077.88","1,265,735.46",200.00,"54,573.43","1,131,351.20","740,255.72","74,814.53","80,769.54","89,638.24","530,199.54","1,000.00","9,983.59","45,019,283.59","151,735.28",,"1,200.00","4,136.00","2,438,677.02","4,717.30","64,126.44","169,727.53","2,119,691.01",,"412,750.44","416,534.73","593,072.79","1,251,250.62","1,257,689.24","1,257,689.24","1,880,518.38","21,853.73","36,769.33","86,584.70","783,154.09","17,780.83","1,147,064.54","1,597,876.02"
管理费用,"7,648,207.77","16,410,130.71","27,289,066.22","45,961,827.34","7,758,866.23","17,597,512.38","28,140,149.92","46,518,771.27","7,986,580.42","17,744,243.48","29,410,534.34","52,762,596.71","7,152,318.43","26,464,011.65","35,691,944.06","59,289,062.55","7,740,593.54","16,241,647.07","25,871,651.56","45,965,849.89","9,199,902.42","20,010,028.57","32,082,791.60","60,926,216.36","9,603,519.67","23,156,016.50","37,461,335.52","70,293,587.14","9,596,146.23","23,039,971.77","37,036,365.04","61,657,033.55","11,872,818.86","27,220,930.74","43,132,847.17","68,362,818.09","16,019,660.28","33,538,556.98","51,725,340.80","75,112,636.69","17,395,886.11","36,350,681.70","55,315,017.83"
其中:非流动资产处置净损失,,,,"134,573.34",,"1,291.16","1,291.16","1,049,214.19",,,"1,071,277.77","678,325.93","74,614.53","74,614.53","74,614.53","244,268.69",,"1,313.60","1,313.60","101,587.41",,,336.00,"373,735.89","4,420.00","4,420.00","4,420.00","254,383.48",,"408,073.82","408,073.82","529,968.98","1,251,250.62","1,257,589.24","1,257,589.24","1,706,941.99","2,994.89",,,"232,453.92",,"965,414.83","1,370,102.73"
