科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"465,157,613.08","627,004,284.63","292,872,278.19","576,994,496.33","826,214,204.47","202,552,477.10","326,788,430.21","543,204,047.54","945,827,337.17","291,063,480.72","477,614,113.18","710,168,841.13","779,455,392.64","382,534,972.04","401,729,446.13","602,266,281.91","557,406,928.05","385,680,735.04","481,016,206.12","665,189,823.15","690,019,753.90","259,603,969.78","583,263,978.82","683,283,264.17","661,797,124.58","182,958,490.30","432,965,661.64","585,105,859.62","533,035,794.68","226,903,115.70","500,245,563.41","813,486,088.66","735,932,107.62","274,763,333.63","659,471,016.90","866,529,062.33","859,795,314.74","317,632,426.19","639,434,388.58","882,818,645.53","734,563,658.54","221,726,392.13"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"252,726,928.02",,,,"220,974,174.18",,,,,,,,,
收到的税费返还,"12,200,250.98","14,778,677.49","1,987,294.60","2,908,545.84","4,393,216.51","2,863,138.85","6,417,999.28","15,968,653.83","20,426,815.54","718,154.89","3,995,007.27","14,893,355.36","23,203,884.52","7,012,353.30","11,390,108.20","27,457,412.47","38,039,653.51","6,694,846.46","7,859,637.37","18,013,732.19","23,758,711.72","8,107,081.01","12,987,990.86","18,984,319.51","22,101,746.41","10,318,772.06","10,318,772.06","17,047,281.60","18,466,384.47","2,056,727.73","3,781,074.45","4,395,191.66","6,398,835.12","877,363.29","3,883,598.43","18,511,110.94","21,470,287.72","4,653,491.09","5,767,684.56","14,540,706.34","25,035,622.11","4,920,880.38"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,"290,000,000.00",,"100,000,000.00","100,000,000.00","338,000,000.00","20,000,000.00","167,000,000.00","252,000,000.00","367,000,000.00",,"217,500,000.00","145,000,000.00","245,000,000.00",,,,"40,000,000.00",,,,"415,000,000.00","440,000,000.00"
收到其他与经营活动有关的现金,"6,575,372.29","15,794,277.74","1,080,400.05","1,426,659.32","1,815,820.59","2,554,154.75","8,892,112.71","19,307,176.26","14,655,931.84","2,802,728.16","6,087,427.94","6,152,808.13","10,953,928.50","1,964,704.01","3,475,807.58","10,722,556.91","50,942,739.58","25,786,590.68","26,173,868.73","31,413,188.71","31,898,323.29","4,348,030.33","20,196,629.89","23,589,163.39","25,717,702.49","2,813,797.03","4,051,815.24","11,379,098.03","11,989,166.50","1,047,718.94","5,354,920.27","6,572,030.88","6,682,630.94","6,407,216.49","12,243,920.67","15,690,903.90","16,766,201.47","11,686,885.62","24,969,509.52","29,116,467.26","67,768,219.14","6,074,088.10"
投资活动现金流出小计,"19,115,841.68","88,721,002.73","20,031,382.50","29,005,903.50","39,599,799.00","82,330,502.92","198,906,406.57","379,176,015.36","367,059,799.00","74,339,738.15","332,987,455.93","380,717,876.72","282,532,634.44","55,389,319.44","77,914,796.69","128,961,144.20","129,974,381.93","43,939,557.59","79,659,063.32","188,024,750.68","481,890,965.62","71,671,412.29","263,021,374.55","269,150,100.32","528,184,398.33","50,135,808.93","213,670,626.10","601,287,351.89","717,292,182.34","7,802,477.07","310,298,279.33","490,570,871.52","628,439,248.03","14,564,078.82","231,765,934.85","253,578,346.37","287,666,723.01","27,047,356.82","187,967,090.67","216,897,222.29","628,725,165.80","464,149,228.03"
经营活动现金流入小计,"483,933,236.35","657,577,239.86","295,939,972.84","581,329,701.49","832,423,241.57","207,969,770.70","342,098,542.20","578,479,877.63","980,910,084.55","294,584,363.77","487,696,548.39","731,215,004.62","813,613,205.66","391,512,029.35","416,595,361.91","640,446,251.29","646,389,321.14","418,162,172.18","515,049,712.22","714,616,744.05","745,676,788.91","272,059,081.12","616,448,599.57","725,856,747.07","709,616,573.48","196,091,059.39","447,336,248.94","613,532,239.25","563,491,345.65","230,007,562.37","509,381,558.13","824,453,311.20","749,013,573.68","282,047,913.41","675,598,536.00","900,731,077.17","898,031,803.93","333,972,802.90","670,171,582.66","926,475,819.13","827,367,499.79","232,721,360.61"
投资活动产生的现金流量净额,"-19,115,841.68","-88,469,139.13","-19,977,174.50","-28,951,695.50","-39,545,591.00","-82,330,496.36","-198,906,400.01","-379,176,008.80","-367,059,792.44","-74,339,738.15","-332,058,922.93","-379,789,343.72","-267,487,901.44","-55,389,319.44","-77,914,796.69","-125,744,578.34","-129,974,381.93","-43,939,557.59","-79,659,063.32","-188,024,750.68","-474,768,664.25","220,470,273.41","29,207,173.40","24,169,908.50","84,836,947.63","-49,128,448.20","-86,026,845.28","-427,982,016.66","-377,106,194.27","28,258,823.21","-75,235,277.96","-308,311,837.24","-394,120,297.45","-14,418,124.85","-130,839,024.48","-152,687,032.86","-179,733,408.96","13,261,429.48","-147,639,988.60","-176,562,550.22","-628,382,467.92","115,860,797.16"
购买商品、接受劳务支付的现金,"334,491,190.23","527,434,439.78","199,954,136.92","423,126,359.12","553,175,931.46","160,496,527.76","294,693,240.04","535,719,496.02","962,899,870.87","329,024,074.01","380,908,918.33","583,327,653.08","616,990,859.20","346,422,769.73","290,638,141.63","471,720,707.47","410,878,041.89","275,781,206.46","375,895,933.77","557,024,941.97","557,996,237.09","211,489,133.36","462,755,517.45","523,563,021.69","438,046,573.99","145,142,886.09","310,393,215.08","376,968,590.45","249,420,413.03","135,402,315.76","338,206,353.06","542,600,154.62","323,205,594.53","172,149,101.58","478,261,981.83","531,017,790.36","623,955,378.38","247,541,466.26","464,611,992.04","611,096,130.31","466,169,142.63","122,216,380.22"
吸收投资收到的现金,,,,,,"706,455,300.00","706,455,300.00","706,455,300.00","723,938,000.00",,,,,,"596,818,240.00","596,818,240.00","598,865,440.00",,,,,,,,,,,,,,,,,,,,,,"1,012,059,223.09","1,012,059,223.09","1,013,034,410.57",
