科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,649,201,443.56","3,374,559,513.29","2,168,279,425.79","1,217,983,646.41","2,034,147,254.71","2,878,606,149.88","689,340,716.53","1,630,764,952.49","2,681,016,310.35","3,719,114,009.29","874,563,432.19","1,675,398,510.71","2,616,532,214.37","3,434,911,613.16","884,023,863.63","1,868,632,501.82","2,926,316,060.58","3,988,017,887.86","984,829,109.79","2,016,430,711.26","2,937,842,929.60","3,776,571,873.46","689,730,813.33","1,384,550,809.61","2,138,170,399.96","2,923,080,553.09","561,406,090.81","1,050,261,007.53","1,570,064,610.23","2,205,317,623.78","632,382,705.75","1,503,060,970.26","2,471,297,104.98","3,494,406,305.56","1,108,626,017.82","2,491,400,923.81"
二、营业利润,"225,006,474.81","358,797,253.42","259,328,686.49","112,222,623.95","188,660,275.56","257,580,031.63","55,770,930.34","127,229,627.41","228,138,570.20","327,251,366.28","56,693,229.77","115,946,146.35","187,074,235.70","253,265,110.37","61,284,620.05","125,855,887.77","213,199,393.87","262,865,929.48","70,634,095.67","147,690,128.84","223,868,445.67","302,791,593.93","53,690,734.05","106,311,017.85","177,063,185.33","233,142,549.42","37,919,612.38","78,382,005.96","91,195,826.68","125,064,438.76","30,277,845.48","76,000,380.37","120,512,412.23","183,603,661.90","71,252,893.31","264,734,411.81"
减:营业成本,"1,296,201,105.86","2,768,912,532.01","1,712,845,975.83","1,006,032,870.37","1,688,369,221.57","2,381,998,002.72","582,857,629.37","1,385,778,040.39","2,270,249,803.07","3,131,908,826.76","739,100,026.28","1,410,032,843.37","2,198,988,175.52","2,855,696,186.87","718,879,475.45","1,550,640,758.16","2,427,011,255.86","3,301,824,724.77","810,610,797.55","1,670,843,985.80","2,430,624,798.39","3,113,931,379.90","565,184,363.03","1,161,586,911.99","1,792,317,383.16","2,453,310,431.39","476,651,791.37","889,757,411.62","1,354,923,023.26","1,895,570,317.10","550,245,125.69","1,284,563,473.38","2,113,314,396.77","2,957,515,934.16","903,996,717.73","1,992,302,873.50"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"6,089,547.01","4,142,635.98","10,896,625.25","897,303.98","1,567,516.56","5,228,283.58","1,852,536.58","3,443,718.85","5,601,193.22","12,557,974.56","3,059,495.09","5,243,510.55","6,865,173.05","11,887,820.48","1,908,254.10","3,027,247.78","4,996,445.14","13,115,475.96","4,788,404.76","9,131,319.29","13,039,344.56","19,573,593.07","6,480,075.03","10,108,129.04","13,776,513.95","18,690,431.12","2,802,333.76","4,523,833.64","5,495,043.37","16,866,188.70","2,128,671.55","5,636,296.89","10,941,951.20","15,434,258.78","4,156,412.36","11,210,533.60"
营业外收入,"2,007,944.68","6,819,689.78","26,368,978.91","2,603,777.57","5,161,496.57","8,712,764.96","900,000.00","1,613,723.82","2,454,023.82","4,931,097.66","250,046.08","860,643.19","2,484,623.06","11,589,632.11","166,756.00","2,038,220.42","4,702,690.42","23,344,206.22","777,266.54","2,006,985.45","11,158,799.12","15,246,988.56","7,090,981.25","8,312,771.93","11,240,478.99","14,335,587.42","314,866.62","1,165,752.62","15,307,021.25","16,600,660.81","1,211,592.71","259,291.55","346,758.80","6,293,030.88","482,406.67","331,442.34"
销售费用,"43,093,771.11","57,630,080.44","50,198,449.47","26,839,934.56","50,161,551.68","74,617,056.33","18,767,620.32","38,385,350.15","58,594,416.27","87,602,360.07","26,401,680.72","53,403,634.09","80,275,559.32","107,405,717.29","31,663,920.49","68,847,250.22","97,967,215.59","138,745,644.72","36,791,554.71","65,688,255.93","96,292,940.80","122,444,280.34","20,960,691.82","45,532,028.57","70,484,239.46","97,692,695.58","19,504,604.24","39,464,415.28","60,344,228.56","86,460,254.68","13,458,294.14","43,354,912.39","74,087,382.81","110,974,466.48","22,163,309.05","61,158,538.78"
减:营业外支出,"9,492,617.76","4,688,771.17","2,303,092.31","142,590.00","159,550.61","298,768.97",,"32,863.54","68,403.54","178,690.69","131,832.32","141,832.32","186,509.27","1,056,144.22",,,"1,035,000.00","1,294,369.54","180,501.00","1,321,313.17","1,310,075.60","2,606,737.08","1,286.19","1,551.19","126,808.65","240,744.50","145,753.86","168,283.23","695,838.68","702,953.68","35,000.00","216,559.04","513,763.25","7,224,946.72","1,342,621.71","6,888,812.53"
管理费用,"80,757,385.96","126,092,795.81","133,615,049.71","66,535,236.69","94,785,432.01","153,176,278.18","37,416,171.62","80,528,569.51","129,520,920.33","194,732,592.11","53,999,323.35","104,609,653.66","161,866,728.86","235,248,748.90","58,722,336.65","117,130,057.18","178,360,433.45","257,491,556.34","61,553,864.31","122,297,897.38","180,520,627.93","242,143,088.86","51,202,348.20","95,485,081.72","142,752,132.98","202,051,544.89","43,654,608.11","83,982,976.86","125,806,331.76","173,577,957.43","47,007,875.70","103,218,857.10","163,763,218.45","244,775,058.84","81,353,184.45","176,655,918.16"
其中:非流动资产处置净损失,,,,,,,,,,,,,,"971,144.22",,,,"203,924.79",,,,"2,318,559.72","1,286.19","1,551.19","1,551.19","80,744.50","115,753.86","128,349.82","133,448.23","140,563.23",,"73,467.55","298,162.97",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
