科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"596,205,942.21","894,547,877.76","144,963,675.72","748,500,982.27","162,581,793.24","373,778,937.35","609,385,123.67","839,494,061.88","226,179,587.29","514,104,420.33","836,102,125.97","1,119,745,957.14","242,621,581.41","534,549,264.32","863,452,089.53","1,174,507,268.40","244,330,840.17","576,449,040.01","892,780,128.54","1,154,844,274.59","236,393,369.83","576,567,588.59","921,142,532.12","1,227,882,218.26","195,325,668.17","517,966,891.70","815,339,031.47","1,064,708,509.87","186,388,243.74","480,426,583.57","744,467,242.78","2,115,003,538.13","519,706,693.65","1,214,973,893.45","1,975,439,688.02","2,986,947,600.31","1,015,072,441.13","2,167,172,862.50","3,355,076,696.54","4,673,757,033.51","1,201,765,169.41"
二、营业利润,"43,616,216.69","42,583,743.96","6,829,374.95","51,354,367.68","9,664,476.12","21,686,095.23","37,082,593.07","48,080,095.01","9,524,280.15","26,256,541.07","48,312,766.37","54,832,780.93","8,969,215.15","22,321,230.44","35,491,273.18","49,666,132.75","18,464,028.68","31,295,164.71","50,939,766.45","60,289,336.88","12,471,101.25","25,015,242.18","39,216,371.28","55,492,167.73","5,386,922.06","21,630,678.34","43,504,523.75","46,843,269.42","6,955,804.62","16,900,751.98","18,643,360.81","337,974,125.73","72,928,561.61","164,072,267.04","267,591,802.83","375,488,837.39","91,980,048.58","221,318,908.94","331,593,238.43","487,812,796.91","102,229,307.61"
减:营业成本,"513,107,257.99","793,551,490.75","124,984,024.64","640,941,382.97","139,564,493.40","324,652,948.03","531,169,842.35","736,444,318.53","204,959,004.32","460,491,223.54","748,596,556.36","1,007,062,767.54","219,380,903.75","481,024,641.83","775,539,492.34","1,048,085,071.17","208,601,979.61","506,122,541.34","782,221,500.83","1,011,294,377.33","206,181,027.81","510,288,441.21","816,294,326.56","1,079,856,473.57","170,225,684.79","449,169,619.64","701,444,116.23","914,745,313.29","152,730,087.72","416,180,380.43","655,174,535.90","1,421,434,887.72","347,959,833.72","796,623,843.43","1,195,583,101.11","1,628,386,118.67","359,468,062.28","842,894,645.53","1,303,988,768.28","1,788,581,717.93","411,303,131.43"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,207,801.34","1,813,451.02","241,767.78","1,535,118.98","473,172.10","543,763.24","1,436,409.07","2,472,840.40","357,964.26","473,766.72","1,078,173.82","1,389,449.34",,"73,254.75","1,335,977.46","2,514,678.79","227,381.00","946,955.94","1,785,480.91","2,889,510.02","35,563.46","740,094.71","1,895,205.63","2,964,342.13","857,994.74","2,481,491.28","3,582,644.64","4,318,920.98","510,318.24","1,409,065.64","1,922,393.44","19,341,387.46","7,981,218.03","15,813,203.11","23,151,216.11","35,161,800.66","13,837,485.27","25,982,483.20","39,821,691.57","55,951,661.97","12,904,875.30"
营业外收入,"7,945,700.96","3,230,849.69","10,500.00","786,592.00","103,133.20","168,548.00","2,182,878.00","2,192,878.00","604,035.34","1,258,314.44","1,304,189.80","1,400,187.86","80,000.00","1,745,461.92","1,859,061.92","2,451,219.52","160,909.34","1,805,609.34","1,865,010.19","2,996,876.19","364,000.00","1,597,900.00","1,658,187.18","1,819,899.12","804,052.37","828,952.37","2,968,385.99","3,438,473.84","37,200.00","314,771.23","4,247,831.23","16,563,109.20","1,334,777.07","3,915,035.85","7,324,260.44","3,212,444.90","132,554.27","117,509.95","995,630.56","2,907,189.41","249,853.86"
销售费用,"14,756,576.25","16,731,670.33","3,489,385.80","17,217,750.33","3,661,353.09","8,317,272.95","13,950,709.86","17,320,786.96","4,931,757.07","11,720,071.76","18,002,280.71","24,657,072.17","5,307,784.66","11,516,582.79","20,238,920.64","30,566,754.16","6,952,711.68","16,279,609.98","26,422,013.73","35,749,058.05","5,989,491.25","17,106,686.91","27,704,332.54","37,615,048.15","6,301,650.67","16,202,813.71","26,354,967.78","35,781,748.08","7,630,114.47","17,261,157.71","26,821,864.73","153,087,382.51","51,652,669.72","166,385,147.22","372,714,356.45","776,907,562.70","512,496,585.43","995,733,678.16","1,508,105,580.02","2,049,632,212.61","609,060,506.80"
减:营业外支出,"155,353.28","234,595.08",,"44,676.87","20,522.98","122,604.98","122,604.98","220,689.72","1,100.00","2,100.00","11,100.00","286,377.51","4,291.29","259,216.29","267,216.29","577,888.23","36,569.20","45,819.20","56,819.20","424,400.62","19,496.13","19,871.66","41,351.74","285,643.21","7,469.45","9,518.96","11,975.71","138,586.72","3,200.00","3,209.86","795,895.64","2,703,101.31","122,802.35","145,167.60","192,424.19","629,884.35","50,292.79","510,683.94","819,323.35","2,017,963.13","1,531,712.12"
管理费用,"8,673,361.62","13,043,804.97","3,116,239.26","16,140,830.42","3,828,927.75","7,672,971.49","12,234,466.90","19,423,347.61","4,774,588.15","8,986,997.32","15,015,595.23","21,494,228.06","5,083,878.03","10,876,387.59","17,385,148.66","25,530,455.40","5,830,844.78","11,957,119.15","17,797,522.40","25,959,736.02","6,476,704.73","13,884,893.90","21,311,498.01","29,271,948.18","7,002,227.27","13,923,955.28","20,458,760.13","29,982,374.40","7,709,109.11","15,953,168.93","24,701,854.50","159,109,940.24","25,507,327.90","58,596,371.30","101,090,279.32","163,573,890.15","34,032,131.38","75,394,993.27","93,284,956.23","166,218,885.93","51,829,492.61"
其中:非流动资产处置净损失,"122,875.95","34,160.31",,"44,676.87",,,,,,,,"17,178.39",,,,"308,671.94",,,,"354,904.29",,,,"24,908.21",,,,"104,611.01",,,,"1,052,896.03","87,434.87","87,728.03",,,,,,,
