科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-12-31
货币资金,"481,882.31","679,550.02","1,104,295.04","98,106.21","196,941.50","659,328.89","945,042.94","85,064.88","495,720.05","144,216.55","90,763.90","103,433.91","121,955.54","97,084.03","276,289.08","635,220.63","367,279.54","734,964.99","811,037.21","14,089.07","61,435.49","12,365.48","52,851.41","18,479.08","54,150.36","52,365.60","244,571.12","41,693.09","6,345.52","31,535,580.85"
短期借款,"546,386,811.26","546,386,811.26","546,386,811.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26","543,856,465.26",
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,"1,000,000.00","500,000.00",,,"600,690.30","600,690.30",,"100,000.00",,"500,000.00","100,000.00",,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"2,578,144.41","1,511,012.41","1,091,675.81","635,662.57","163,254.57","-509,645.43","310,214.57","127,292.42","684,787.34","2,760,220.94","5,261,162.62","3,338,214.55","1,888,214.55","4,629,349.05","5,781,482.05","6,063,406.88","6,870,475.48","6,699,485.88","6,969,919.68","9,183,406.77","8,292,944.34","6,232,444.34","5,982,444.34","4,670,269.45","4,424,156.45","9,624,156.45","4,877,538.05","3,260,452.61","2,051,644.26","22,800,000.00"
应付账款,"184,314,125.12","183,718,277.49","183,858,833.99","182,445,711.26","183,040,389.57","182,138,142.08","183,699,495.72","183,781,408.68","182,785,533.01","184,447,885.78","186,510,013.25","188,308,270.71","187,068,818.61","189,863,773.11","191,606,859.31","187,762,490.53","188,492,796.20","187,882,216.74","188,341,828.28","190,529,202.96","190,730,256.45","189,463,805.25","189,742,827.76","190,557,398.29","190,730,353.29","190,831,199.82","191,259,795.19","193,010,858.96","193,056,822.96",
预付款项,"7,959,405.55","7,959,405.55","7,959,405.55","2,617,832.24","2,617,832.24","2,617,832.24","2,617,832.24","4,016,731.76","4,016,731.76","4,016,731.76","4,016,731.76","3,746,140.18","3,746,140.18","3,746,140.18","3,746,140.18","2,844,686.08","2,844,686.08","2,844,686.08","2,844,686.08","1,561,604.37","1,561,604.37","1,561,604.37","1,561,604.37","979,425.67","979,425.67","979,425.67","979,425.67","1,241,804.05","1,241,804.05","136,000.00"
预收款项,"-432,110,889.03","574,242,364.27","589,640,464.27","63,793,045.27","63,793,045.27","63,793,045.27","63,793,045.27","65,591,168.89","65,591,168.89","65,591,168.89","65,591,168.89","63,967,515.73","63,967,515.73","63,967,515.73","63,967,515.73","63,967,051.74","63,967,051.74","63,522,051.74","63,522,051.74","63,139,486.64","63,139,486.64","63,139,486.64","63,139,486.64","63,089,486.64","63,089,486.64","63,089,486.64","63,089,486.64","63,089,486.64","63,089,486.64",
其他应收款,"24,359,282.77","26,898,631.83","30,536,095.10","29,442,555.21","31,107,621.04","27,228,514.58","27,883,551.35","15,804,504.49","14,435,510.90","15,175,505.44","16,826,304.30","13,185,705.71","15,261,228.62","13,436,035.13","14,393,705.60","22,468,108.20","23,820,384.90","23,455,061.12","25,209,988.41","23,078,280.88","23,511,132.61","26,520,288.18","24,849,886.37","18,443,347.25","18,797,164.64","13,183,686.35","15,015,818.16","10,136,861.05","11,346,415.64","7,600,000.00"
应付职工薪酬,"37,114,686.41","55,114,381.08","55,085,443.38","94,226,120.47","94,663,679.93","95,047,313.23","95,231,910.75","91,372,086.83","91,816,764.51","92,423,745.51","93,034,723.63","83,323,251.82","83,901,622.57","35,625,576.39","35,851,496.19","45,321,978.73","45,666,500.20","46,232,901.26","46,159,742.62","46,303,600.32","47,060,800.22","47,341,372.66","47,138,775.86","47,728,499.79","48,249,603.03","48,340,512.30","44,730,650.08","45,625,870.76","44,048,058.85","76,538.29"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"15,956,675.76","18,066,911.41","18,005,737.95","18,893,785.47","18,814,389.78","18,877,652.39","18,913,171.08","18,968,821.97","18,991,806.36","18,991,310.12","18,998,611.08","18,988,762.47","18,918,456.76","19,045,636.45","18,947,687.95","18,990,910.47","18,944,468.62","13,346,848.35","13,347,696.45","15,239,645.20","12,981,616.57","12,975,627.49","11,986,744.15","13,386,594.27","13,289,557.48","13,202,643.70","13,164,618.80","13,284,901.44","13,291,770.47","5,272,141.62"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164,969.86"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"71,244,798.16","71,079,055.68","70,361,185.62","70,702,527.31","71,102,400.54","70,841,980.00","70,607,325.81","70,504,148.69","70,286,726.09","70,019,305.91","70,015,959.76","70,475,571.03","70,860,804.61","70,251,428.45","71,479,199.56","70,475,571.03","70,386,490.82","66,581,776.89","66,328,078.08","66,487,097.70","66,487,097.70","66,487,097.70","66,814,615.31","66,487,097.70","66,487,097.70","66,967,491.14","67,178,465.90","66,545,289.43","66,368,181.19",
