科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"367,185,671.50","406,828,593.80","413,293,877.05","97,230,459.96","222,357,686.44","343,837,467.66","381,314,007.80","92,888,717.84","226,349,594.69","345,277,171.93","470,300,521.72","111,264,284.98","213,422,972.30"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"37,806,156.26"
收到的税费返还,"19,396,839.82","17,160,973.79","15,815,211.37","4,532,977.10","9,186,597.01","15,097,962.75","19,594,548.05","7,857,681.02","16,879,913.77","22,024,232.17","29,045,764.26","8,787,600.48","14,294,715.45"
支付其他与投资活动有关的现金,,,,,,,,,,,,"-1,482,890.00","23,735,000.00"
收到其他与经营活动有关的现金,"3,340,290.24","5,958,746.41","3,313,334.30","2,356,266.71","3,847,005.87","5,001,483.34","7,185,201.42","2,632,032.74","2,979,615.69","4,317,868.64","5,830,729.03","4,449,274.11","6,777,883.45"
投资活动现金流出小计,"503,772,240.09","302,424,200.84","472,230,425.07","152,884,584.99","405,105,110.69","707,888,058.09","1,281,384,856.08","384,488,960.29","785,381,235.73","1,296,219,355.12","1,947,429,535.73","392,844,988.00","781,566,390.65"
经营活动现金流入小计,"389,922,801.56","429,948,314.00","432,422,422.72","104,119,703.77","235,391,289.32","363,936,913.75","408,093,757.27","103,378,431.60","246,209,124.15","371,619,272.74","505,177,015.01","124,501,159.57","234,495,571.20"
投资活动产生的现金流量净额,"-40,399,151.33","-74,086,650.94","-32,890,838.16","-82,175,847.28","-132,770,201.01","-273,607,754.95","-382,853,821.50","100,390,653.36","-26,826,439.03","-82,682,264.34","-66,322,518.98","13,988,643.48","-6,760,187.91"
购买商品、接受劳务支付的现金,"256,204,575.30","281,218,634.00","241,674,507.99","63,473,596.62","132,755,555.51","224,721,516.25","203,982,844.75","70,723,476.90","119,041,379.97","206,128,454.16","291,081,607.86","88,857,380.11","137,051,875.18"
吸收投资收到的现金,,,,,"260,187,200.00","260,187,200.00","260,187,200.00",,"18,655,650.00","18,655,650.00","18,655,650.00",,
支付给职工以及为职工支付的现金,"37,066,852.05","43,400,920.92","49,353,976.08","13,969,011.92","29,463,188.10","43,369,414.69","59,437,299.25","17,522,145.84","35,268,899.70","52,760,667.06","70,813,584.05","21,088,136.49","42,719,675.19"
取得借款收到的现金,,,,,,,,,,,,,
支付的各项税费,"13,988,971.02","17,012,051.62","21,114,737.08","5,019,620.96","11,855,135.01","18,518,202.23","23,738,345.06","7,474,290.61","14,037,534.12","22,538,711.43","28,686,803.31","6,313,015.72","13,782,091.52"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"1,750,000.00"
支付其他与经营活动有关的现金,"21,173,410.32","23,551,683.88","22,702,807.19","6,692,454.77","14,545,385.19","22,763,929.38","27,834,738.54","9,938,750.95","19,368,420.21","27,207,716.46","33,606,101.88","12,193,033.40","24,501,368.17"
筹资活动现金流入小计,,,,,"260,187,200.00","260,187,200.00","260,187,200.00",,"18,655,650.00","18,655,650.00","18,655,650.00",,"1,750,000.00"
经营活动现金流出小计,"328,433,808.69","365,183,290.42","334,846,028.34","89,154,684.27","188,619,263.81","309,373,062.55","314,993,227.60","105,658,664.30","187,716,234.00","308,635,549.11","424,188,097.10","128,451,565.72","218,055,010.06"
偿还债务支付的现金,,,,,,,,,,,,,"3,000,000.00"
经营活动产生的现金流量净额,"61,488,992.87","64,765,023.58","97,576,394.38","14,965,019.50","46,772,025.51","54,563,851.20","93,100,529.67","-2,280,232.70","58,492,890.15","62,983,723.63","80,988,917.91","-3,950,406.15","16,440,561.14"
分配股利、利润或偿还利息支付的现金,"7,680,000.00","7,948,800.00","8,832,000.00",,,"11,776,000.00","11,776,000.00",,"17,664,000.00","17,664,000.00","17,664,000.00",,"59,376,239.66"
收回投资收到的现金,"460,000,000.00","225,000,000.00","435,000,000.00","70,000,000.00","270,000,000.00","430,000,000.00","890,000,000.00","480,000,000.00","750,000,000.00","1,200,000,000.00","1,860,000,000.00","401,517,110.00","743,000,000.00"
支付其他与筹资活动有关的现金,"1,400,000.00","500,000.00","500,000.00",,"7,964,935.85","8,669,150.17","10,840,407.54",,,,,"622,525.26","14,693,445.86"
取得投资收益收到的现金,"3,270,378.08","3,329,002.89","4,295,316.83","708,737.71","2,334,909.68","4,096,927.83","8,415,649.96","4,787,305.96","8,462,489.01","13,435,460.21","20,991,761.56","5,316,521.48","10,768,698.82"
筹资活动现金流出小计,"9,080,000.00","8,448,800.00","9,332,000.00",,"7,964,935.85","20,445,150.17","22,616,407.54",,"17,664,000.00","17,664,000.00","17,664,000.00","622,525.26","77,069,685.52"
处置固定资产、无形资产和其他长期资产收回的现金净额,"102,710.68","8,547.01","44,270.08",,,"183,375.31","115,384.62","92,307.69","92,307.69","101,630.57","115,255.19",,"138,820.00"
筹资活动产生的现金流量净额,"-9,080,000.00","-8,448,800.00","-9,332,000.00",,"252,222,264.15","239,742,049.83","237,570,792.46",,"991,650.00","991,650.00","991,650.00","-622,525.26","-75,319,685.52"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
