科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2013年1-3月,2013年1-6月,2013年1-9月,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,521,116,140.79","1,588,399,592.22","1,832,070,788.55","1,127,778,576.61","1,779,415,706.14","2,546,170,166.06","758,779,395.90","1,330,756,104.02","1,983,338,686.08","728,947,325.68","1,320,374,815.40","2,002,814,769.97","665,755,070.20","1,177,624,062.55","1,727,797,339.09","2,454,875,664.51","746,283,435.59","1,294,496,239.00","1,879,220,759.24","2,595,746,912.33","723,065,715.80","1,237,891,404.95","1,811,871,936.45","2,663,599,317.51","798,771,628.46","1,369,018,663.22","2,028,142,939.72","2,939,632,714.60","889,708,429.71","1,503,814,347.66"
取得子公司及其他营业单位支付的现金净额,,,,"66,746,573.71","66,746,573.71",,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,"925,437.18",,,,,,,,,,,,,,,,,,,,,,,,,,"436,339.29",,
收到其他与经营活动有关的现金,"149,153,143.19","113,814,067.74","51,092,246.27","15,548,683.00","28,023,752.67","63,259,169.45","22,555,853.76","69,208,337.90","85,553,710.33","23,073,436.48","84,944,518.69","105,193,116.77","32,390,004.54","86,528,718.38","122,239,176.73","121,443,586.36","9,684,972.62","36,107,467.67","61,582,254.22","50,629,244.42","9,551,242.23","46,322,747.81","70,922,583.19","62,243,314.58","14,770,662.45","33,824,356.47","60,511,030.96","40,943,157.27","15,404,601.09","42,153,744.66"
投资活动现金流出小计,"92,098,851.71","120,127,515.87","314,058,014.65","348,415,580.10","575,316,280.56","865,595,504.80","50,495,839.92","248,638,110.63","331,910,708.02","948,648,760.96","1,872,059,186.46","2,568,637,770.79","961,223,072.22","2,203,640,121.19","4,097,827,357.04","5,801,319,422.16","1,041,272,060.50","2,696,589,751.99","3,912,465,894.29","5,545,804,650.84","887,943,582.54","1,255,836,746.74","2,026,966,290.55","3,232,428,523.17","900,134,177.37","1,460,945,097.05","2,514,198,684.15","2,658,348,822.42","955,583,527.84","1,548,974,732.45"
经营活动现金流入小计,"1,670,269,283.98","1,702,213,659.96","1,883,163,034.82","1,143,327,259.61","1,807,439,458.81","2,609,429,335.51","781,335,249.66","1,399,964,441.92","2,068,892,396.41","752,020,762.16","1,405,319,334.09","2,108,007,886.74","698,145,074.74","1,264,152,780.93","1,850,036,515.82","2,576,319,250.87","755,968,408.21","1,330,603,706.67","1,940,803,013.46","2,646,376,156.75","732,616,958.03","1,284,214,152.76","1,882,794,519.64","2,725,842,632.09","813,542,290.91","1,402,843,019.69","2,088,653,970.68","2,980,575,871.87","905,113,030.80","1,545,968,092.32"
投资活动产生的现金流量净额,"-80,793,383.72","-120,015,379.44","-192,705,190.57","-254,668,710.13","-407,203,895.64","-510,518,593.11","10,335,271.19","31,620,552.17","-20,865,978.91","-586,258,392.80","-392,326,319.58","-648,443,646.15","-43,924,445.39","-70,556,057.54","-659,085,391.55","-877,272,213.71","-128,341,736.28","60,570,736.75","-71,144,790.51","-227,901,203.59","-194,115,016.77","166,981,157.70","72,105,066.20","-433,192,402.78","-201,316,444.64","333,476,699.51","254,846,497.21","47,529,039.49","-145,692,797.13","447,839,105.74"
购买商品、接受劳务支付的现金,"608,371,066.13","622,193,564.13","740,029,846.18","540,567,035.49","837,628,496.39","1,247,840,311.99","366,890,777.31","622,919,252.02","872,893,466.92","249,452,753.63","529,389,504.13","797,282,779.71","216,652,116.23","455,093,903.75","672,422,657.25","846,272,651.11","201,904,150.33","434,333,194.02","661,580,608.82","917,940,904.00","230,649,565.52","472,627,680.67","727,387,117.26","1,035,349,062.67","265,574,849.20","540,243,517.88","847,759,884.66","1,156,620,239.95","304,746,435.78","551,919,237.03"
吸收投资收到的现金,,"17,606,000.00","25,011,191.00","2,560,720,800.00","2,560,720,800.00","2,560,720,804.18",,"55,785,850.00","55,785,850.00","4,470,000.00","4,470,000.00","4,470,000.00",,,,,,,"4,990,000.00","4,990,000.00",,,,,,,,,,
