科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"355,361,566.68","369,535,146.33","330,268,732.95","146,296,940.29","202,401,365.44","336,981,826.88","48,030,468.39","130,322,684.06","214,787,337.18","363,308,776.27","142,296,514.57","314,393,519.31","468,298,610.18","680,278,496.31","184,848,863.62"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"14,135,256.42","14,135,256.42",,
收到的税费返还,,,,"158,487.22","163,930.74","158,487.22",,,,,,,"20,378.96",,"173,074.88"
支付其他与投资活动有关的现金,,,,,"131,813,000.00","316,800,000.00","291,800,000.00","474,800,000.00","858,740,000.00","35,171,277.41","417,800,000.00","517,800,000.00","988,222,067.16","1,184,807,249.15","187,000,000.00"
收到其他与经营活动有关的现金,"4,982,720.00","6,108,532.13","4,527,941.04","4,774,476.01","6,523,773.64","7,222,414.93","7,797,729.57","10,505,969.42","12,559,295.30","28,699,265.75","2,994,385.26","7,189,354.51","10,454,537.72","19,119,381.22","2,697,960.95"
投资活动现金流出小计,"11,937,220.00","21,788,743.53","18,568,338.84","4,275,753.76","138,333,651.39","327,898,046.39","299,863,787.78","498,156,404.05","887,356,222.83","68,551,699.23","434,246,390.99","559,215,939.15","1,051,459,887.62","1,258,588,249.14","204,066,453.46"
经营活动现金流入小计,"360,344,286.68","375,643,678.46","334,796,673.99","151,229,903.52","209,089,069.82","344,362,729.03","55,828,197.96","140,828,653.48","227,346,632.48","392,008,042.02","145,290,899.83","321,582,873.82","478,773,526.86","699,397,877.53","187,719,899.45"
投资活动产生的现金流量净额,"-11,034,012.12","-21,264,559.46","-18,297,833.94","-4,201,008.12","-138,248,879.39","-327,755,087.41","-35,146,067.23","66,633,994.91","-101,807,598.82","248,991,170.88","-370,772,560.57","-24,150,539.10","-295,001,513.10","-131,251,291.65","-191,628,209.54"
购买商品、接受劳务支付的现金,"210,415,474.95","210,941,288.94","155,813,838.67","56,793,374.43","62,996,986.90","137,260,917.29","71,043,237.37","121,075,019.95","180,228,745.65","317,361,175.69","73,344,048.43","229,456,548.13","410,710,366.62","555,759,069.77","165,810,596.05"
吸收投资收到的现金,,,,,"392,598,500.00","403,280,000.00",,,"92,978,775.00","92,978,775.00",,"1,500,000.00","17,205,164.00","15,205,164.00",
支付给职工以及为职工支付的现金,"31,909,803.19","30,436,084.73","34,536,326.60","21,391,164.25","28,020,287.75","37,327,043.97","10,241,924.27","20,742,307.25","30,338,156.12","40,518,215.65","13,281,071.10","26,431,329.54","42,585,123.44","54,133,747.53","22,224,324.55"
取得借款收到的现金,"86,802,750.10","65,350,000.00","9,051,723.80","9,500,000.00","9,500,000.00","9,500,000.00",,,,,,,"12,000,000.00","80,000,000.00",
支付的各项税费,"38,030,861.20","44,688,508.23","46,849,006.74","21,499,510.62","33,510,757.42","40,035,727.78","9,923,400.49","20,663,231.31","31,612,480.87","45,418,097.70","12,044,088.40","32,420,631.90","53,077,849.38","60,810,662.21","12,405,572.37"
收到其他与筹资活动有关的现金,"760,000.00",,"10,460,174.80",,"9,681,500.00",,,,,"9,166,309.63",,,,,"15,732,725.64"
支付其他与经营活动有关的现金,"36,493,583.60","37,085,120.86","33,666,882.49","17,445,859.16","32,334,220.68","39,581,814.01","10,115,220.01","24,374,833.93","37,014,652.35","41,862,384.34","13,893,498.14","34,479,212.22","49,850,376.95","68,414,052.90","28,042,310.31"
筹资活动现金流入小计,"87,562,750.10","65,350,000.00","19,511,898.60","9,500,000.00","411,780,000.00","412,780,000.00",,,"92,978,775.00","102,145,084.63",,"1,500,000.00","29,205,164.00","95,205,164.00","15,732,725.64"
经营活动现金流出小计,"316,849,722.94","323,151,002.76","270,866,054.50","117,129,908.46","156,862,252.75","254,205,503.05","101,323,782.14","186,855,392.44","279,194,034.99","445,159,873.38","112,562,706.07","322,787,721.79","556,223,716.39","739,117,532.41","228,482,803.28"
偿还债务支付的现金,"92,493,767.40","90,758,982.70","40,700,000.00","9,051,723.80","18,551,723.80","18,551,723.80",,,,,,"3,000,000.00","9,000,000.00",,
经营活动产生的现金流量净额,"43,494,563.74","52,492,675.70","63,930,619.49","34,099,995.06","52,226,817.07","90,157,225.98","-45,495,584.18","-46,026,738.96","-51,847,402.51","-53,151,831.36","32,728,193.76","-1,204,847.97","-77,450,189.53","-39,719,654.88","-40,762,903.83"
分配股利、利润或偿还利息支付的现金,"15,652,821.81","10,748,267.20","9,267,270.61","103,193.67","188,659.44","152,554.09",,"22,799,306.07","22,799,306.07","24,000,000.00",,"22,859,356.94","22,879,516.94","24,294,785.00","991,800.00"
收回投资收到的现金,,,,,,,,,,,,,,"10,000,000.00",
