科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"57,708,435.58","101,872,098.23","169,841,463.38","117,467,698.94","439,104,923.46","453,212,142.78","473,511,246.05","437,235,626.55","429,413,764.04","389,500,908.85","351,113,875.68","303,259,488.83","310,596,819.78","204,156,151.95","346,175,518.98","276,782,585.01","309,972,161.60","519,740,829.10","544,836,841.61","520,490,528.37","721,944,936.05","783,483,255.12","2,481,317,898.27","2,396,092,677.95","2,515,864,746.92","2,591,816,603.36","3,063,748,858.59","2,727,046,847.73"
短期借款,"20,000,000.00","16,000,000.00","44,500,000.00","34,500,000.00","19,000,000.00","19,000,000.00","9,500,000.00","9,500,000.00","30,000,000.00","30,000,000.00","39,500,000.00","39,500,000.00","49,400,000.00","49,400,000.00","99,900,000.00","99,900,000.00","104,900,000.00","164,700,000.00","175,500,000.00","215,500,000.00","255,115,600.00","240,315,600.00","201,600,000.00","218,975,493.62","271,075,493.62","238,275,493.62","151,275,493.62","237,200,000.00"
交易性金融资产,"2,282,355.00",,,,,,,,,,,,,,,"3,000,000.00",,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"150,000.00",,"4,212,700.00","3,512,700.00","1,162,700.00","1,212,700.00","1,977,120.00","1,621,120.00","357,775.00","347,900.00","2,395,925.00","2,712,085.00","1,781,660.00","5,879,000.00","8,380,200.00","7,139,300.00","3,260,970.00","13,193,750.00","49,463,870.75","51,864,545.77","37,977,434.59","38,705,789.91","87,700,499.40","57,624,707.94","53,979,575.81","56,039,775.98","96,852,153.07","95,684,461.11"
应付票据,,,,,,,,,,,,,,,,,,"204,932.34","204,932.34","166,266.00","210,026.09",,"22,722,506.30","39,682,481.55","50,029,532.59","50,283,965.10","56,364,184.41","143,763,451.95"
应收账款,"17,601,169.40","26,374,539.27","46,240,905.04","79,189,958.81","103,718,627.73","88,401,469.37","72,674,628.50","69,135,654.86","76,028,536.14","78,275,799.44","73,018,938.46","84,824,438.70","81,264,552.29","86,658,098.68","198,053,309.34","180,711,536.87","217,668,934.16","251,931,848.45","253,392,705.55","238,532,267.65","320,000,711.15","334,207,752.15","700,860,251.86","715,269,534.52","794,404,737.63","852,100,238.13","861,009,640.71","964,484,746.06"
应付账款,"28,894,654.67","41,919,290.46","55,398,610.68","47,567,309.91","44,819,561.50","42,992,945.12","46,624,316.22","43,343,034.03","41,582,758.75","46,032,480.39","35,166,154.73","34,531,208.09","30,585,057.55","27,930,902.57","65,798,873.64","62,814,544.57","113,459,979.76","197,509,635.86","258,500,394.22","270,339,054.18","244,494,888.05","204,029,217.21","645,297,426.98","661,234,386.81","742,950,244.30","819,666,985.54","941,797,132.48","763,753,616.43"
预付款项,"2,578,268.72","8,474,891.65","8,092,361.77","10,127,176.56","11,669,155.34","14,845,621.72","10,240,780.15","11,242,107.30","13,782,568.06","35,305,062.18","22,364,951.15","33,684,241.56","34,158,884.56","27,789,632.69","17,142,093.05","27,775,785.53","28,364,554.55","31,617,387.36","54,697,420.25","129,617,077.86","67,723,009.87","79,772,425.91","93,293,052.28","212,504,671.44","136,555,572.93","145,737,942.10","96,425,518.34","266,469,774.53"
预收款项,"7,804,980.36","9,603,542.72","14,630,650.60","11,940,429.08","9,253,347.08","15,719,872.70","8,554,925.34","7,076,161.83","12,775,326.30","10,449,124.66","13,236,949.17","15,881,848.35","18,402,961.44","17,444,284.52","19,685,180.00","25,773,196.50","65,308,082.90","145,354,720.76","164,827,779.31","189,897,382.55","233,531,457.28","242,992,065.90","370,855,257.09","404,428,937.84","459,125,886.49","524,966,137.64","479,256,447.07","516,247,677.27"
其他应收款,"5,095,112.21","6,865,065.75","7,220,913.99","9,180,664.28","10,751,141.42","12,903,036.28","10,422,298.58","14,566,371.11","8,974,158.39","10,090,142.28","5,200,523.88","9,517,738.74","10,035,800.81","9,237,502.43","11,918,395.02","30,819,045.83","25,576,805.79","37,320,532.03","27,018,836.80","46,680,620.62","31,577,092.81","31,520,347.75","113,937,218.05","172,270,800.37","229,987,786.50","144,564,146.41","89,421,765.36","112,448,405.78"
应付职工薪酬,"1,456,518.29","1,910,246.23","1,937,024.68","1,615,745.10","1,823,404.31","1,951,641.91","2,590,616.28","4,786,108.78","3,582,713.77","3,472,203.45","4,395,383.98","3,927,233.15","3,826,029.02","4,100,391.25","5,957,978.57","7,784,651.08","10,304,202.23","10,907,026.80","19,224,841.26","18,176,004.16","21,957,970.41","24,189,314.68","56,980,934.86","36,090,295.51","38,768,697.19","41,443,205.44","82,193,431.61","48,003,508.05"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"994,077.01","6,017,572.44","14,961,556.89","2,256,816.52","5,492,437.28","6,317,670.54","12,913,317.24","526,236.15","6,904,532.76","5,240,731.49","7,704,791.64","5,045,754.14","5,667,054.76","5,732,374.56","37,786,995.00","21,247,869.08","55,373,579.72","61,159,285.97","56,040,107.67","38,602,820.72","63,476,034.23","59,837,641.23","148,294,602.61","80,500,209.10","69,721,381.34","56,075,422.30","103,584,323.13","66,848,447.41"
应收利息,,,,,,"1,247,402.78","3,660,182.02","6,124,996.04","4,491,104.27","5,556,448.23","5,232,266.95","6,354,277.38","17,765.24",,,,,,,,,,,"7,777,500.00","8,761,391.26","10,824,983.80","15,622,710.97","18,811,952.37"
应付利息,"13,431.25",,"70,155.56","70,155.56","28,109.59","28,109.59","15,832.33","15,833.33","45,000.00","45,000.00","65,833.33","65,833.33","78,600.00","78,600.00","138,166.67","138,166.67","121,685.00","146,286.50","502,953.17","356,666.67","356,666.67","356,666.67","232,884.24","602,772.46","433,126.38","678,190.43","449,978.12","800,261.06"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,"150,000.00",,,,,,,,,,,,,,,,"565,762.77","565,762.77","565,762.77","565,762.77","904,982.61","904,982.61","904,982.61","904,982.61","1,531,217.52",,,
存货,"35,051,374.01","41,779,103.59","43,144,990.49","32,427,678.25","19,193,879.71","20,339,390.69","39,707,348.04","57,888,589.46","48,992,471.02","57,081,792.08","44,361,286.81","40,065,300.07","39,034,794.52","43,323,130.24","57,904,360.88","102,405,639.57","122,191,904.87","117,357,958.81","149,509,500.29","254,943,973.00","186,532,575.96","173,796,719.19","536,445,629.43","614,512,687.47","674,999,655.01","750,728,062.71","639,988,569.89","673,923,686.82"
其他应付款,"478,657.16","338,022.20","3,726,588.97","4,485,424.38","7,300,465.53","4,015,171.30","1,768,973.00","2,386,136.79","2,006,612.21","1,345,657.73","1,816,205.40","1,995,227.09","3,691,568.98","3,578,544.41","27,492,230.80","28,803,679.86","6,558,217.16","9,024,769.74","82,857,138.62","96,896,122.57","71,008,650.71","59,769,596.05","127,761,183.86","170,869,118.67","474,062,974.87","441,318,329.96","369,524,441.16","363,565,874.75"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,"77,743,677.66","77,100,986.76"
其他流动资产,"23,250.05",,,,,,,,,,,,,,"402,937.37","227,549.92","122,050.60","357,391.97","5,562,663.42","3,300,577.80","2,829,581.37","1,023,692.44","31,601,803.04","36,170,569.14","39,339,237.99","30,726,294.74","44,623,643.03","38,630,104.29"
其他流动负债,,,,"41,678.47",,,"2,000,000.00",,,"51,830.00","1,227,966.34","1,191,841.41","1,241,393.62","1,198,076.89","244,739.63","250,059.63","5,828.19","5,828.19",,,,,,,,,,
流动资产合计,"120,489,964.97","185,365,698.49","278,753,334.67","251,905,876.84","585,600,427.66","592,161,763.62","612,193,603.34","597,814,465.32","582,040,376.92","576,158,053.06","503,687,767.93","480,417,570.28","476,890,277.20","377,043,515.99","639,976,814.64","628,861,442.73","707,157,381.57","971,519,697.72","1,084,481,838.67","1,245,429,591.07","1,368,585,341.80","1,442,509,982.47","4,045,156,352.33","4,212,223,148.83","4,453,892,704.05","4,582,538,047.23","4,907,692,859.96","4,897,499,978.69"
流动负债合计,"59,792,318.74","75,788,674.05","135,224,587.38","102,477,559.02","87,717,325.29","90,025,411.16","83,967,980.41","67,633,510.91","96,896,943.79","96,637,027.72","103,113,284.59","102,138,945.56","112,892,665.37","109,463,174.20","257,004,164.31","246,712,167.39","356,597,337.73","589,578,248.93","758,223,909.36","830,500,079.62","891,056,276.05","832,395,084.35","1,574,649,778.55","1,613,288,678.17","2,107,698,554.30","2,172,707,730.03","2,262,189,109.26","2,217,283,823.68"
可供出售金融资产,,,,,,,,,,,,,,"87,324,600.00","88,824,600.00","88,824,600.00","87,324,600.00","87,324,600.00","177,274,600.00","128,324,600.00","211,115,587.27","193,188,864.93","147,872,963.94","143,296,196.86","225,063,801.99","224,851,878.34","194,922,782.68","194,520,220.79"
长期借款,,,,,,,,,,,,,,,,,,,,,,,"73,083,200.70","73,083,200.70","77,496,000.00","78,233,000.00","78,000,000.00","78,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00"
长期股权投资,"1,461,992.77","1,377,833.42","1,343,037.05","2,208,237.05","1,268,784.62","3,200,000.00","2,679,543.59","2,469,653.68","5,204,598.48","11,942,562.24","70,456,984.97","94,527,903.16","99,515,958.72","133,456,054.35","99,380,872.43","98,442,629.20","161,411,382.03","162,026,224.22","217,239,415.19","226,486,890.66","224,522,478.31","261,247,235.47","295,387,029.59","299,220,525.91","308,281,956.51","389,197,900.41","319,809,704.01","333,768,549.85"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,"1,482,687.78","1,429,219.20","2,583,474.56","2,508,131.78","2,432,789.00","2,357,446.22","2,282,103.44","2,206,760.66","6,105,963.88","4,778,342.88","4,640,069.78","4,533,261.86","4,457,919.08"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"6,602,420.68","9,475,576.99","12,987,288.73","13,990,020.28","14,385,875.71","14,194,783.57","16,184,401.42","15,707,343.33","16,017,043.06","16,137,676.91","15,741,929.29","15,562,489.44","17,142,854.77","17,318,788.38","83,676,453.05","88,643,294.73","89,913,763.15","90,860,434.69","117,356,047.96","114,318,486.42","115,617,892.31","116,055,218.99","315,571,943.07","293,617,380.56","291,183,424.80","379,348,855.83","390,829,567.46","382,608,181.30"
递延所得税负债,"14,218.57",,,,,,,,,,,,,,"969,075.00","944,437.50","919,800.00","895,162.50","6,269,437.32","6,378,937.32","5,694,650.28","5,505,991.59","14,665,213.27","12,217,949.29","11,641,542.37","10,874,864.61","11,639,727.25","10,596,614.21"
在建工程,,,,,,,,,,,"41,711,400.00","42,033,062.44","44,438,394.60","66,403,212.71","6,170,315.00","6,170,315.00","5,883,161.56","5,883,161.56","5,983,161.56","5,983,161.56","5,983,161.56","5,983,161.56","40,164,673.32","38,831,079.52","78,020,037.24","3,284,085.03","2,178,039.07","1,869,967.84"
其他非流动负债,,,,,,,,,,,"243,750.00","243,750.00","243,750.00","243,750.00",,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"14,218.57",,,,,,,,,,"243,750.00","243,750.00","243,750.00","243,750.00","969,075.00","944,437.50","919,800.00","895,162.50","7,319,437.32","6,378,937.32","5,694,650.28","5,505,991.59","168,411,370.46","165,095,005.13","168,862,266.16","170,313,467.05","166,262,311.67","160,650,097.28"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"59,806,537.31","75,788,674.05","135,224,587.38","102,477,559.02","87,717,325.29","90,025,411.16","83,967,980.41","67,633,510.91","96,896,943.79","96,637,027.72","103,357,034.59","102,382,695.56","113,136,415.37","109,706,924.20","257,973,239.31","247,656,604.89","357,517,137.73","590,473,411.43","765,543,346.68","836,879,016.94","896,750,926.33","837,901,075.94","1,743,061,149.01","1,778,383,683.30","2,276,560,820.46","2,343,021,197.08","2,428,451,420.93","2,377,933,920.96"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"38,880,000.00","42,000,000.00","42,000,000.00","42,000,000.00","56,000,000.00","56,000,000.00","56,000,000.00","56,000,000.00","112,000,000.00","112,000,000.00","112,000,000.00","112,000,000.00","224,000,000.00","229,022,000.00","236,219,942.00","236,219,942.00","472,997,869.00","472,997,869.00","500,481,802.00","499,983,108.00","999,966,216.00","999,966,216.00","1,150,221,154.00","1,149,336,195.00","1,172,196,195.00","1,172,196,195.00","1,172,196,195.00","1,172,196,195.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"474,682.59","22,314,682.59","22,138,240.03","22,138,240.03","345,978,413.01","346,728,413.01","345,978,413.01","345,978,413.01","289,978,413.01","289,666,336.08","289,666,336.08","289,666,336.08","177,666,336.08","215,908,866.08","324,540,176.15","324,852,693.21","108,407,027.38","107,907,027.38","644,603,890.25","644,603,890.25","144,592,113.69","105,351,656.72","3,093,153,889.98","3,087,532,596.59","3,290,519,193.80","3,290,519,193.80","3,333,631,933.49","3,250,409,150.32"
无形资产,"508,000.00","538,341.94","851,432.70","920,194.57","993,169.50","1,635,915.41","1,585,476.32","1,835,403.19","1,494,439.96","1,428,238.43","5,600,490.23","5,545,582.79","5,090,997.01","5,058,771.06","10,755,113.70","10,441,130.03","12,161,510.63","11,720,593.17","34,194,135.34","32,619,234.56","30,905,569.80","30,066,697.93","105,834,061.64","99,444,026.26","93,204,630.56","89,858,379.26","140,141,929.13","131,015,577.86"
盈余公积,"1,664,101.84","4,322,717.45","8,091,876.19","8,091,876.19","8,091,876.19","8,091,876.19","11,929,032.67","11,929,032.67","11,929,032.67","11,929,032.67","13,714,380.11","13,714,380.11","13,714,380.11","13,714,380.11","17,949,261.62","17,949,261.62","17,949,261.62","17,949,261.62","17,969,331.07","17,969,331.07","17,848,947.89","17,848,947.89","20,778,280.26","20,778,280.26","20,778,280.26","20,778,280.26","39,498,354.35","39,498,354.35"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,"63,889,889.82","63,391,195.82","39,755,666.27",,"41,669,428.77","40,784,469.77","256,585,199.41","256,585,199.41","240,127,352.00","246,183,377.00"
商誉,,,,,,,"348,668.15","348,668.15","348,668.15","348,668.15",,,,,"114,038,608.58","117,624,273.73","116,576,092.69","117,101,561.90","541,598,069.40","541,598,069.40","541,598,069.40","541,598,069.40","1,898,762,995.14","1,898,762,995.14","1,898,817,995.14","1,898,817,995.14","1,898,762,995.14","1,898,762,995.14"
未分配利润,"24,112,020.41","48,305,541.18","87,224,056.63","94,878,954.69","104,773,048.19","111,538,904.44","130,277,176.16","131,516,817.30","89,460,654.88","89,745,423.52","105,912,358.90","107,286,686.65","97,446,848.61","101,234,289.15","165,451,007.32","167,175,042.21","171,567,760.98","185,522,201.79","254,438,787.61","292,465,187.40","302,873,513.42","403,631,297.30","606,716,794.38","701,407,442.57","682,467,104.17","811,985,485.28","897,483,993.96","1,037,883,709.44"
长期待摊费用,,,"811,610.68","797,896.94","722,413.64","1,773,621.13","720,441.43","812,184.66","644,958.13","1,043,427.17","584,412.83","1,413,943.93","943,770.09","1,313,428.54","1,354,726.92","1,548,208.97","2,547,387.37","2,375,532.80","3,638,457.13","4,063,882.51","3,829,838.67","4,445,240.66","3,710,718.90","6,162,274.11","6,076,066.44","6,979,540.13","7,889,829.66","7,446,905.96"
少数股东权益,"4,370,023.29","4,612,242.39","1,624,046.38","1,256,799.00","1,947,404.80","2,127,975.28","8,057,758.53","8,428,170.97","8,960,771.46","11,040,775.16","16,838,715.14","17,952,310.66","21,420,565.48","21,950,661.25","48,729,617.80","54,319,857.60","68,225,027.83","87,938,659.06","73,080,565.81","78,713,716.64","192,151,836.04","242,040,934.13","298,736,397.34","315,612,143.27","190,956,463.19","214,612,653.37","255,382,782.27","238,911,880.04"
递延所得税资产,"244,987.02","572,106.81","1,491,696.35","1,021,203.25","1,491,696.35","1,491,696.35","2,435,738.26","2,435,738.26","3,118,298.69","3,448,877.05","2,937,436.93","2,937,436.93","3,031,634.19","3,031,634.19","5,948,722.81","5,527,590.25","11,512,089.49","11,646,452.54","9,202,491.06","7,029,045.88","11,811,069.06","11,625,532.52","20,064,386.91","18,949,101.43","21,545,859.18","21,153,062.01","20,699,424.33","18,877,171.83"
外币报表折算价差,,"-14,300.01","-64,406.43",,"-45,700.00","-54,800.00","-62,488.27","-62,488.27","-357,432.42","-511,092.14","-768,402.64","-564,420.09","-330,659.07","-587,115.57",,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,,"297,079.97",,,759.88,759.88,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"8,817,400.47","11,963,859.16","17,485,065.51","18,937,552.09","18,861,939.82","22,296,016.46","23,954,269.17","23,608,991.27","26,828,006.47","34,349,449.95","137,032,654.25","162,020,418.69","170,163,609.38","313,906,489.23","410,149,412.49","418,704,729.69","488,759,206.12","491,819,115.41","1,108,994,509.42","1,062,856,159.99","1,147,741,872.48","1,166,492,884.78","2,829,575,533.17","2,804,389,543.67","2,926,972,114.74","3,018,131,765.93","2,979,767,533.34","2,973,327,489.65"
