科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"335,733,444.19","391,465,837.77","215,419,443.58","543,418,260.11","397,067,050.51","567,201,046.68","775,887,891.61","239,743,353.85","457,524,001.26","719,570,220.66","975,669,032.79","252,948,651.46","526,535,340.15","772,654,179.08","1,074,140,849.57","258,159,104.31","565,357,863.24","843,707,889.83","1,205,672,152.87","337,761,541.24","722,671,536.22","1,029,797,614.19","1,497,240,270.12","584,329,200.98","1,220,044,776.81","1,749,316,380.57","2,472,233,670.51","675,654,535.25","1,467,369,840.73","2,211,157,482.02","3,303,729,514.15","912,939,401.09","2,009,630,238.28","2,982,887,449.17","4,279,171,692.16","1,056,023,092.47"
二、营业利润,"48,858,728.24","34,692,974.22","20,414,362.60","53,797,761.44","68,754,364.80","92,684,826.20","120,765,655.74","41,616,278.11","77,737,601.63","108,530,276.99","157,561,015.32","33,677,476.85","70,751,305.14","105,517,938.33","126,791,163.87","32,388,618.66","68,496,206.86","94,921,071.92","121,155,044.08","37,215,449.35","74,028,486.50","96,913,533.92","146,201,226.01","66,535,536.91","133,397,180.70","192,946,521.13","274,091,425.15","88,156,506.78","193,252,321.25","298,954,194.09","388,625,857.74","98,589,378.71","218,345,567.38","296,766,424.54","268,065,623.28","59,549,355.05"
减:营业成本,"213,915,602.75","263,494,853.96","156,234,952.69","385,928,585.08","279,375,096.03","393,445,177.16","533,436,918.11","167,542,218.96","321,384,392.08","514,733,247.70","690,506,538.33","188,713,376.88","386,746,471.73","557,293,107.25","774,320,475.74","188,280,027.06","414,189,079.17","616,221,989.97","882,284,577.17","238,527,026.08","535,559,764.20","768,204,521.06","1,093,141,737.25","428,840,105.41","907,033,598.45","1,292,678,058.51","1,807,765,847.48","481,364,253.38","1,057,369,256.11","1,577,155,206.40","2,380,215,710.54","689,038,715.26","1,514,516,532.91","2,257,168,521.29","3,250,676,149.37","841,396,740.41"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,714,347.99","3,002,453.75","1,825,663.19","2,847,850.31","2,050,147.61","2,962,841.94","3,980,729.16","1,323,595.06","2,844,233.66","4,472,111.02","6,715,870.33","1,921,502.84","3,608,769.90","5,018,782.56","7,114,769.26","1,683,376.32","3,296,530.85","4,685,542.86","5,970,590.57","1,333,199.43","3,255,142.94","4,845,203.76","7,099,872.56","1,947,383.15","3,473,644.58","5,533,324.30","7,457,732.70","2,148,937.95","5,691,556.01","8,758,286.43","19,887,988.06","4,765,401.08","13,044,818.90","18,984,716.12","28,370,295.19","6,115,510.90"
营业外收入,"9,576,462.42","22,078,750.00","4,618,857.71","9,842,006.07","3,125,558.51","6,449,853.43","8,877,625.60","1,321,928.73","7,764,922.72","11,449,236.40","14,570,316.18","551,231.19","2,469,868.75","4,569,225.00","9,366,942.24","1,016,836.75","2,567,540.25","5,686,249.19","12,685,302.38","1,805,902.70","4,601,598.10","9,688,819.49","10,894,294.26","2,832,489.73","9,788,893.53","17,057,239.65","23,983,796.82","6,594,299.05","11,693,856.29","20,417,780.95","24,735,268.89","9,020,153.18","15,231,889.29","7,150,279.33","22,739,703.97","569,244.40"
销售费用,"10,634,320.08","17,580,835.64","7,451,497.44","17,975,409.96","10,827,645.77","18,649,522.72","25,510,865.42","6,052,486.59","12,523,618.58","21,049,213.04","29,744,477.78","6,644,580.46","13,612,748.59","21,047,949.34","29,484,601.23","7,251,377.47","15,623,428.37","23,650,732.26","36,261,069.14","13,212,712.28","23,006,423.87","31,952,617.32","47,400,673.53","26,479,591.07","50,420,386.50","76,940,448.23","108,136,569.90","31,907,586.65","60,666,091.17","88,765,704.69","149,580,479.43","32,706,255.70","66,477,180.39","105,922,477.04","168,849,698.45","31,232,676.21"
减:营业外支出,"846,718.68","2,299,310.84","858,921.07","1,351,172.64","845,709.04","1,134,069.83","2,096,768.94","577,130.03","902,652.56","1,090,514.12","1,616,514.01","222,140.99","530,691.33","1,094,648.36","1,666,161.43","218,329.43","736,396.59","1,748,489.96","9,349,213.92","266,408.79","1,913,672.89","2,684,167.86","3,495,668.82","740,870.12","1,576,363.66","2,116,992.56","8,901,695.39","378,038.77","1,241,857.24","2,943,610.18","4,853,503.09","1,305,416.33","3,423,933.85","4,466,559.62","7,081,927.21","2,241,063.93"
管理费用,"45,385,763.54","52,040,667.31","24,131,654.60","64,907,942.45","26,482,738.31","47,410,861.19","72,063,841.16","20,253,025.60","39,317,570.16","64,248,642.71","84,364,599.01","20,185,130.63","46,198,544.65","75,914,546.62","116,978,311.61","26,589,775.68","56,791,766.71","93,680,139.84","133,196,274.66","38,946,668.37","73,282,973.52","112,148,079.28","171,245,002.76","46,808,858.16","98,127,110.85","150,336,756.23","217,907,626.36","57,665,780.18","122,133,902.11","195,156,015.69","280,311,887.87","73,188,620.67","165,224,490.14","265,185,774.98","362,653,733.12","81,594,490.74"
其中:非流动资产处置净损失,"18,216.36","8,730.12","82,926.12","612,077.53","27,580.92","35,194.15","58,322.62","1,051.05","1,146.24","2,677.82",,"1,440.00","20,907.48","99,259.63","398,578.54","12,050.87","72,995.21","385,701.66","531,933.71","4,901.68","22,145.00","366,700.37","654,063.31","12,201.62","103,388.31","279,866.73","6,584,486.81","22,946.56","409,713.08","590,581.43","1,288,122.31","36,296.82","1,951,553.37","2,323,250.81",,
