科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"823,935,707.20","1,013,104,456.21","365,099,116.69","531,314,227.14","762,145,014.26","249,274,131.88","593,491,003.14","966,443,080.19","1,414,080,871.92","251,123,336.54","679,850,019.93","1,043,663,308.48","1,553,481,173.58","331,724,098.44","578,994,201.97","789,151,969.91","1,257,780,804.33","248,631,826.66","698,519,050.84","1,126,570,701.22","1,503,273,714.30","422,488,784.43","1,012,474,329.88","1,339,194,171.44","1,889,044,414.51","368,654,003.49","1,008,965,786.47","1,501,587,764.38","1,894,317,459.90","298,852,789.94","880,715,602.71","1,429,447,228.91","1,927,657,086.60","500,394,931.84","1,327,205,362.14","2,056,825,141.85","1,807,706,697.62","675,002,152.23","1,197,137,142.87"
取得子公司及其他营业单位支付的现金净额,"17,195,885.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"18,302,893.15","17,096,413.77","13,257,698.10","13,257,698.10","16,246,255.24",,,,"4,099,974.86",,,,"22,331,114.73",,"15,120,143.70","20,287,116.26","22,247,004.11","3,846,848.17","11,099,640.67","16,886,655.89","20,215,723.18","3,622,162.06","11,099,383.24","16,748,722.48","23,255,696.34","7,713,149.47","7,713,149.47","26,924,751.20","17,053,681.12","6,044,158.17","8,360,606.09","8,136,816.99","8,136,816.99",,"3,493,850.00","3,493,850.00","3,493,850.68","441,256.75","441,256.75"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,000,000.00",,,"100,000,000.00","224,000,000.00","120,000,000.00",
收到其他与经营活动有关的现金,"11,676,358.74","13,555,811.52","5,622,636.10","11,975,141.97","1,874,169.93","200,000.00","4,125,364.97","4,330,764.27","32,479,039.17","249,745.54","12,032,893.77","13,906,480.12","12,890,791.00","2,444,076.50","9,279,451.21","10,625,589.75","23,635,219.99","61,384,800.00","62,274,800.00","62,886,151.39","18,118,440.86","26,588,848.29","72,752,980.09","79,955,194.30","30,034,039.75","69,014,881.30","51,408,045.17","69,801,034.44","95,372,682.05","55,835,727.31","42,740,568.14","45,843,887.92","35,109,304.42","17,825,718.93","18,924,686.73","29,130,335.20","83,318,403.15","2,031,796.10","5,195,924.87"
投资活动现金流出小计,"275,155,664.09","169,306,540.53","75,258,059.96","80,199,823.83","191,712,431.98","55,674,581.54","176,132,453.07","317,154,681.95","564,234,530.19","191,544,591.80","479,180,433.06","621,624,054.76","730,664,547.66","197,383,245.66","308,160,948.57","375,422,032.47","793,162,188.74","65,882,813.37","186,309,825.98","280,902,972.93","445,853,597.08","88,797,904.06","204,319,818.28","298,455,608.27","399,182,687.44","78,324,474.92","210,324,104.54","241,701,820.13","331,341,951.80","56,170,701.10","206,507,896.78","267,899,808.51","319,362,990.76","64,587,218.06","87,646,545.24","282,680,724.24","608,666,334.34","153,787,940.90","142,887,618.87"
经营活动现金流入小计,"853,914,959.09","1,043,756,681.50","383,979,450.89","556,547,067.21","780,265,439.43","249,474,131.88","597,616,368.11","970,773,844.46","1,450,659,885.95","251,373,082.08","691,882,913.70","1,057,569,788.60","1,588,703,079.31","334,168,174.94","603,393,796.88","820,064,675.92","1,303,663,028.43","313,863,474.83","771,893,491.51","1,206,343,508.50","1,541,607,878.34","452,699,794.78","1,096,326,693.21","1,435,898,088.22","1,942,334,150.60","445,382,034.26","1,068,086,981.11","1,598,313,550.02","2,006,743,823.07","360,732,675.42","931,816,776.94","1,483,427,933.82","1,970,903,208.01","518,220,650.77","1,349,623,898.87","2,089,449,327.05","1,894,518,951.45","677,475,205.08","1,202,774,324.49"
投资活动产生的现金流量净额,"-274,565,296.93","-164,814,493.98","-65,788,285.03","-70,572,008.17","-166,756,922.38","-55,059,666.67","-174,675,089.16","-315,452,327.81","-561,414,987.88","-191,107,321.16","-478,369,359.68","-619,456,264.33","-716,879,334.36","-194,965,418.41","-304,064,942.65","-368,444,695.30","-782,952,781.62","-63,950,256.82","-182,328,181.15","-275,136,886.15","-437,143,011.57","-88,384,598.28","-202,583,431.29","-296,123,840.22","-396,849,113.08","-77,564,211.57","-207,651,929.35","-238,041,950.05","-326,288,751.16","-55,638,415.53","-206,304,073.75","-266,940,569.80","-319,006,769.41","-46,333,372.73","-69,646,545.24","-264,680,724.24","-349,523,123.38","-150,744,646.47","-140,332,785.38"
购买商品、接受劳务支付的现金,"595,634,206.52","634,826,294.01","236,190,148.01","330,370,166.03","496,312,437.21","175,215,711.04","388,889,062.86","689,448,156.27","769,324,716.99","180,113,105.98","528,328,981.81","786,874,208.85","1,269,514,122.43","255,615,705.77","445,016,589.57","618,580,071.29","888,321,761.10","223,158,065.08","466,460,919.55","724,971,603.07","1,013,384,837.73","329,473,599.37","689,119,690.91","895,461,677.14","1,177,929,092.95","235,347,263.13","543,770,932.46","789,063,082.47","1,145,292,115.23","159,173,151.72","418,274,613.62","803,169,928.88","1,102,556,011.80","474,937,543.91","1,212,075,477.39","1,713,178,422.57","1,293,920,493.10","431,978,139.77","639,527,141.37"
吸收投资收到的现金,,,,"840,000,000.00","819,000,000.00",,,,,,,"1,045,282,343.63","1,045,282,343.63",,,,,,,,,,,,,,,,,,"4,549,226.95","4,549,226.95","9,026,870.08","3,451,850.00","3,784,450.00","3,784,450.00","22,336,354.10",,"3,609,800.00"
