科目,2010年度,2011年度,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"266,125,691.41","305,726,908.96","340,780,214.61","174,428,061.71","249,000,213.80","355,918,519.42","55,162,807.97","189,973,375.08","270,103,139.34","399,324,015.55","75,029,206.44","196,070,059.09","329,294,275.42","493,790,412.28","145,709,852.62","316,737,184.10","560,497,431.54","1,073,868,560.66","197,399,723.39","429,948,243.13","785,080,423.79","939,987,374.89","188,134,692.65","240,079,520.24","315,045,363.53","350,830,020.33","67,939,312.91"
二、营业利润,"32,409,048.25","36,200,700.60","36,142,808.20","19,611,495.62","21,038,144.81","36,854,019.14","472,622.04","13,019,699.23","16,970,280.23","38,455,701.95","1,780,131.64","14,825,899.64","24,711,617.77","62,146,938.97","1,359,869.90","25,022,584.64","74,746,619.83","152,053,150.34","4,125,315.87","29,448,078.33","103,563,037.04","80,511,288.16","8,785,559.30","-119,188,673.98","-235,077,841.63","-1,544,182,882.41","-138,088,058.13"
减:营业成本,"178,613,533.91","198,209,280.98","213,125,045.99","103,136,643.19","151,128,455.88","217,738,549.93","34,603,843.11","127,879,721.54","180,106,404.71","255,219,087.19","49,304,640.14","131,156,485.46","220,791,030.90","275,529,524.23","103,347,496.32","201,491,106.44","335,114,224.33","660,470,182.61","109,367,063.12","254,001,004.45","459,346,763.47","564,537,135.56","110,481,857.83","177,003,795.27","252,260,546.22","425,623,002.38","63,284,274.33"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"767,058.30","2,890,496.11","1,895,267.83","1,348,509.05","2,520,139.20","2,527,665.35","573,509.67","1,718,585.62","1,940,248.92","2,297,685.62","28,944.76","772,087.41","1,374,243.42","4,481,627.17","843,419.72","2,425,146.70","7,878,415.13","16,233,316.18","3,594,671.85","11,319,272.92","13,762,911.80","19,705,262.33","1,713,887.12","4,681,803.73","4,965,701.78","7,671,712.09","434,267.81"
营业外收入,"2,680,012.26","1,777,547.43","2,925,356.10","628,260.19","1,152,552.02","2,192,038.92","1,377,064.08","1,708,526.14","1,996,662.62","2,345,909.24","302,425.83","1,704,869.93","2,023,814.53","4,263,050.32","448,136.56","4,437,893.12","5,132,864.04","11,550,203.14","353,114.81","1,845,314.47","2,977,100.39","2,958,645.52","407,331.98","912,514.57","6,350,864.54","6,540,615.46","288,531.90"
销售费用,"11,619,625.21","13,222,800.38","14,821,995.54","6,571,488.77","9,042,082.49","11,963,075.70","2,293,519.31","6,927,079.25","9,002,871.14","15,317,880.40","2,791,659.56","6,631,070.59","13,757,258.17","28,279,842.66","6,488,797.43","15,120,874.11","23,297,772.17","34,452,257.43","16,210,076.93","19,999,471.72","27,981,824.49","42,526,125.06","7,098,535.67","16,802,622.93","26,796,581.62","65,599,153.85","11,668,911.71"
减:营业外支出,"127,586.31","78,560.58","63,385.70","61,819.59","70,982.78","110,664.44","23,165.82","48,285.65","149,534.54","158,123.74",,"1,700.00","5,700.00","215,800.40","95,000.03","271,441.44","274,441.48","410,676.82",100.00,"14,867.73","2,071,249.56","2,223,845.71","9,985.34","3,683,046.63","14,211,934.19","216,861,119.81","14,155,514.92"
管理费用,"22,082,838.93","28,540,055.78","30,097,976.40","17,675,832.30","26,242,234.04","33,030,940.73","6,302,829.12","16,992,748.56","26,282,100.03","40,620,634.24","8,311,241.02","18,193,148.32","27,760,201.14","58,972,846.14","22,691,757.66","48,256,852.08","71,178,001.65","108,707,411.31","40,396,355.97","63,949,932.61","92,772,425.60","130,826,750.98","33,532,111.34","74,148,285.87","122,750,508.38","263,905,413.12","23,802,964.43"
其中:非流动资产处置净损失,,,,,,"12,466.26",922.28,"2,472.28","3,712.28","16,998.53",,,,,,"189,637.20","189,637.20","215,786.06",,558.98,"5,303.08",,,,,,
