科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"1,402,907,107.18","1,444,904,087.73","1,324,987,148.45","643,639,501.19","912,936,662.76","1,180,688,202.57","326,536,583.41","658,508,792.14","1,092,277,860.00","1,681,939,393.49","621,235,552.04","935,999,754.44"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"257,505,440.24"
收到的税费返还,,,,,,,,,,"1,434,522.69","882,544.20","2,635,898.19"
支付其他与投资活动有关的现金,,,,,,,,,,,"280,529,604.00",
收到其他与经营活动有关的现金,"2,963,224.28","4,522,564.50","3,683,229.70","6,698,276.72","6,629,101.53","7,703,001.13","7,909,762.69","3,285,994.69","11,132,331.13","6,344,157.95","4,692,360.14","6,750,721.58"
投资活动现金流出小计,"5,419,486.90","5,676,930.22","7,065,843.14","3,129,896.43","3,189,032.19","46,255,684.32","122,836,861.52","299,642,150.42","472,614,986.43","694,004,755.64","338,207,700.34","350,227,767.80"
经营活动现金流入小计,"1,405,870,331.46","1,449,426,652.23","1,328,670,378.15","650,337,777.91","919,565,764.29","1,188,391,203.70","334,446,346.10","661,794,786.83","1,103,410,191.13","1,689,718,074.13","626,810,456.38","945,386,374.21"
投资活动产生的现金流量净额,"-5,418,671.90","-5,553,935.22","-7,065,213.14","-3,129,896.43","-3,189,032.19","-46,155,684.32","-80,447,598.26","-134,024,470.98","-135,628,163.58","-38,071,165.90","-237,388,124.99","-198,836,000.67"
购买商品、接受劳务支付的现金,"1,164,791,755.91","1,147,763,698.15","1,096,105,171.51","592,099,709.28","848,395,222.66","1,111,618,682.21","312,944,460.98","600,317,872.62","980,391,874.08","1,356,850,562.81","483,476,492.12","877,757,695.29"
吸收投资收到的现金,,,,,"576,040,000.00","576,040,000.00",,,,,,
支付给职工以及为职工支付的现金,"111,861,675.70","140,345,143.25","152,093,948.77","79,388,379.38","115,763,679.12","144,841,017.73","47,371,213.87","88,504,855.28","137,499,391.34","172,041,196.70","66,868,364.57","132,966,073.70"
取得借款收到的现金,"111,618,095.31","204,175,900.00","332,228,419.78","151,880,688.98","260,000,000.00","260,000,000.00","151,838,609.42","363,865,941.09","432,441,700.00","550,029,911.91","231,197,682.69","362,274,931.25"
支付的各项税费,"86,806,469.33","96,510,981.48","96,679,902.73","54,821,144.50","76,660,255.75","85,648,349.95","22,215,202.96","48,606,645.70","74,445,185.26","92,563,328.18","19,142,703.84","34,019,902.82"
收到其他与筹资活动有关的现金,"3,084,443.57",,"1,520,371.57",,,,,"6,224.72","7,746,999.69",,,
支付其他与经营活动有关的现金,"56,550,766.83","29,248,643.10","26,961,168.87","14,478,492.57","33,899,355.65","32,429,185.95","8,564,720.52","30,747,026.50","51,449,187.22","41,921,236.35","14,152,006.01","28,847,537.34"
