科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"94,354,536.38","104,561,678.59","210,696,335.41","39,470,982.13","100,240,375.35","148,244,539.00","212,553,889.50","70,611,067.04","172,667,080.89","284,267,583.71","388,130,718.88","100,546,502.18","243,742,759.89","363,026,024.99","458,618,226.67","77,558,356.57","220,026,228.40","340,580,588.30","455,987,892.28","68,424,829.63","178,975,650.00","293,876,229.60","458,784,943.11","124,410,019.47","263,296,373.29","408,116,237.41","578,039,317.87","159,233,042.02","309,613,083.57","500,442,419.97","685,192,843.18","143,033,106.92","323,467,799.47","518,326,966.27","739,314,873.49","184,413,402.41"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"36,060,000.00","69,732,425.78","16,876,319.73","19,323,244.92",,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,"9,695,150.61","9,695,033.17","9,695,033.17",,,,,,,,,,,"113,076,814.56","113,076,814.56",
支付其他与投资活动有关的现金,"78,517.85",,,,,,"1,000,000.00",,,,,,"1,000,000.00","1,000,000.00","1,500,000.00","3,126,224.00",,,,,,,,,"14,337,898.47","14,337,898.47","14,337,898.47",,,"10,000,000.00","20,000,000.00","16,000,000.00","16,000,000.00","16,000,000.00","16,000,000.00","19,000,000.00"
收到其他与经营活动有关的现金,"102,798.22","4,892,467.81","1,208,352.01","3,379,063.83","2,803,235.11","7,568,585.25","8,163,173.65","6,022,810.91","4,581,326.55","6,376,400.01","8,679,895.29","4,193,879.73","8,082,206.44","13,191,179.44","21,892,706.95","8,990,357.41","6,127,933.93","9,551,035.97","17,282,735.11","4,456,261.01","7,306,910.71","11,337,930.88","18,443,337.67","7,889,822.60","10,111,524.73","11,253,821.17","12,675,910.18","1,538,529.57","4,154,481.50","6,505,373.74","13,384,708.00","4,443,940.17","16,527,420.25","18,305,317.27","27,878,583.12","2,196,061.91"
投资活动现金流出小计,"55,828,167.95","233,024,569.13","476,289,315.60","105,634,525.45","194,772,644.22","322,790,291.67","485,588,279.76","147,795,011.92","242,802,725.34","372,272,369.10","558,492,757.65","193,521,445.97","361,580,824.26","384,817,011.43","571,578,624.72","92,990,506.60","211,584,171.62","335,172,019.53","532,728,130.63","78,758,128.42","247,718,331.46","324,058,829.65","352,517,393.12","61,893,915.08","138,515,305.41","184,304,135.11","271,975,574.27","57,448,743.13","88,101,140.81","153,569,171.24","200,310,650.33","68,122,347.53","110,415,041.59","160,383,808.17","236,522,077.76","67,790,175.53"
经营活动现金流入小计,"94,457,334.60","109,454,146.40","211,904,687.42","42,850,045.96","103,043,610.46","155,813,124.25","220,717,063.15","76,633,877.95","177,248,407.44","290,643,983.72","396,810,614.17","104,740,381.91","251,824,966.33","376,217,204.43","480,510,933.62","86,548,713.98","226,154,162.33","350,131,624.27","473,270,627.39","72,881,090.64","195,977,711.32","314,909,193.65","486,923,313.95","132,299,842.07","273,407,898.02","419,370,058.58","590,715,228.05","160,771,571.59","313,767,565.07","506,947,793.71","698,577,551.18","147,477,047.09","339,995,219.72","649,709,098.10","880,270,271.17","186,609,464.32"
投资活动产生的现金流量净额,"-54,708,167.95","-225,803,339.84","-357,401,027.93","-105,034,525.45","-193,272,644.22","-321,290,291.67","-482,288,279.76","-147,790,611.92","-240,098,325.34","-369,267,969.10","-550,688,357.65","-189,323,035.48","-358,430,824.26","-359,608,976.43","-548,326,073.18","-92,990,506.60","-211,584,171.62","-335,172,019.53","-532,728,130.63","-70,113,049.42","-239,073,252.46","-315,413,750.65","-343,826,386.53","-61,893,915.08","-138,515,305.41","-184,304,047.11","-271,959,766.73","-57,438,743.13","-88,091,140.81","-153,559,171.24","-180,096,485.94","-68,122,347.53","-110,408,245.47","-160,248,096.28","-219,862,486.42","-67,790,175.53"
购买商品、接受劳务支付的现金,"7,975,178.49","8,683,877.14","10,770,449.99","4,542,894.68","7,076,755.29","7,787,450.12","16,241,568.17","3,183,526.74","9,054,940.59","9,925,014.99","19,547,659.11","5,590,543.39","17,233,757.16","29,541,367.84","41,213,101.51","10,212,645.18","25,752,107.31","40,010,191.75","55,475,816.31","15,521,442.38","22,814,389.87","32,695,208.70","54,998,168.34","15,546,529.69","32,374,785.27","45,578,690.15","62,755,274.39","13,795,273.52","25,348,465.95","40,889,738.07","56,060,138.53","13,924,562.02","30,165,628.26","46,034,561.37","62,251,368.30","10,922,223.20"
吸收投资收到的现金,,"62,704,750.00",,,"791,580,000.00","791,580,000.00","791,580,000.00",,,,,,,,,,,,,,,,,,,,"516,499,995.21",,,,,,,,,
