科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"8,072,326,000.00","16,929,878,000.00","36,823,308,000.00","11,256,227,000.00","26,607,902,000.00","42,177,132,000.00","51,464,934,000.00","9,963,407,000.00","22,764,420,000.00","37,899,978,000.00","53,729,503,000.00","15,589,691,000.00","35,560,714,000.00","52,564,210,000.00","71,268,417,000.00","20,909,106,000.00","42,442,156,000.00","66,293,981,000.00","88,872,409,000.00","21,920,024,000.00","45,407,704,000.00","64,603,891,000.00","87,291,670,000.00","20,125,066,000.00","40,398,169,000.00","59,609,662,000.00","82,316,482,000.00","16,858,658,000.00","35,434,584,000.00","52,079,324,000.00","70,663,840,000.00","13,075,000,000.00","29,746,556,000.00","44,878,835,000.00","59,270,865,000.00","12,512,676,000.00","26,300,798,000.00","41,489,247,000.00","60,631,613,000.00","17,864,765,000.00","37,103,957,000.00","59,793,093,000.00","81,123,232,000.00","25,764,695,000.00","50,209,981,000.00","77,137,407,000.00","104,140,066,000.00","29,552,412,000.00"
二、营业利润,"1,307,449,000.00","3,052,843,000.00","7,044,092,000.00","1,920,049,000.00","5,063,726,000.00","8,182,942,000.00","9,675,276,000.00","2,591,810,000.00","4,855,404,000.00","6,902,261,000.00","9,026,314,000.00","2,826,877,000.00","6,359,559,000.00","8,605,622,000.00","9,849,757,000.00","3,249,369,000.00","7,171,563,000.00","10,851,120,000.00","13,477,533,000.00","3,712,653,000.00","6,723,906,000.00","9,700,538,000.00","13,306,744,000.00","2,601,751,000.00","4,475,851,000.00","5,103,373,000.00","5,891,138,000.00","941,623,000.00","1,339,474,000.00","1,352,745,000.00","1,416,445,000.00","30,470,000.00","-1,048,270,000.00","-1,851,690,000.00","-2,762,461,000.00","-204,884,000.00","688,281,000.00","1,152,737,000.00","3,432,369,000.00","2,343,646,000.00","3,872,105,000.00","5,680,805,000.00","6,229,253,000.00","2,923,531,000.00","6,003,365,000.00","8,746,218,000.00","8,889,386,000.00","3,428,458,000.00"
减:营业成本,"4,604,408,000.00","9,592,472,000.00","20,990,360,000.00","6,410,717,000.00","15,174,114,000.00","24,956,385,000.00","29,840,450,000.00","5,737,659,000.00","13,561,949,000.00","23,616,822,000.00","34,460,109,000.00","9,354,916,000.00","22,313,208,000.00","33,759,997,000.00","47,449,361,000.00","13,808,219,000.00","27,462,127,000.00","43,461,207,000.00","58,997,102,000.00","13,716,062,000.00","29,820,468,000.00","41,691,300,000.00","55,715,705,000.00","12,996,843,000.00","26,927,983,000.00","40,075,384,000.00","56,141,963,000.00","10,944,881,000.00","23,890,733,000.00","36,114,339,000.00","49,434,386,000.00","9,185,251,000.00","20,502,276,000.00","30,998,773,000.00","40,695,555,000.00","8,521,688,000.00","18,182,506,000.00","28,697,353,000.00","40,320,959,000.00","10,628,165,000.00","23,381,448,000.00","39,268,502,000.00","54,831,451,000.00","18,391,436,000.00","34,948,336,000.00","54,342,203,000.00","74,314,057,000.00","20,698,940,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"124,939,000.00","280,695,000.00","656,732,000.00","175,300,000.00","586,521,000.00","911,584,000.00","1,249,031,000.00","184,829,000.00","443,416,000.00","686,751,000.00","918,900,000.00","291,738,000.00","691,366,000.00","929,288,000.00","1,174,810,000.00","390,166,000.00","692,549,000.00","1,013,813,000.00","1,363,979,000.00","358,234,000.00","716,774,000.00","998,112,000.00","1,371,631,000.00","327,024,000.00","653,888,000.00","969,024,000.00","1,293,811,000.00","325,130,000.00","622,101,000.00","878,183,000.00","1,078,112,000.00","351,537,000.00","827,539,000.00","1,126,330,000.00","1,492,708,000.00","313,939,000.00","648,072,000.00","1,043,402,000.00","1,900,129,000.00","667,979,000.00","1,312,137,000.00","1,934,267,000.00","2,665,896,000.00","711,823,000.00","1,524,142,000.00","2,302,245,000.00","3,252,080,000.00","969,812,000.00"
营业外收入,"10,330,000.00","50,010,000.00","143,503,000.00","32,021,000.00","251,675,000.00","306,813,000.00","374,415,000.00","43,923,000.00","100,755,000.00","104,540,000.00","230,103,000.00","8,039,000.00","317,890,000.00","350,487,000.00","451,403,000.00","21,027,000.00","46,210,000.00","69,620,000.00","137,306,000.00","19,702,000.00","93,843,000.00","114,978,000.00","293,259,000.00","12,740,000.00","44,021,000.00","76,728,000.00","172,281,000.00","16,024,000.00","82,924,000.00","117,926,000.00","300,139,000.00","94,571,000.00","89,446,000.00","124,604,000.00","354,766,000.00","54,063,000.00","79,312,000.00","137,071,000.00","198,586,000.00","79,666,000.00","244,151,000.00","318,836,000.00","75,417,000.00","11,861,000.00","28,391,000.00","40,936,000.00","170,865,000.00","12,737,000.00"
销售费用,"1,520,325,000.00","3,176,854,000.00","6,846,167,000.00","1,604,144,000.00","3,795,159,000.00","5,541,582,000.00","7,187,805,000.00","1,527,985,000.00","3,443,822,000.00","5,509,912,000.00","7,396,177,000.00","2,227,237,000.00","4,621,479,000.00","6,874,113,000.00","9,028,321,000.00","2,566,042,000.00","5,132,739,000.00","7,791,688,000.00","10,463,790,000.00","3,008,175,000.00","5,845,451,000.00","8,908,499,000.00","12,217,072,000.00","3,146,261,000.00","6,247,222,000.00","9,967,550,000.00","13,787,598,000.00","3,211,203,000.00","6,606,834,000.00","9,459,070,000.00","12,553,617,000.00","2,010,875,000.00","5,862,857,000.00","9,150,958,000.00","12,296,624,000.00","2,349,662,000.00","4,425,987,000.00","6,535,845,000.00","8,761,299,000.00","2,532,946,000.00","4,967,679,000.00","7,476,658,000.00","9,958,926,000.00","2,459,148,000.00","5,101,262,000.00","7,667,160,000.00","10,593,623,000.00","3,182,771,000.00"
减:营业外支出,"1,204,000.00","4,805,000.00","40,636,000.00","6,863,000.00","17,038,000.00","24,124,000.00","77,450,000.00","8,540,000.00","21,288,000.00","32,562,000.00","55,603,000.00","8,022,000.00","59,159,000.00","67,968,000.00","79,555,000.00","13,007,000.00","20,551,000.00","25,659,000.00","52,382,000.00","12,906,000.00","52,021,000.00","67,473,000.00","188,029,000.00","18,352,000.00","33,108,000.00","42,862,000.00","41,913,000.00","10,002,000.00","28,946,000.00","46,978,000.00","195,232,000.00","6,276,000.00","29,713,000.00","49,216,000.00","117,360,000.00","26,735,000.00","19,652,000.00","24,234,000.00","260,023,000.00","8,103,000.00","128,083,000.00","144,506,000.00","157,736,000.00","19,621,000.00","32,363,000.00","99,961,000.00","267,847,000.00","15,898,000.00"
管理费用,"408,743,000.00","1,106,078,000.00","2,261,461,000.00","473,625,000.00","1,300,835,000.00","1,973,881,000.00","2,576,703,000.00","570,822,000.00","1,100,741,000.00","1,808,593,000.00","2,739,115,000.00","927,267,000.00","1,491,598,000.00","2,267,715,000.00","3,326,995,000.00","888,492,000.00","1,945,557,000.00","3,074,382,000.00","4,611,860,000.00","1,069,343,000.00","2,156,710,000.00","2,952,726,000.00","4,266,463,000.00","1,032,462,000.00","1,983,788,000.00","3,147,454,000.00","4,420,372,000.00","1,067,666,000.00","1,984,244,000.00","2,949,683,000.00","4,179,005,000.00","810,726,000.00","1,745,316,000.00","2,587,092,000.00","3,687,977,000.00","662,699,000.00","1,416,284,000.00","2,283,900,000.00","3,517,077,000.00","831,673,000.00","1,566,675,000.00","2,421,810,000.00","3,728,946,000.00","864,144,000.00","1,714,052,000.00","2,625,247,000.00","4,044,742,000.00","842,898,000.00"
其中:非流动资产处置净损失,"9,000.00","1,413,000.00","10,597,000.00","-3,186,000.00","2,405,000.00","4,112,000.00","10,390,000.00","51,000.00","3,050,000.00","5,226,000.00","14,555,000.00","34,000.00","303,000.00","635,000.00","7,328,000.00","319,000.00","747,000.00","1,527,000.00","18,083,000.00","380,000.00","18,632,000.00","19,048,000.00","78,455,000.00","4,121,000.00","10,263,000.00","11,789,000.00","4,102,000.00","5,472,000.00","11,615,000.00","12,790,000.00","71,058,000.00","1,963,000.00","19,278,000.00","30,522,000.00","51,072,000.00","20,706,000.00","98,000.00","5,493,000.00","199,499,000.00","3,972,000.00","48,665,000.00","50,088,000.00",,,,,,
