科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"1,218,765,633.82","1,443,703,723.68","1,725,475,539.23",,"2,981,423,329.25","3,289,002,350.72","3,777,933,585.77","4,819,568,403.64","5,519,430,181.11","6,260,678,085.38"
短期借款,"1,167,990,000.00","1,215,000,000.00","1,574,936,000.00",,"1,613,817,479.67","1,605,309,939.47","1,741,818,450.64","1,875,822,923.14","1,834,801,600.00","1,767,094,000.00"
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"2,863,976,673.68","3,244,093,759.72","3,805,301,147.16",,"4,644,667,914.78","5,699,852,416.38","7,056,135,952.42","6,260,527,961.99","4,598,963,451.31","5,007,564,238.83"
应付票据,"2,673,043,606.71","2,881,297,895.51","3,663,965,568.95",,"5,166,808,081.11","5,237,522,395.84","5,858,519,199.71","5,780,384,739.60","7,182,910,481.88","6,924,488,408.06"
应收账款,"103,497,646.29","206,989,296.07","347,945,649.23",,"418,624,095.39","407,358,103.66","393,041,899.18","373,251,203.64","384,902,488.91","422,543,307.54"
应付账款,"1,819,775,948.55","2,471,179,470.76","2,340,287,026.59",,"2,376,584,806.57","3,160,088,333.34","3,223,453,282.80","5,048,864,006.45","2,801,258,080.52","3,913,132,765.83"
预付款项,"264,989,303.10","117,480,384.38","146,340,979.26",,"148,783,058.65","441,288,336.60","256,572,544.57","234,960,028.70","396,343,030.70","459,920,522.30"
预收款项,"615,615,951.51","233,382,379.99","235,915,406.50",,"434,711,318.90","1,333,227,287.86","2,413,949,364.31","1,678,272,656.87","998,946,254.12","1,607,123,490.75"
其他应收款,"10,751,785.99","8,295,947.51","4,124,147.97",,"16,127,080.74","9,812,572.31","24,413,566.06","30,833,294.25","113,483,692.26","242,162,707.68"
应付职工薪酬,"63,978,913.32","64,878,358.92","92,131,446.94",,"60,927,557.37","72,782,613.01","202,784,370.30","76,780,987.02","73,172,925.63","74,111,833.52"
应收关联公司款,,,,,,,,,,
应交税费,"35,852,352.06","95,620,737.99","93,560,783.64",,"71,474,650.64","110,271,194.86","273,885,368.80","247,486,519.99","140,918,451.18","121,498,585.44"
应收利息,,,,,,,,,,
应付利息,,,"2,566,666.63",,"1,496,193.95","2,428,544.35","3,085,916.61","846,599.62","1,375,901.60","2,465,283.11"
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"894,577,277.58","812,993,259.67","718,240,242.76",,"812,876,397.88","864,110,246.03","1,091,471,831.47","1,653,239,369.68","1,236,712,901.11","1,876,028,112.16"
其他应付款,"395,374,898.54","292,473,394.71","274,928,665.07",,"292,591,083.14","309,865,451.43","319,864,812.09","337,939,756.71","444,489,063.74","606,350,861.84"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,"387,000,000.00","95,000,000.00","5,000,000.00",,"5,000,000.00","75,000,000.00","131,762,043.75","76,298,118.75","211,705,545.86","203,977,897.58"
其他流动资产,,"41,953,876.60","51,456,550.47",,"60,840,370.09","33,725,658.55","113,259,188.78","162,322,435.50","196,137,165.13","180,232,103.41"
其他流动负债,,"204,875,000.00",,,,,,,,
流动资产合计,"5,356,558,320.46","5,875,510,247.63","6,798,884,256.08",,"9,083,342,246.78","10,745,149,684.25","12,712,828,568.25","13,534,702,697.40","12,445,972,910.53","14,449,129,077.30"
流动负债合计,"7,158,631,670.69","7,553,707,237.88","8,283,291,564.32",,"10,023,411,171.35","11,906,495,760.16","14,169,122,809.01","15,122,696,308.15","13,689,578,304.53","15,220,243,126.13"
可供出售金融资产,"63,171,585.00","63,171,585.00","64,671,585.00",,"64,671,585.00","64,671,585.00","64,671,585.00","64,671,585.00","64,671,585.00","64,671,585.00"
长期借款,"95,000,000.00","200,000,000.00","454,872,000.00",,"511,082,673.74","524,223,526.63","590,131,300.00","850,964,570.00","1,462,370,560.00","1,779,196,810.00"
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,"108,213,866.00",,"401,084,938.53","714,362,163.21","1,349,324,261.06","1,896,681,632.63","1,907,997,899.86","1,754,375,681.57"
长期应付款,,,,,,,,,,
长期股权投资,,,"82,336,470.41",,"167,066,918.36","168,346,333.19","170,866,377.22","172,559,150.51","173,892,032.36","174,995,290.47"
专项应付款,"30,591,680.00","30,591,680.00",,,,,,,,
投资性房地产,,,,,,,,,,
预计负债,"11,381,143.20","14,420,922.10","16,368,309.62",,"13,238,785.04","16,203,471.70","26,380,688.74","25,699,274.92","15,749,598.36","18,110,855.76"
固定资产,"3,244,246,304.06","3,170,786,291.70","3,256,690,794.49",,"3,175,427,234.33","3,123,676,179.43","3,087,280,556.52","3,017,958,514.42","2,923,032,680.86","2,856,812,871.58"
递延所得税负债,"35,957,864.20","33,032,888.10","30,170,117.53",,"28,760,634.41","28,060,890.11","27,366,689.64","26,682,010.52","26,055,169.19","25,532,486.48"
在建工程,"340,246,772.67","300,486,281.28","580,767,271.87",,"649,118,471.29","686,048,853.85","676,094,145.40","805,568,379.81","862,298,445.66","933,332,877.01"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"540,724,802.31","685,131,786.83","958,616,309.80",,"1,009,778,963.03","1,024,955,329.89","1,093,032,804.45","1,349,363,532.60","1,947,729,472.37","2,173,336,854.13"
固定资产清理,,,,,,,,,,
负债合计,"7,699,356,473.00","8,238,839,024.71","9,241,907,874.12","10,686,339,900.00","11,033,190,134.38","12,931,451,090.05","15,262,155,613.46","16,472,059,840.75","15,637,307,776.90","17,393,579,980.26"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"750,000,000.00","750,000,000.00","750,000,000.00",,"892,500,000.00","892,500,000.00","892,500,000.00","892,500,000.00","892,500,000.00","909,200,000.00"
油气资产,,,,,,,,,,
资本公积,"403,549,804.41","403,785,892.37","483,880,324.57",,"1,085,314,888.85","1,085,314,888.85","1,085,314,888.85","1,085,314,888.85","1,085,314,888.85","1,243,800,863.85"
无形资产,"1,019,356,794.01","1,391,380,445.06","1,277,802,566.40",,"1,258,499,687.99","1,230,091,459.84","1,262,481,591.73","1,234,566,603.64","1,207,870,805.92","1,111,615,486.34"
盈余公积,"61,776,351.30","69,347,507.18","76,201,868.83",,"76,201,868.83","76,201,868.83","184,764,957.69","184,764,957.69","184,764,957.69","184,764,957.69"
开发支出,"76,276,201.40","50,298,351.44","126,271,943.90",,"192,473,198.65","271,573,875.00","250,732,724.30","305,746,833.20","350,070,848.00","392,763,801.56"
减:库存股,,,,,,,,,,"171,509,000.00"
商誉,"1,972,569.50","274,312.14","274,312.14",,"274,312.14","274,312.14","274,312.14","274,312.14",,
未分配利润,"714,519,823.74","924,914,128.44","1,290,429,477.64",,"1,486,029,032.22","1,580,963,829.04","1,695,383,290.25","1,897,071,257.17","1,818,077,996.01","1,915,584,801.26"
长期待摊费用,"4,222,674.28","6,355,644.20","2,622,124.18",,"4,906,286.92","11,412,115.99","21,054,045.32","36,384,457.33","53,607,548.23","53,093,906.71"
少数股东权益,"544,867,090.40","585,050,483.25","601,255,181.03",,"622,510,341.91","629,821,058.56","723,263,141.79","808,157,571.35","861,742,007.23","918,155,444.97"
递延所得税资产,"64,194,911.33","62,974,825.17","72,618,877.02",,"70,203,936.55","73,941,945.22","75,366,195.97","88,271,581.68","79,332,785.93","69,905,182.22"
外币报表折算价差,,,,,,,,,,
其他非流动资产,,"47,448,446.04","67,575,966.96",,"126,570,940.36","104,689,625.60","164,708,042.30","175,639,680.87","404,463,314.42","525,859,785.21"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"4,813,687,812.25","5,093,176,182.03","5,639,845,778.37",,"6,110,297,510.12","6,449,088,448.47","7,122,853,836.96","7,798,322,731.23","8,027,237,946.24","7,937,426,467.67"
所有者权益(或股东权益)合计,"2,470,889,659.71","2,729,847,404.95","3,196,822,160.33","3,333,130,300.00","4,160,449,622.52","4,262,787,042.67","4,573,526,791.75","4,860,965,587.88","4,835,903,079.87","4,992,975,564.71"
资产总计,"10,170,246,132.71","10,968,686,429.66","12,438,730,034.45","14,019,470,200.00","15,193,639,756.90","17,194,238,132.72","19,835,682,405.21","21,333,025,428.63","20,473,210,856.77","22,386,555,544.97"
负债和所有者(或股东权益)合计,"10,170,246,132.71","10,968,686,429.66","12,438,730,034.45",,"15,193,639,756.90","17,194,238,132.72","19,835,682,405.21","21,333,025,428.63","20,473,210,856.77","22,386,555,544.97"
