科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"58,609,417.89","62,846,576.59","58,205,118.16","47,230,557.20","762,180,084.68","687,625,335.69","646,757,007.80","595,296,995.45","592,394,123.52","580,094,384.82","585,777,257.35","535,619,621.11","531,291,582.86","540,708,000.77","480,700,163.29","429,552,292.58","196,889,979.01","183,826,232.12","312,638,438.23","208,719,398.35","171,381,417.50","322,886,890.70","243,206,812.82","405,726,881.24","137,586,218.13","104,637,675.71","129,834,278.57","65,408,765.56","100,070,769.05","64,448,508.31","66,985,086.90","57,739,591.65","131,771,781.02","95,268,204.54","115,000,347.14","192,994,560.71","199,923,656.17"
短期借款,"8,000,000.00","68,000,000.00","57,000,000.00","57,000,000.00","6,000,000.00","6,000,000.00",,,,,,,,,"3,500,000.00",,"18,000,000.00","20,000,000.00","28,000,000.00","36,000,000.00","58,000,000.00","46,000,000.00","26,000,000.00","48,000,000.00","48,000,000.00","40,000,000.00","15,400,000.00","11,650,000.00","2,000,000.00",,"500,000.00",,,"1,300,000.00",,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"12,839,654.74","12,689,696.81","9,436,465.50","894,253.00","8,131,948.80","4,342,497.76","21,572,907.23","9,963,715.80","38,534,125.31","28,041,447.38","63,193,514.84","40,328,501.85","61,430,642.09","24,808,281.12","82,008,888.89","77,440,408.97","109,073,905.57","72,851,065.74","114,517,352.62","75,919,344.80","130,863,393.93","113,224,815.39","145,764,153.66","124,913,089.52","144,061,106.90","129,431,304.48","175,300,528.90","153,818,231.59","159,442,480.54","129,934,362.70","176,244,980.00","182,313,908.94","232,929,460.40","208,127,551.75","320,243,604.34","272,553,012.69","275,065,207.20"
应付票据,"39,139,817.00","22,311,082.35","36,739,939.28","51,214,576.03","76,557,047.45","96,561,723.36","80,803,165.61","73,124,111.69","94,236,748.69","58,792,094.00","31,124,151.60","26,503,895.69","44,398,973.96","51,394,713.60","67,317,221.75","76,044,959.81","107,799,258.76","134,638,634.73","133,610,982.04","106,015,438.18","126,643,309.29","123,041,675.09","88,947,947.92","79,175,246.70","115,571,539.00","98,616,347.57","55,935,796.57","30,013,528.71","62,734,877.21","127,659,831.90","180,634,626.32","162,115,762.52","216,254,700.40","281,027,396.66","284,739,025.92","309,534,606.91","345,757,054.01"
应收账款,"121,791,763.80","141,018,280.74","162,017,915.20","184,708,682.59","213,012,119.99","247,845,977.15","265,563,693.19","315,037,432.91","340,202,480.86","376,437,575.86","371,478,239.86","432,622,208.30","480,569,034.98","534,748,553.71","687,031,273.15","735,001,789.97","800,421,512.29","912,709,256.69","966,936,486.69","1,008,078,307.49","1,035,866,033.13","1,082,370,861.99","1,039,685,079.17","1,007,291,171.84","1,024,766,152.56","1,024,775,957.06","953,167,504.36","896,418,906.96","909,682,683.16","935,500,882.64","890,699,975.27","896,466,907.17","962,050,941.24","1,054,126,682.46","1,148,427,170.95","1,157,009,851.43","1,352,593,381.16"
应付账款,"68,479,948.55","76,942,587.19","89,231,982.31","77,428,258.52","99,545,579.88","64,236,923.98","82,593,501.94","72,812,811.96","89,754,354.41","104,594,028.76","115,465,146.70","124,467,450.08","129,972,191.48","112,956,848.57","233,362,925.24","216,493,773.94","210,704,409.11","222,321,356.82","282,080,876.78","257,482,037.89","277,981,890.32","287,535,421.78","273,757,863.30","204,369,942.75","218,472,035.73","181,810,561.56","209,182,214.28","170,089,187.48","207,299,448.25","198,803,782.45","194,375,991.00","189,385,411.89","235,187,180.65","260,601,234.19","370,908,609.66","290,978,626.72","378,740,491.70"
预付款项,"1,789,501.37","2,284,368.67","8,074,924.32","8,392,059.77","13,058,646.00","17,500,357.34","11,828,685.22","10,608,902.31","19,393,479.82","15,823,738.91","23,926,738.92","28,157,876.21","26,771,107.88","36,835,527.02","23,788,519.36","28,867,327.95","44,385,185.89","43,914,906.45","42,179,143.81","40,063,305.20","12,946,619.86","15,892,302.25","8,068,503.23","11,253,859.79","9,043,989.95","9,885,772.94","5,673,830.07","9,481,609.40","8,112,977.27","13,220,164.46","10,280,474.88","9,299,828.89","10,453,970.48","25,964,753.79","19,486,842.04","18,823,172.65","13,166,262.97"
预收款项,"1,153,456.44","4,222,723.02","2,255,910.78","2,171,939.99","2,553,006.06","3,469,190.82","6,822,059.16","3,885,747.50","10,780,454.99","7,677,931.36","12,051,842.94","15,253,157.56","16,803,480.47","10,691,336.01","23,200,666.40","20,442,296.47","19,812,608.63","27,810,123.27","30,879,529.60","25,743,800.14","24,804,675.11","21,997,189.66","25,821,183.52","27,259,954.35","25,704,365.94","16,513,334.62","22,998,050.12","20,389,215.40","32,390,947.98","32,785,245.81","20,860,892.46","16,663,049.32","23,546,874.08","21,143,044.60","26,320,585.51","31,362,498.64","38,050,952.35"
