科目,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
三、营业利润,"1,081,392,748.65","485,507,256.78","655,908,367.68","892,051,452.59","983,276,387.67","136,098,154.77","259,399,725.74","476,421,285.02","670,799,414.96","117,686,870.35","392,406,332.49","425,694,576.66","572,602,945.99","200,805,819.38","257,608,712.12","297,649,245.24","306,630,742.23","98,532,911.03","266,639,946.20","310,957,774.45","359,691,486.57","63,821,991.41","231,504,923.73","310,086,118.83","405,131,234.12","288,824,859.59","467,321,970.46","690,276,291.52","1,069,160,410.73","503,209,365.74","1,610,653,908.74","2,248,247,032.04","3,099,010,801.14","432,506,019.10","787,097,001.66","1,284,576,339.78","1,637,335,320.59","350,297,060.84","706,397,372.58","1,140,066,018.58","1,504,088,420.73","329,859,539.64","615,409,884.43","922,272,641.17","1,264,212,069.76","526,210,819.90"
保险业务收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,"1,657,207.47","194,525.94","21,209,413.62","22,434,723.73","25,919,764.93","682,030.04","11,580,816.53","17,375,041.78","19,744,502.45","627,177.38","4,048,165.82","21,221,008.07","26,871,389.05","7,232,404.29","17,044,410.83","17,115,770.56","19,900,206.71","4,086.25","3,364,656.25","3,774,240.25","17,571,399.13","5,368,212.76","5,768,729.41","14,528,376.40","25,714,468.88","28,481.41","3,245,795.34","5,631,954.76","8,266,863.73","271,543.00","20,216,524.85","20,987,137.88","30,679,544.64","1,107,484.22","81,241,078.52","91,532,877.94","99,349,733.31","35,867,091.34","36,619,771.73","43,699,584.19","102,907,329.56","34,812,174.04","54,931,348.29","57,196,977.75","101,610,050.42","15,909,913.57"
减：分出保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：营业外支出,"212,809.53","1,099,352.10","2,692,332.71","2,472,172.60","2,497,745.60","365,957.70","396,270.49","421,041.13","838,276.06","31,118.00","549,298.78","778,454.10","1,624,296.70","65,982.92","70,536.04","142,284.37","2,288,594.95","2,646.15","28,160.94","43,469.60","759,239.05","2,002,694.48","2,529,427.04","3,498,994.38","3,696,835.01","101,647.22","241,950.21","520,423.41","2,275,807.43","26,252.66","84,390.86","1,226,433.93","1,472,153.54","4,567,488.39","9,636,751.20","9,874,023.22","13,595,917.94","162,176.42","641,350.68","1,591,706.50","4,098,429.87","1,099,133.25","1,357,498.38","2,556,658.96","5,146,684.72","664,174.13"
提取未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"568,692,421.24","472,669,447.22","475,081,603.87","748,719,087.72","815,657,902.07","101,290,513.69","114,151,828.09","136,516,998.68","162,143,264.32","28,557,722.85","-28,159,910.80","-11,897,868.71","53,338,811.94","22,713,674.25","27,622,241.54","40,737,470.48","-3,988,073.46","30,339,953.02","86,204,159.58","123,770,950.33","170,040,699.49","70,700,128.98","234,911,613.37","224,572,932.84","287,231,597.69","241,928,890.22","436,842,329.11","492,391,720.38","694,607,072.48","170,763,241.06","473,864,280.84","663,390,811.10","999,370,451.87","159,695,957.50","296,374,625.82","442,814,962.39","528,688,946.43","95,735,759.30","274,233,022.44","437,354,175.73","585,166,827.97","117,898,193.77","288,912,889.80","468,659,313.46","845,784,686.32","218,251,911.35"
四、利润总额,"1,082,837,146.59","484,602,430.62","674,425,448.59","912,014,003.72","1,006,698,407.00","136,414,227.11","270,584,271.78","493,375,285.67","689,705,641.35","118,282,929.73","395,905,199.53","446,137,130.63","597,850,038.34","207,972,240.75","274,582,586.91","314,622,731.43","324,242,353.99","98,534,351.13","269,976,441.51","314,688,545.10","376,503,646.65","67,187,509.69","234,744,226.10","321,115,500.85","427,148,867.99","288,751,693.78","470,325,815.59","695,387,822.87","1,075,151,467.03","503,454,656.08","1,630,786,042.73","2,268,007,735.99","3,128,218,192.24","429,046,014.93","858,701,328.98","1,366,235,194.50","1,723,089,135.96","386,001,975.76","742,375,793.63","1,182,173,896.27","1,602,897,320.42","363,572,580.43","668,983,734.34","976,912,959.96","1,360,675,435.46","541,456,559.34"
其中：对联营企业和合营企业的投资收益,,,,,,,,,,,,,,,,,"-65,670,955.07","-5,633,139.42","-10,016,390.23","-15,759,132.72","-22,416,241.04","-1,863,895.77","-6,452,099.51","-10,429,610.12","-13,141,836.73","-4,109,603.78","-3,774,023.92","6,185,952.37","3,633,183.98","13,243,581.13","42,659,142.88","54,048,509.04","60,664,012.53","3,151,291.35","15,822,991.03","18,777,920.75","25,270,031.58","-10,227,631.09","-16,806,427.54","-19,170,697.23","-17,142,905.18","-13,459,111.41","-8,612,145.98","-20,296,137.81","-43,255,109.08","-7,049,385.36"
减：所得税,"351,126,484.19","121,263,738.33","168,454,206.72","221,543,777.22","250,468,940.38","34,264,509.49","68,017,617.59","123,984,624.88","173,317,581.83","30,133,248.74","99,848,266.40","112,731,228.39","159,503,273.14","52,535,142.02","69,401,386.94","79,680,702.97","92,571,250.36","26,350,652.61","70,628,027.92","83,645,401.01","101,952,773.81","17,063,929.53","60,175,100.15","84,522,913.55","111,418,646.55","74,365,195.55","89,924,866.47","144,790,834.52","238,564,701.94","123,589,827.81","398,643,410.76","585,670,992.50","770,067,537.30","113,432,423.48","220,843,019.09","353,605,191.37","429,557,491.05","102,691,991.01","194,937,617.04","307,003,845.57","400,570,633.98","91,607,545.71","163,640,568.46","251,618,110.19","337,553,871.20","139,866,295.44"
公允价值变动收益,"62,799,758.66","-72,200,517.34","-59,195,042.04","-77,553,380.44","-59,747,530.30","-12,787,818.92","-14,361,006.38","-6,934,896.03","-15,291,426.16","-6,650,624.55","-5,089,206.09","13,684,214.84","1,293,387.91","-41,281.71","2,467,048.78","-25,896,524.10","-12,859,264.46","10,948,029.33","53,430,319.44","42,930,050.35","87,361,718.06","-25,631,810.61","-30,765,064.21","-20,246,102.93","-45,674,250.35","5,376,720.19","-42,412,165.97","16,858,704.17","-5,262,677.51","-5,477,555.30","6,095,689.15","35,429,730.12","35,471,553.48","-27,253,059.45","-65,219,141.11","-38,169,797.17","-127,418,025.95","-32,076,996.93","-59,698,743.78","-79,378,549.43","-133,671,855.48","46,961,120.43","56,758,567.51","115,431,482.29","168,693,440.74","180,792,230.58"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益,"-516,255.22","-291,851.81","-455,963.68","-496,488.64","-478,081.49",984.62,"-2,859.60","-5,889.29","-6,958.29","-2,657.50","-42,499.74","-137,477.75","-226,206.04","-65,795.32","-153,380.08","-282,694.74","-363,146.41","-7,064.96","29,787.72","43,856.09","-29,278.86","-4,262.46","-132,447.33","-163,623.06","-240,719.72","78,957.97","51,768.26","57,937.61","6,259.74","77,290.13","184,342.81","-2,570,848.77","-3,326,286.09","-60,601.14","-5,254.57","-954,326.64","-4,148,943.08","729,369.56","2,532,960.45","3,476,672.39","4,162,944.13","1,911,437.24","-430,786.07","-2,474,220.34","-2,211,394.53","1,042,616.50"
五、净利润,"731,710,662.40","363,338,692.29","505,971,241.87","690,470,226.50","756,229,466.62","102,149,717.62","202,566,654.19","369,390,660.79","516,388,059.52","88,149,680.99","296,056,933.13","333,405,902.24","438,346,765.20","155,437,098.73","205,181,199.97","234,942,028.46","231,671,103.63","72,183,698.52","199,348,413.59","231,043,144.09","274,550,872.84","50,123,580.16","174,569,125.95","236,592,587.30","315,730,221.44","214,386,498.23","380,400,949.12","550,596,988.35","836,586,765.09","379,864,828.27","1,232,142,631.97","1,682,336,743.49","2,358,150,654.94","315,613,591.45","637,858,309.89","1,012,630,003.13","1,293,531,644.91","283,309,984.75","547,438,176.59","875,170,050.70","1,202,326,686.44","271,965,034.72","505,343,165.88","725,294,849.77","1,023,121,564.26","401,590,263.90"
其他业务收入,"118,826,922.95","42,840,860.49","98,948,310.38","134,207,580.57","150,270,155.74","23,291,441.93","62,234,777.91","122,299,940.22","254,763.00","72,122.00","139,244.00","243,995.00","243,995.00","82,377.00","164,754.00","247,131.00","334,452.00","87,321.00","221,724.98","309,045.98","401,613.98","92,568.00","185,136.00","277,704.00","375,825.00","98,121.00","196,242.00","245,302.50","271,991.39","228,150.09","1,949,053.16","2,542,017.21","2,404,088.28","65,599.93","3,676,161.61","691,553.19","1,383,315.03","142,662.52","1,271,176.32","1,314,877.23","1,483,409.85","134,666.64","247,344.57","433,391.65","1,682,239.30","45,239.40"
（一）归属于母公司所有者的净利润,"375,390,534.18","363,330,349.70","505,961,571.63","690,455,820.93","756,207,919.17","102,197,558.39","202,564,556.18","369,373,245.47","516,367,495.48","88,199,389.21","296,111,172.50","333,436,079.53","438,344,489.06","155,599,572.10","205,355,045.65","235,144,883.83","231,663,640.78","72,087,404.60","199,228,101.05","230,915,912.12","274,402,582.61","50,102,116.42","174,527,539.13","236,758,014.36","316,911,382.20","215,063,882.51","378,699,894.05","548,783,864.46","836,489,632.37","381,134,408.27","1,233,434,820.54","1,683,736,023.53","2,359,776,226.13","317,062,969.30","637,952,323.88","1,013,726,636.58","1,298,730,528.61","285,732,861.03","550,340,859.50","878,744,282.79","1,201,432,521.06","272,332,653.42","495,568,535.99","710,284,725.17","1,010,492,527.44","400,763,506.23"
二、营业支出,"442,824,210.22","114,152,937.14","215,057,097.95","376,368,272.66","520,415,182.28","141,022,125.66","316,592,222.23","549,670,146.86","743,835,266.13","144,505,938.62","422,883,422.36","822,356,531.80","1,071,952,753.82","277,150,349.90","446,384,561.65","636,255,608.14","773,078,862.29","238,574,384.70","538,596,938.00","825,352,480.92","1,174,637,098.92","273,851,225.91","621,020,768.30","850,437,909.92","1,141,899,234.92","377,363,124.80","707,260,087.92","1,085,831,528.39","1,652,562,078.23","591,009,520.27","1,692,282,113.41","2,499,000,536.81","3,649,441,871.65","668,015,175.25","1,359,981,182.99","2,170,830,499.94","3,034,127,104.63","689,583,474.14","1,311,689,518.57","2,042,548,284.27","2,886,498,899.86","501,150,286.18","1,058,601,270.88","1,575,899,752.47","2,501,907,235.06","551,818,255.05"
（二）少数股东损益,"356,320,128.22","8,342.59","9,670.24","14,405.57","21,547.45","-47,840.77","2,098.01","17,415.32","20,564.04","-49,708.22","-54,239.37","-30,177.29","2,276.14","-162,473.37","-173,845.68","-202,855.37","7,462.85","96,293.92","120,312.54","127,231.97","148,290.23","21,463.74","41,586.82","-165,427.06","-1,181,160.76","-677,384.28","1,701,055.07","1,813,123.89","97,132.72","-1,269,580.00","-1,292,188.57","-1,399,280.04","-1,625,571.19","-1,449,377.85","-94,013.99","-1,096,633.45","-5,198,883.70","-2,422,876.28","-2,902,682.91","-3,574,232.09","894,165.38","-367,618.70","9,774,629.89","15,010,124.60","12,629,036.82","826,757.67"
退保金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（一）基本每股收益,1.322,0.726,1.012,1.381,1.512,0.204,0.203,0.369,0.516,0.088,0.296,0.333,0.438,0.156,0.205,0.235,0.23,0.07,0.20,0.23,0.27,0.04,0.14,0.18,0.25,0.166,0.293,0.21,0.32,0.13,0.43,0.58,0.80,0.11,0.211,0.335,0.429,0.094,0.182,0.291,0.397,0.09,0.164,0.235,0.334,0.133
减：摊回赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（二）稀释每股收益,1.322,0.726,1.012,1.381,1.512,0.204,0.203,0.369,0.516,0.088,0.296,0.333,0.438,0.156,0.205,0.235,0.23,0.07,0.20,0.23,0.27,0.04,0.14,0.18,0.25,0.166,0.293,0.21,0.32,0.13,0.43,0.58,0.80,0.11,0.211,0.335,0.429,0.094,0.182,0.291,0.397,0.09,0.164,0.235,0.334,0.133
