科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
财务费用,"3,289,591.71","7,750,401.86","1,205,552.14","1,646,604.65","1,576,452.12","-3,212,229.18","-8,546,292.63","-14,191,199.69","-5,070,107.42","-1,335,512.71","-2,642,932.70","-1,537,171.74","-21,650,883.87","-6,929,884.22","-13,369,732.13","-19,766,051.23","-25,757,768.76","-5,300,365.44","-7,539,911.46","-10,052,097.07","-9,106,150.86","-1,230,031.38","-3,379,415.37","-3,680,447.77","-2,266,665.69","-425,087.80","-311,519.32","-2,034,205.57","-335,045.98","149,410.04","69,794.72","61,090.10","-492,431.24","-423,957.60","-1,414,411.91","-3,639,291.07","-3,135,837.35","331,680.64","-52,388.14"
三、利润总额,"86,594,251.00","84,217,535.72","64,158,095.80","99,275,809.71","133,549,544.04","35,096,083.68","66,733,345.73","95,889,924.42","116,768,339.82","34,574,253.86","66,191,711.41","96,395,588.07","119,391,568.34","26,972,520.33","59,167,449.89","91,738,340.78","121,431,533.10","35,316,329.30","62,616,476.75","88,384,091.98","106,120,268.55","28,884,665.94","61,105,598.93","90,445,349.89","115,789,781.65","32,263,230.11","66,052,305.74","96,413,132.04","123,905,936.82","32,092,293.30","56,245,898.41","71,954,167.75","100,291,352.50","46,621,902.32","88,418,108.60","125,055,906.73","144,515,337.50","26,601,898.96","50,294,526.87"
资产减值损失,"4,289,988.24","-3,544,904.35","593,499.33","593,677.22","904,769.03","-706,729.39","-651,684.42","-344,871.85","-183,991.33","-172,327.21","815,025.26","613,325.79","645,482.26","-18,807.80","12,469.67","-490,472.12","599,547.34","-324,484.39","-104,954.32","1,985,913.48","4,009,150.71","-282,506.73","77,220.28","331,916.68","542,489.49","-415,827.72","943,293.07","1,833,181.65","3,562,235.02","166,185.33","21,176.54","2,709,752.04","8,040,927.84","-128,995.85","922,056.29","683,338.28","10,084,692.24","-1,013,288.24","639,312.06"
减:所得税,"8,128,887.45","14,630,735.21","11,717,104.94","17,971,970.97","25,039,277.52","6,988,065.18","13,112,624.22","17,693,822.26","19,975,844.00","6,414,415.09","12,366,066.27","17,799,348.46","21,551,686.37","5,457,969.05","11,418,330.35","17,949,173.42","24,043,011.56","7,466,855.52","13,042,619.90","18,183,409.24","21,338,978.61","6,393,568.04","13,067,893.35","19,550,318.50","24,642,410.88","6,836,987.04","13,848,402.26","20,538,568.80","26,551,307.83","6,345,642.63","10,699,312.77","13,648,117.03","18,104,636.22","8,605,454.30","16,040,813.77","21,837,648.13","29,775,985.11","5,292,249.16","10,090,691.33"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,"-1,206,790.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"388,923.00","743,851.98","-303,160.15","-303,861.64","17,182.28","-37,122.64","-29,468.88","12,045.08","15,334,496.24","4,064,993.40","9,674,470.01","17,976,320.67","7,756,109.59","5,788,085.47","11,387,094.95","17,188,296.07","23,373,312.04","5,447,766.48","14,918,712.72","25,678,895.16","39,879,490.89","14,160,328.79","28,921,335.17","43,257,035.16","58,113,935.74","15,266,719.71","30,589,198.12","45,438,687.37","58,296,322.02","11,754,351.40","22,273,776.38","29,631,413.88","37,270,815.95","9,026,217.27","19,395,585.74","30,910,816.99","45,950,107.29","10,964,367.30","21,532,413.86"
四、净利润,"77,258,573.20","69,586,800.51","52,440,990.86","81,303,838.74","108,510,266.52","28,108,018.50","53,620,721.51","78,196,102.16","96,792,495.82","28,159,838.77","53,825,645.14","78,596,239.61","97,839,881.97","21,514,551.28","47,749,119.54","73,789,167.36","97,388,521.54","27,849,473.78","49,573,856.85","70,200,682.74","84,781,289.94","22,491,097.90","48,037,705.58","70,895,031.39","91,147,370.77","25,426,243.07","52,203,903.48","75,874,563.24","97,354,628.99","25,746,650.67","45,546,585.64","58,306,050.72","82,186,716.28","38,016,448.02","72,377,294.83","103,218,258.60","114,739,352.39","21,309,649.80","40,203,835.54"
其中:对联营企业和合营企业的投资权益,"388,923.00","743,851.98","-303,160.15","-303,861.64","17,182.28","-37,122.64","-29,468.88","12,045.08","12,045.08",,,,,,,,,,,,,,,,,,,,,,,"-226,033.05",,,,"-497,503.20",,,
归属于母公司所有者的净利润,"77,258,573.20","70,033,280.52","52,727,595.41","81,811,435.15","109,009,611.47","28,308,207.03","54,063,774.17","78,629,974.20","96,911,292.14","28,419,138.79","54,412,187.20","78,855,440.62","98,300,388.81","22,096,128.35","47,933,767.62","73,894,214.43","97,550,834.17","28,356,832.99","50,251,978.64","70,528,906.59","85,134,376.49","22,712,942.82","48,231,318.74","71,405,184.42","92,496,652.14","26,067,422.78","53,550,785.89","77,656,516.96","100,764,621.07","26,109,226.38","47,149,253.81","62,995,629.56","86,912,317.71","36,368,589.14","70,127,560.69","100,780,612.87","116,532,394.07","22,033,924.14","42,140,585.36"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,"-446,480.01","-286,604.55","-507,596.41","-499,344.95","-200,188.53","-443,052.66","-433,872.04","-118,796.32","-259,300.02","-586,542.06","-259,201.01","-460,506.84","-581,577.07","-184,648.08","-105,047.07","-162,312.63","-507,359.21","-678,121.79","-328,223.85","-353,086.55","-221,844.92","-193,613.16","-510,153.03","-1,349,281.37","-641,179.71","-1,346,882.41","-1,781,953.72","-3,409,992.08","-362,575.71","-1,602,668.17","-4,689,578.84","-4,725,601.43","1,647,858.88","2,249,734.14","2,437,645.73","-1,793,041.68","-724,274.34","-1,936,749.82"
