科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"96,737,666.01","108,366,675.44","137,922,529.93","31,935,724.77","154,855,289.76","139,567,094.02","79,347,846.26","138,539,053.98","87,459,670.24","58,078,202.61","233,077,392.38","237,504,366.00","111,477,367.22"
短期借款,"792,493,361.91","666,800,000.00","554,340,000.00","560,060,000.00","460,560,000.00","542,190,000.00","477,500,000.00","510,258,120.00","510,559,367.29","543,597,705.16","220,008,444.00","307,334,396.44","273,508,840.84"
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"53,185,632.99","39,602,404.97","32,412,017.36","33,585,472.03","21,002,833.67","23,880,364.01","49,469,741.55","24,347,649.64","43,180,059.20","20,198,097.50","79,884,470.94","58,808,668.82","75,362,346.62"
应付票据,"15,000,000.00","59,070,000.00","138,870,000.00","9,940,000.00","5,900,000.00",,,"7,900,000.00","7,900,000.00","8,160,000.00","8,970,000.00","810,000.00","2,680,000.00"
应收账款,"134,509,431.80","89,305,532.35","74,295,026.34","78,600,893.18","69,697,609.19","75,518,729.16","69,575,056.67","80,151,562.60","64,980,266.16","69,064,999.16","61,370,265.65","93,757,419.31","77,955,789.34"
应付账款,"115,436,494.71","89,124,933.69","108,918,216.66","106,169,680.56","100,426,690.67","69,613,711.91","105,250,757.03","90,891,685.23","90,102,597.78","103,709,702.92","111,638,144.55","110,432,303.52","107,410,334.17"
预付款项,"9,917,225.50","7,824,297.17","9,383,253.46","10,628,459.89","14,454,089.13","34,975,700.34","10,139,484.58","27,292,540.26","49,177,750.86","44,664,989.42","14,052,170.73","10,199,634.73","22,567,693.95"
预收款项,"41,989,530.24","59,642,290.03","37,740,948.01","34,191,938.67","26,096,327.00","25,569,360.68","25,926,257.69","34,131,301.98","22,099,099.95","28,746,482.36","16,682,443.70","9,579,267.64","4,642,704.09"
其他应收款,"3,052,441.67","4,504,982.14","2,930,979.30","4,614,838.92","2,966,776.60","3,515,724.56","2,427,759.81","2,687,560.09","2,249,197.30","2,401,833.35","2,047,234.72","2,467,200.06","2,616,943.85"
应付职工薪酬,"345,078.10","35,578.60","34,884.40","39,985.80","30,857.80","30,984.50","30,984.50","37,152.51","35,141.06","26,418.41","28,894.31","41,126.22","66,501.40"
应收关联公司款,,,,,,,,,,,,,
应交税费,"24,166,059.25","44,229,085.99","32,864,699.29","16,840,189.78","23,952,988.54","10,813,262.52","39,447,822.04","19,065,098.67","25,633,068.26","14,092,043.65","43,256,107.42","28,624,647.03","23,206,790.64"
应收利息,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,
存货,"716,136,617.49","663,054,149.13","655,574,094.08","619,952,607.49","608,749,627.52","630,016,715.74","694,956,414.58","674,427,392.15","675,052,490.17","758,966,091.25","788,044,961.56","803,203,005.40","823,488,013.57"
其他应付款,"28,482,016.97","28,036,618.87","32,770,169.26","28,052,207.14","31,816,210.24","32,204,005.69","33,974,447.93","30,705,386.68","30,802,479.12","31,835,850.66","40,502,582.92","36,291,930.57","44,030,469.98"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,"80,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,"608,377.12","985,827.28","972,923.19","1,252,529.92","1,224,025.09","1,161,463.49","1,168,866.09"
其他流动资产,"30,940,111.33","15,898,158.65","17,992,936.06","17,434,412.02","20,275,404.16","20,607,010.76","17,602,153.56","10,796,791.18","15,216,719.29","19,257,648.41","42,146,733.23","44,166,233.74","29,177,681.60"
其他流动负债,"2,599,892.47","3,523,694.03","2,408,804.75","2,408,804.75","2,255,545.60","2,436,216.22","2,603,317.42","2,736,870.48","2,481,928.46","2,308,160.29","5,376,678.24","6,206,811.05","6,920,254.70"
流动资产合计,"1,044,479,126.79","928,556,199.85","930,510,836.53","796,752,408.30","892,001,630.03","928,081,338.59","923,518,457.01","958,242,549.90","937,316,153.22","972,631,861.70","1,220,623,229.21","1,250,106,528.06","1,142,645,836.15"
流动负债合计,"1,100,512,433.65","960,462,201.21","917,947,722.37","767,702,806.70","661,038,619.85","682,857,541.52","685,341,963.73","696,711,442.83","690,586,605.11","733,728,893.37","447,687,320.23","500,481,945.96","463,634,761.91"
可供出售金融资产,,,,,,,,,,,,,
长期借款,"20,000,000.00","10,000,000.00",,,,,"25,379,442.00","29,034,500.00","28,654,450.00","28,662,700.00","28,010,400.00","26,578,750.00","26,748,150.00"
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,"2,093,209.06","3,237,308.42","2,999,602.06","3,767,570.53","3,429,384.21","3,014,629.58","2,789,427.13"
长期股权投资,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,
固定资产,"310,939,824.52","311,227,000.70","289,333,920.41","281,536,236.50","276,651,311.88","270,160,816.26","339,032,285.01","336,327,978.09","374,816,798.51","381,245,383.23","394,607,294.32","382,165,182.43","391,445,655.34"
递延所得税负债,,,,,,,,,,,"2,753,922.70","2,642,272.02","1,851,522.31"
在建工程,"63,859,036.25","45,001,134.46","61,181,719.40","65,770,290.12","72,873,467.45","78,439,411.72","61,260,616.94","67,502,482.57","39,702,632.77","54,363,702.30","94,549,659.40","142,477,541.64","179,432,191.48"
其他非流动负债,"11,450,000.00","11,450,000.00","11,450,000.00","11,450,000.00","11,350,000.00","11,350,000.00","11,350,000.00","11,350,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00"
工程物资,"2,216,858.61","1,869,677.13","1,876,036.83","1,875,992.65","1,871,874.68","1,735,502.72","1,734,324.63","1,659,746.62","524,935.45","702,091.51","605,211.47","590,115.17","586,080.28"
非流动负债合计,"33,650,000.00","23,350,000.00","13,050,000.00","13,050,000.00","12,898,300.00","12,842,200.00","40,210,984.39","45,230,141.75","44,526,760.39","45,206,103.86","46,871,264.60","44,814,933.65","43,613,527.77"
固定资产清理,,,,,,,,,,,,,
负债合计,"1,134,162,433.65","983,812,201.21","930,997,722.37","780,752,806.70","673,936,919.85","695,699,741.52","725,552,948.12","741,941,584.58","735,113,365.50","778,934,997.23","494,558,584.83","545,296,879.61","507,248,289.68"
生产性生物资产,"65,688,729.62","67,119,648.88","63,192,292.85","61,991,720.76","61,205,268.48","59,935,763.29","74,720,970.58","74,324,137.72","72,566,887.63","70,492,490.91","68,855,203.56","69,634,715.59","82,152,351.15"
实收资本(或股本),"150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","200,200,000.00","200,200,000.00","200,200,000.00","200,200,000.00","200,200,000.00","200,200,000.00","229,646,720.00","229,646,720.00","229,646,720.00"
油气资产,,,,,,,,,,,,,
资本公积,,,,,"144,503,452.92","144,754,219.03","144,762,709.60","144,762,709.60","144,762,709.60","144,762,709.60","677,857,052.03","677,857,052.03","677,857,052.03"
无形资产,"51,598,307.51","50,380,628.99","49,162,950.47","48,858,530.84","48,554,111.21","48,249,691.58","47,945,271.95","47,640,852.32","47,336,432.69","47,032,013.06","46,727,593.43","46,423,173.80","46,118,754.17"
盈余公积,"33,272,536.09","34,805,966.92","38,559,035.06","38,559,035.06","38,559,035.06","38,559,035.06","46,139,615.93","46,139,615.93","46,139,615.93","46,139,615.93","50,222,151.35","50,222,151.35","50,222,151.35"
开发支出,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,
未分配利润,"269,410,638.50","303,168,179.96","341,223,457.66","352,438,181.61","362,425,209.70","370,266,441.54","392,432,765.51","407,788,665.70","400,684,266.69","408,694,829.78","433,799,390.54","452,562,668.49","442,769,608.93"
长期待摊费用,"32,342,410.13","43,131,005.30","40,794,387.23","39,958,732.09","39,474,279.38","38,765,376.25","38,083,598.37","37,535,249.61","36,986,900.85","36,438,552.09","35,890,203.33","35,356,923.82","34,833,729.16"
少数股东权益,,,,,,,,,,,,,
递延所得税资产,"15,721,314.81","24,501,052.78","24,728,071.37","25,006,112.11","26,992,674.42","24,006,077.76","21,701,901.16","19,619,715.47","18,812,672.26","16,884,353.32","22,255,410.85","20,039,751.75","23,124,196.43"
外币报表折算价差,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,
非流动资产合计,"542,366,481.45","543,230,148.24","530,269,378.56","524,997,615.07","527,622,987.50","521,292,639.58","584,478,968.64","584,610,162.40","590,747,260.16","607,158,586.42","663,490,576.36","696,687,404.20","757,692,958.01"
所有者权益(或股东权益)合计,"452,683,174.59","487,974,146.88","529,782,492.72","540,997,216.67","745,687,697.68","753,674,236.65","782,444,477.53","800,911,127.72","792,950,047.88","800,855,450.89","1,389,555,220.74","1,401,497,052.65","1,393,090,504.48"
资产总计,"1,586,845,608.24","1,471,786,348.09","1,460,780,215.09","1,321,750,023.37","1,419,624,617.53","1,449,373,978.17","1,507,997,425.65","1,542,852,712.30","1,528,063,413.38","1,579,790,448.12","1,884,113,805.57","1,946,793,932.26","1,900,338,794.16"
负债和所有者(或股东权益)合计,"1,586,845,608.24","1,471,786,348.09","1,460,780,215.09","1,321,750,023.37","1,419,624,617.53","1,449,373,978.17","1,507,997,425.65","1,542,852,712.30","1,528,063,413.38","1,579,790,448.12","1,884,113,805.57","1,946,793,932.26","1,900,338,794.16"
