科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"109,962,129.40","144,238,165.75","179,045,730.20","152,079,018.65","162,645,052.59","500,503,577.83","226,821,723.60","123,900,042.08","140,290,163.02","158,993,805.46","137,603,250.06","176,649,084.40","184,612,846.95","220,714,842.44","220,034,146.27"
短期借款,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,"532,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"2,231,722.23","3,264,022.09","3,847,572.02","3,452,719.97","4,132,228.20","8,024,600.47","7,555,726.22","5,041,734.07","4,704,620.81","5,462,965.24","4,626,655.59","1,743,822.17","6,360,030.21","12,063,920.62","2,764,262.38"
应付票据,,,,,,,"1,800,000.00","1,800,000.00",,"2,400,000.00","2,400,000.00","1,043,875.96",,"13,048,526.27",
应收账款,"37,951,163.27","42,529,289.30","34,778,594.08","39,387,313.50","43,538,400.33","36,844,567.45","46,200,204.37","42,187,562.98","58,049,392.71","48,430,787.59","61,098,479.66","74,644,275.33","72,770,289.71","67,873,027.78","64,658,186.20"
应付账款,"17,850,235.58","18,315,779.22","15,801,623.28","32,270,530.00","26,662,611.99","27,133,298.93","30,560,113.44","39,106,588.05","33,903,234.42","43,961,653.00","52,027,281.04","60,297,507.94",,"51,965,073.92",
预付款项,"2,386,725.08","639,983.51","931,851.57","1,098,092.83","1,269,269.97","1,958,963.45","2,698,079.36","1,454,130.24","2,373,730.22","1,390,949.23","3,599,200.77","2,079,454.03","1,940,105.14","679,874.65","921,501.50"
预收款项,"6,831,468.31","6,867,280.28","7,084,723.71","24,353,672.79","11,271,903.19","18,181,800.09","21,024,088.88","20,772,678.37","32,465,546.40","28,049,277.30","13,813,421.86","24,974,261.72","30,117,527.40","26,010,830.47","15,999,072.73"
其他应收款,"722,844.75","722,194.81","975,381.60","1,001,485.20","1,638,863.73","956,678.64","1,023,928.82","1,150,171.84","1,331,016.10","1,180,517.84","1,305,754.34","1,228,563.48","1,299,486.19","1,446,415.73","1,486,454.17"
应付职工薪酬,"8,476,410.12","12,304,190.37","14,172,860.99","13,013,561.10","15,992,854.97","16,254,307.40","12,210,006.42","16,552,052.55","21,352,665.37","20,466,318.54","15,952,019.48","19,533,582.38","23,086,003.96","24,133,665.97","20,891,785.65"
应收关联公司款,,,,,,,,,,,,,,,
应交税费,"7,681,446.52","5,216,283.07","5,395,078.42","8,012,777.22","9,831,917.59","11,278,486.65","9,546,737.35","8,766,319.98","11,673,244.83","11,939,692.93","12,420,975.78","16,046,209.13","14,281,794.99","10,804,305.05","8,956,738.75"
应收利息,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,
存货,"26,207,674.84","34,344,289.17","29,648,303.58","39,441,365.81","32,877,826.48","38,341,205.80","46,096,827.40","59,327,216.13","62,147,697.48","69,800,044.44","77,204,993.49","83,023,616.34","81,675,984.10","74,501,547.04","67,739,553.06"
其他应付款,"2,894,578.61","2,051,675.65","368,842.17","676,805.34","566,328.10","2,741,762.15","1,197,405.83","641,382.87","459,848.65","46,401,467.14","46,938,910.17","45,944,294.15","44,877,422.64","27,617,500.85","28,248,530.59"
其中:消耗性生物资产,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,
其他流动资产,"900,000.00","616,177.07",,,,"1,829,604.37","280,000,000.00","381,420,721.92","391,465,125.69","459,020,400.92","476,201,302.90","450,191,856.42","487,255,427.28","507,102,701.22",
其他流动负债,"547,544.04","547,544.04","578,544.04","578,544.04","578,544.04","1,688,541.07","1,688,541.07","1,592,371.48","1,490,323.99","1,372,091.47","1,178,188.51","1,109,280.46","1,083,609.05","1,083,609.05","1,110,374.03"
流动资产合计,"180,362,259.57","226,354,121.70","249,227,433.05","236,459,995.96","246,101,641.30","588,459,198.01","610,396,489.77","614,481,579.26","660,361,746.03","744,279,470.72","761,639,636.81","789,560,672.17","835,914,169.58","884,382,329.48","889,604,103.58"
流动负债合计,"44,281,683.18","45,302,752.63","43,401,672.61","78,905,890.49","64,904,159.88","77,278,196.29","78,026,892.99","89,231,393.30","101,344,863.66","154,590,500.38","144,730,796.84","168,949,011.74","173,745,096.13","154,663,511.58","136,901,501.09"
可供出售金融资产,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,
固定资产,"41,833,904.05","42,925,221.58","40,626,192.59","38,732,144.39","38,206,051.23","38,228,778.62","85,922,041.22","82,294,073.10","82,090,314.71","83,354,169.19","91,716,368.99","90,281,588.53","89,432,799.64","88,920,533.62","103,385,342.63"
递延所得税负债,,"41,225.78","114,169.74","142,625.45","149,388.88","153,989.30","158,001.08","161,512.07","164,554.08","164,663.65","165,740.24","168,288.00","1,768,843.97","1,780,899.25","2,070,795.90"
在建工程,,"250,000.00","719,530.00","12,581,880.10","13,873,619.60","20,101,920.93","23,307,021.40","23,816,602.28","25,665,652.68","36,602,705.58","37,016,974.81","41,132,891.18","45,141,896.00","46,527,234.53","31,545,054.55"
其他非流动负债,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,
非流动负债合计,"4,820,234.55","7,313,916.29","7,046,316.21","6,785,499.90","6,647,627.32","6,525,703.15","6,107,579.66","5,785,124.97","5,590,611.75","13,346,144.39","13,105,144.04","12,836,789.54","14,166,443.16","14,142,596.10","14,515,298.63"
固定资产清理,,,,,,,,,,,,,,,
负债合计,"49,101,917.73","52,616,668.92","50,447,988.82","85,691,390.39","71,551,787.20","83,803,899.44","84,134,472.65","95,016,518.27","106,935,475.41","167,936,644.77","157,835,940.88","181,785,801.28","187,911,539.29","168,806,107.68","151,416,799.72"
生产性生物资产,,,,,,,,,,,,,,,
实收资本(或股本),"69,000,000.00","69,000,000.00","69,000,000.00","69,000,000.00","69,000,000.00","92,000,000.00","92,000,000.00","119,600,000.00","119,600,000.00","121,787,200.00","121,787,200.00","158,323,360.00","158,315,300.00","158,315,300.00","158,300,870.00"
油气资产,,,,,,,,,,,,,,,
资本公积,"58,902,204.52","58,902,204.52","58,902,204.52","58,902,204.52","58,902,204.52","387,586,719.65","387,586,719.65","359,986,719.65","359,986,719.65","405,103,326.73","408,421,223.37","375,210,260.89","378,416,728.43","381,661,161.83","382,024,035.52"
无形资产,"16,160,843.29","16,073,766.68","15,845,065.58","15,536,481.74","15,385,009.82","15,948,968.27","15,719,526.81","15,926,439.44","15,708,360.21","15,676,315.19","15,416,165.00","15,267,039.89","15,001,675.46","14,758,939.00","14,561,458.63"
盈余公积,"6,180,562.10","13,262,112.69","20,884,986.79","25,035,011.32","27,402,458.85","30,637,739.19","30,637,739.19","30,637,739.19","30,637,739.19","43,141,816.89","43,141,816.89","43,141,816.89","43,141,816.89","56,683,729.20","56,683,729.20"
开发支出,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,"44,728,240.00","44,728,240.00","44,008,510.00","43,881,720.00","26,418,278.00","39,184,551.86"
商誉,,,,,,,,,,,,,,,
未分配利润,"56,374,640.68","93,230,024.86","108,581,197.58","66,121,525.32","88,141,076.64","119,225,169.51","145,793,442.43","136,980,757.99","171,680,338.93","196,969,301.73","225,901,912.45","228,698,063.78","269,273,328.53","300,335,389.17","334,700,248.87"
长期待摊费用,"553,437.29","260,191.28","178,669.18","119,737.29","99,086.92","74,589.24","54,683.44","30,708.12","23,031.03","953,444.29","1,063,262.26","1,014,932.16","918,271.96","845,776.82","1,338,873.90"
少数股东权益,,,,,,,,,,,,,,,
递延所得税资产,"643,804.13","1,145,093.80","1,245,404.00","1,357,425.11","1,373,825.39","1,561,358.52","1,522,169.13","1,571,974.47","1,527,469.53","3,261,055.20","3,637,515.51","4,498,161.13","5,339,980.75","3,761,720.20","3,476,586.34"
外币报表折算价差,,,,,,,,,,,,,,,
其他非流动资产,,,,,,"48,943,739.00","3,292,050.00","4,149,250.00","3,496,800.00","6,107,494.91","1,867,463.70","1,438,410.00","1,507,968.00","260,144.00","81,600.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,
非流动资产合计,"59,191,988.76","60,654,273.34","58,614,861.35","68,327,668.63","68,937,592.96","124,859,354.58","129,817,492.00","127,789,047.41","128,511,628.16","145,955,184.36","150,717,750.27","153,633,022.89","157,342,591.81","155,074,348.17","154,388,916.05"
所有者权益(或股东权益)合计,"190,452,330.60","234,391,726.12","257,394,305.58","219,096,274.20","243,487,447.06","629,514,653.15","656,079,509.12","647,254,108.40","681,937,898.78","722,298,010.31","754,521,446.20","761,407,893.78","805,345,222.10","870,650,569.97","892,576,219.91"
资产总计,"239,554,248.33","287,008,395.04","307,842,294.40","304,787,664.59","315,039,234.26","713,318,552.59","740,213,981.77","742,270,626.67","788,873,374.19","890,234,655.08","912,357,387.08","943,193,695.06","993,256,761.39","1,039,456,677.65","1,043,993,019.63"
负债和所有者(或股东权益)合计,"239,554,248.33","287,008,395.04","307,842,294.40","304,787,664.59","315,039,234.26","713,318,552.59","740,213,981.77","742,270,626.67","788,873,374.19","890,234,655.08","912,357,387.08","943,193,695.06","993,256,761.39","1,039,456,677.65","1,043,993,019.63"
