科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"198,435,739.29","345,792,650.72","190,321,013.53","397,888,132.57","358,674,239.19","244,679,382.99","340,393,365.10","354,580,926.10","463,600,540.15","234,089,535.02","189,623,887.86","575,614,700.32","640,002,132.39","449,512,565.74","411,404,631.10","434,771,479.97","746,261,513.44","580,233,839.42","400,873,830.91","363,852,030.24","668,587,267.42","374,434,186.20","297,878,987.71","438,904,275.37","790,435,306.28","518,440,875.19","442,609,420.02","651,864,159.67","737,780,460.96","564,458,135.13","558,011,809.83","533,547,160.82","592,851,261.19","502,902,360.01","1,373,786,405.94","550,855,990.79","961,549,476.45","482,556,770.96","1,144,750,767.76","921,920,459.40","911,828,018.69","692,163,951.38"
短期借款,"212,000,000.00","344,000,000.00","383,900,000.00","209,000,000.00","205,000,000.00","223,712,263.17","466,265,534.01","475,406,087.27","450,000,000.00","461,914,571.77","537,478,448.38","589,937,617.35","335,000,000.00","360,306,998.64","411,587,771.32","461,448,556.61","909,774,449.62","792,334,451.92","820,279,449.30","852,725,608.02","838,977,583.19","765,890,806.50","854,093,268.00","755,549,190.44","640,944,731.84","537,307,390.04","502,628,631.16","395,241,693.00","219,000,000.00","81,000,000.00","221,993,803.58","302,703,525.99","146,000,000.00","370,000,000.00","963,797,761.51","926,438,229.39","1,254,528,828.04","1,285,361,011.49","1,382,606,277.71","1,230,489,093.87","1,195,332,476.13","1,202,993,046.99"
交易性金融资产,"3,093,303.61","2,368,606.73","2,183,799.75","2,991,406.65","3,627,790.00",,"1,611,380.00","1,194,000.00",,"10,000,000.00","1,038,750.00","8,208,000.00","3,707,870.00",,,,,,,,,,,,,,,,,,,,,,"3,977,250.00","28,071,362.36",,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"26,991,759.82","7,953,193.38","11,657,945.56","4,230,035.61","18,616,178.82","15,952,262.52","40,457,647.07","36,701,239.26","32,217,772.93","38,204,787.48","14,081,219.32","26,585,941.42","114,968,182.59","108,749,251.91","76,359,465.24","119,299,500.01","143,509,807.91","168,955,833.98","159,960,736.86","125,986,906.15","209,170,059.71","185,002,849.76","120,728,854.99","108,117,463.68","240,361,944.05","160,884,104.58","124,736,376.18","107,543,836.05","229,849,727.98","181,766,907.04","217,358,300.38","245,085,516.05","334,717,957.77","276,356,782.54","267,860,571.74","279,237,264.67","626,149,328.98","423,232,664.42","379,256,771.87","312,292,031.97","500,952,928.45","360,038,723.49"
应付票据,"110,000,000.00","273,000,000.00","183,800,000.00","129,800,000.00","51,000,000.00","51,000,000.00","156,000,000.00","196,000,000.00","70,000,000.00","30,000,000.00",,"44,000,000.00","44,000,000.00",,"92,329,766.70","112,329,766.70","168,025,390.87","195,088,315.87","273,492,176.98","251,499,284.51","119,840,538.02","75,273,430.49","91,743,783.94","335,799,398.28","516,097,863.34","274,502,590.40","358,669,199.56","472,522,696.55","269,698,166.74","175,741,898.96","192,088,312.92","346,152,681.86","365,389,222.79","233,001,070.94","227,462,899.77","235,759,161.58","281,368,884.64","313,094,967.43","626,113,928.92",,"687,397,850.80",
应收账款,"269,246,410.47","437,465,700.64","510,043,190.75","562,666,682.68","511,301,325.62","573,211,513.26","803,172,590.88","861,714,756.54","641,837,174.23","785,460,242.26","880,571,161.30","982,782,439.82","765,018,252.75","848,537,791.58","1,069,871,356.10","1,113,861,339.76","1,428,778,145.29","1,376,849,045.62","1,736,870,507.15","1,846,928,785.78","1,645,159,545.69","1,663,801,876.85","2,002,877,729.49","2,158,705,223.03","1,958,448,310.47","1,932,715,854.41","2,185,581,683.78","2,258,464,418.29","2,037,692,824.26","2,160,821,116.39","2,342,815,246.52","2,237,236,217.90","2,035,943,305.38","2,189,112,618.67","2,819,991,016.28","2,939,659,801.71","2,575,781,828.30","2,947,988,173.19","3,263,126,186.58","3,238,527,680.73","2,811,636,013.83","3,225,969,375.39"
应付账款,"154,278,437.34","152,916,712.80","151,888,223.64","115,053,983.75","128,444,161.04","101,817,509.30","164,393,499.56","136,230,545.59","144,654,939.56","132,345,398.93","105,159,180.70","92,155,874.57","99,617,907.85","105,170,965.42","136,745,005.78","164,926,379.72","196,111,183.57","176,970,251.99","256,399,001.51","231,697,326.49","261,854,732.01","255,535,885.50","394,385,912.86","211,552,857.85","266,120,463.76","218,656,779.26","249,021,728.50","248,222,660.34","384,782,963.91","298,597,915.38","308,429,335.23","346,958,283.96","403,242,871.36","351,389,430.43","406,952,696.04","502,037,724.95","585,486,113.01","498,213,357.48","786,960,416.38",,"647,968,546.65",
预付款项,"14,618,561.02","11,909,206.32","22,762,622.60","1,202,000.00","10,154,180.06","12,435,989.20","29,760,563.30","33,186,324.30","56,261,466.07","6,183,149.50","15,584,901.40","20,119,459.60","55,741,837.48","25,631,274.96","33,218,136.45","10,128,130.93","40,743,312.61","63,455,655.91","72,983,849.88","91,910,876.70","26,759,537.02","59,354,097.62","70,339,408.47","93,555,111.61","77,619,243.55","104,883,274.41","106,941,471.25","123,956,785.34","63,505,932.18","68,931,905.03","62,861,898.57","74,777,651.06","45,706,224.83","67,170,632.13","92,426,050.49","79,395,339.74","98,260,433.35","113,386,485.95","98,082,678.54","125,398,745.96","80,960,788.12","116,560,975.80"
预收款项,"22,122,395.75","39,859,392.78","32,968,634.62","30,481,303.89","56,627,054.92","57,098,608.86","37,366,583.11","49,029,183.97","58,783,022.13","96,735,393.24","90,832,900.86","114,645,310.26","107,203,687.61","126,783,532.73","107,774,301.77","79,908,748.72","126,593,859.65","143,558,118.11","100,764,753.47","120,019,928.23","92,798,035.73","130,222,476.03","105,849,754.59","110,371,275.82","47,972,426.27","81,988,933.24","94,530,021.34","139,461,671.49","152,649,983.13","167,020,054.45","175,954,982.47","171,556,526.76","134,323,604.25","128,167,771.69","169,345,731.83","241,519,985.48","168,296,604.18","147,358,728.69","201,092,752.78","213,681,473.64","199,852,640.37","235,638,284.48"
其他应收款,"11,263,290.20","26,004,417.43","36,300,545.31","31,491,797.60","25,726,379.49","35,181,466.97","42,250,976.72","25,661,792.23","37,306,682.60","38,898,597.65","37,245,118.32","35,714,347.12","27,017,392.04","46,672,740.05","66,682,855.76","69,176,855.13","65,659,316.42","94,976,085.42","106,667,287.00","104,364,810.74","49,597,166.33","95,177,635.58","131,090,628.99","121,575,124.97","84,644,561.85","109,525,308.47","102,598,561.07","113,214,306.47","94,089,755.98","98,406,887.22","101,067,371.32","100,204,774.11","95,403,009.71","116,721,803.43","133,280,660.18","164,869,946.97","157,986,915.31","164,150,775.89","179,061,973.71","166,343,190.15","157,160,615.86","173,442,849.43"
应付职工薪酬,"10,358,706.25","6,072,692.18","4,902,609.10","5,852,028.32","6,893,325.89","6,243,505.51","5,950,895.05","6,605,434.05","7,837,663.64","5,945,118.70","6,190,603.71","7,735,481.54","8,206,878.12","6,282,512.49","6,917,743.23","7,928,284.69","21,786,895.94","12,402,083.84","11,112,646.72","18,971,864.78","27,292,255.36","17,281,953.77","20,116,402.03","23,649,032.25","34,174,171.88","20,817,238.00","34,421,888.80","41,374,572.47","50,919,908.86","34,030,677.76","40,738,590.79","51,925,191.60","64,136,470.76","39,933,960.35","48,017,956.57","54,413,119.77","68,132,428.90","55,684,593.99","59,821,905.21","64,718,011.65","70,393,279.10","43,576,228.59"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"16,705,515.26","21,708,483.08","36,927,251.14","24,481,695.12","9,248,108.46","11,239,175.03","18,132,793.07","19,178,367.11","27,273,651.62","24,559,348.16","14,474,139.36","18,167,659.48","36,072,605.91","10,854,138.48","14,228,971.26","24,847,053.78","40,238,691.61","30,092,952.18","19,695,356.64","20,873,221.01","43,630,249.48","23,343,032.93","23,949,749.91","27,350,977.10","43,850,405.38","35,576,335.45","43,630,873.97","27,914,986.85","52,510,678.96","38,856,338.09","46,105,324.50","15,616,686.59","43,860,688.01","6,919,678.84","17,046,904.27","10,719,033.65","31,328,598.11","12,806,454.27","23,313,603.55","23,137,456.63","19,955,176.92","39,110,869.86"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"822,027.24","1,001,387.22"
应付利息,"113,520.00","61,596.00","121,409.96",,,,,,,,,,,,,,"70,428.93","100,059.08","61,141.42","61,055.45","31,398.40","31,398.40","28,544.00","28,544.00","9,720,000.00","9,720,000.00","20,431,232.87","4,083,287.67","9,727,893.46","15,113,098.94","20,486,526.64","4,330,910.18","9,716,404.89","15,142,432.25","20,552,109.95","4,362,632.40","9,586,849.36","14,812,876.76","20,298,082.25",,"11,934,866.34","17,231,442.56"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,"20,000,000.00",,,,,,,,,,,,"31,365,574.30",,,,,"492,900.00","492,900.00","344,560.00","328,930.00","22,698,418.37","631,020.67","413,642.00","413,642.00","826,779.46","826,779.46",,,,,,,,,,
